Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580466946797	0.0000	0.0348	0.0002	1.0000	0.0034	0.0000	0.0005	0.0000	-1.0970	-0.9998	0.9116	-0.4110	0.0000	0.0000	img_PilotCamera_Segmentation_1580466946780.jpg,img_FrontCenter_Segmentation_1580466946797.jpg
1580466946894	-0.4717	0.6900	-3.0462	0.9984	0.0134	-0.0009	0.0549	-0.4716	-1.0970	-4.0462	0.8627	-0.5058	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466946855.jpg,img_FrontCenter_Segmentation_1580466946894.jpg
1580466946930	-0.4717	0.6898	-3.0462	0.9985	0.0131	-0.0009	0.0535	-0.4716	-1.0970	-4.0462	0.8627	-0.5058	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466946909.jpg,img_FrontCenter_Segmentation_1580466946930.jpg
1580466946990	-0.4717	0.6897	-3.0462	0.9986	0.0128	-0.0009	0.0522	-0.4715	-1.0970	-4.0462	0.8627	-0.5058	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466946957.jpg,img_FrontCenter_Segmentation_1580466946990.jpg
1580466947014	-0.4717	0.6895	-3.0462	0.9986	0.0123	-0.0009	0.0505	-0.4715	-1.0970	-4.0462	0.8627	-0.5057	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947012.jpg,img_FrontCenter_Segmentation_1580466947014.jpg
1580466947065	-0.4716	0.6893	-3.0462	0.9987	0.0120	-0.0008	0.0492	-0.4715	-1.0970	-4.0462	0.8627	-0.5057	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947063.jpg,img_FrontCenter_Segmentation_1580466947065.jpg
1580466947114	-0.4716	0.6892	-3.0462	0.9988	0.0117	-0.0008	0.0480	-0.4715	-1.0970	-4.0462	0.8627	-0.5057	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947112.jpg,img_FrontCenter_Segmentation_1580466947114.jpg
1580466947166	-0.4716	0.6890	-3.0463	0.9988	0.0114	-0.0008	0.0468	-0.4715	-1.0970	-4.0463	0.8627	-0.5057	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947164.jpg,img_FrontCenter_Segmentation_1580466947166.jpg
1580466947223	-0.4716	0.6889	-3.0463	0.9989	0.0112	-0.0008	0.0456	-0.4714	-1.0970	-4.0463	0.8627	-0.5057	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947221.jpg,img_FrontCenter_Segmentation_1580466947223.jpg
1580466947274	-0.4716	0.6888	-3.0463	0.9989	0.0109	-0.0008	0.0445	-0.4714	-1.0970	-4.0463	0.8627	-0.5057	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947272.jpg,img_FrontCenter_Segmentation_1580466947274.jpg
1580466947326	-0.4716	0.6886	-3.0463	0.9990	0.0106	-0.0007	0.0434	-0.4714	-1.0970	-4.0463	0.8627	-0.5057	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947323.jpg,img_FrontCenter_Segmentation_1580466947326.jpg
1580466947377	-0.4716	0.6885	-3.0463	0.9991	0.0103	-0.0007	0.0423	-0.4714	-1.0970	-4.0463	0.8627	-0.5056	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947374.jpg,img_FrontCenter_Segmentation_1580466947377.jpg
1580466947427	-0.4716	0.6884	-3.0463	0.9991	0.0101	-0.0007	0.0413	-0.4714	-1.0970	-4.0463	0.8628	-0.5056	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947425.jpg,img_FrontCenter_Segmentation_1580466947427.jpg
1580466947479	-0.4716	0.6882	-3.0463	0.9992	0.0098	-0.0007	0.0399	-0.4714	-1.0970	-4.0463	0.8628	-0.5056	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947477.jpg,img_FrontCenter_Segmentation_1580466947479.jpg
1580466947530	-0.4715	0.6881	-3.0463	0.9992	0.0095	-0.0007	0.0389	-0.4714	-1.0970	-4.0463	0.8628	-0.5056	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947528.jpg,img_FrontCenter_Segmentation_1580466947530.jpg
1580466947581	-0.4715	0.6880	-3.0463	0.9992	0.0093	-0.0007	0.0379	-0.4714	-1.0970	-4.0463	0.8628	-0.5056	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947579.jpg,img_FrontCenter_Segmentation_1580466947581.jpg
1580466947636	-0.4715	0.6878	-3.0463	0.9993	0.0090	-0.0006	0.0370	-0.4713	-1.0970	-4.0463	0.8628	-0.5056	-0.0001	0.0000	img_PilotCamera_Segmentation_1580466947634.jpg,img_FrontCenter_Segmentation_1580466947636.jpg
