Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581583494872	-0.0001	0.0000	-0.0073	0.9998	0.0213	0.0004	-0.0001	-0.0003	-1.0970	-1.0073	0.9148	-0.4039	0.0001	0.0000	img_PilotCamera_Segmentation_1581583494769.jpg,img_FrontCenter_Segmentation_1581583494872.jpg
1581583494977	-1.3144	0.2108	2.4981	0.9998	0.0206	0.0004	-0.0001	-1.3146	-0.7795	1.4981	0.9248	-0.3804	0.0001	0.0000	img_PilotCamera_Segmentation_1581583494973.jpg,img_FrontCenter_Segmentation_1581583494977.jpg
1581583495028	-1.3144	0.1143	2.4983	0.9998	0.0201	0.0004	-0.0001	-1.3146	-0.7720	1.4983	0.9350	-0.3547	0.0001	0.0000	img_PilotCamera_Segmentation_1581583495024.jpg,img_FrontCenter_Segmentation_1581583495028.jpg
1581583495079	-1.3144	0.0524	2.4985	0.9998	0.0196	0.0004	-0.0001	-1.3146	-0.7675	1.4985	0.9416	-0.3367	0.0001	0.0000	img_PilotCamera_Segmentation_1581583495074.jpg,img_FrontCenter_Segmentation_1581583495079.jpg
1581583495137	-1.3144	-0.0394	2.4987	0.9998	0.0190	0.0003	-0.0001	-1.3146	-0.7661	1.4987	0.9510	-0.3091	0.0001	0.0000	img_PilotCamera_Segmentation_1581583495132.jpg,img_FrontCenter_Segmentation_1581583495137.jpg
1581583495188	-1.3144	-0.1132	2.4989	0.9998	0.0185	0.0003	-0.0001	-1.3146	-0.7658	1.4989	0.9585	-0.2851	0.0001	0.0000	img_PilotCamera_Segmentation_1581583495184.jpg,img_FrontCenter_Segmentation_1581583495188.jpg
1581583495238	-1.3144	-0.1919	2.4990	0.9998	0.0180	0.0003	-0.0001	-1.3146	-0.7655	1.4990	0.9663	-0.2575	0.0001	0.0000	img_PilotCamera_Segmentation_1581583495234.jpg,img_FrontCenter_Segmentation_1581583495238.jpg
1581583495294	-1.3144	-0.2703	2.4992	0.9998	0.0176	0.0003	-0.0001	-1.3146	-0.7653	1.4992	0.9737	-0.2278	0.0001	0.0000	img_PilotCamera_Segmentation_1581583495290.jpg,img_FrontCenter_Segmentation_1581583495294.jpg
1581583495345	-1.3144	-0.3528	2.4993	0.9999	0.0172	0.0003	-0.0001	-1.3146	-0.7651	1.4993	0.9809	-0.1943	0.0001	0.0000	img_PilotCamera_Segmentation_1581583495341.jpg,img_FrontCenter_Segmentation_1581583495345.jpg
1581583495408	-1.3144	-0.4727	2.4995	0.9999	0.0166	0.0003	-0.0001	-1.3146	-0.7648	1.4995	0.9899	-0.1416	0.0001	0.0000	img_PilotCamera_Segmentation_1581583495403.jpg,img_FrontCenter_Segmentation_1581583495408.jpg
1581583495457	-1.3144	-0.4883	2.4950	1.0000	0.0062	-0.0008	-0.0008	-1.3139	-0.7632	1.4950	0.9910	-0.1337	-0.0002	0.0000	img_PilotCamera_Segmentation_1581583495453.jpg,img_FrontCenter_Segmentation_1581583495457.jpg
1581583495511	-1.3144	-0.4858	2.4951	1.0000	0.0060	-0.0008	-0.0007	-1.3139	-0.7638	1.4951	0.9908	-0.1352	-0.0002	0.0000	img_PilotCamera_Segmentation_1581583495507.jpg,img_FrontCenter_Segmentation_1581583495511.jpg
