Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581583921388	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	-1.0970	-1.0000	0.9148	-0.4039	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921266.jpg,img_FrontCenter_Segmentation_1581583921388.jpg
1581583921516	-11.2440	4.5992	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7658	-0.6431	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921510.jpg,img_FrontCenter_Segmentation_1581583921516.jpg
1581583921567	-11.2440	4.4841	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7669	-0.6417	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921561.jpg,img_FrontCenter_Segmentation_1581583921567.jpg
1581583921618	-11.2440	4.4289	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7675	-0.6411	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921612.jpg,img_FrontCenter_Segmentation_1581583921618.jpg
1581583921674	-11.2440	4.3691	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7681	-0.6403	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921668.jpg,img_FrontCenter_Segmentation_1581583921674.jpg
1581583921725	-11.2440	4.2752	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7691	-0.6391	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921720.jpg,img_FrontCenter_Segmentation_1581583921725.jpg
1581583921776	-11.2440	4.2000	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7699	-0.6382	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921771.jpg,img_FrontCenter_Segmentation_1581583921776.jpg
1581583921826	-11.2440	4.1248	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7707	-0.6371	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921821.jpg,img_FrontCenter_Segmentation_1581583921826.jpg
1581583921879	-11.2440	4.0351	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7718	-0.6359	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921875.jpg,img_FrontCenter_Segmentation_1581583921879.jpg
1581583921931	-11.2440	3.9456	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7728	-0.6346	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921927.jpg,img_FrontCenter_Segmentation_1581583921931.jpg
1581583921984	-11.2440	3.8572	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7739	-0.6333	0.0000	0.0000	img_PilotCamera_Segmentation_1581583921979.jpg,img_FrontCenter_Segmentation_1581583921984.jpg
1581583922037	-11.2440	3.7649	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7751	-0.6319	0.0000	0.0000	img_PilotCamera_Segmentation_1581583922032.jpg,img_FrontCenter_Segmentation_1581583922037.jpg
1581583922092	-11.2440	3.6255	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7769	-0.6296	0.0000	0.0000	img_PilotCamera_Segmentation_1581583922087.jpg,img_FrontCenter_Segmentation_1581583922092.jpg
1581583922145	-11.2440	3.5176	-5.3573	1.0000	0.0000	0.0000	0.0000	-11.2440	-1.0970	-6.3573	0.7784	-0.6278	0.0000	0.0000	img_PilotCamera_Segmentation_1581583922140.jpg,img_FrontCenter_Segmentation_1581583922145.jpg
