Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580293156950	-0.0010	0.0380	0.0004	1.0000	-0.0025	0.0031	0.0015	-0.0028	-1.0970	-0.9996	0.9113	-0.4117	0.0008	0.0004	img_PilotCamera_Segmentation_1580293156905.jpg,img_FrontCenter_Segmentation_1580293156950.jpg
1580293157067	-5.8393	4.9333	5.5532	0.9985	0.0521	0.0073	0.0180	-5.8443	-1.0970	4.5532	0.7628	-0.6467	0.0019	0.0016	img_PilotCamera_Segmentation_1580293157024.jpg,img_FrontCenter_Segmentation_1580293157067.jpg
1580293157113	-5.8391	4.9326	5.5528	0.9986	0.0503	0.0071	0.0174	-5.8439	-1.0970	4.5528	0.7628	-0.6467	0.0018	0.0016	img_PilotCamera_Segmentation_1580293157081.jpg,img_FrontCenter_Segmentation_1580293157113.jpg
1580293157176	-5.8390	4.9321	5.5524	0.9986	0.0491	0.0069	0.0169	-5.8437	-1.0970	4.5525	0.7628	-0.6467	0.0018	0.0015	img_PilotCamera_Segmentation_1580293157132.jpg,img_FrontCenter_Segmentation_1580293157176.jpg
1580293157189	-5.8389	4.9315	5.5521	0.9987	0.0479	0.0067	0.0165	-5.8434	-1.0970	4.5521	0.7628	-0.6467	0.0017	0.0015	img_PilotCamera_Segmentation_1580293157185.jpg,img_FrontCenter_Segmentation_1580293157189.jpg
1580293157240	-5.8388	4.9310	5.5518	0.9988	0.0467	0.0066	0.0161	-5.8432	-1.0970	4.5518	0.7628	-0.6467	0.0017	0.0014	img_PilotCamera_Segmentation_1580293157238.jpg,img_FrontCenter_Segmentation_1580293157240.jpg
1580293157295	-5.8386	4.9304	5.5514	0.9988	0.0451	0.0064	0.0156	-5.8429	-1.0970	4.5514	0.7628	-0.6467	0.0016	0.0014	img_PilotCamera_Segmentation_1580293157293.jpg,img_FrontCenter_Segmentation_1580293157295.jpg
1580293157349	-5.8385	4.9299	5.5511	0.9989	0.0440	0.0062	0.0152	-5.8427	-1.0970	4.5511	0.7628	-0.6467	0.0016	0.0013	img_PilotCamera_Segmentation_1580293157347.jpg,img_FrontCenter_Segmentation_1580293157349.jpg
1580293157399	-5.8384	4.9295	5.5508	0.9989	0.0429	0.0061	0.0148	-5.8424	-1.0970	4.5508	0.7628	-0.6466	0.0015	0.0013	img_PilotCamera_Segmentation_1580293157396.jpg,img_FrontCenter_Segmentation_1580293157399.jpg
1580293157450	-5.8383	4.9290	5.5506	0.9990	0.0419	0.0059	0.0144	-5.8422	-1.0970	4.5506	0.7628	-0.6466	0.0015	0.0013	img_PilotCamera_Segmentation_1580293157447.jpg,img_FrontCenter_Segmentation_1580293157450.jpg
1580293157500	-5.8382	4.9286	5.5503	0.9991	0.0408	0.0058	0.0141	-5.8420	-1.0970	4.5503	0.7628	-0.6466	0.0015	0.0012	img_PilotCamera_Segmentation_1580293157497.jpg,img_FrontCenter_Segmentation_1580293157500.jpg
1580293157552	-5.8381	4.9282	5.5500	0.9991	0.0398	0.0056	0.0137	-5.8418	-1.0970	4.5500	0.7628	-0.6466	0.0014	0.0012	img_PilotCamera_Segmentation_1580293157549.jpg,img_FrontCenter_Segmentation_1580293157552.jpg
1580293157604	-5.8380	4.9278	5.5498	0.9991	0.0388	0.0055	0.0134	-5.8416	-1.0970	4.5498	0.7628	-0.6466	0.0014	0.0012	img_PilotCamera_Segmentation_1580293157601.jpg,img_FrontCenter_Segmentation_1580293157604.jpg
1580293157658	-5.8379	4.9274	5.5495	0.9992	0.0379	0.0053	0.0131	-5.8414	-1.0970	4.5495	0.7628	-0.6466	0.0013	0.0011	img_PilotCamera_Segmentation_1580293157656.jpg,img_FrontCenter_Segmentation_1580293157658.jpg
1580293157707	-5.8378	4.9270	5.5493	0.9992	0.0369	0.0052	0.0127	-5.8412	-1.0970	4.5493	0.7628	-0.6466	0.0013	0.0011	img_PilotCamera_Segmentation_1580293157705.jpg,img_FrontCenter_Segmentation_1580293157707.jpg
1580293157762	-5.8377	4.9266	5.5490	0.9993	0.0360	0.0051	0.0124	-5.8411	-1.0970	4.5490	0.7628	-0.6466	0.0013	0.0011	img_PilotCamera_Segmentation_1580293157759.jpg,img_FrontCenter_Segmentation_1580293157762.jpg
1580293157815	-5.8376	4.9261	5.5487	0.9993	0.0348	0.0049	0.0120	-5.8408	-1.0970	4.5487	0.7628	-0.6466	0.0012	0.0010	img_PilotCamera_Segmentation_1580293157813.jpg,img_FrontCenter_Segmentation_1580293157815.jpg
