Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1580464240553	4.8449	4.7684	1.6852	0.7012732999999999	-0.1616909	-0.0542269	0.6919409	1580464240603	4.8388	4.7403	1.6866	0.7008490999999999	-0.1553279	-0.06384209999999998	0.6930721	4.518588830778177	5.532918830778177	1.6647888307781773	-0.1689718963737362	0.6673014709220685	0.7031738917217909	-0.1780553934648937	0	1	img_PilotCamera_Segmentation_1580464240600.jpg,img_FrontCenter_Segmentation_1580464240603.jpg
1580464240654	4.8316	4.7106	1.6865	0.7006370000000001	-0.14783369999999998	-0.07133629999999999	0.6941326	1580464240706	4.8243	4.6828	1.6856	0.7007784	-0.1404809	-0.0757197	0.6951223999999999	4.376272044609285	5.3906020446092855	1.5224720446092859	0.011949729391840297	0.8857896497857354	0.4638908668440639	0.006258111423489397	2	3	img_PilotCamera_Segmentation_1580464240703.jpg,img_FrontCenter_Segmentation_1580464240706.jpg
1580464240755	4.8161	4.6534	1.6835	0.7012733	-0.13199689999999997	-0.07769929999999999	0.6960415	1580464240810	4.8081	4.6257	1.6806	0.7018388999999999	-0.12337149999999998	-0.07741649999999999	0.6970313	4.252803830695194	5.267133830695194	1.3990038306951935	-0.3154348086562968	0.6686885364418402	0.6089641511962288	-0.28726152766615237	4	5	img_PilotCamera_Segmentation_1580464240807.jpg,img_FrontCenter_Segmentation_1580464240810.jpg
1580464240861	4.7993	4.5964	1.674	0.7024752	-0.11517029999999999	-0.0764267	0.6979504	1580464240912	4.7905	4.5672	1.6624	0.7028993999999998	-0.1080296	-0.0753662	0.6987987999999999	4.437981512766227	5.452311512766228	1.5841815127662275	-0.21445876263398167	0.6593915541143408	0.685231596620957	-0.222862909620398	6	7	img_PilotCamera_Segmentation_1580464240909.jpg,img_FrontCenter_Segmentation_1580464240912.jpg
1580464240964	4.782	4.5397	1.6496	0.7031822	-0.10202009999999999	-0.0741643	0.6995058	1580464241020	4.7693	4.5003	1.636	0.7035357	-0.0945259	-0.07246749999999999	0.7004249	4.490733315194128	3.563743315194128	1.4889033151941278	0.7846113266741992	-0.0781614335171203	-0.06096744021966581	0.6120121139308953	8	9	img_PilotCamera_Segmentation_1580464241016.jpg,img_FrontCenter_Segmentation_1580464241020.jpg
1580464241177	4.7399	4.4152	1.628	0.7040306	-0.08201199999999999	-0.06857899999999999	0.7019095999999999	1580464241230	4.7301	4.3881	1.6293	0.7039598999999999	-0.07989099999999999	-0.068579	0.7021217	4.537660665911633	3.6106706659116328	1.5358306659116328	0.7493067283989536	-0.18200504739523066	-0.1502882729220372	0.6187301710122336	10	11	img_PilotCamera_Segmentation_1580464241227.jpg,img_FrontCenter_Segmentation_1580464241230.jpg
1580464248434	2.7407	2.6501	1.6879	-0.019513199999999998	-0.7071414	-0.7060101999999999	-0.027714399999999997	1580464248488	2.7311	2.6391	1.6877	-0.0421372	-0.7061516	-0.7048789999999999	-0.04906579999999999	3.1572875147825363	3.388147514782536	1.672887514782536	0.20158325336454067	0.7168259104967976	0.6425524429994257	0.18069633089488676	12	13	img_PilotCamera_Segmentation_1580464248484.jpg,img_FrontCenter_Segmentation_1580464248488.jpg
1580464248861	2.664	2.5603	1.6974	-0.18226459999999997	-0.6832448	-0.6823964	-0.18410279999999998	1580464248913	2.6552	2.5499	1.6898	-0.20078800000000002	-0.6780837	-0.6772353	-0.2023434	3.061940806200384	3.292800806200384	1.5775408062003837	0.2946121655630983	0.7423984115092518	0.5592762317574227	0.2219422606940346	14	15	img_PilotCamera_Segmentation_1580464248910.jpg,img_FrontCenter_Segmentation_1580464248913.jpg
1580464249072	2.6505	2.5771	1.6722	-0.2549442	-0.6597017	-0.6588533	-0.2557926	1580464249124	2.6473	2.5828	1.6683	-0.26866	-0.6541870999999999	-0.6534800999999999	-0.269367	3.1162482560922506	3.3471082560922505	1.6318482560922507	0.17761064429095075	0.6898675495337382	0.6796466017417838	0.17497919840859244	16	17	img_PilotCamera_Segmentation_1580464249120.jpg,img_FrontCenter_Segmentation_1580464249124.jpg
1580464249695	2.6185	2.6496	1.6885	-0.35830759999999995	-0.6485310999999999	-0.5214125	-0.42292739999999995	1580464249745	2.6192	2.6575	1.6867	-0.3778208	-0.631351	-0.5240284	-0.4285834	3.1052587705330486	3.3361187705330484	1.6208587705330484	0.31193759359340273	0.7388843673185306	0.550254596353819	0.23230305341718482	18	19	img_PilotCamera_Segmentation_1580464249742.jpg,img_FrontCenter_Segmentation_1580464249745.jpg
1580464258811	2.7857	1.1507	2.2496	-0.4794166999999999	0.45354049999999996	0.5041616999999999	-0.5567624999999999	1580464258863	2.7369	1.1455	2.2641	-0.4779319999999999	0.4514195	0.5082623	-0.5561261999999999	3.0354486721369844	0.8832986721369844	1.3926286721369845	0.7097467021007189	0.6379623678475087	0.19972664613794633	0.2222001415166989	20	21	img_PilotCamera_Segmentation_1580464258860.jpg,img_FrontCenter_Segmentation_1580464258863.jpg
1580464258916	2.685	1.139	2.2811	-0.47991159999999994	0.4533991	0.5086865	-0.5523083999999999	1580464258971	2.6146	1.1296	2.2983	-0.487123	0.4612467999999999	0.5043737999999999	-0.5434002	2.121166553858907	0.7410885538589067	1.3591265538589068	0.7019435783728716	-0.571072459747727	-0.2686026816351343	0.3301576258655605	22	23	img_PilotCamera_Segmentation_1580464258967.jpg,img_FrontCenter_Segmentation_1580464258971.jpg
1580464259025	2.5657	1.123	2.3041	-0.4906579999999999	0.4653474	0.5022528	-0.5385926	1580464259077	2.5168	1.1163	2.3063	-0.5006974	0.462378	0.5063534000000001	-0.5281290000000001	2.144773496926301	0.7646954969263009	1.382733496926301	0.8547572376677954	-0.43767666191386456	-0.12715077230626637	0.2483181132587327	24	25	img_PilotCamera_Segmentation_1580464259074.jpg,img_FrontCenter_Segmentation_1580464259077.jpg
1580464260800	1.8112	0.9964	0.9946	-0.5441072	0.4523386	0.4643576	-0.5323709999999999	1580464260854	1.8134	0.9943	0.9784	-0.5434002	0.4529749	0.46301430000000005	-0.5336436	2.4690809989517537	1.1091279989517537	1.6682709989517537	0.15493310069628222	0.21998001636970343	0.7874245552913776	0.5545873208348681	26	27	img_PilotCamera_Segmentation_1580464260851.jpg,img_FrontCenter_Segmentation_1580464260854.jpg
1580464261224	1.8332	0.9789	0.8377	-0.5501873999999999	0.44413739999999996	0.4469654	-0.5476422	1580464261279	1.8358	0.977	0.8151	-0.5532275	0.44031960000000003	0.4427234	-0.5511064999999999	2.4715271581287297	1.1115741581287297	1.67071715812873	0.15119308745481924	0.044230648070361235	0.2772703232008008	0.9477897804625658	28	29	img_PilotCamera_Segmentation_1580464261276.jpg,img_FrontCenter_Segmentation_1580464261279.jpg
