Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580464750411	-0.0085	-0.0035	0.0012	0.9997	-0.0081	0.0061	0.0222	-0.0121	-1.0970	-0.9988	0.9151	-0.4032	0.0016	0.0007	img_PilotCamera_Segmentation_1580464750382.jpg,img_FrontCenter_Segmentation_1580464750411.jpg
1580464750545	-2.0448	-2.2746	-1.4687	1.0000	-0.0004	0.0008	0.0075	-2.0453	-1.0503	-2.4687	0.9035	0.4286	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464750479.jpg,img_FrontCenter_Segmentation_1580464750545.jpg
1580464750559	-2.0448	-2.2850	-1.4687	1.0000	-0.0004	0.0008	0.0072	-2.0453	-1.0216	-2.4687	0.9002	0.4355	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464750555.jpg,img_FrontCenter_Segmentation_1580464750559.jpg
1580464750610	-2.0449	-2.3833	-1.4687	1.0000	-0.0004	0.0007	0.0070	-2.0453	-1.0117	-2.4687	0.8914	0.4533	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464750607.jpg,img_FrontCenter_Segmentation_1580464750610.jpg
1580464750663	-2.0449	-2.4318	-1.4687	1.0000	-0.0003	0.0007	0.0068	-2.0453	-1.0111	-2.4687	0.8876	0.4607	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464750660.jpg,img_FrontCenter_Segmentation_1580464750663.jpg
1580464750718	-2.0449	-2.5061	-1.4687	1.0000	-0.0003	0.0007	0.0066	-2.0453	-1.0111	-2.4687	0.8820	0.4712	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464750714.jpg,img_FrontCenter_Segmentation_1580464750718.jpg
1580464750769	-2.0449	-2.5734	-1.4687	1.0000	-0.0003	0.0007	0.0064	-2.0453	-1.0111	-2.4687	0.8772	0.4800	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464750766.jpg,img_FrontCenter_Segmentation_1580464750769.jpg
1580464750823	-2.0449	-2.6379	-1.4687	1.0000	-0.0003	0.0007	0.0063	-2.0453	-1.0111	-2.4687	0.8728	0.4880	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464750820.jpg,img_FrontCenter_Segmentation_1580464750823.jpg
1580464750874	-2.0450	-2.7113	-1.4687	1.0000	-0.0003	0.0006	0.0061	-2.0453	-1.0111	-2.4687	0.8680	0.4965	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464750871.jpg,img_FrontCenter_Segmentation_1580464750874.jpg
1580464750928	-2.0450	-2.7896	-1.4687	1.0000	-0.0003	0.0006	0.0060	-2.0454	-1.0111	-2.4687	0.8632	0.5049	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464750925.jpg,img_FrontCenter_Segmentation_1580464750928.jpg
1580464750977	-2.0450	-2.8677	-1.4687	1.0000	-0.0003	0.0006	0.0058	-2.0454	-1.0111	-2.4687	0.8585	0.5127	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464750975.jpg,img_FrontCenter_Segmentation_1580464750977.jpg
1580464751029	-2.0450	-2.9473	-1.4687	1.0000	-0.0003	0.0006	0.0057	-2.0454	-1.0111	-2.4687	0.8541	0.5202	0.0002	-0.0001	img_PilotCamera_Segmentation_1580464751026.jpg,img_FrontCenter_Segmentation_1580464751029.jpg
1580464751083	-2.0450	-3.0543	-1.4687	1.0000	-0.0003	0.0006	0.0055	-2.0454	-1.0111	-2.4687	0.8484	0.5293	0.0001	-0.0001	img_PilotCamera_Segmentation_1580464751080.jpg,img_FrontCenter_Segmentation_1580464751083.jpg
1580464751135	-2.0450	-3.1274	-1.4687	1.0000	-0.0003	0.0006	0.0054	-2.0454	-1.0111	-2.4687	0.8448	0.5352	0.0001	-0.0001	img_PilotCamera_Segmentation_1580464751132.jpg,img_FrontCenter_Segmentation_1580464751135.jpg
1580464751187	-2.0451	-3.1916	-1.4687	1.0000	-0.0003	0.0006	0.0052	-2.0454	-1.0111	-2.4687	0.8417	0.5400	0.0001	-0.0001	img_PilotCamera_Segmentation_1580464751184.jpg,img_FrontCenter_Segmentation_1580464751187.jpg
1580464751242	-2.0451	-3.2585	-1.4687	1.0000	-0.0003	0.0005	0.0051	-2.0454	-1.0111	-2.4687	0.8386	0.5447	0.0001	-0.0001	img_PilotCamera_Segmentation_1580464751239.jpg,img_FrontCenter_Segmentation_1580464751242.jpg
1580464751292	-2.0451	-3.3101	-1.4687	1.0000	-0.0003	0.0005	0.0050	-2.0454	-1.0111	-2.4687	0.8363	0.5482	0.0001	-0.0001	img_PilotCamera_Segmentation_1580464751289.jpg,img_FrontCenter_Segmentation_1580464751292.jpg
1580464751345	-2.0451	-3.3671	-1.4687	1.0000	-0.0002	0.0005	0.0048	-2.0454	-1.0111	-2.4687	0.8339	0.5519	0.0001	-0.0001	img_PilotCamera_Segmentation_1580464751342.jpg,img_FrontCenter_Segmentation_1580464751345.jpg
1580464751399	-2.0451	-3.4269	-1.4687	1.0000	-0.0002	0.0005	0.0047	-2.0454	-1.0111	-2.4687	0.8314	0.5557	0.0001	-0.0001	img_PilotCamera_Segmentation_1580464751396.jpg,img_FrontCenter_Segmentation_1580464751399.jpg
1580464751455	-2.0451	-3.4726	-1.4687	1.0000	-0.0002	0.0005	0.0046	-2.0454	-1.0111	-2.4687	0.8296	0.5584	0.0001	-0.0001	img_PilotCamera_Segmentation_1580464751452.jpg,img_FrontCenter_Segmentation_1580464751455.jpg
1580464751504	-2.0451	-3.5109	-1.4687	1.0000	-0.0002	0.0005	0.0045	-2.0454	-1.0111	-2.4687	0.8281	0.5606	0.0001	-0.0001	img_PilotCamera_Segmentation_1580464751501.jpg,img_FrontCenter_Segmentation_1580464751504.jpg
1580464751554	-2.0452	-3.5429	-1.4687	1.0000	-0.0002	0.0005	0.0043	-2.0454	-1.0111	-2.4687	0.8268	0.5624	0.0001	-0.0001	img_PilotCamera_Segmentation_1580464751551.jpg,img_FrontCenter_Segmentation_1580464751554.jpg
