Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580465090461	0.0006	-0.0009	-0.0001	1.0000	-0.0011	-0.0002	0.0053	0.0007	-1.0970	-1.0001	0.9149	-0.4037	-0.0001	0.0000	img_PilotCamera_Segmentation_1580465090388.jpg,img_FrontCenter_Segmentation_1580465090461.jpg
1580465090617	-1.6814	1.6297	5.6294	1.0000	-0.0011	-0.0002	0.0052	-1.6813	-1.0970	4.6294	0.8199	-0.5726	0.0000	0.0000	img_PilotCamera_Segmentation_1580465090543.jpg,img_FrontCenter_Segmentation_1580465090617.jpg
1580465090679	-1.6815	1.5922	5.6294	1.0000	-0.0010	-0.0002	0.0050	-1.6814	-1.0970	4.6294	0.8211	-0.5707	0.0000	0.0000	img_PilotCamera_Segmentation_1580465090636.jpg,img_FrontCenter_Segmentation_1580465090679.jpg
1580465090735	-1.6815	1.5059	5.6294	1.0000	-0.0010	-0.0002	0.0048	-1.6814	-1.0970	4.6294	0.8242	-0.5663	0.0000	0.0000	img_PilotCamera_Segmentation_1580465090697.jpg,img_FrontCenter_Segmentation_1580465090735.jpg
1580465090752	-1.6815	1.4409	5.6294	1.0000	-0.0010	-0.0002	0.0047	-1.6814	-1.0970	4.6294	0.8266	-0.5628	0.0000	0.0000	img_PilotCamera_Segmentation_1580465090749.jpg,img_FrontCenter_Segmentation_1580465090752.jpg
1580465090801	-1.6815	1.3298	5.6294	1.0000	-0.0010	-0.0002	0.0046	-1.6814	-1.0970	4.6294	0.8310	-0.5563	0.0000	0.0000	img_PilotCamera_Segmentation_1580465090798.jpg,img_FrontCenter_Segmentation_1580465090801.jpg
1580465090851	-1.6815	1.2599	5.6294	1.0000	-0.0009	-0.0001	0.0044	-1.6814	-1.0970	4.6294	0.8338	-0.5520	0.0000	0.0000	img_PilotCamera_Segmentation_1580465090849.jpg,img_FrontCenter_Segmentation_1580465090851.jpg
1580465090906	-1.6815	1.1895	5.6294	1.0000	-0.0009	-0.0001	0.0043	-1.6814	-1.0970	4.6294	0.8369	-0.5474	0.0000	0.0000	img_PilotCamera_Segmentation_1580465090903.jpg,img_FrontCenter_Segmentation_1580465090906.jpg
1580465090957	-1.6815	1.1148	5.6294	1.0000	-0.0009	-0.0001	0.0042	-1.6815	-1.0970	4.6294	0.8402	-0.5422	0.0000	0.0000	img_PilotCamera_Segmentation_1580465090954.jpg,img_FrontCenter_Segmentation_1580465090957.jpg
1580465091012	-1.6816	1.0001	5.6294	1.0000	-0.0009	-0.0001	0.0041	-1.6815	-1.0970	4.6294	0.8457	-0.5337	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091010.jpg,img_FrontCenter_Segmentation_1580465091012.jpg
1580465091064	-1.6816	0.9098	5.6294	1.0000	-0.0008	-0.0001	0.0040	-1.6815	-1.0970	4.6294	0.8503	-0.5263	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091062.jpg,img_FrontCenter_Segmentation_1580465091064.jpg
1580465091117	-1.6816	0.8093	5.6294	1.0000	-0.0008	-0.0001	0.0039	-1.6815	-1.0970	4.6294	0.8557	-0.5174	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091114.jpg,img_FrontCenter_Segmentation_1580465091117.jpg
1580465091172	-1.6816	0.7158	5.6294	1.0000	-0.0008	-0.0001	0.0038	-1.6815	-1.0970	4.6294	0.8611	-0.5084	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091169.jpg,img_FrontCenter_Segmentation_1580465091172.jpg
1580465091230	-1.6816	0.5811	5.6294	1.0000	-0.0008	-0.0001	0.0037	-1.6815	-1.0970	4.6294	0.8695	-0.4940	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091227.jpg,img_FrontCenter_Segmentation_1580465091230.jpg
1580465091281	-1.6816	0.4732	5.6294	1.0000	-0.0007	-0.0001	0.0036	-1.6815	-1.0970	4.6294	0.8767	-0.4811	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091279.jpg,img_FrontCenter_Segmentation_1580465091281.jpg
1580465091333	-1.6816	0.3693	5.6294	1.0000	-0.0007	-0.0001	0.0035	-1.6816	-1.0970	4.6294	0.8842	-0.4672	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091331.jpg,img_FrontCenter_Segmentation_1580465091333.jpg
1580465091383	-1.6816	0.2710	5.6294	1.0000	-0.0007	-0.0001	0.0034	-1.6816	-1.0970	4.6294	0.8917	-0.4527	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091381.jpg,img_FrontCenter_Segmentation_1580465091383.jpg
1580465091439	-1.6817	0.1837	5.6294	1.0000	-0.0007	-0.0001	0.0033	-1.6816	-1.0970	4.6294	0.8987	-0.4385	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091436.jpg,img_FrontCenter_Segmentation_1580465091439.jpg
1580465091495	-1.6813	0.1310	5.6294	1.0000	-0.0007	-0.0001	0.0032	-1.6812	-1.0970	4.6294	0.9032	-0.4293	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091493.jpg,img_FrontCenter_Segmentation_1580465091495.jpg
1580465091545	-1.6813	0.1331	5.6294	1.0000	-0.0007	-0.0001	0.0031	-1.6812	-1.0970	4.6294	0.9030	-0.4297	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091543.jpg,img_FrontCenter_Segmentation_1580465091545.jpg
1580465091597	-1.6813	0.1396	5.6294	1.0000	-0.0006	-0.0001	0.0030	-1.6812	-1.0970	4.6294	0.9024	-0.4308	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091594.jpg,img_FrontCenter_Segmentation_1580465091597.jpg
1580465091647	-1.6813	0.1504	5.6294	1.0000	-0.0006	-0.0001	0.0030	-1.6813	-1.0970	4.6294	0.9015	-0.4327	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091645.jpg,img_FrontCenter_Segmentation_1580465091647.jpg
1580465091698	-1.6813	0.1656	5.6294	1.0000	-0.0006	-0.0001	0.0029	-1.6813	-1.0970	4.6294	0.9002	-0.4354	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091696.jpg,img_FrontCenter_Segmentation_1580465091698.jpg
1580465091754	-1.6813	0.1838	5.6294	1.0000	-0.0006	-0.0001	0.0028	-1.6813	-1.0970	4.6294	0.8987	-0.4385	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091751.jpg,img_FrontCenter_Segmentation_1580465091754.jpg
1580465091807	-1.6813	0.2073	5.6294	1.0000	-0.0006	-0.0001	0.0028	-1.6813	-1.0970	4.6294	0.8968	-0.4425	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091804.jpg,img_FrontCenter_Segmentation_1580465091807.jpg
1580465091858	-1.6813	0.2369	5.6294	1.0000	-0.0006	-0.0001	0.0027	-1.6813	-1.0970	4.6294	0.8944	-0.4473	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091855.jpg,img_FrontCenter_Segmentation_1580465091858.jpg
1580465091913	-1.6814	0.2753	5.6294	1.0000	-0.0005	-0.0001	0.0026	-1.6813	-1.0970	4.6294	0.8913	-0.4534	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091911.jpg,img_FrontCenter_Segmentation_1580465091913.jpg
1580465091968	-1.6814	0.3126	5.6294	1.0000	-0.0005	-0.0001	0.0025	-1.6813	-1.0970	4.6294	0.8884	-0.4590	0.0000	0.0000	img_PilotCamera_Segmentation_1580465091965.jpg,img_FrontCenter_Segmentation_1580465091968.jpg
1580465092019	-1.6814	0.3540	5.6294	1.0000	-0.0005	-0.0001	0.0025	-1.6813	-1.0970	4.6294	0.8853	-0.4650	0.0000	0.0000	img_PilotCamera_Segmentation_1580465092016.jpg,img_FrontCenter_Segmentation_1580465092019.jpg
1580465092077	-1.6814	0.4023	5.6294	1.0000	-0.0005	-0.0001	0.0024	-1.6813	-1.0970	4.6294	0.8817	-0.4718	0.0000	0.0000	img_PilotCamera_Segmentation_1580465092074.jpg,img_FrontCenter_Segmentation_1580465092077.jpg
1580465092128	-1.6814	0.4461	5.6294	1.0000	-0.0005	-0.0001	0.0023	-1.6813	-1.0970	4.6294	0.8786	-0.4776	0.0000	0.0000	img_PilotCamera_Segmentation_1580465092125.jpg,img_FrontCenter_Segmentation_1580465092128.jpg
1580465092180	-1.6814	0.5132	5.6294	1.0000	-0.0005	-0.0018	0.0023	-1.6803	-1.0970	4.6294	0.8740	-0.4860	-0.0005	-0.0003	img_PilotCamera_Segmentation_1580465092178.jpg,img_FrontCenter_Segmentation_1580465092180.jpg
