Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580466289797	0.0005	-0.0026	0.0035	0.9999	0.0074	-0.0044	-0.0066	0.0031	-1.0970	-0.9965	0.9150	-0.4034	-0.0012	-0.0005	img_PilotCamera_Segmentation_1580466289715.jpg,img_FrontCenter_Segmentation_1580466289797.jpg
1580466289891	10.3817	0.5343	7.2548	0.9999	0.0071	-0.0042	-0.0064	10.3842	-0.8827	6.2548	0.8879	-0.4601	-0.0011	-0.0006	img_PilotCamera_Segmentation_1580466289883.jpg,img_FrontCenter_Segmentation_1580466289891.jpg
1580466289944	10.3816	0.4492	7.2547	0.9999	0.0069	-0.0041	-0.0062	10.3841	-0.8809	6.2547	0.8947	-0.4467	-0.0011	-0.0006	img_PilotCamera_Segmentation_1580466289940.jpg,img_FrontCenter_Segmentation_1580466289944.jpg
1580466289994	10.3816	0.3976	7.2546	1.0000	0.0067	-0.0040	-0.0060	10.3841	-0.8809	6.2546	0.8989	-0.4381	-0.0011	-0.0005	img_PilotCamera_Segmentation_1580466289990.jpg,img_FrontCenter_Segmentation_1580466289994.jpg
1580466290045	10.3816	0.3406	7.2545	1.0000	0.0065	-0.0039	-0.0059	10.3840	-0.8809	6.2545	0.9037	-0.4281	-0.0011	-0.0005	img_PilotCamera_Segmentation_1580466290041.jpg,img_FrontCenter_Segmentation_1580466290045.jpg
1580466290102	10.3816	0.2823	7.2544	1.0000	0.0064	-0.0038	-0.0057	10.3839	-0.8809	6.2545	0.9088	-0.4172	-0.0010	-0.0005	img_PilotCamera_Segmentation_1580466290098.jpg,img_FrontCenter_Segmentation_1580466290102.jpg
1580466290155	10.3816	0.2113	7.2544	1.0000	0.0062	-0.0037	-0.0056	10.3838	-0.8809	6.2544	0.9152	-0.4029	-0.0010	-0.0005	img_PilotCamera_Segmentation_1580466290151.jpg,img_FrontCenter_Segmentation_1580466290155.jpg
1580466290210	10.3816	0.1213	7.2543	1.0000	0.0060	-0.0036	-0.0054	10.3838	-0.8809	6.2543	0.9237	-0.3832	-0.0010	-0.0004	img_PilotCamera_Segmentation_1580466290207.jpg,img_FrontCenter_Segmentation_1580466290210.jpg
1580466290260	10.3816	0.0430	7.2542	1.0000	0.0059	-0.0035	-0.0053	10.3837	-0.8809	6.2542	0.9313	-0.3643	-0.0010	-0.0004	img_PilotCamera_Segmentation_1580466290256.jpg,img_FrontCenter_Segmentation_1580466290260.jpg
1580466290314	10.3816	-0.0452	7.2541	1.0000	0.0057	-0.0034	-0.0051	10.3836	-0.8809	6.2541	0.9400	-0.3411	-0.0010	-0.0004	img_PilotCamera_Segmentation_1580466290311.jpg,img_FrontCenter_Segmentation_1580466290314.jpg
1580466290367	10.3816	-0.1279	7.2541	1.0000	0.0056	-0.0033	-0.0050	10.3836	-0.8809	6.2541	0.9484	-0.3171	-0.0010	-0.0003	img_PilotCamera_Segmentation_1580466290364.jpg,img_FrontCenter_Segmentation_1580466290367.jpg
1580466290424	10.3816	-0.2203	7.2540	1.0000	0.0054	-0.0032	-0.0049	10.3835	-0.8809	6.2540	0.9577	-0.2878	-0.0009	-0.0003	img_PilotCamera_Segmentation_1580466290420.jpg,img_FrontCenter_Segmentation_1580466290424.jpg
1580466290476	10.3815	-0.3389	7.2539	1.0000	0.0053	-0.0031	-0.0047	10.3834	-0.8809	6.2539	0.9693	-0.2458	-0.0009	-0.0002	img_PilotCamera_Segmentation_1580466290472.jpg,img_FrontCenter_Segmentation_1580466290476.jpg
1580466290530	10.3815	-0.4312	7.2539	1.0000	0.0051	-0.0031	-0.0046	10.3834	-0.8809	6.2539	0.9778	-0.2097	-0.0009	-0.0002	img_PilotCamera_Segmentation_1580466290525.jpg,img_FrontCenter_Segmentation_1580466290530.jpg
1580466290578	10.3815	-0.5131	7.2538	1.0000	0.0050	-0.0030	-0.0045	10.3833	-0.8809	6.2538	0.9845	-0.1753	-0.0009	-0.0002	img_PilotCamera_Segmentation_1580466290575.jpg,img_FrontCenter_Segmentation_1580466290578.jpg
1580466290632	10.3813	-0.5327	7.2547	1.0000	0.0059	0.0013	-0.0008	10.3806	-0.8809	6.2547	0.9860	-0.1667	0.0004	0.0001	img_PilotCamera_Segmentation_1580466290629.jpg,img_FrontCenter_Segmentation_1580466290632.jpg
1580466290688	10.3813	-0.5306	7.2547	1.0000	0.0057	0.0012	-0.0008	10.3806	-0.8809	6.2547	0.9858	-0.1676	0.0004	0.0001	img_PilotCamera_Segmentation_1580466290684.jpg,img_FrontCenter_Segmentation_1580466290688.jpg
1580466290745	10.3814	-0.5209	7.2546	1.0000	0.0056	0.0012	-0.0008	10.3806	-0.8809	6.2546	0.9851	-0.1719	0.0004	0.0001	img_PilotCamera_Segmentation_1580466290742.jpg,img_FrontCenter_Segmentation_1580466290745.jpg
1580466290797	10.3814	-0.5094	7.2546	1.0000	0.0054	0.0012	-0.0008	10.3807	-0.8809	6.2546	0.9842	-0.1769	0.0003	0.0001	img_PilotCamera_Segmentation_1580466290793.jpg,img_FrontCenter_Segmentation_1580466290797.jpg
1580466290853	10.3814	-0.4919	7.2546	1.0000	0.0053	0.0011	-0.0007	10.3807	-0.8809	6.2546	0.9828	-0.1844	0.0003	0.0001	img_PilotCamera_Segmentation_1580466290849.jpg,img_FrontCenter_Segmentation_1580466290853.jpg
1580466290900	10.3814	-0.4709	7.2546	1.0000	0.0052	0.0011	-0.0007	10.3807	-0.8809	6.2546	0.9811	-0.1933	0.0003	0.0001	img_PilotCamera_Segmentation_1580466290897.jpg,img_FrontCenter_Segmentation_1580466290900.jpg
1580466290959	10.3814	-0.4390	7.2545	1.0000	0.0050	0.0011	-0.0007	10.3807	-0.8809	6.2545	0.9784	-0.2065	0.0003	0.0001	img_PilotCamera_Segmentation_1580466290955.jpg,img_FrontCenter_Segmentation_1580466290959.jpg
1580466291010	10.3814	-0.4084	7.2545	1.0000	0.0049	0.0010	-0.0007	10.3808	-0.8809	6.2545	0.9758	-0.2189	0.0003	0.0001	img_PilotCamera_Segmentation_1580466291007.jpg,img_FrontCenter_Segmentation_1580466291010.jpg
1580466291061	10.3814	-0.3737	7.2545	1.0000	0.0047	0.0010	-0.0007	10.3808	-0.8809	6.2545	0.9726	-0.2325	0.0003	0.0001	img_PilotCamera_Segmentation_1580466291057.jpg,img_FrontCenter_Segmentation_1580466291061.jpg
1580466291114	10.3814	-0.3348	7.2545	1.0000	0.0054	0.0010	-0.0006	10.3808	-0.8809	6.2545	0.9689	-0.2473	0.0003	0.0001	img_PilotCamera_Segmentation_1580466291110.jpg,img_FrontCenter_Segmentation_1580466291114.jpg
1580466291165	10.3814	-0.2914	7.2545	0.9997	0.0248	0.0013	-0.0006	10.3806	-0.8809	6.2545	0.9647	-0.2632	0.0004	0.0001	img_PilotCamera_Segmentation_1580466291162.jpg,img_FrontCenter_Segmentation_1580466291165.jpg
