Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1580467884250	4.2999	-5.8451	1.9466	0.49511209999999994	0.5016872	0.5026769999999999	0.5002025	1580467884302	4.3322	-5.8438	1.9332	0.4951121	0.5018286	0.5032426	0.49949550000000004	3.292442682642977	-5.956877317357023	1.5505626826429775	0.552650526190646	-0.5048331777765618	-0.4472333646685534	0.4895949101496718	0	1	img_PilotCamera_Segmentation_1580467884299.jpg,img_FrontCenter_Segmentation_1580467884302.jpg
1580467884352	4.3645	-5.8425	1.9142	0.49511209999999994	0.5018993	0.5037375	0.4989298999999999	1580467884408	4.4045	-5.841	1.8829	0.4951121	0.5021114	0.5042324	0.49822289999999997	3.256246263574974	-5.993073736425026	1.5143662635749742	0.6599800000498959	-0.4551354993874065	-0.3393378763667563	0.49206491684981535	2	3	img_PilotCamera_Segmentation_1580467884406.jpg,img_FrontCenter_Segmentation_1580467884408.jpg
1580467884460	4.4368	-5.8397	1.8517	0.49504139999999996	0.5022527999999999	0.5046565999999999	0.49772799999999995	1580467884510	4.4691	-5.8384	1.8212	0.4936274	0.5037375	0.5035961	0.4985764	5.388378889686955	-5.797221110313045	1.506988889686954	0.6989385145525012	0.4425842392550544	0.30054783734478885	0.47463158502731184	4	5	img_PilotCamera_Segmentation_1580467884507.jpg,img_FrontCenter_Segmentation_1580467884510.jpg
1580467884562	4.5015	-5.8371	1.7927	0.48068929999999993	0.5165341999999999	0.49094079999999996	0.5106660999999999	1580467884617	4.5305	-5.836	1.7703	0.4654887999999999	0.5308862999999999	0.47574029999999995	0.5243112	5.521867385623655	-5.663732614376345	1.6404773856236545	0.31312224666821786	0.6850424395643333	0.5982451104114275	0.2734485372168105	6	7	img_PilotCamera_Segmentation_1580467884614.jpg,img_FrontCenter_Segmentation_1580467884617.jpg
1580467884673	4.5646	-5.8347	1.7488	0.44837939999999993	0.5460161	0.4587723	0.5385925999999999	1580467884725	4.6115	-5.833	1.7269	0.42681589999999997	0.5637617999999999	0.4372087999999999	0.5554899	5.42041704240918	-5.76518295759082	1.5390270424091796	0.4218245213972635	0.6304351858270671	0.5415759005839583	0.36236872592131253	8	9	img_PilotCamera_Segmentation_1580467884722.jpg,img_FrontCenter_Segmentation_1580467884725.jpg
1580467886286	6.3364	-5.7817	1.9831	0.4831638	0.5151908999999999	0.5156151	0.48471919999999996	1580467886334	6.4005	-5.7799	1.9993	0.47941670000000003	0.5187965999999999	0.5193622	0.4806893	5.362307236054495	-5.844792763945505	1.4525872360544958	0.7398956459478057	-0.4160959984647917	-0.2591072834428187	0.4607406741714372	10	11	img_PilotCamera_Segmentation_1580467886331.jpg,img_FrontCenter_Segmentation_1580467886334.jpg
1580467886391	6.4539	-5.7783	2.0086	0.47644729999999996	0.5214125	0.5221195	0.47757849999999996	1580467886448	6.5357	-5.776	2.0152	0.4717811	0.5257959	0.5266443	0.4726295	5.455646964282578	-5.7514530357174225	1.5459269642825777	0.7061904247455549	-0.3935910081418045	-0.28652337551116336	0.5140871108997965	12	13	img_PilotCamera_Segmentation_1580467886445.jpg,img_FrontCenter_Segmentation_1580467886448.jpg
1580467886499	6.5997	-5.7741	2.0161	0.4669735	0.5300379	0.5308862999999999	0.4676805	1580467886554	6.6566	-5.7725	2.013	0.4628022	0.5337143000000001	0.5347041	0.4635092	7.514924328492946	-5.9606556715070536	2.1171343284929462	0.5269076171272742	0.49939105827600433	0.4730923561442388	0.4991598506341664	14	15	img_PilotCamera_Segmentation_1580467886551.jpg,img_FrontCenter_Segmentation_1580467886554.jpg
1580467888539	8.2097	-4.8306	2.0565	0.21379679999999998	0.6664888999999999	0.6852950999999999	0.2002224	1580467888593	8.2277	-4.7844	2.0665	0.20750449999999998	0.6699532	0.6852244	0.19534409999999996	8.627100897985807	-4.843689102014194	2.757220897985806	0.27395303753931755	0.20228057927580434	0.5584955721819256	0.7563828371426801	16	17	img_PilotCamera_Segmentation_1580467888590.jpg,img_FrontCenter_Segmentation_1580467888593.jpg
1580467888649	8.2476	-4.7333	2.071	0.2008587	0.673064	0.6853657999999999	0.1911021	1580467888705	8.2627	-4.6945	2.0693	0.19647529999999996	0.6751143	0.6855779	0.18799129999999997	8.678467034417729	-4.792322965582271	2.808587034417729	0.0947279647047767	0.2524091090137449	0.9015717814040379	0.33835569651733005	18	19	img_PilotCamera_Segmentation_1580467888702.jpg,img_FrontCenter_Segmentation_1580467888705.jpg
