Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580466645463	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	-1.0970	-1.0000	0.9148	-0.4039	0.0000	0.0000	img_PilotCamera_Segmentation_1580466645351.jpg,img_FrontCenter_Segmentation_1580466645463.jpg
1580466646351	5.6826	0.3100	-2.5578	1.0000	0.0000	0.0000	0.0000	5.6826	-1.0970	-3.5578	0.8886	-0.4586	0.0000	0.0000	img_PilotCamera_Segmentation_1580466646213.jpg,img_FrontCenter_Segmentation_1580466646351.jpg
1580466646449	5.6826	0.1782	-2.5578	1.0000	0.0000	0.0000	0.0000	5.6826	-1.0970	-3.5578	0.8992	-0.4376	0.0000	0.0000	img_PilotCamera_Segmentation_1580466646375.jpg,img_FrontCenter_Segmentation_1580466646449.jpg
1580466646482	5.6825	-0.1679	-2.5578	0.9983	0.0307	0.0003	0.0485	5.6814	-1.0970	-3.5578	0.9308	-0.3656	0.0005	0.0002	img_PilotCamera_Segmentation_1580466646478.jpg,img_FrontCenter_Segmentation_1580466646482.jpg
1580466646531	5.6825	-0.1684	-2.5578	0.9985	0.0297	0.0003	0.0469	5.6815	-1.0970	-3.5578	0.9308	-0.3655	0.0005	0.0002	img_PilotCamera_Segmentation_1580466646527.jpg,img_FrontCenter_Segmentation_1580466646531.jpg
1580466646582	5.6825	-0.1687	-2.5578	0.9985	0.0290	0.0002	0.0458	5.6816	-1.0970	-3.5578	0.9308	-0.3654	0.0004	0.0002	img_PilotCamera_Segmentation_1580466646578.jpg,img_FrontCenter_Segmentation_1580466646582.jpg
1580466646632	5.6825	-0.1690	-2.5578	0.9986	0.0283	0.0002	0.0446	5.6816	-1.0970	-3.5578	0.9309	-0.3654	0.0004	0.0002	img_PilotCamera_Segmentation_1580466646628.jpg,img_FrontCenter_Segmentation_1580466646632.jpg
1580466646683	5.6825	-0.1694	-2.5578	0.9987	0.0276	0.0002	0.0435	5.6816	-1.0970	-3.5578	0.9309	-0.3653	0.0004	0.0002	img_PilotCamera_Segmentation_1580466646680.jpg,img_FrontCenter_Segmentation_1580466646683.jpg
1580466646733	5.6825	-0.1697	-2.5578	0.9987	0.0269	0.0002	0.0424	5.6817	-1.0970	-3.5578	0.9309	-0.3652	0.0004	0.0002	img_PilotCamera_Segmentation_1580466646730.jpg,img_FrontCenter_Segmentation_1580466646733.jpg
1580466646788	5.6825	-0.1700	-2.5578	0.9988	0.0262	0.0002	0.0414	5.6817	-1.0970	-3.5578	0.9310	-0.3651	0.0004	0.0001	img_PilotCamera_Segmentation_1580466646784.jpg,img_FrontCenter_Segmentation_1580466646788.jpg
1580466646843	5.6825	-0.1699	-2.5578	0.9989	0.0256	0.0002	0.0404	5.6818	-1.0970	-3.5578	0.9309	-0.3651	0.0003	0.0001	img_PilotCamera_Segmentation_1580466646839.jpg,img_FrontCenter_Segmentation_1580466646843.jpg
1580466646897	5.6825	-0.1646	-2.5578	0.9989	0.0247	0.0002	0.0390	5.6818	-1.0970	-3.5578	0.9304	-0.3665	0.0003	0.0001	img_PilotCamera_Segmentation_1580466646893.jpg,img_FrontCenter_Segmentation_1580466646897.jpg
1580466646950	5.6825	-0.1547	-2.5578	0.9990	0.0241	0.0002	0.0381	5.6818	-1.0970	-3.5578	0.9295	-0.3689	0.0003	0.0001	img_PilotCamera_Segmentation_1580466646946.jpg,img_FrontCenter_Segmentation_1580466646950.jpg
1580466647002	5.6825	-0.1419	-2.5578	0.9990	0.0235	0.0002	0.0371	5.6819	-1.0970	-3.5578	0.9282	-0.3720	0.0003	0.0001	img_PilotCamera_Segmentation_1580466646998.jpg,img_FrontCenter_Segmentation_1580466647002.jpg
1580466647059	5.6825	-0.1241	-2.5578	0.9991	0.0229	0.0002	0.0362	5.6819	-1.0970	-3.5578	0.9265	-0.3763	0.0003	0.0001	img_PilotCamera_Segmentation_1580466647055.jpg,img_FrontCenter_Segmentation_1580466647059.jpg
1580466647115	5.6825	-0.0946	-2.5578	0.9991	0.0222	0.0002	0.0350	5.6819	-1.0970	-3.5578	0.9237	-0.3832	0.0003	0.0001	img_PilotCamera_Segmentation_1580466647111.jpg,img_FrontCenter_Segmentation_1580466647115.jpg
1580466647167	5.6825	-0.0669	-2.5578	0.9992	0.0216	0.0002	0.0341	5.6820	-1.0970	-3.5578	0.9210	-0.3895	0.0003	0.0001	img_PilotCamera_Segmentation_1580466647163.jpg,img_FrontCenter_Segmentation_1580466647167.jpg
1580466647220	5.6825	-0.0330	-2.5578	0.9992	0.0211	0.0002	0.0333	5.6820	-1.0970	-3.5578	0.9178	-0.3970	0.0002	0.0001	img_PilotCamera_Segmentation_1580466647216.jpg,img_FrontCenter_Segmentation_1580466647220.jpg
1580466647273	5.6823	0.0257	-2.5578	1.0000	-0.0001	0.0000	0.0031	5.6823	-1.0970	-3.5578	0.9125	-0.4092	0.0000	0.0000	img_PilotCamera_Segmentation_1580466647269.jpg,img_FrontCenter_Segmentation_1580466647273.jpg
1580466647323	5.6823	0.0433	-2.5574	0.9993	0.0369	0.0007	0.0101	5.6817	-1.0970	-3.5574	0.9109	-0.4127	0.0003	0.0001	img_PilotCamera_Segmentation_1580466647320.jpg,img_FrontCenter_Segmentation_1580466647323.jpg
1580466647373	5.6823	0.0850	-2.5574	0.9993	0.0359	0.0007	0.0098	5.6817	-1.0970	-3.5574	0.9072	-0.4208	0.0003	0.0001	img_PilotCamera_Segmentation_1580466647369.jpg,img_FrontCenter_Segmentation_1580466647373.jpg
