Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580468493159	-0.0096	-0.0017	0.0081	0.9984	0.0456	0.0339	0.0045	-0.0301	-1.0970	-0.9917	0.9149	-0.4036	0.0094	0.0041	img_PilotCamera_Segmentation_1580468493129.jpg,img_FrontCenter_Segmentation_1580468493159.jpg
1580468493954	-18.7580	-0.1290	-6.0563	0.9985	0.0441	0.0328	0.0043	-18.7778	-1.0970	-7.0561	0.9269	-0.3751	0.0092	0.0037	img_PilotCamera_Segmentation_1580468493861.jpg,img_FrontCenter_Segmentation_1580468493954.jpg
1580468493989	-18.7575	-0.1404	-6.0567	0.9986	0.0419	0.0312	0.0041	-18.7764	-1.0970	-7.0565	0.9280	-0.3724	0.0088	0.0035	img_PilotCamera_Segmentation_1580468493967.jpg,img_FrontCenter_Segmentation_1580468493989.jpg
1580468494092	-18.7573	-0.4530	-6.0569	0.9987	0.0409	0.0304	0.0040	-18.7757	-1.0970	-7.0567	0.9593	-0.2822	0.0088	0.0026	img_PilotCamera_Segmentation_1580468494026.jpg,img_FrontCenter_Segmentation_1580468494092.jpg
1580468494118	-18.7569	-0.4791	-6.0572	0.9988	0.0392	0.0292	0.0038	-18.7746	-1.0970	-7.0570	0.9619	-0.2732	0.0085	0.0024	img_PilotCamera_Segmentation_1580468494106.jpg,img_FrontCenter_Segmentation_1580468494118.jpg
1580468494156	-18.7589	-0.4730	-6.0548	0.9983	0.0550	0.0090	-0.0158	-18.7638	-1.0970	-7.0548	0.9613	-0.2753	0.0024	0.0007	img_PilotCamera_Segmentation_1580468494154.jpg,img_FrontCenter_Segmentation_1580468494156.jpg
1580468494210	-18.7588	-0.4731	-6.0549	0.9984	0.0536	0.0088	-0.0154	-18.7636	-1.0970	-7.0549	0.9614	-0.2753	0.0023	0.0007	img_PilotCamera_Segmentation_1580468494208.jpg,img_FrontCenter_Segmentation_1580468494210.jpg
1580468494260	-18.7588	-0.4733	-6.0550	0.9985	0.0523	0.0085	-0.0150	-18.7635	-1.0970	-7.0549	0.9614	-0.2752	0.0022	0.0006	img_PilotCamera_Segmentation_1580468494258.jpg,img_FrontCenter_Segmentation_1580468494260.jpg
1580468494318	-18.7587	-0.4735	-6.0550	0.9986	0.0506	0.0083	-0.0145	-18.7633	-1.0970	-7.0550	0.9614	-0.2752	0.0022	0.0006	img_PilotCamera_Segmentation_1580468494316.jpg,img_FrontCenter_Segmentation_1580468494318.jpg
1580468494373	-18.7587	-0.4736	-6.0551	0.9986	0.0493	0.0081	-0.0142	-18.7631	-1.0970	-7.0551	0.9614	-0.2751	0.0021	0.0006	img_PilotCamera_Segmentation_1580468494370.jpg,img_FrontCenter_Segmentation_1580468494373.jpg
