Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580165391059	-48,7260	1,4357	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8268	-0,5625	0,0000	0,0000	img_PilotCamera_Segmentation_1580165390993.jpg,img_FrontCenter_Segmentation_1580165391059.jpg
1580165391141	-48,7260	1,2758	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8332	-0,5530	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391136.jpg,img_FrontCenter_Segmentation_1580165391141.jpg
1580165391197	-48,7260	1,2254	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8353	-0,5498	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391192.jpg,img_FrontCenter_Segmentation_1580165391197.jpg
1580165391255	-48,7260	1,1683	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8378	-0,5460	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391249.jpg,img_FrontCenter_Segmentation_1580165391255.jpg
1580165391310	-48,7260	1,1081	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8405	-0,5418	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391305.jpg,img_FrontCenter_Segmentation_1580165391310.jpg
1580165391367	-48,7260	1,0497	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8433	-0,5375	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391361.jpg,img_FrontCenter_Segmentation_1580165391367.jpg
1580165391422	-48,7260	0,9620	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8476	-0,5306	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391414.jpg,img_FrontCenter_Segmentation_1580165391422.jpg
1580165391479	-48,7260	0,8796	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8519	-0,5237	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391471.jpg,img_FrontCenter_Segmentation_1580165391479.jpg
1580165391537	-48,7260	0,7910	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8568	-0,5157	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391530.jpg,img_FrontCenter_Segmentation_1580165391537.jpg
1580165391590	-48,7260	0,7017	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8620	-0,5070	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391583.jpg,img_FrontCenter_Segmentation_1580165391590.jpg
1580165391643	-48,7260	0,6071	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8678	-0,4969	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391639.jpg,img_FrontCenter_Segmentation_1580165391643.jpg
1580165391699	-48,7260	0,5300	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8728	-0,4880	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391694.jpg,img_FrontCenter_Segmentation_1580165391699.jpg
1580165391756	-48,7260	0,3968	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8821	-0,4710	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391751.jpg,img_FrontCenter_Segmentation_1580165391756.jpg
1580165391810	-48,7260	0,2870	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8904	-0,4552	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391806.jpg,img_FrontCenter_Segmentation_1580165391810.jpg
1580165391864	-48,7260	0,1920	21,1387	1,0000	0,0000	0,0000	0,0000	-48,7260	-1,0970	20,1387	0,8980	-0,4399	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391859.jpg,img_FrontCenter_Segmentation_1580165391864.jpg
1580165391919	-48,7263	0,0766	21,1390	1,0000	0,0034	0,0000	0,0028	-48,7263	-1,0970	20,1390	0,9079	-0,4192	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391913.jpg,img_FrontCenter_Segmentation_1580165391919.jpg
1580165391974	-48,7262	0,1468	21,1389	1,0000	0,0004	-0,0001	0,0015	-48,7261	-1,0970	20,1389	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165391966.jpg,img_FrontCenter_Segmentation_1580165391974.jpg
1580165392027	-48,7262	0,1468	21,1388	1,0000	0,0004	-0,0001	0,0015	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392022.jpg,img_FrontCenter_Segmentation_1580165392027.jpg
1580165392081	-48,7261	0,1468	21,1388	1,0000	0,0004	-0,0001	0,0015	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392075.jpg,img_FrontCenter_Segmentation_1580165392081.jpg
1580165392138	-48,7261	0,1468	21,1388	1,0000	0,0004	-0,0001	0,0014	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392131.jpg,img_FrontCenter_Segmentation_1580165392138.jpg
1580165392194	-48,7261	0,1468	21,1388	1,0000	0,0003	-0,0001	0,0014	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392188.jpg,img_FrontCenter_Segmentation_1580165392194.jpg
1580165392248	-48,7261	0,1468	21,1388	1,0000	0,0003	-0,0001	0,0013	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392243.jpg,img_FrontCenter_Segmentation_1580165392248.jpg
1580165392306	-48,7261	0,1468	21,1388	1,0000	0,0003	-0,0001	0,0013	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392297.jpg,img_FrontCenter_Segmentation_1580165392306.jpg
1580165392360	-48,7261	0,1468	21,1388	1,0000	0,0003	-0,0001	0,0013	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392355.jpg,img_FrontCenter_Segmentation_1580165392360.jpg
1580165392416	-48,7261	0,1468	21,1388	1,0000	0,0003	-0,0001	0,0012	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392410.jpg,img_FrontCenter_Segmentation_1580165392416.jpg
1580165392477	-48,7261	0,1468	21,1388	1,0000	0,0003	-0,0001	0,0012	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392471.jpg,img_FrontCenter_Segmentation_1580165392477.jpg
1580165392536	-48,7261	0,1468	21,1388	1,0000	0,0003	-0,0001	0,0012	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392528.jpg,img_FrontCenter_Segmentation_1580165392536.jpg
1580165392591	-48,7261	0,1470	21,1388	1,0000	0,0003	-0,0001	0,0011	-48,7261	-1,0970	20,1388	0,9018	-0,4321	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392587.jpg,img_FrontCenter_Segmentation_1580165392591.jpg
1580165392647	-48,7261	0,1512	21,1388	1,0000	0,0003	-0,0001	0,0011	-48,7261	-1,0970	20,1388	0,9015	-0,4329	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392642.jpg,img_FrontCenter_Segmentation_1580165392647.jpg
1580165392703	-48,7261	0,1578	21,1388	1,0000	0,0003	-0,0001	0,0011	-48,7261	-1,0970	20,1388	0,9009	-0,4340	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392695.jpg,img_FrontCenter_Segmentation_1580165392703.jpg
1580165392759	-48,7261	0,1750	21,1388	1,0000	0,0003	-0,0001	0,0010	-48,7261	-1,0970	20,1388	0,8995	-0,4370	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392756.jpg,img_FrontCenter_Segmentation_1580165392759.jpg
1580165392818	-48,7261	0,1952	21,1388	1,0000	0,0003	-0,0001	0,0010	-48,7261	-1,0970	20,1388	0,8978	-0,4405	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392809.jpg,img_FrontCenter_Segmentation_1580165392818.jpg
1580165392870	-48,7261	0,2150	21,1388	1,0000	0,0002	-0,0001	0,0010	-48,7261	-1,0970	20,1388	0,8962	-0,4437	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392864.jpg,img_FrontCenter_Segmentation_1580165392870.jpg
1580165392927	-48,7261	0,2518	21,1388	1,0000	0,0002	-0,0001	0,0010	-48,7261	-1,0970	20,1388	0,8932	-0,4497	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392921.jpg,img_FrontCenter_Segmentation_1580165392927.jpg
1580165392981	-48,7261	0,2780	21,1388	1,0000	0,0002	-0,0001	0,0009	-48,7261	-1,0970	20,1388	0,8911	-0,4538	0,0000	0,0000	img_PilotCamera_Segmentation_1580165392977.jpg,img_FrontCenter_Segmentation_1580165392981.jpg
1580165393035	-48,7261	0,3136	21,1388	1,0000	0,0002	-0,0001	0,0009	-48,7261	-1,0970	20,1388	0,8884	-0,4592	0,0000	0,0000	img_PilotCamera_Segmentation_1580165393029.jpg,img_FrontCenter_Segmentation_1580165393035.jpg
1580165393087	-48,7261	0,3584	21,1388	1,0000	0,0002	-0,0001	0,0009	-48,7261	-1,0970	20,1388	0,8850	-0,4657	0,0000	0,0000	img_PilotCamera_Segmentation_1580165393081.jpg,img_FrontCenter_Segmentation_1580165393087.jpg
1580165393141	-48,7261	0,4139	21,1388	1,0000	0,0002	-0,0001	0,0009	-48,7261	-1,0970	20,1388	0,8809	-0,4733	0,0000	0,0000	img_PilotCamera_Segmentation_1580165393137.jpg,img_FrontCenter_Segmentation_1580165393141.jpg
1580165393198	-48,7261	0,4694	21,1388	1,0000	0,0002	-0,0001	0,0008	-48,7260	-1,0970	20,1388	0,8770	-0,4806	0,0000	0,0000	img_PilotCamera_Segmentation_1580165393194.jpg,img_FrontCenter_Segmentation_1580165393198.jpg
1580165393254	-48,7261	0,5136	21,1388	1,0000	0,0002	-0,0001	0,0008	-48,7261	-1,0970	20,1388	0,8739	-0,4861	0,0000	0,0000	img_PilotCamera_Segmentation_1580165393250.jpg,img_FrontCenter_Segmentation_1580165393254.jpg
1580165393309	-48,7261	0,5870	21,1388	1,0000	0,0002	0,0010	0,0008	-48,7267	-1,0970	20,1388	0,8691	-0,4947	0,0003	0,0001	img_PilotCamera_Segmentation_1580165393305.jpg,img_FrontCenter_Segmentation_1580165393309.jpg
1580165393365	-48,7261	0,6526	21,1388	1,0000	0,0002	0,0054	0,0008	-48,7293	-1,0970	20,1388	0,8649	-0,5019	0,0014	0,0008	img_PilotCamera_Segmentation_1580165393359.jpg,img_FrontCenter_Segmentation_1580165393365.jpg
1580165393421	-48,7261	0,6942	21,1388	0,9999	0,0002	0,0101	0,0008	-48,7321	-1,0970	20,1388	0,8624	-0,5062	0,0026	0,0015	img_PilotCamera_Segmentation_1580165393414.jpg,img_FrontCenter_Segmentation_1580165393421.jpg
1580165393475	-48,7261	0,7627	21,1388	0,9998	0,0002	0,0214	0,0007	-48,7389	-1,0970	20,1389	0,8584	-0,5130	0,0055	0,0033	img_PilotCamera_Segmentation_1580165393471.jpg,img_FrontCenter_Segmentation_1580165393475.jpg
1580165393531	-48,7261	0,8201	21,1388	0,9994	0,0002	0,0346	0,0007	-48,7468	-1,0970	20,1390	0,8551	-0,5184	0,0089	0,0054	img_PilotCamera_Segmentation_1580165393526.jpg,img_FrontCenter_Segmentation_1580165393531.jpg
1580165393588	-48,7261	0,8640	21,1388	0,9989	0,0001	0,0467	0,0007	-48,7541	-1,0970	20,1392	0,8526	-0,5223	0,0119	0,0073	img_PilotCamera_Segmentation_1580165393582.jpg,img_FrontCenter_Segmentation_1580165393588.jpg
1580165393641	-48,7261	0,9238	21,1388	0,9980	0,0001	0,0630	0,0007	-48,7639	-1,0970	20,1395	0,8494	-0,5274	0,0161	0,0100	img_PilotCamera_Segmentation_1580165393636.jpg,img_FrontCenter_Segmentation_1580165393641.jpg
1580165393692	-48,7261	0,9680	21,1388	0,9972	0,0001	0,0749	0,0007	-48,7710	-1,0970	20,1398	0,8471	-0,5310	0,0190	0,0119	img_PilotCamera_Segmentation_1580165393688.jpg,img_FrontCenter_Segmentation_1580165393692.jpg
1580165393747	-48,7261	1,0128	21,1388	0,9963	0,0001	0,0857	0,0006	-48,7775	-1,0970	20,1401	0,8448	-0,5345	0,0218	0,0138	img_PilotCamera_Segmentation_1580165393742.jpg,img_FrontCenter_Segmentation_1580165393747.jpg
1580165393802	-48,7261	1,0575	21,1388	0,9955	0,0001	0,0951	0,0006	-48,7832	-1,0970	20,1404	0,8426	-0,5378	0,0241	0,0154	img_PilotCamera_Segmentation_1580165393796.jpg,img_FrontCenter_Segmentation_1580165393802.jpg
1580165393853	-48,7261	1,0990	21,1388	0,9947	0,0001	0,1028	0,0006	-48,7878	-1,0970	20,1407	0,8406	-0,5408	0,0260	0,0167	img_PilotCamera_Segmentation_1580165393847.jpg,img_FrontCenter_Segmentation_1580165393853.jpg
1580165393907	-48,7261	1,1483	21,1388	0,9938	0,0001	0,1108	0,0006	-48,7926	-1,0970	20,1410	0,8382	-0,5443	0,0279	0,0181	img_PilotCamera_Segmentation_1580165393903.jpg,img_FrontCenter_Segmentation_1580165393907.jpg
1580165393963	-48,7261	1,2159	21,1388	0,9928	0,0001	0,1202	0,0006	-48,7983	-1,0970	20,1414	0,8352	-0,5488	0,0302	0,0198	img_PilotCamera_Segmentation_1580165393957.jpg,img_FrontCenter_Segmentation_1580165393963.jpg
1580165394018	-48,7261	1,2715	21,1388	0,9918	0,0002	0,1278	0,0004	-48,8029	-1,0970	20,1417	0,8327	-0,5523	0,0320	0,0212	img_PilotCamera_Segmentation_1580165394013.jpg,img_FrontCenter_Segmentation_1580165394018.jpg
1580165394072	-48,7261	1,3162	21,1388	0,9907	0,0002	0,1360	0,0003	-48,8078	-1,0970	20,1421	0,8308	-0,5550	0,0340	0,0227	img_PilotCamera_Segmentation_1580165394065.jpg,img_FrontCenter_Segmentation_1580165394072.jpg
1580165394126	-48,7261	1,3799	21,1388	0,9884	0,0002	0,1516	0,0004	-48,8172	-1,0970	20,1429	0,8281	-0,5587	0,0378	0,0255	img_PilotCamera_Segmentation_1580165394122.jpg,img_FrontCenter_Segmentation_1580165394126.jpg
1580165394180	-48,7261	1,4303	21,1388	0,9859	0,0001	0,1673	0,0004	-48,8267	-1,0970	20,1438	0,8260	-0,5615	0,0417	0,0283	img_PilotCamera_Segmentation_1580165394175.jpg,img_FrontCenter_Segmentation_1580165394180.jpg
1580165394233	-48,7261	1,4786	21,1388	0,9827	0,0001	0,1850	0,0004	-48,8375	-1,0970	20,1450	0,8239	-0,5640	0,0460	0,0315	img_PilotCamera_Segmentation_1580165394228.jpg,img_FrontCenter_Segmentation_1580165394233.jpg
1580165394290	-48,7261	1,5210	21,1388	0,9797	0,0001	0,2006	0,0004	-48,8470	-1,0970	20,1461	0,8221	-0,5660	0,0499	0,0343	img_PilotCamera_Segmentation_1580165394280.jpg,img_FrontCenter_Segmentation_1580165394290.jpg
1580165394349	-48,7261	1,5666	21,1387	0,9760	0,0001	0,2177	0,0004	-48,8574	-1,0970	20,1474	0,8203	-0,5682	0,0541	0,0375	img_PilotCamera_Segmentation_1580165394341.jpg,img_FrontCenter_Segmentation_1580165394349.jpg
