Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580492841859	0,0006	0,0169	0,0000	1,0000	-0,0008	0,0000	-0,0067	0,0006	-1,0970	-1,0000	0,9132	-0,4074	0,0000	0,0000	img_PilotCamera_Segmentation_1580492841739.jpg,img_FrontCenter_Segmentation_1580492841859.jpg
1580492841969	-0,3989	-0,1066	-10,9468	0,9996	0,0263	0,0000	0,0131	-0,3991	-1,0970	-11,9468	0,9248	-0,3804	0,0001	0,0000	img_PilotCamera_Segmentation_1580492841956.jpg,img_FrontCenter_Segmentation_1580492841969.jpg
1580492842034	-0,3988	-0,1067	-10,9468	0,9996	0,0256	0,0000	0,0128	-0,3990	-1,0970	-11,9468	0,9248	-0,3804	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842013.jpg,img_FrontCenter_Segmentation_1580492842034.jpg
1580492842092	-0,3988	-0,1069	-10,9469	0,9996	0,0248	0,0000	0,0124	-0,3990	-1,0970	-11,9469	0,9248	-0,3804	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842071.jpg,img_FrontCenter_Segmentation_1580492842092.jpg
1580492842138	-0,3988	-0,1070	-10,9469	0,9996	0,0242	0,0000	0,0121	-0,3990	-1,0970	-11,9469	0,9248	-0,3804	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842120.jpg,img_FrontCenter_Segmentation_1580492842138.jpg
1580492842193	-0,3988	-0,1071	-10,9469	0,9997	0,0236	0,0000	0,0118	-0,3990	-1,0970	-11,9469	0,9248	-0,3803	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842172.jpg,img_FrontCenter_Segmentation_1580492842193.jpg
1580492842247	-0,3988	-0,1072	-10,9469	0,9997	0,0230	0,0000	0,0115	-0,3989	-1,0970	-11,9469	0,9249	-0,3803	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842229.jpg,img_FrontCenter_Segmentation_1580492842247.jpg
1580492842298	-0,3988	-0,1073	-10,9469	0,9997	0,0224	0,0000	0,0112	-0,3989	-1,0970	-11,9469	0,9249	-0,3803	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842280.jpg,img_FrontCenter_Segmentation_1580492842298.jpg
1580492842356	-0,3988	-0,1074	-10,9470	0,9997	0,0217	0,0000	0,0108	-0,3989	-1,0970	-11,9470	0,9249	-0,3803	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842338.jpg,img_FrontCenter_Segmentation_1580492842356.jpg
1580492842405	-0,3987	-0,1075	-10,9470	0,9997	0,0211	0,0000	0,0106	-0,3989	-1,0970	-11,9470	0,9249	-0,3803	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842388.jpg,img_FrontCenter_Segmentation_1580492842405.jpg
1580492842461	-0,3987	-0,1075	-10,9470	0,9997	0,0206	0,0000	0,0103	-0,3989	-1,0970	-11,9470	0,9249	-0,3802	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842444.jpg,img_FrontCenter_Segmentation_1580492842461.jpg
1580492842519	-0,3987	-0,1077	-10,9470	0,9998	0,0199	0,0000	0,0100	-0,3988	-1,0970	-11,9470	0,9249	-0,3802	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842503.jpg,img_FrontCenter_Segmentation_1580492842519.jpg
1580492842576	-0,3987	-0,1077	-10,9470	0,9998	0,0194	0,0000	0,0097	-0,3988	-1,0970	-11,9470	0,9249	-0,3802	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842559.jpg,img_FrontCenter_Segmentation_1580492842576.jpg
1580492842625	-0,3987	-0,1078	-10,9470	0,9998	0,0190	0,0000	0,0095	-0,3988	-1,0970	-11,9470	0,9249	-0,3802	0,0001	0,0000	img_PilotCamera_Segmentation_1580492842609.jpg,img_FrontCenter_Segmentation_1580492842625.jpg
