Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580493013710	-8,6912	1,5361	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-1,0970	0,4785	0,8231	-0,5679	0,0000	0,0000	img_PilotCamera_Segmentation_1580493013584.jpg,img_FrontCenter_Segmentation_1580493013710.jpg
1580493013785	-8,6912	1,3478	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-1,0965	0,4785	0,8303	-0,5574	0,0000	0,0000	img_PilotCamera_Segmentation_1580493013763.jpg,img_FrontCenter_Segmentation_1580493013785.jpg
1580493013842	-8,6912	1,3025	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-1,0965	0,4785	0,8321	-0,5546	0,0000	0,0000	img_PilotCamera_Segmentation_1580493013822.jpg,img_FrontCenter_Segmentation_1580493013842.jpg
1580493013895	-8,6912	1,2292	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-1,0971	0,4785	0,8351	-0,5500	0,0000	0,0000	img_PilotCamera_Segmentation_1580493013877.jpg,img_FrontCenter_Segmentation_1580493013895.jpg
1580493013946	-8,6912	1,1688	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,8045	0,4785	0,8521	-0,5234	0,0000	0,0000	img_PilotCamera_Segmentation_1580493013930.jpg,img_FrontCenter_Segmentation_1580493013946.jpg
1580493014007	-8,6912	1,1033	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6926	0,4785	0,8621	-0,5067	0,0000	0,0000	img_PilotCamera_Segmentation_1580493013984.jpg,img_FrontCenter_Segmentation_1580493014007.jpg
1580493014057	-8,6912	1,0154	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6553	0,4785	0,8699	-0,4932	0,0000	0,0000	img_PilotCamera_Segmentation_1580493014042.jpg,img_FrontCenter_Segmentation_1580493014057.jpg
1580493014116	-8,6912	0,9434	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6551	0,4785	0,8747	-0,4846	0,0000	0,0000	img_PilotCamera_Segmentation_1580493014097.jpg,img_FrontCenter_Segmentation_1580493014116.jpg
1580493014166	-8,6912	0,8573	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6551	0,4785	0,8808	-0,4735	0,0000	0,0000	img_PilotCamera_Segmentation_1580493014147.jpg,img_FrontCenter_Segmentation_1580493014166.jpg
1580493014222	-8,6912	0,7659	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6550	0,4785	0,8876	-0,4607	0,0000	0,0000	img_PilotCamera_Segmentation_1580493014200.jpg,img_FrontCenter_Segmentation_1580493014222.jpg
1580493014272	-8,6912	0,6803	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6550	0,4785	0,8943	-0,4475	0,0000	0,0000	img_PilotCamera_Segmentation_1580493014254.jpg,img_FrontCenter_Segmentation_1580493014272.jpg
1580493014330	-8,6912	0,5561	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6550	0,4785	0,9046	-0,4262	0,0000	0,0000	img_PilotCamera_Segmentation_1580493014310.jpg,img_FrontCenter_Segmentation_1580493014330.jpg
1580493014387	-8,6912	0,4611	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6549	0,4785	0,9131	-0,4078	0,0000	0,0000	img_PilotCamera_Segmentation_1580493014366.jpg,img_FrontCenter_Segmentation_1580493014387.jpg
1580493014437	-8,6912	0,3498	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6549	0,4785	0,9234	-0,3838	0,0000	0,0000	img_PilotCamera_Segmentation_1580493014417.jpg,img_FrontCenter_Segmentation_1580493014437.jpg
1580493014496	-8,6912	0,2141	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6549	0,4785	0,9367	-0,3501	0,0000	0,0000	img_PilotCamera_Segmentation_1580493014474.jpg,img_FrontCenter_Segmentation_1580493014496.jpg
1580493014543	-8,6912	0,1066	1,4785	1,0000	0,0000	0,0000	0,0000	-8,6912	-0,6548	0,4785	0,9475	-0,3197	0,0000	0,0000	img_PilotCamera_Segmentation_1580493014522.jpg,img_FrontCenter_Segmentation_1580493014543.jpg
1580493014593	-8,6908	0,0872	1,4784	1,0000	-0,0006	-0,0003	-0,0073	-8,6907	-0,6548	0,4784	0,9495	-0,3138	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493014582.jpg,img_FrontCenter_Segmentation_1580493014593.jpg
1580493014653	-8,6908	0,0871	1,4784	1,0000	-0,0006	-0,0003	-0,0071	-8,6907	-0,6548	0,4784	0,9495	-0,3138	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493014639.jpg,img_FrontCenter_Segmentation_1580493014653.jpg
1580493014705	-8,6908	0,0871	1,4784	1,0000	-0,0006	-0,0002	-0,0069	-8,6907	-0,6555	0,4784	0,9494	-0,3140	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493014690.jpg,img_FrontCenter_Segmentation_1580493014705.jpg
1580493014764	-8,6909	0,0871	1,4784	1,0000	-0,0005	-0,0002	-0,0067	-8,6907	-0,6570	0,4784	0,9493	-0,3144	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493014745.jpg,img_FrontCenter_Segmentation_1580493014764.jpg
1580493014813	-8,6909	0,0871	1,4784	1,0000	-0,0005	-0,0002	-0,0065	-8,6907	-0,6581	0,4784	0,9492	-0,3147	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493014795.jpg,img_FrontCenter_Segmentation_1580493014813.jpg
1580493014861	-8,6909	0,0870	1,4784	1,0000	-0,0005	-0,0002	-0,0064	-8,6907	-0,6591	0,4784	0,9491	-0,3150	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493014846.jpg,img_FrontCenter_Segmentation_1580493014861.jpg
1580493014919	-8,6909	0,0870	1,4784	1,0000	-0,0005	-0,0002	-0,0062	-8,6907	-0,6600	0,4784	0,9490	-0,3153	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493014898.jpg,img_FrontCenter_Segmentation_1580493014919.jpg
1580493014969	-8,6909	0,0870	1,4784	1,0000	-0,0005	-0,0002	-0,0061	-8,6908	-0,6610	0,4784	0,9489	-0,3156	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493014949.jpg,img_FrontCenter_Segmentation_1580493014969.jpg
1580493015025	-8,6909	0,0870	1,4784	1,0000	-0,0005	-0,0002	-0,0059	-8,6908	-0,6619	0,4784	0,9488	-0,3159	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493015004.jpg,img_FrontCenter_Segmentation_1580493015025.jpg
1580493015073	-8,6909	0,0869	1,4784	1,0000	-0,0005	-0,0002	-0,0058	-8,6908	-0,6627	0,4784	0,9487	-0,3161	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493015055.jpg,img_FrontCenter_Segmentation_1580493015073.jpg
1580493015129	-8,6909	0,0869	1,4784	1,0000	-0,0005	-0,0002	-0,0056	-8,6908	-0,6638	0,4784	0,9486	-0,3164	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493015110.jpg,img_FrontCenter_Segmentation_1580493015129.jpg
