Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580494007901	-5,8318	1,7667	4,0449	1,0000	0,0000	0,0000	0,0000	-5,8318	-1,0970	3,0449	0,8154	-0,5789	0,0000	0,0000	img_PilotCamera_Segmentation_1580494007773.jpg,img_FrontCenter_Segmentation_1580494007901.jpg
1580494008002	-5,8318	1,5592	4,0449	1,0000	0,0000	0,0000	0,0005	-5,8318	-1,0660	3,0449	0,8234	-0,5675	0,0000	0,0000	img_PilotCamera_Segmentation_1580494007986.jpg,img_FrontCenter_Segmentation_1580494008002.jpg
1580494008054	-5,8318	1,4831	4,0449	1,0000	0,0000	0,0000	0,0005	-5,8318	-1,0553	3,0449	0,8266	-0,5628	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008045.jpg,img_FrontCenter_Segmentation_1580494008054.jpg
1580494008106	-5,8318	1,4285	4,0449	1,0000	0,0000	0,0000	0,0005	-5,8318	-1,0537	3,0449	0,8288	-0,5596	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008095.jpg,img_FrontCenter_Segmentation_1580494008106.jpg
1580494008162	-5,8318	1,3537	4,0449	1,0000	0,0000	0,0000	0,0005	-5,8318	-1,0535	3,0449	0,8318	-0,5551	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008152.jpg,img_FrontCenter_Segmentation_1580494008162.jpg
1580494008217	-5,8318	1,2804	4,0449	1,0000	0,0000	0,0000	0,0005	-5,8318	-1,0535	3,0449	0,8348	-0,5505	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008210.jpg,img_FrontCenter_Segmentation_1580494008217.jpg
1580494008275	-5,8318	1,2061	4,0449	1,0000	0,0000	0,0000	0,0005	-5,8318	-1,0535	3,0449	0,8381	-0,5456	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008265.jpg,img_FrontCenter_Segmentation_1580494008275.jpg
1580494008327	-5,8318	1,1124	4,0449	1,0000	0,0000	0,0000	0,0005	-5,8318	-1,0535	3,0449	0,8424	-0,5389	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008318.jpg,img_FrontCenter_Segmentation_1580494008327.jpg
1580494008379	-5,8318	1,0224	4,0449	1,0000	0,0000	0,0000	0,0004	-5,8318	-1,0535	3,0449	0,8468	-0,5320	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008369.jpg,img_FrontCenter_Segmentation_1580494008379.jpg
1580494008433	-5,8318	0,9218	4,0449	1,0000	0,0000	0,0000	0,0004	-5,8318	-1,0534	3,0449	0,8520	-0,5236	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008426.jpg,img_FrontCenter_Segmentation_1580494008433.jpg
1580494008484	-5,8318	0,8327	4,0449	1,0000	0,0000	0,0000	0,0004	-5,8318	-1,0534	3,0449	0,8569	-0,5155	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008477.jpg,img_FrontCenter_Segmentation_1580494008484.jpg
1580494008533	-5,8318	0,7515	4,0449	1,0000	0,0000	0,0000	0,0004	-5,8318	-1,0534	3,0449	0,8616	-0,5076	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008526.jpg,img_FrontCenter_Segmentation_1580494008533.jpg
1580494008589	-5,8318	0,6305	4,0449	1,0000	0,0000	0,0000	0,0004	-5,8318	-1,0534	3,0449	0,8691	-0,4947	0,0000	0,0000	img_PilotCamera_Segmentation_1580494008580.jpg,img_FrontCenter_Segmentation_1580494008589.jpg
