Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581584507117	0.0005	0.0304	-0.0006	0.9998	-0.0151	-0.0002	-0.0105	0.0006	-1.0970	-1.0006	0.9120	-0.4101	0.0000	0.0000	img_PilotCamera_Segmentation_1581584507020.jpg,img_FrontCenter_Segmentation_1581584507117.jpg
1581584507216	-3.4549	4.5582	-1.3087	0.9985	0.0399	0.0005	0.0377	-3.4561	-1.0970	-2.3087	0.7662	-0.6426	0.0005	0.0004	img_PilotCamera_Segmentation_1581584507208.jpg,img_FrontCenter_Segmentation_1581584507216.jpg
1581584507263	-3.4548	4.5580	-1.3088	0.9986	0.0389	0.0005	0.0368	-3.4560	-1.0970	-2.3088	0.7662	-0.6426	0.0004	0.0004	img_PilotCamera_Segmentation_1581584507259.jpg,img_FrontCenter_Segmentation_1581584507263.jpg
1581584507314	-3.4548	4.5579	-1.3088	0.9986	0.0379	0.0005	0.0359	-3.4559	-1.0970	-2.3088	0.7662	-0.6426	0.0004	0.0004	img_PilotCamera_Segmentation_1581584507310.jpg,img_FrontCenter_Segmentation_1581584507314.jpg
1581584507371	-3.4548	4.5578	-1.3088	0.9987	0.0370	0.0005	0.0350	-3.4559	-1.0970	-2.3088	0.7662	-0.6426	0.0004	0.0003	img_PilotCamera_Segmentation_1581584507367.jpg,img_FrontCenter_Segmentation_1581584507371.jpg
1581584507424	-3.4548	4.5576	-1.3088	0.9988	0.0357	0.0005	0.0338	-3.4558	-1.0970	-2.3088	0.7662	-0.6426	0.0004	0.0003	img_PilotCamera_Segmentation_1581584507421.jpg,img_FrontCenter_Segmentation_1581584507424.jpg
1581584507477	-3.4548	4.5575	-1.3088	0.9988	0.0349	0.0004	0.0330	-3.4557	-1.0970	-2.3088	0.7662	-0.6426	0.0004	0.0003	img_PilotCamera_Segmentation_1581584507474.jpg,img_FrontCenter_Segmentation_1581584507477.jpg
1581584507529	-3.4547	4.5573	-1.3088	0.9989	0.0340	0.0004	0.0322	-3.4557	-1.0970	-2.3088	0.7662	-0.6426	0.0004	0.0003	img_PilotCamera_Segmentation_1581584507526.jpg,img_FrontCenter_Segmentation_1581584507529.jpg
1581584507587	-3.4547	4.5572	-1.3088	0.9990	0.0331	0.0004	0.0314	-3.4556	-1.0970	-2.3088	0.7662	-0.6426	0.0003	0.0003	img_PilotCamera_Segmentation_1581584507582.jpg,img_FrontCenter_Segmentation_1581584507587.jpg
1581584507639	-3.4547	4.5571	-1.3088	0.9990	0.0321	0.0004	0.0304	-3.4555	-1.0970	-2.3088	0.7662	-0.6426	0.0003	0.0003	img_PilotCamera_Segmentation_1581584507635.jpg,img_FrontCenter_Segmentation_1581584507639.jpg
