Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1581584512581	3.602	0.6243	4.9688	0.6635901999999999	-0.08271899999999999	0.0342188	0.7424913999999999	1581584512635	3.5858	0.5751	4.974	0.6681857	-0.0916979	0.003040099999999997	0.7381787	3.3597607727928334	1.2051607727928335	4.462460772792833	-0.5842456257740402	0.727706793622522	0.2801787262859796	-0.22494388770601062	0	1	img_PilotCamera_Segmentation_1581584512632.jpg,img_FrontCenter_Segmentation_1581584512635.jpg
1581584512687	3.571	0.5312	4.9753	0.670943	-0.10209080000000001	-0.023896599999999997	0.733866	1581584512743	3.5549	0.4843	4.973	0.6728519	-0.115241	-0.051893800000000004	0.7287048999999999	3.5305292456885256	1.3869292456885252	4.647409245688525	0.31475741169229254	0.8390391329726922	0.41550543008842705	0.15587284141964172	2	3	img_PilotCamera_Segmentation_1581584512740.jpg,img_FrontCenter_Segmentation_1581584512743.jpg
1581584512794	3.5386	0.4373	4.9667	0.6734882	-0.1305122	-0.07918399999999999	0.7231196	1581584512850	3.5179	0.379	4.9561	0.6754678000000001	-0.17095259999999995	-0.09360679999999998	0.7109592	3.4052013413214888	1.2616013413214886	4.522081341321488	-0.24766124561726996	0.7414554987950971	0.5915002200293439	-0.19757312679373615	4	5	img_PilotCamera_Segmentation_1581584512847.jpg,img_FrontCenter_Segmentation_1581584512850.jpg
1581584512905	3.5001	0.3315	4.9491	0.6770938999999999	-0.2150694	-0.09487939999999997	0.6971727	1581584512958	3.4798	0.2814	4.9436	0.6770231999999999	-0.2592569	-0.09678830000000001	0.6816893999999999	3.3871031317874873	1.243503131787487	4.5039831317874865	0.024207238243288232	0.8501526002840103	0.5257665307234027	0.014970671930329575	6	7	img_PilotCamera_Segmentation_1581584512955.jpg,img_FrontCenter_Segmentation_1581584512958.jpg
1581584513015	3.4603	0.2372	4.9386	0.6760334	-0.29474829999999996	-0.0993335	0.6678322	1581584513070	3.4311	0.1773	4.9316	0.6731347	-0.33723899999999996	-0.10491879999999998	0.6495209000000001	3.3781594448434773	1.2345594448434771	4.495039444843477	-0.22392199983957545	0.8243184981285865	0.5017757774112016	-0.136304881916464	8	9	img_PilotCamera_Segmentation_1581584513066.jpg,img_FrontCenter_Segmentation_1581584513070.jpg
1581584513118	3.4062	0.1321	4.9263	0.6703773999999999	-0.3657311	-0.11064549999999998	0.6358757999999999	1581584513172	3.3808	0.0906	4.9214	0.6673373	-0.3886379	-0.1177155	0.6240688999999999	3.4449036928118275	1.3013036928118271	4.561783692811827	-0.0852648150879473	0.7704962106618575	0.6278834425647383	-0.0694829706963495	10	11	img_PilotCamera_Segmentation_1581584513169.jpg,img_FrontCenter_Segmentation_1581584513172.jpg
1581584513227	3.3518	0.0477	4.9157	0.6598430999999999	-0.4005154999999999	-0.13638029999999998	0.6208166999999999	1581584513284	3.311	-0.0059	4.9082	0.6227963000000001	-0.4034849	-0.16508450000000002	0.6493795	3.39417852120459	1.25057852120459	4.51105852120459	0.11001606065905603	0.7761677513107399	0.6147099683018431	0.08713060938980836	12	13	img_PilotCamera_Segmentation_1581584513281.jpg,img_FrontCenter_Segmentation_1581584513284.jpg
1581584513338	3.2746	-0.0486	4.903	0.5849717999999999	-0.40878739999999997	-0.18367859999999997	0.6757506	1581584513390	3.2374	-0.0887	4.8993	0.5520255999999999	-0.41578669999999995	-0.20085869999999995	0.6939911999999999	3.3679807773741275	1.2243807773741273	4.484860777374127	0.12620160629268132	0.750354597780585	0.6398894578407162	0.10762255294778023	14	15	img_PilotCamera_Segmentation_1581584513386.jpg,img_FrontCenter_Segmentation_1581584513390.jpg
1581584513444	3.2023	-0.1244	4.8969	0.5258666000000001	-0.4231395	-0.21655409999999997	0.7051618	1581584513499	3.1569	-0.1678	4.8953	0.4974451999999999	-0.43339099999999997	-0.23571379999999997	0.7133629999999999	3.367968328868014	1.2243683288680138	4.484848328868013	-0.06031741616500935	0.779441348381665	0.6217059803138645	-0.048110994399676345	16	17	img_PilotCamera_Segmentation_1581584513495.jpg,img_FrontCenter_Segmentation_1581584513499.jpg
1581584513875	2.7699	-0.5011	4.8603	0.5076967	-0.45757040000000004	-0.411474	0.6027174999999999	1581584513929	2.7173	-0.5446	4.8492	0.5088986	-0.46117610000000003	-0.4237051	0.5903449999999999	1.4496325203716838	-0.9270084796283161	4.569482520371684	0.5715630954494181	-0.45102594394510764	-0.42463686570567016	0.5381215086691563	18	19	img_PilotCamera_Segmentation_1581584513926.jpg,img_FrontCenter_Segmentation_1581584513929.jpg
