Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581584676727	-0.0003	0.0346	-0.0002	1.0000	0.0005	0.0000	0.0047	-0.0003	-1.0970	-1.0002	0.9116	-0.4110	0.0000	0.0000	img_PilotCamera_Segmentation_1581584676593.jpg,img_FrontCenter_Segmentation_1581584676727.jpg
1581584676840	-3.3504	1.4500	1.5975	0.9998	-0.0044	-0.0004	-0.0192	-3.3503	-1.0970	0.5975	0.8263	-0.5633	-0.0001	0.0000	img_PilotCamera_Segmentation_1581584676834.jpg,img_FrontCenter_Segmentation_1581584676840.jpg
1581584676890	-3.3504	1.4499	1.5975	0.9998	-0.0043	-0.0003	-0.0185	-3.3503	-1.0970	0.5975	0.8263	-0.5633	-0.0001	0.0000	img_PilotCamera_Segmentation_1581584676885.jpg,img_FrontCenter_Segmentation_1581584676890.jpg
1581584676945	-3.3504	1.4498	1.5975	0.9998	-0.0042	-0.0003	-0.0181	-3.3503	-1.0970	0.5975	0.8263	-0.5633	-0.0001	0.0000	img_PilotCamera_Segmentation_1581584676940.jpg,img_FrontCenter_Segmentation_1581584676945.jpg
1581584676998	-3.3504	1.4497	1.5975	0.9998	-0.0041	-0.0003	-0.0176	-3.3503	-1.0970	0.5975	0.8263	-0.5633	-0.0001	0.0000	img_PilotCamera_Segmentation_1581584676993.jpg,img_FrontCenter_Segmentation_1581584676998.jpg
1581584677052	-3.3504	1.4496	1.5975	0.9998	-0.0040	-0.0003	-0.0172	-3.3503	-1.0970	0.5975	0.8263	-0.5632	-0.0001	0.0000	img_PilotCamera_Segmentation_1581584677048.jpg,img_FrontCenter_Segmentation_1581584677052.jpg
1581584677105	-3.3504	1.4495	1.5975	0.9999	-0.0039	-0.0003	-0.0168	-3.3503	-1.0970	0.5975	0.8263	-0.5632	-0.0001	0.0000	img_PilotCamera_Segmentation_1581584677101.jpg,img_FrontCenter_Segmentation_1581584677105.jpg
1581584677159	-3.3504	1.4494	1.5975	0.9999	-0.0038	-0.0003	-0.0162	-3.3503	-1.0970	0.5975	0.8263	-0.5632	-0.0001	0.0000	img_PilotCamera_Segmentation_1581584677154.jpg,img_FrontCenter_Segmentation_1581584677159.jpg
1581584677211	-3.3504	1.4494	1.5975	0.9999	-0.0037	-0.0003	-0.0158	-3.3503	-1.0970	0.5975	0.8263	-0.5632	-0.0001	0.0000	img_PilotCamera_Segmentation_1581584677207.jpg,img_FrontCenter_Segmentation_1581584677211.jpg
1581584677264	-3.3504	1.4493	1.5975	0.9999	-0.0036	-0.0003	-0.0154	-3.3503	-1.0970	0.5975	0.8263	-0.5632	-0.0001	0.0000	img_PilotCamera_Segmentation_1581584677259.jpg,img_FrontCenter_Segmentation_1581584677264.jpg
