Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1580495128706	-6.1429	-0.0389	0.664	0.707	0.0	0.0	0.707	1580495128757	-6.1429	-0.0389	0.5482	0.707	0.0	0.0	0.707	-6.152376994742937	-0.04837769474293769	1.4670230052570623	-0.034437850009409646	0.1728665676500955	0.9653729511439331	-0.19231809450818088	0	1	img_PilotCamera_Segmentation_1580495128742.jpg,img_FrontCenter_Segmentation_1580495128757.jpg
1580495128807	-6.1429	-0.0389	0.4554	0.707	0.0	0.0	0.707	1580495128862	-6.1429	-0.0389	0.3527	0.707	0.0	0.0	0.707	-6.317788464122049	-0.21378916412204985	1.3016115358779503	0.1980556882309435	0.1154696740099081	0.49025176575785934	0.8408887589418198	2	3	img_PilotCamera_Segmentation_1580495128848.jpg,img_FrontCenter_Segmentation_1580495128862.jpg
1580495128917	-6.1429	-0.0389	0.2393	0.707	0.0	0.0	0.707	1580495128969	-6.1429	-0.0389	0.128	0.707	0.0	0.0	0.707	-6.219161133123582	-0.12199533312358246	1.4064288668764175	0.1604778877793867	-0.06576406690049023	-0.37344969281832935	0.9112942784701711	4	5	img_PilotCamera_Segmentation_1580495128955.jpg,img_FrontCenter_Segmentation_1580495128969.jpg
1580495129130	-6.1429	-0.0389	0.0957	0.707	0.0	0.0	0.707	1580495129186	-6.1429	-0.0389	0.1009	0.707	0.0	0.0	0.707	-6.2066948236392685	-0.10952902363926903	1.418895176360731	0.06603750988081822	0.010532975385838576	0.15715636333548286	0.985307049188946	6	7	img_PilotCamera_Segmentation_1580495129171.jpg,img_FrontCenter_Segmentation_1580495129186.jpg
1580495129240	-6.1429	-0.0389	0.1142	0.707	0.0	0.0	0.707	1580495129294	-6.1429	-0.0389	0.1305	0.707	0.0	0.0	0.707	-6.224880514750516	-0.1277147147505156	1.4007094852494846	0.1163619694644174	0.09919978105635616	0.6411277389198751	0.7520468854321662	8	9	img_PilotCamera_Segmentation_1580495129282.jpg,img_FrontCenter_Segmentation_1580495129294.jpg
1580495129349	-6.1429	-0.0389	0.149	0.707	0.0	0.0	0.707	1580495129401	-6.1429	-0.0389	0.1714	0.707	0.0	0.0	0.707	-6.203330858785197	-0.10616505878519727	1.422259141214803	0.10542139394310635	-0.06112507204249886	-0.4978610587443054	0.8586526780095028	10	11	img_PilotCamera_Segmentation_1580495129387.jpg,img_FrontCenter_Segmentation_1580495129401.jpg
1580495129452	-6.1429	-0.0389	0.1993	0.707	0.0	0.0	0.707	1580495129507	-6.1429	-0.0389	0.2314	0.707	0.0	0.0	0.707	-6.278397171887976	-0.18123137188797622	1.3471928281120238	-0.03449903235054698	0.11374500144595849	0.9501683295872368	-0.2881875029600255	12	13	img_PilotCamera_Segmentation_1580495129491.jpg,img_FrontCenter_Segmentation_1580495129507.jpg
1580495129557	-6.1429	-0.0389	0.2769	0.707	0.0	0.0	0.707	1580495129611	-6.1429	-0.0389	0.3184	0.707	7.07e-05	7.07e-05	0.707	-6.180149847834454	-0.08298404783445468	1.4454401521655453	0.09607222141872983	0.19591722873856135	0.8762227307158899	0.4296746372918259	14	15	img_PilotCamera_Segmentation_1580495129596.jpg,img_FrontCenter_Segmentation_1580495129611.jpg
1580495129661	-6.1429	-0.0389	0.3591	0.7070706999999999	0.0012018999999999999	0.0010605	0.7069293	1580495129714	-6.1429	-0.0389	0.4019	0.7070706999999999	0.0037470999999999997	0.0036057	0.7069293	-6.25688693553874	-0.1597211355387403	1.3687030644612599	-0.057705568279004506	0.10118933701900781	0.8627613966750725	-0.4920097131871777	16	17	img_PilotCamera_Segmentation_1580495129697.jpg,img_FrontCenter_Segmentation_1580495129714.jpg
1580495129768	-6.1429	-0.0389	0.4494	0.707	0.008413299999999999	0.008271899999999999	0.7068586	1580495129822	-6.1429	-0.0389	0.4867	0.7069293	0.0132916	0.0131502	0.7067879	-6.247827923055961	-0.143828623055961	1.3715720769440392	0.2553753050542985	-0.03894721124097293	-0.1456489946282069	0.9550146274632486	18	19	img_PilotCamera_Segmentation_1580495129806.jpg,img_FrontCenter_Segmentation_1580495129822.jpg
1580495129871	-6.1429	-0.0389	0.5291	0.7067879	0.020078799999999997	0.019937399999999997	0.7066465000000001	1580495129925	-6.1429	-0.0389	0.5841	0.7063636999999999	0.0307545	0.0306131	0.7063636999999999	-5.985497006287495	0.11850229371250515	1.6339029937125051	0.09630096925099513	-0.054563450224554326	-0.48993505485456695	0.8647037615539578	20	21	img_PilotCamera_Segmentation_1580495129910.jpg,img_FrontCenter_Segmentation_1580495129925.jpg
1580495133797	-5.3665	0.0042	1.8595	0.47100339999999996	0.5331487	0.5033133	0.4900924	1580495133853	-5.3241	0.0168	1.8622	0.47213459999999996	0.5309569999999999	0.5073432	0.48726439999999993	-6.204287317357023	-0.09976731735702263	1.4822926826429774	0.5544225745978401	-0.5035426979332116	-0.44549245332275456	0.4905067116430906	22	23	img_PilotCamera_Segmentation_1580495133838.jpg,img_FrontCenter_Segmentation_1580495133853.jpg
1580495133904	-5.2927	0.0261	1.8575	0.47277089999999994	0.5296844	0.509747	0.48549689999999995	1580495133953	-5.2614	0.0354	1.8472	0.4731950999999999	0.5286238999999999	0.5119387	0.48394149999999997	-6.240483736425026	-0.135963736425026	1.4460962635749741	0.6908439759374728	-0.4380773076592537	-0.30801933452645686	0.485743721506313	24	25	img_PilotCamera_Segmentation_1580495133939.jpg,img_FrontCenter_Segmentation_1580495133953.jpg
1580495134006	-5.2318	0.0442	1.833	0.4735486	0.5277755000000001	0.5136355	0.48273959999999994	1580495134060	-5.2002	0.0535	1.8194	0.4739021	0.5270684999999999	0.5151908999999999	0.48153769999999996	-6.258371110313046	-0.1538511103130459	1.428208889686954	0.653992694082163	-0.436162206863774	-0.34295493964037754	0.5142353495892146	26	27	img_PilotCamera_Segmentation_1580495134046.jpg,img_FrontCenter_Segmentation_1580495134060.jpg
1580495134111	-5.1722	0.0618	1.8108	0.47404349999999995	0.5265736000000001	0.5163928	0.4806893	1580495134166	-5.1289	0.0746	1.804	0.47425559999999994	0.5260079999999999	0.5179481999999999	0.47948739999999995	-6.124882614376346	-0.020362614376345595	1.5616973856236545	-0.4755893008661932	0.5915756420063909	0.5074010132925353	-0.40791823739082855	28	29	img_PilotCamera_Segmentation_1580495134152.jpg,img_FrontCenter_Segmentation_1580495134166.jpg
1580495134217	-5.0968	0.0841	1.804	0.4743263	0.5256545	0.5188673	0.4787097	1580495134269	-5.0683	0.0926	1.8071	0.4743263	0.5254424	0.5196449999999999	0.47814409999999996	-6.226332957590821	-0.12181295759082031	1.4602470424091796	-0.48069285883536733	0.6945859612897082	0.44012404084473167	-0.3045907853406579	30	31	img_PilotCamera_Segmentation_1580495134255.jpg,img_FrontCenter_Segmentation_1580495134269.jpg
1580495134322	-5.0342	0.1027	1.8095	0.474397	0.5251595999999998	0.5203519999999999	0.4775078	1580495134376	-5.0019	0.1122	1.8085	0.4751747	0.5242405	0.5201399000000001	0.4781441	-4.063908445251745	0.043907554748254696	1.4068015547482546	0.5088762003769772	0.5694440336349913	0.4813787806970326	0.4301778408310215	32	33	img_PilotCamera_Segmentation_1580495134361.jpg,img_FrontCenter_Segmentation_1580495134376.jpg
1580495134428	-4.9715	0.1212	1.8066	0.47722499999999995	0.5222609	0.5187259	0.4796287999999999	1580495134481	-4.9391	0.1308	1.8036	0.4806186	0.5190794	0.51611	0.4825982	-4.063933342263972	0.043882657736027564	1.4067766577360277	0.5716649150715828	0.6681870586431826	0.36181046706616266	0.3095455789691353	34	35	img_PilotCamera_Segmentation_1580495134466.jpg,img_FrontCenter_Segmentation_1580495134481.jpg
1580495134533	-4.8972	0.1432	1.7982	0.48676949999999997	0.5132112999999999	0.5108075	0.48832489999999995	1580495134584	-4.8649	0.1527	1.7924	0.4924255	0.5076967	0.5057170999999999	0.4936981	-3.8031241040992585	0.3046918959007415	1.6675858959007415	0.42080956146792337	0.563131721620802	0.5697046334611247	0.4257212793536297	36	37	img_PilotCamera_Segmentation_1580495134571.jpg,img_FrontCenter_Segmentation_1580495134584.jpg
1580495134636	-4.8325	0.1623	1.7829	0.4975866	0.5026063	0.5009095	0.49857640000000003	1580495134687	-4.8001	0.1719	1.7691	0.5021821	0.4979401	0.49652609999999997	0.5030304999999999	-4.1137547029996755	-0.005938702999675416	1.3569552970003245	0.5597501164530003	0.6629620220111831	0.37986366987468406	0.32072536041141697	38	39	img_PilotCamera_Segmentation_1580495134673.jpg,img_FrontCenter_Segmentation_1580495134687.jpg
1580495134950	-4.642	0.2186	1.6536	0.5187259	0.48054790000000003	0.4799823	0.5190086999999999	1580495135001	-4.6096	0.2282	1.6333	0.5212004	0.4778613	0.47729569999999993	0.5214831999999999	-3.7410701962168895	0.36674580378311056	1.7296398037831104	0.341794040225446	0.6001751614718194	0.6284064137595259	0.35787146961518623	40	41	img_PilotCamera_Segmentation_1580495134986.jpg,img_FrontCenter_Segmentation_1580495135001.jpg
1580495136543	-3.5866	0.512	2.1012	0.5460161	0.43890559999999995	0.3928091999999999	0.5955061	1580495136594	-3.5455	0.5198	2.1246	0.5513186	0.43155279999999996	0.39507159999999997	0.5944455999999999	-4.057397441288551	0.04036555871144848	1.3910725587114485	0.8524113118548956	-0.4294959635078635	-0.13418453400994504	0.26631313070294077	42	43	img_PilotCamera_Segmentation_1580495136579.jpg,img_FrontCenter_Segmentation_1580495136594.jpg
1580495136645	-3.5036	0.5274	2.1506	0.5510358	0.4177663	0.4034849	0.5988290000000001	1580495136698	-3.4612	0.5347	2.1793	0.5475714999999999	0.40115179999999995	0.41472619999999993	0.6058283	-3.963544475184723	0.1342185248152769	1.484925524815277	0.9190208343072978	-0.3043903499835025	-0.07875892132993276	0.23779035568539073	44	45	img_PilotCamera_Segmentation_1580495136681.jpg,img_FrontCenter_Segmentation_1580495136698.jpg
1580495137066	-3.158	0.5811	2.2685	0.5737304999999999	0.39189009999999996	0.4023537	0.5959303	1580495137117	-3.1154	0.5874	2.2601	0.576205	0.3917487	0.40051549999999997	0.5948698	-4.086829138681538	-0.00881013868153846	1.3546908613184616	0.7073472662010895	-0.4829329596232855	-0.29104748531356	0.4262944555116712	46	47	img_PilotCamera_Segmentation_1580495137101.jpg,img_FrontCenter_Segmentation_1580495137117.jpg
