Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581584870031	-0.0021	0.0221	-0.0023	0.9964	0.0813	-0.0146	-0.0217	0.0078	-1.0970	-1.0022	0.9128	-0.4085	-0.0045	-0.0020	img_PilotCamera_Segmentation_1581584869975.jpg,img_FrontCenter_Segmentation_1581584870031.jpg
1581584870770	-1.3806	1.1503	3.3904	1.0000	-0.0009	-0.0017	-0.0045	-1.3796	-1.0970	2.3904	0.8386	-0.5447	-0.0004	-0.0003	img_PilotCamera_Segmentation_1581584870768.jpg,img_FrontCenter_Segmentation_1581584870770.jpg
1581584870824	-1.3807	1.1503	3.3904	1.0000	-0.0008	-0.0017	-0.0044	-1.3796	-1.0970	2.3904	0.8386	-0.5447	-0.0004	-0.0003	img_PilotCamera_Segmentation_1581584870822.jpg,img_FrontCenter_Segmentation_1581584870824.jpg
1581584870876	-1.3807	1.1503	3.3904	1.0000	-0.0008	-0.0016	-0.0043	-1.3797	-1.0970	2.3904	0.8386	-0.5447	-0.0004	-0.0003	img_PilotCamera_Segmentation_1581584870874.jpg,img_FrontCenter_Segmentation_1581584870876.jpg
1581584870931	-1.3807	1.1503	3.3904	1.0000	-0.0008	-0.0016	-0.0042	-1.3797	-1.0970	2.3904	0.8386	-0.5447	-0.0004	-0.0003	img_PilotCamera_Segmentation_1581584870929.jpg,img_FrontCenter_Segmentation_1581584870931.jpg
1581584870986	-1.3807	1.1502	3.3905	1.0000	-0.0008	-0.0016	-0.0041	-1.3797	-1.0970	2.3905	0.8386	-0.5447	-0.0004	-0.0003	img_PilotCamera_Segmentation_1581584870983.jpg,img_FrontCenter_Segmentation_1581584870986.jpg
1581584871036	-1.3807	1.1502	3.3905	1.0000	-0.0008	-0.0015	-0.0040	-1.3798	-1.0970	2.3905	0.8386	-0.5447	-0.0004	-0.0002	img_PilotCamera_Segmentation_1581584871034.jpg,img_FrontCenter_Segmentation_1581584871036.jpg
1581584871092	-1.3807	1.1502	3.3905	1.0000	-0.0007	-0.0015	-0.0039	-1.3798	-1.0970	2.3905	0.8386	-0.5447	-0.0004	-0.0002	img_PilotCamera_Segmentation_1581584871090.jpg,img_FrontCenter_Segmentation_1581584871092.jpg
1581584871150	-1.3807	1.1502	3.3905	1.0000	-0.0007	-0.0014	-0.0037	-1.3798	-1.0970	2.3905	0.8386	-0.5447	-0.0004	-0.0002	img_PilotCamera_Segmentation_1581584871148.jpg,img_FrontCenter_Segmentation_1581584871150.jpg
1581584871199	-1.3807	1.1502	3.3905	1.0000	-0.0007	-0.0014	-0.0036	-1.3798	-1.0970	2.3905	0.8386	-0.5447	-0.0004	-0.0002	img_PilotCamera_Segmentation_1581584871197.jpg,img_FrontCenter_Segmentation_1581584871199.jpg
1581584871250	-1.3807	1.1501	3.3905	1.0000	-0.0007	-0.0014	-0.0035	-1.3799	-1.0970	2.3905	0.8386	-0.5447	-0.0003	-0.0002	img_PilotCamera_Segmentation_1581584871248.jpg,img_FrontCenter_Segmentation_1581584871250.jpg
1581584871303	-1.3807	1.1501	3.3905	1.0000	-0.0007	-0.0013	-0.0035	-1.3799	-1.0970	2.3905	0.8386	-0.5447	-0.0003	-0.0002	img_PilotCamera_Segmentation_1581584871300.jpg,img_FrontCenter_Segmentation_1581584871303.jpg
1581584871358	-1.3807	1.1501	3.3905	1.0000	-0.0006	-0.0013	-0.0034	-1.3799	-1.0970	2.3905	0.8386	-0.5447	-0.0003	-0.0002	img_PilotCamera_Segmentation_1581584871356.jpg,img_FrontCenter_Segmentation_1581584871358.jpg
