Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580497426760	-4,0873	1,5417	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8229	-0,5682	0,0000	0,0000	img_PilotCamera_Segmentation_1580497426681.jpg,img_FrontCenter_Segmentation_1580497426760.jpg
1580497426909	-4,0873	1,4147	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8276	-0,5613	0,0000	0,0000	img_PilotCamera_Segmentation_1580497426823.jpg,img_FrontCenter_Segmentation_1580497426909.jpg
1580497426921	-4,0873	1,3819	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8289	-0,5594	0,0000	0,0000	img_PilotCamera_Segmentation_1580497426916.jpg,img_FrontCenter_Segmentation_1580497426921.jpg
1580497426982	-4,0873	1,2483	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8343	-0,5513	0,0000	0,0000	img_PilotCamera_Segmentation_1580497426971.jpg,img_FrontCenter_Segmentation_1580497426982.jpg
1580497427035	-4,0873	1,1891	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8369	-0,5474	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427023.jpg,img_FrontCenter_Segmentation_1580497427035.jpg
1580497427086	-4,0873	1,1248	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8398	-0,5429	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427074.jpg,img_FrontCenter_Segmentation_1580497427086.jpg
1580497427138	-4,0873	1,0555	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8430	-0,5379	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427128.jpg,img_FrontCenter_Segmentation_1580497427138.jpg
1580497427191	-4,0873	0,9856	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8464	-0,5325	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427180.jpg,img_FrontCenter_Segmentation_1580497427191.jpg
1580497427243	-4,0873	0,9067	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8505	-0,5260	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427233.jpg,img_FrontCenter_Segmentation_1580497427243.jpg
1580497427295	-4,0873	0,7975	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8564	-0,5163	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427286.jpg,img_FrontCenter_Segmentation_1580497427295.jpg
1580497427347	-4,0873	0,7077	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8616	-0,5076	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427338.jpg,img_FrontCenter_Segmentation_1580497427347.jpg
1580497427402	-4,0873	0,6134	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8674	-0,4976	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427392.jpg,img_FrontCenter_Segmentation_1580497427402.jpg
1580497427454	-4,0873	0,5147	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8738	-0,4862	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427444.jpg,img_FrontCenter_Segmentation_1580497427454.jpg
1580497427507	-4,0873	0,4179	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8806	-0,4739	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427496.jpg,img_FrontCenter_Segmentation_1580497427507.jpg
1580497427561	-4,0873	0,2851	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,8906	-0,4549	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427552.jpg,img_FrontCenter_Segmentation_1580497427561.jpg
1580497427612	-4,0873	0,1664	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9002	-0,4355	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427604.jpg,img_FrontCenter_Segmentation_1580497427612.jpg
1580497427664	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427655.jpg,img_FrontCenter_Segmentation_1580497427664.jpg
1580497427712	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427705.jpg,img_FrontCenter_Segmentation_1580497427712.jpg
1580497427767	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427759.jpg,img_FrontCenter_Segmentation_1580497427767.jpg
1580497427819	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427810.jpg,img_FrontCenter_Segmentation_1580497427819.jpg
1580497427875	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427864.jpg,img_FrontCenter_Segmentation_1580497427875.jpg
1580497427926	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427916.jpg,img_FrontCenter_Segmentation_1580497427926.jpg
1580497427975	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497427968.jpg,img_FrontCenter_Segmentation_1580497427975.jpg
1580497428028	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428020.jpg,img_FrontCenter_Segmentation_1580497428028.jpg
1580497428081	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428071.jpg,img_FrontCenter_Segmentation_1580497428081.jpg
1580497428131	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428123.jpg,img_FrontCenter_Segmentation_1580497428131.jpg
1580497428181	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428175.jpg,img_FrontCenter_Segmentation_1580497428181.jpg
1580497428236	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428225.jpg,img_FrontCenter_Segmentation_1580497428236.jpg
1580497428288	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428278.jpg,img_FrontCenter_Segmentation_1580497428288.jpg
1580497428338	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428327.jpg,img_FrontCenter_Segmentation_1580497428338.jpg
1580497428389	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428377.jpg,img_FrontCenter_Segmentation_1580497428389.jpg
1580497428438	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428428.jpg,img_FrontCenter_Segmentation_1580497428438.jpg
1580497428487	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428480.jpg,img_FrontCenter_Segmentation_1580497428487.jpg
1580497428543	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428535.jpg,img_FrontCenter_Segmentation_1580497428543.jpg
1580497428597	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428588.jpg,img_FrontCenter_Segmentation_1580497428597.jpg
1580497428646	-4,0873	0,0572	5,4154	1,0000	0,0000	0,0000	0,0000	-4,0873	-1,0970	4,4154	0,9096	-0,4154	0,0000	0,0000	img_PilotCamera_Segmentation_1580497428636.jpg,img_FrontCenter_Segmentation_1580497428646.jpg
