Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580496987608	-2,7246	1,4336	0,0953	1,0000	0,0000	0,0000	0,0000	-2,7246	-1,0970	-0,9047	0,8269	-0,5624	0,0000	0,0000	img_PilotCamera_Segmentation_1580496987530.jpg,img_FrontCenter_Segmentation_1580496987608.jpg
1580496987700	-2,7246	1,2976	0,0953	1,0000	0,0000	0,0000	0,0000	-2,7246	-1,0970	-0,9047	0,8323	-0,5544	0,0000	0,0000	img_PilotCamera_Segmentation_1580496987688.jpg,img_FrontCenter_Segmentation_1580496987700.jpg
1580496987748	-2,7246	1,2233	0,0953	1,0000	0,0000	0,0000	0,0000	-2,7246	-1,0970	-0,9047	0,8354	-0,5496	0,0000	0,0000	img_PilotCamera_Segmentation_1580496987736.jpg,img_FrontCenter_Segmentation_1580496987748.jpg
1580496987800	-2,7246	1,1725	0,0953	1,0000	0,0000	0,0000	0,0000	-2,7246	-1,0970	-0,9047	0,8376	-0,5463	0,0000	0,0000	img_PilotCamera_Segmentation_1580496987789.jpg,img_FrontCenter_Segmentation_1580496987800.jpg
1580496987853	-2,7246	1,1164	0,0953	1,0000	0,0000	0,0000	0,0000	-2,7246	-1,0970	-0,9047	0,8402	-0,5423	0,0000	0,0000	img_PilotCamera_Segmentation_1580496987841.jpg,img_FrontCenter_Segmentation_1580496987853.jpg
1580496987904	-2,7246	1,0552	0,0953	1,0000	0,0000	0,0000	0,0000	-2,7246	-1,0970	-0,9047	0,8430	-0,5379	0,0000	0,0000	img_PilotCamera_Segmentation_1580496987892.jpg,img_FrontCenter_Segmentation_1580496987904.jpg
1580496987955	-2,7246	0,9928	0,0953	1,0000	0,0000	0,0000	0,0000	-2,7246	-1,0970	-0,9047	0,8461	-0,5331	0,0000	0,0000	img_PilotCamera_Segmentation_1580496987944.jpg,img_FrontCenter_Segmentation_1580496987955.jpg
1580496988007	-2,7246	0,9217	0,0953	1,0000	0,0000	0,0000	0,0000	-2,7246	-1,0970	-0,9047	0,8497	-0,5273	0,0000	0,0000	img_PilotCamera_Segmentation_1580496987994.jpg,img_FrontCenter_Segmentation_1580496988007.jpg
1580496988056	-2,7246	0,8502	0,0953	1,0000	0,0000	0,0000	0,0000	-2,7246	-1,0970	-0,9047	0,8535	-0,5211	0,0000	0,0000	img_PilotCamera_Segmentation_1580496988045.jpg,img_FrontCenter_Segmentation_1580496988056.jpg
1580496988108	-2,7246	0,7696	0,0953	1,0000	0,0000	0,0000	0,0000	-2,7246	-1,0970	-0,9047	0,8580	-0,5137	0,0000	0,0000	img_PilotCamera_Segmentation_1580496988098.jpg,img_FrontCenter_Segmentation_1580496988108.jpg
