Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580543787327	9,1997	1,2704	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8334	-0,5527	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787227.jpg,img_FrontCenter_Segmentation_1580543787327.jpg
1580543787428	9,1997	1,1202	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8400	-0,5426	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787410.jpg,img_FrontCenter_Segmentation_1580543787428.jpg
1580543787478	9,1997	1,0486	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8433	-0,5374	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787462.jpg,img_FrontCenter_Segmentation_1580543787478.jpg
1580543787534	9,1997	0,9802	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8467	-0,5321	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787518.jpg,img_FrontCenter_Segmentation_1580543787534.jpg
1580543787583	9,1997	0,9178	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8499	-0,5270	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787569.jpg,img_FrontCenter_Segmentation_1580543787583.jpg
1580543787638	9,1997	0,8574	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8531	-0,5218	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787624.jpg,img_FrontCenter_Segmentation_1580543787638.jpg
1580543787695	9,1997	0,7883	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8569	-0,5155	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787681.jpg,img_FrontCenter_Segmentation_1580543787695.jpg
1580543787744	9,1997	0,7143	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8612	-0,5083	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787730.jpg,img_FrontCenter_Segmentation_1580543787744.jpg
1580543787799	9,1997	0,6112	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8675	-0,4974	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787786.jpg,img_FrontCenter_Segmentation_1580543787799.jpg
1580543787849	9,1997	0,5261	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8731	-0,4876	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787835.jpg,img_FrontCenter_Segmentation_1580543787849.jpg
1580543787900	9,1997	0,4363	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8793	-0,4763	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787887.jpg,img_FrontCenter_Segmentation_1580543787900.jpg
1580543787950	9,1997	0,3534	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8853	-0,4650	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787937.jpg,img_FrontCenter_Segmentation_1580543787950.jpg
1580543788006	9,1997	0,2611	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,8924	-0,4511	0,0000	0,0000	img_PilotCamera_Segmentation_1580543787993.jpg,img_FrontCenter_Segmentation_1580543788006.jpg
1580543788061	9,1997	0,1465	1,1968	1,0000	0,0000	0,0000	0,0000	9,1997	-1,0970	0,1968	0,9019	-0,4320	0,0000	0,0000	img_PilotCamera_Segmentation_1580543788047.jpg,img_FrontCenter_Segmentation_1580543788061.jpg
1580543788112	9,1994	0,1179	1,1967	1,0000	-0,0053	-0,0002	0,0042	9,1995	-1,0970	0,1967	0,9043	-0,4269	-0,0001	0,0000	img_PilotCamera_Segmentation_1580543788100.jpg,img_FrontCenter_Segmentation_1580543788112.jpg
1580543788167	9,1994	0,1178	1,1967	1,0000	-0,0052	-0,0002	0,0041	9,1995	-1,0970	0,1967	0,9043	-0,4269	-0,0001	0,0000	img_PilotCamera_Segmentation_1580543788156.jpg,img_FrontCenter_Segmentation_1580543788167.jpg
1580543788222	9,1994	0,1178	1,1967	1,0000	-0,0051	-0,0002	0,0040	9,1995	-1,0970	0,1967	0,9043	-0,4269	-0,0001	0,0000	img_PilotCamera_Segmentation_1580543788209.jpg,img_FrontCenter_Segmentation_1580543788222.jpg
1580543788275	9,1994	0,1177	1,1967	1,0000	-0,0049	-0,0002	0,0039	9,1995	-1,0970	0,1967	0,9043	-0,4269	-0,0001	0,0000	img_PilotCamera_Segmentation_1580543788261.jpg,img_FrontCenter_Segmentation_1580543788275.jpg
1580543788324	9,1994	0,1176	1,1967	1,0000	-0,0048	-0,0002	0,0038	9,1995	-1,0970	0,1967	0,9043	-0,4269	-0,0001	0,0000	img_PilotCamera_Segmentation_1580543788311.jpg,img_FrontCenter_Segmentation_1580543788324.jpg
1580543788380	9,1994	0,1176	1,1967	1,0000	-0,0047	-0,0002	0,0037	9,1995	-1,0970	0,1967	0,9043	-0,4268	-0,0001	0,0000	img_PilotCamera_Segmentation_1580543788368.jpg,img_FrontCenter_Segmentation_1580543788380.jpg
1580543788433	9,1994	0,1175	1,1967	1,0000	-0,0045	-0,0002	0,0036	9,1995	-1,0970	0,1967	0,9043	-0,4268	-0,0001	0,0000	img_PilotCamera_Segmentation_1580543788422.jpg,img_FrontCenter_Segmentation_1580543788433.jpg
1580543788490	9,1994	0,1175	1,1967	1,0000	-0,0044	-0,0002	0,0035	9,1995	-1,0970	0,1967	0,9043	-0,4268	-0,0001	0,0000	img_PilotCamera_Segmentation_1580543788477.jpg,img_FrontCenter_Segmentation_1580543788490.jpg
1580543788539	9,1994	0,1174	1,1967	1,0000	-0,0043	-0,0002	0,0034	9,1995	-1,0970	0,1967	0,9043	-0,4268	0,0000	0,0000	img_PilotCamera_Segmentation_1580543788526.jpg,img_FrontCenter_Segmentation_1580543788539.jpg
1580543788594	9,1994	0,1174	1,1967	1,0000	-0,0042	-0,0002	0,0033	9,1995	-1,0970	0,1967	0,9043	-0,4268	0,0000	0,0000	img_PilotCamera_Segmentation_1580543788582.jpg,img_FrontCenter_Segmentation_1580543788594.jpg
1580543788647	9,1994	0,1173	1,1967	1,0000	-0,0041	-0,0002	0,0032	9,1995	-1,0970	0,1967	0,9043	-0,4268	0,0000	0,0000	img_PilotCamera_Segmentation_1580543788634.jpg,img_FrontCenter_Segmentation_1580543788647.jpg
