Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580753081212	3,2182	1,5766	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0970	0,6547	0,8217	-0,5699	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081143.jpg,img_FrontCenter_Segmentation_1580753081212.jpg
1580753081345	3,2182	1,4451	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8265	-0,5630	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081285.jpg,img_FrontCenter_Segmentation_1580753081345.jpg
1580753081362	3,2182	1,4117	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8277	-0,5611	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081356.jpg,img_FrontCenter_Segmentation_1580753081362.jpg
1580753081415	3,2182	1,3028	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8321	-0,5547	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081408.jpg,img_FrontCenter_Segmentation_1580753081415.jpg
1580753081473	3,2182	1,2454	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8344	-0,5511	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081467.jpg,img_FrontCenter_Segmentation_1580753081473.jpg
1580753081522	3,2182	1,1830	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8372	-0,5470	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081517.jpg,img_FrontCenter_Segmentation_1580753081522.jpg
1580753081574	3,2182	1,1195	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8400	-0,5426	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081569.jpg,img_FrontCenter_Segmentation_1580753081574.jpg
1580753081631	3,2182	1,0205	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8447	-0,5352	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081624.jpg,img_FrontCenter_Segmentation_1580753081631.jpg
1580753081684	3,2182	0,9511	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8482	-0,5297	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081679.jpg,img_FrontCenter_Segmentation_1580753081684.jpg
1580753081738	3,2182	0,8729	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8522	-0,5231	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081733.jpg,img_FrontCenter_Segmentation_1580753081738.jpg
1580753081789	3,2182	0,7854	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8571	-0,5152	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081783.jpg,img_FrontCenter_Segmentation_1580753081789.jpg
1580753081840	3,2182	0,6932	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8625	-0,5061	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081834.jpg,img_FrontCenter_Segmentation_1580753081840.jpg
1580753081889	3,2182	0,5907	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8688	-0,4951	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081885.jpg,img_FrontCenter_Segmentation_1580753081889.jpg
1580753081943	3,2182	0,4711	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8768	-0,4808	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081937.jpg,img_FrontCenter_Segmentation_1580753081943.jpg
1580753081995	3,2182	0,3521	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8854	-0,4648	0,0000	0,0000	img_PilotCamera_Segmentation_1580753081990.jpg,img_FrontCenter_Segmentation_1580753081995.jpg
1580753082046	3,2182	0,2612	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8924	-0,4512	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082041.jpg,img_FrontCenter_Segmentation_1580753082046.jpg
1580753082098	3,2182	0,1403	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,9024	-0,4309	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082093.jpg,img_FrontCenter_Segmentation_1580753082098.jpg
1580753082153	3,2182	0,1129	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,9047	-0,4260	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082147.jpg,img_FrontCenter_Segmentation_1580753082153.jpg
1580753082203	3,2182	0,1150	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,9045	-0,4264	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082197.jpg,img_FrontCenter_Segmentation_1580753082203.jpg
1580753082259	3,2182	0,1236	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,9038	-0,4279	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082254.jpg,img_FrontCenter_Segmentation_1580753082259.jpg
1580753082314	3,2182	0,1371	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,9026	-0,4304	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082309.jpg,img_FrontCenter_Segmentation_1580753082314.jpg
1580753082370	3,2182	0,1516	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,9014	-0,4330	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082366.jpg,img_FrontCenter_Segmentation_1580753082370.jpg
1580753082420	3,2182	0,1734	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8996	-0,4368	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082416.jpg,img_FrontCenter_Segmentation_1580753082420.jpg
1580753082476	3,2182	0,1968	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8976	-0,4407	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082470.jpg,img_FrontCenter_Segmentation_1580753082476.jpg
1580753082524	3,2182	0,2223	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8956	-0,4449	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082518.jpg,img_FrontCenter_Segmentation_1580753082524.jpg
1580753082578	3,2182	0,2592	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8926	-0,4509	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082572.jpg,img_FrontCenter_Segmentation_1580753082578.jpg
1580753082625	3,2182	0,2897	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8902	-0,4556	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082620.jpg,img_FrontCenter_Segmentation_1580753082625.jpg
1580753082678	3,2182	0,3487	1,6547	1,0000	0,0000	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8857	-0,4643	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082673.jpg,img_FrontCenter_Segmentation_1580753082678.jpg
1580753082731	3,2182	0,3954	1,6547	1,0000	0,0004	0,0000	0,0000	3,2182	-1,0971	0,6547	0,8822	-0,4708	0,0000	0,0000	img_PilotCamera_Segmentation_1580753082727.jpg,img_FrontCenter_Segmentation_1580753082731.jpg
1580753082787	3,2182	0,4408	1,6547	0,9999	0,0171	0,0006	0,0000	3,2178	-1,0971	0,6547	0,8790	-0,4769	0,0002	0,0001	img_PilotCamera_Segmentation_1580753082783.jpg,img_FrontCenter_Segmentation_1580753082787.jpg
1580753082838	3,2182	0,4909	1,6550	0,9988	0,0487	0,0033	0,0000	3,2162	-1,0971	0,6550	0,8755	-0,4833	0,0009	0,0005	img_PilotCamera_Segmentation_1580753082833.jpg,img_FrontCenter_Segmentation_1580753082838.jpg
1580753082890	3,2182	0,5349	1,6557	0,9969	0,0786	0,0077	-0,0001	3,2135	-1,0971	0,6557	0,8725	-0,4886	0,0020	0,0011	img_PilotCamera_Segmentation_1580753082885.jpg,img_FrontCenter_Segmentation_1580753082890.jpg
1580753082942	3,2182	0,5764	1,6571	0,9943	0,1057	0,0125	-0,0001	3,2106	-1,0971	0,6572	0,8698	-0,4935	0,0033	0,0019	img_PilotCamera_Segmentation_1580753082937.jpg,img_FrontCenter_Segmentation_1580753082942.jpg
1580753082997	3,2182	0,6430	1,6618	0,9944	0,1033	0,0197	0,0004	3,2062	-1,0971	0,6618	0,8655	-0,5009	0,0052	0,0030	img_PilotCamera_Segmentation_1580753082992.jpg,img_FrontCenter_Segmentation_1580753082997.jpg
1580753083046	3,2183	0,6920	1,6671	0,9960	0,0858	0,0243	0,0009	3,2035	-1,0971	0,6672	0,8625	-0,5060	0,0064	0,0037	img_PilotCamera_Segmentation_1580753083042.jpg,img_FrontCenter_Segmentation_1580753083046.jpg
1580753083104	3,2184	0,7437	1,6739	0,9970	0,0720	0,0286	0,0011	3,2011	-1,0971	0,6741	0,8594	-0,5112	0,0075	0,0044	img_PilotCamera_Segmentation_1580753083099.jpg,img_FrontCenter_Segmentation_1580753083104.jpg
1580753083155	3,2185	0,7982	1,6822	0,9976	0,0605	0,0325	0,0013	3,1989	-1,0971	0,6824	0,8563	-0,5164	0,0084	0,0051	img_PilotCamera_Segmentation_1580753083150.jpg,img_FrontCenter_Segmentation_1580753083155.jpg
1580753083206	3,2186	0,8522	1,6910	0,9980	0,0514	0,0358	0,0013	3,1970	-1,0971	0,6912	0,8533	-0,5213	0,0092	0,0056	img_PilotCamera_Segmentation_1580753083201.jpg,img_FrontCenter_Segmentation_1580753083206.jpg
1580753083262	3,2188	0,9309	1,7045	0,9984	0,0410	0,0400	0,0013	3,1947	-1,0971	0,7048	0,8491	-0,5280	0,0102	0,0064	img_PilotCamera_Segmentation_1580753083257.jpg,img_FrontCenter_Segmentation_1580753083262.jpg
1580753083319	3,2189	0,9952	1,7158	0,9985	0,0345	0,0428	0,0012	3,1931	-1,0971	0,7162	0,8459	-0,5332	0,0109	0,0069	img_PilotCamera_Segmentation_1580753083315.jpg,img_FrontCenter_Segmentation_1580753083319.jpg
1580753083371	3,2191	1,0625	1,7278	0,9985	0,0290	0,0455	0,0011	3,1917	-1,0971	0,7282	0,8426	-0,5384	0,0115	0,0074	img_PilotCamera_Segmentation_1580753083365.jpg,img_FrontCenter_Segmentation_1580753083371.jpg
1580753083425	3,2192	1,1288	1,7397	0,9986	0,0246	0,0477	0,0010	3,1905	-1,0971	0,7401	0,8395	-0,5432	0,0120	0,0078	img_PilotCamera_Segmentation_1580753083419.jpg,img_FrontCenter_Segmentation_1580753083425.jpg
