Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581527387387	3,1233	1,2934	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8324	-0,5541	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387375.jpg,img_FrontCenter_Segmentation_1581527387387.jpg
1581527387446	3,1233	1,2031	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8363	-0,5483	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387433.jpg,img_FrontCenter_Segmentation_1581527387446.jpg
1581527387498	3,1233	1,1574	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8383	-0,5452	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387485.jpg,img_FrontCenter_Segmentation_1581527387498.jpg
1581527387549	3,1233	1,1158	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8402	-0,5423	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387537.jpg,img_FrontCenter_Segmentation_1581527387549.jpg
1581527387601	3,1233	1,0658	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8425	-0,5387	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387587.jpg,img_FrontCenter_Segmentation_1581527387601.jpg
1581527387653	3,1233	1,0196	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8447	-0,5352	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387639.jpg,img_FrontCenter_Segmentation_1581527387653.jpg
1581527387705	3,1233	0,9588	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8478	-0,5304	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387691.jpg,img_FrontCenter_Segmentation_1581527387705.jpg
1581527387758	3,1233	0,9036	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8506	-0,5258	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387744.jpg,img_FrontCenter_Segmentation_1581527387758.jpg
1581527387810	3,1233	0,8322	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8545	-0,5195	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387796.jpg,img_FrontCenter_Segmentation_1581527387810.jpg
1581527387861	3,1233	0,7596	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8585	-0,5127	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387848.jpg,img_FrontCenter_Segmentation_1581527387861.jpg
1581527387913	3,1233	0,6868	-6,4418	1,0000	0,0000	0,0000	0,0000	3,1233	-1,0970	-7,4418	0,8628	-0,5055	0,0000	0,0000	img_PilotCamera_Segmentation_1581527387899.jpg,img_FrontCenter_Segmentation_1581527387913.jpg
