Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580752688428	-3,8506	1,5388	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8230	-0,5680	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688328.jpg,img_FrontCenter_Segmentation_1580752688428.jpg
1580752688503	-3,8506	1,3910	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8285	-0,5599	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688481.jpg,img_FrontCenter_Segmentation_1580752688503.jpg
1580752688554	-3,8506	1,3451	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8303	-0,5573	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688531.jpg,img_FrontCenter_Segmentation_1580752688554.jpg
1580752688604	-3,8506	1,2932	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8325	-0,5541	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688583.jpg,img_FrontCenter_Segmentation_1580752688604.jpg
1580752688657	-3,8506	1,2285	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8352	-0,5500	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688636.jpg,img_FrontCenter_Segmentation_1580752688657.jpg
1580752688711	-3,8506	1,1641	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8380	-0,5457	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688690.jpg,img_FrontCenter_Segmentation_1580752688711.jpg
1580752688763	-3,8506	1,1100	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8405	-0,5419	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688744.jpg,img_FrontCenter_Segmentation_1580752688763.jpg
1580752688821	-3,8506	1,0181	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8448	-0,5351	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688801.jpg,img_FrontCenter_Segmentation_1580752688821.jpg
1580752688872	-3,8506	0,9368	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8489	-0,5286	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688853.jpg,img_FrontCenter_Segmentation_1580752688872.jpg
1580752688922	-3,8506	0,8551	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8532	-0,5216	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688903.jpg,img_FrontCenter_Segmentation_1580752688922.jpg
1580752688972	-3,8506	0,7738	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8577	-0,5141	0,0000	0,0000	img_PilotCamera_Segmentation_1580752688953.jpg,img_FrontCenter_Segmentation_1580752688972.jpg
1580752689030	-3,8506	0,6830	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8631	-0,5051	0,0000	0,0000	img_PilotCamera_Segmentation_1580752689013.jpg,img_FrontCenter_Segmentation_1580752689030.jpg
1580752689079	-3,8506	0,5943	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8686	-0,4955	0,0000	0,0000	img_PilotCamera_Segmentation_1580752689060.jpg,img_FrontCenter_Segmentation_1580752689079.jpg
1580752689129	-3,8506	0,5037	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8746	-0,4849	0,0000	0,0000	img_PilotCamera_Segmentation_1580752689114.jpg,img_FrontCenter_Segmentation_1580752689129.jpg
1580752689186	-3,8506	0,4136	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8809	-0,4733	0,0000	0,0000	img_PilotCamera_Segmentation_1580752689167.jpg,img_FrontCenter_Segmentation_1580752689186.jpg
1580752689238	-3,8506	0,3159	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8882	-0,4595	0,0000	0,0000	img_PilotCamera_Segmentation_1580752689219.jpg,img_FrontCenter_Segmentation_1580752689238.jpg
1580752689289	-3,8506	0,2426	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8939	-0,4482	0,0000	0,0000	img_PilotCamera_Segmentation_1580752689270.jpg,img_FrontCenter_Segmentation_1580752689289.jpg
1580752689342	-3,8506	0,1705	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,8998	-0,4362	0,0000	0,0000	img_PilotCamera_Segmentation_1580752689325.jpg,img_FrontCenter_Segmentation_1580752689342.jpg
1580752689388	-3,8506	0,1110	24,6805	1,0000	0,0000	0,0000	0,0000	-3,8506	-1,0970	23,6805	0,9049	-0,4256	0,0000	0,0000	img_PilotCamera_Segmentation_1580752689375.jpg,img_FrontCenter_Segmentation_1580752689388.jpg
1580752689441	-3,8508	0,1126	24,6800	0,9999	-0,0098	-0,0002	0,0026	-3,8507	-1,0970	23,6800	0,9048	-0,4259	-0,0001	0,0000	img_PilotCamera_Segmentation_1580752689429.jpg,img_FrontCenter_Segmentation_1580752689441.jpg
1580752689501	-3,8508	0,1149	24,6800	1,0000	-0,0096	-0,0002	0,0025	-3,8507	-1,0970	23,6800	0,9046	-0,4263	-0,0001	0,0000	img_PilotCamera_Segmentation_1580752689482.jpg,img_FrontCenter_Segmentation_1580752689501.jpg
1580752689552	-3,8508	0,1210	24,6800	1,0000	-0,0093	-0,0002	0,0024	-3,8507	-1,0970	23,6800	0,9040	-0,4275	-0,0001	0,0000	img_PilotCamera_Segmentation_1580752689532.jpg,img_FrontCenter_Segmentation_1580752689552.jpg
1580752689602	-3,8508	0,1318	24,6800	1,0000	-0,0091	-0,0002	0,0024	-3,8507	-1,0970	23,6800	0,9031	-0,4294	-0,0001	0,0000	img_PilotCamera_Segmentation_1580752689583.jpg,img_FrontCenter_Segmentation_1580752689602.jpg
1580752689653	-3,8508	0,1521	24,6800	1,0000	-0,0088	-0,0002	0,0023	-3,8507	-1,0970	23,6800	0,9014	-0,4330	-0,0001	0,0000	img_PilotCamera_Segmentation_1580752689633.jpg,img_FrontCenter_Segmentation_1580752689653.jpg
1580752689703	-3,8508	0,1728	24,6800	1,0000	-0,0086	-0,0002	0,0022	-3,8507	-1,0970	23,6800	0,8996	-0,4366	-0,0001	0,0000	img_PilotCamera_Segmentation_1580752689685.jpg,img_FrontCenter_Segmentation_1580752689703.jpg
1580752689762	-3,8508	0,1962	24,6800	1,0000	-0,0084	-0,0002	0,0022	-3,8507	-1,0970	23,6800	0,8977	-0,4406	0,0000	0,0000	img_PilotCamera_Segmentation_1580752689743.jpg,img_FrontCenter_Segmentation_1580752689762.jpg
