Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580754219541	7,1684	1,6193	8,7384	1,0000	0,0000	0,0000	0,0000	7,1684	-1,0970	7,7384	0,8202	-0,5721	0,0000	0,0000	img_PilotCamera_Segmentation_1580754219476.jpg,img_FrontCenter_Segmentation_1580754219541.jpg
1580754219658	7,1684	1,4790	8,7385	0,9995	0,0017	0,0009	0,0313	7,1678	-1,0970	7,7385	0,8252	-0,5648	0,0002	0,0002	img_PilotCamera_Segmentation_1580754219608.jpg,img_FrontCenter_Segmentation_1580754219658.jpg
1580754219676	7,1684	1,4472	8,7385	0,9995	0,0016	0,0009	0,0302	7,1679	-1,0970	7,7385	0,8264	-0,5631	0,0002	0,0002	img_PilotCamera_Segmentation_1580754219669.jpg,img_FrontCenter_Segmentation_1580754219676.jpg
1580754219730	7,1684	1,3570	8,7385	0,9996	0,0016	0,0009	0,0295	7,1679	-1,0970	7,7385	0,8299	-0,5580	0,0002	0,0002	img_PilotCamera_Segmentation_1580754219724.jpg,img_FrontCenter_Segmentation_1580754219730.jpg
1580754219785	7,1684	1,3029	8,7385	0,9996	0,0015	0,0009	0,0287	7,1679	-1,0970	7,7385	0,8321	-0,5547	0,0002	0,0002	img_PilotCamera_Segmentation_1580754219777.jpg,img_FrontCenter_Segmentation_1580754219785.jpg
1580754219838	7,1684	1,2289	8,7385	0,9996	0,0015	0,0008	0,0278	7,1679	-1,0970	7,7385	0,8352	-0,5500	0,0002	0,0001	img_PilotCamera_Segmentation_1580754219831.jpg,img_FrontCenter_Segmentation_1580754219838.jpg
1580754219888	7,1684	1,1632	8,7385	0,9996	0,0014	0,0008	0,0271	7,1679	-1,0970	7,7385	0,8380	-0,5456	0,0002	0,0001	img_PilotCamera_Segmentation_1580754219882.jpg,img_FrontCenter_Segmentation_1580754219888.jpg
1580754219944	7,1684	1,0881	8,7385	0,9996	0,0014	0,0008	0,0264	7,1679	-1,0970	7,7385	0,8415	-0,5403	0,0002	0,0001	img_PilotCamera_Segmentation_1580754219936.jpg,img_FrontCenter_Segmentation_1580754219944.jpg
1580754219995	7,1684	1,0167	8,7385	0,9997	0,0014	0,0008	0,0258	7,1679	-1,0970	7,7385	0,8449	-0,5349	0,0002	0,0001	img_PilotCamera_Segmentation_1580754219990.jpg,img_FrontCenter_Segmentation_1580754219995.jpg
1580754220046	7,1684	0,9361	8,7385	0,9997	0,0013	0,0008	0,0251	7,1680	-1,0970	7,7385	0,8489	-0,5285	0,0002	0,0001	img_PilotCamera_Segmentation_1580754220040.jpg,img_FrontCenter_Segmentation_1580754220046.jpg
1580754220098	7,1684	0,8612	8,7385	0,9997	0,0013	0,0007	0,0245	7,1680	-1,0970	7,7385	0,8529	-0,5221	0,0002	0,0001	img_PilotCamera_Segmentation_1580754220092.jpg,img_FrontCenter_Segmentation_1580754220098.jpg
1580754220151	7,1684	0,7717	8,7385	0,9997	0,0013	0,0007	0,0239	7,1680	-1,0970	7,7385	0,8579	-0,5139	0,0002	0,0001	img_PilotCamera_Segmentation_1580754220145.jpg,img_FrontCenter_Segmentation_1580754220151.jpg
1580754220202	7,1684	0,6721	8,7385	0,9997	0,0012	0,0007	0,0233	7,1680	-1,0970	7,7385	0,8637	-0,5039	0,0002	0,0001	img_PilotCamera_Segmentation_1580754220197.jpg,img_FrontCenter_Segmentation_1580754220202.jpg
1580754220258	7,1684	0,5497	8,7385	0,9997	0,0012	0,0007	0,0225	7,1680	-1,0970	7,7385	0,8715	-0,4904	0,0002	0,0001	img_PilotCamera_Segmentation_1580754220251.jpg,img_FrontCenter_Segmentation_1580754220258.jpg
1580754220309	7,1684	0,4520	8,7385	0,9998	0,0012	0,0007	0,0220	7,1680	-1,0970	7,7385	0,8782	-0,4783	0,0002	0,0001	img_PilotCamera_Segmentation_1580754220303.jpg,img_FrontCenter_Segmentation_1580754220309.jpg
1580754220359	7,1684	0,3441	8,7385	0,9998	0,0011	0,0006	0,0214	7,1680	-1,0970	7,7385	0,8860	-0,4636	0,0002	0,0001	img_PilotCamera_Segmentation_1580754220354.jpg,img_FrontCenter_Segmentation_1580754220359.jpg
1580754220416	7,1684	0,2322	8,7385	0,9998	0,0011	0,0006	0,0209	7,1680	-1,0970	7,7385	0,8948	-0,4465	0,0002	0,0001	img_PilotCamera_Segmentation_1580754220410.jpg,img_FrontCenter_Segmentation_1580754220416.jpg
1580754220471	7,1684	0,0815	8,7385	0,9998	0,0011	0,0006	0,0202	7,1680	-1,0970	7,7385	0,9075	-0,4201	0,0002	0,0001	img_PilotCamera_Segmentation_1580754220465.jpg,img_FrontCenter_Segmentation_1580754220471.jpg
1580754220521	7,1682	0,0826	8,7388	1,0000	0,0064	0,0011	0,0072	7,1675	-1,0970	7,7388	0,9074	-0,4203	0,0003	0,0001	img_PilotCamera_Segmentation_1580754220516.jpg,img_FrontCenter_Segmentation_1580754220521.jpg
