Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580756002615	-3,0895	1,7167	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8170	-0,5767	0,0000	0,0000	img_PilotCamera_Segmentation_1580756002476.jpg,img_FrontCenter_Segmentation_1580756002615.jpg
1580756002738	-3,0895	1,5230	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8236	-0,5672	0,0000	0,0000	img_PilotCamera_Segmentation_1580756002716.jpg,img_FrontCenter_Segmentation_1580756002738.jpg
1580756002791	-3,0895	1,4233	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8273	-0,5618	0,0000	0,0000	img_PilotCamera_Segmentation_1580756002768.jpg,img_FrontCenter_Segmentation_1580756002791.jpg
1580756002850	-3,0895	1,3641	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8296	-0,5584	0,0000	0,0000	img_PilotCamera_Segmentation_1580756002827.jpg,img_FrontCenter_Segmentation_1580756002850.jpg
1580756002900	-3,0895	1,2998	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8322	-0,5545	0,0000	0,0000	img_PilotCamera_Segmentation_1580756002878.jpg,img_FrontCenter_Segmentation_1580756002900.jpg
1580756002956	-3,0895	1,2091	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8360	-0,5487	0,0000	0,0000	img_PilotCamera_Segmentation_1580756002934.jpg,img_FrontCenter_Segmentation_1580756002956.jpg
1580756003009	-3,0895	1,1379	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8392	-0,5439	0,0000	0,0000	img_PilotCamera_Segmentation_1580756002990.jpg,img_FrontCenter_Segmentation_1580756003009.jpg
1580756003063	-3,0895	1,0527	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8431	-0,5377	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003043.jpg,img_FrontCenter_Segmentation_1580756003063.jpg
1580756003116	-3,0895	0,9724	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8471	-0,5315	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003095.jpg,img_FrontCenter_Segmentation_1580756003116.jpg
1580756003168	-3,0895	0,8609	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8529	-0,5221	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003148.jpg,img_FrontCenter_Segmentation_1580756003168.jpg
1580756003221	-3,0895	0,7598	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8585	-0,5128	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003200.jpg,img_FrontCenter_Segmentation_1580756003221.jpg
1580756003273	-3,0895	0,6658	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8641	-0,5033	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003253.jpg,img_FrontCenter_Segmentation_1580756003273.jpg
1580756003326	-3,0895	0,5618	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8707	-0,4918	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003306.jpg,img_FrontCenter_Segmentation_1580756003326.jpg
1580756003379	-3,0895	0,4536	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8781	-0,4786	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003359.jpg,img_FrontCenter_Segmentation_1580756003379.jpg
1580756003430	-3,0895	0,3414	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8862	-0,4632	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003410.jpg,img_FrontCenter_Segmentation_1580756003430.jpg
1580756003481	-3,0895	0,2252	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,8953	-0,4454	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003460.jpg,img_FrontCenter_Segmentation_1580756003481.jpg
1580756003538	-3,0895	0,0765	0,5560	1,0000	0,0000	0,0000	0,0000	-3,0895	-1,0970	-0,4440	0,9079	-0,4192	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003519.jpg,img_FrontCenter_Segmentation_1580756003538.jpg
1580756003590	-3,0895	0,0765	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,9079	-0,4192	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003568.jpg,img_FrontCenter_Segmentation_1580756003590.jpg
1580756003639	-3,0895	0,0765	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,9079	-0,4192	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003622.jpg,img_FrontCenter_Segmentation_1580756003639.jpg
1580756003691	-3,0895	0,0765	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,9079	-0,4192	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003673.jpg,img_FrontCenter_Segmentation_1580756003691.jpg
1580756003743	-3,0895	0,0766	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,9079	-0,4192	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003726.jpg,img_FrontCenter_Segmentation_1580756003743.jpg
1580756003795	-3,0895	0,0799	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,9076	-0,4198	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003776.jpg,img_FrontCenter_Segmentation_1580756003795.jpg
1580756003849	-3,0895	0,0875	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,9069	-0,4212	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003828.jpg,img_FrontCenter_Segmentation_1580756003849.jpg
1580756003899	-3,0895	0,1011	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,9058	-0,4238	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003880.jpg,img_FrontCenter_Segmentation_1580756003899.jpg
1580756003957	-3,0895	0,1178	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,9043	-0,4269	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003938.jpg,img_FrontCenter_Segmentation_1580756003957.jpg
1580756004008	-3,0895	0,1403	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,9024	-0,4309	0,0000	0,0000	img_PilotCamera_Segmentation_1580756003992.jpg,img_FrontCenter_Segmentation_1580756004008.jpg
1580756004062	-3,0895	0,1659	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,9002	-0,4354	0,0000	0,0000	img_PilotCamera_Segmentation_1580756004043.jpg,img_FrontCenter_Segmentation_1580756004062.jpg
1580756004112	-3,0895	0,1958	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,8977	-0,4405	0,0000	0,0000	img_PilotCamera_Segmentation_1580756004093.jpg,img_FrontCenter_Segmentation_1580756004112.jpg
1580756004165	-3,0895	0,2299	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,8949	-0,4462	0,0000	0,0000	img_PilotCamera_Segmentation_1580756004144.jpg,img_FrontCenter_Segmentation_1580756004165.jpg
1580756004216	-3,0895	0,2659	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,8921	-0,4519	0,0000	0,0000	img_PilotCamera_Segmentation_1580756004197.jpg,img_FrontCenter_Segmentation_1580756004216.jpg
1580756004270	-3,0895	0,3186	0,5560	1,0000	-0,0001	0,0000	-0,0001	-3,0895	-1,0970	-0,4440	0,8880	-0,4599	0,0000	0,0000	img_PilotCamera_Segmentation_1580756004250.jpg,img_FrontCenter_Segmentation_1580756004270.jpg
