Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580756873457	2,8806	4,2882	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7690	-0,6393	0,0000	0,0000	img_PilotCamera_Segmentation_1580756873350.jpg,img_FrontCenter_Segmentation_1580756873457.jpg
1580756873610	2,8806	4,1258	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7707	-0,6372	0,0000	0,0000	img_PilotCamera_Segmentation_1580756873592.jpg,img_FrontCenter_Segmentation_1580756873610.jpg
1580756873628	2,8806	4,0750	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7713	-0,6365	0,0000	0,0000	img_PilotCamera_Segmentation_1580756873619.jpg,img_FrontCenter_Segmentation_1580756873628.jpg
1580756873691	2,8806	3,9641	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7726	-0,6349	0,0000	0,0000	img_PilotCamera_Segmentation_1580756873674.jpg,img_FrontCenter_Segmentation_1580756873691.jpg
1580756873786	2,8806	3,8907	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7735	-0,6338	0,0000	0,0000	img_PilotCamera_Segmentation_1580756873775.jpg,img_FrontCenter_Segmentation_1580756873786.jpg
1580756873844	2,8806	3,7455	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7753	-0,6316	0,0000	0,0000	img_PilotCamera_Segmentation_1580756873829.jpg,img_FrontCenter_Segmentation_1580756873844.jpg
1580756873897	2,8806	3,6721	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7763	-0,6304	0,0000	0,0000	img_PilotCamera_Segmentation_1580756873883.jpg,img_FrontCenter_Segmentation_1580756873897.jpg
1580756873948	2,8806	3,5845	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7775	-0,6289	0,0000	0,0000	img_PilotCamera_Segmentation_1580756873935.jpg,img_FrontCenter_Segmentation_1580756873948.jpg
1580756873999	2,8806	3,5022	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7786	-0,6275	0,0000	0,0000	img_PilotCamera_Segmentation_1580756873985.jpg,img_FrontCenter_Segmentation_1580756873999.jpg
1580756874049	2,8806	3,4103	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7799	-0,6259	0,0000	0,0000	img_PilotCamera_Segmentation_1580756874035.jpg,img_FrontCenter_Segmentation_1580756874049.jpg
1580756874103	2,8806	3,3139	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7814	-0,6241	0,0000	0,0000	img_PilotCamera_Segmentation_1580756874091.jpg,img_FrontCenter_Segmentation_1580756874103.jpg
1580756874159	2,8806	3,1827	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7834	-0,6215	0,0000	0,0000	img_PilotCamera_Segmentation_1580756874145.jpg,img_FrontCenter_Segmentation_1580756874159.jpg
1580756874215	2,8806	3,0828	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7851	-0,6194	0,0000	0,0000	img_PilotCamera_Segmentation_1580756874202.jpg,img_FrontCenter_Segmentation_1580756874215.jpg
1580756874269	2,8806	2,9727	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7870	-0,6170	0,0000	0,0000	img_PilotCamera_Segmentation_1580756874255.jpg,img_FrontCenter_Segmentation_1580756874269.jpg
1580756874320	2,8806	2,8586	0,5529	1,0000	0,0000	0,0000	0,0000	2,8806	-1,0970	-0,4471	0,7890	-0,6144	0,0000	0,0000	img_PilotCamera_Segmentation_1580756874308.jpg,img_FrontCenter_Segmentation_1580756874320.jpg
1580756874373	2,8804	2,8296	0,5532	0,9983	-0,0066	-0,0005	0,0580	2,8810	-1,0970	-0,4468	0,7896	-0,6137	-0,0002	-0,0002	img_PilotCamera_Segmentation_1580756874359.jpg,img_FrontCenter_Segmentation_1580756874373.jpg
1580756874427	2,8804	2,8293	0,5532	0,9984	-0,0064	-0,0005	0,0566	2,8809	-1,0970	-0,4468	0,7896	-0,6137	-0,0002	-0,0002	img_PilotCamera_Segmentation_1580756874415.jpg,img_FrontCenter_Segmentation_1580756874427.jpg
1580756874479	2,8804	2,8290	0,5532	0,9985	-0,0063	-0,0005	0,0552	2,8809	-1,0970	-0,4468	0,7896	-0,6137	-0,0002	-0,0002	img_PilotCamera_Segmentation_1580756874467.jpg,img_FrontCenter_Segmentation_1580756874479.jpg
1580756874535	2,8804	2,8287	0,5531	0,9985	-0,0061	-0,0005	0,0538	2,8809	-1,0970	-0,4469	0,7896	-0,6137	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580756874520.jpg,img_FrontCenter_Segmentation_1580756874535.jpg
1580756874584	2,8804	2,8296	0,5531	0,9986	-0,0059	-0,0005	0,0525	2,8809	-1,0970	-0,4469	0,7896	-0,6137	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580756874569.jpg,img_FrontCenter_Segmentation_1580756874584.jpg
1580756874636	2,8805	2,8342	0,5531	0,9987	-0,0058	-0,0004	0,0512	2,8809	-1,0970	-0,4469	0,7895	-0,6138	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580756874623.jpg,img_FrontCenter_Segmentation_1580756874636.jpg
1580756874691	2,8805	2,8468	0,5531	0,9988	-0,0056	-0,0004	0,0495	2,8809	-1,0970	-0,4469	0,7892	-0,6141	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580756874677.jpg,img_FrontCenter_Segmentation_1580756874691.jpg
1580756874747	2,8805	2,8605	0,5531	0,9988	-0,0055	-0,0004	0,0483	2,8809	-1,0970	-0,4469	0,7890	-0,6144	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580756874734.jpg,img_FrontCenter_Segmentation_1580756874747.jpg
1580756874801	2,8805	2,8806	0,5531	0,9989	-0,0053	-0,0004	0,0471	2,8809	-1,0970	-0,4469	0,7886	-0,6149	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580756874786.jpg,img_FrontCenter_Segmentation_1580756874801.jpg
1580756874855	2,8805	2,9040	0,5531	0,9989	-0,0052	-0,0004	0,0459	2,8809	-1,0970	-0,4469	0,7882	-0,6154	-0,0002	-0,0001	img_PilotCamera_Segmentation_1580756874841.jpg,img_FrontCenter_Segmentation_1580756874855.jpg
