Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581107894059	0,6752	-1,3304	-5,4199	1,0000	0,0000	0,0000	0,0000	0,6752	-1,0970	-6,4199	0,9934	0,1144	0,0000	0,0000	img_PilotCamera_Segmentation_1581107893909.jpg,img_FrontCenter_Segmentation_1581107894059.jpg
1581107894171	0,6747	-1,5307	-5,4205	0,9998	0,0163	-0,0023	0,0089	0,6760	-0,9272	-6,4205	0,9634	0,2682	-0,0006	0,0002	img_PilotCamera_Segmentation_1581107894148.jpg,img_FrontCenter_Segmentation_1581107894171.jpg
1581107894225	0,6747	-1,5306	-5,4204	0,9998	0,0157	-0,0022	0,0086	0,6759	-0,9322	-6,4204	0,9639	0,2664	-0,0006	0,0002	img_PilotCamera_Segmentation_1581107894203.jpg,img_FrontCenter_Segmentation_1581107894225.jpg
1581107894277	0,6747	-1,5306	-5,4204	0,9998	0,0154	-0,0022	0,0084	0,6759	-0,9322	-6,4204	0,9639	0,2664	-0,0006	0,0002	img_PilotCamera_Segmentation_1581107894258.jpg,img_FrontCenter_Segmentation_1581107894277.jpg
1581107894327	0,6747	-1,5306	-5,4204	0,9999	0,0150	-0,0021	0,0082	0,6759	-0,9322	-6,4204	0,9639	0,2664	-0,0006	0,0002	img_PilotCamera_Segmentation_1581107894309.jpg,img_FrontCenter_Segmentation_1581107894327.jpg
1581107894382	0,6747	-1,5306	-5,4204	0,9999	0,0146	-0,0021	0,0080	0,6759	-0,9322	-6,4204	0,9639	0,2663	-0,0006	0,0002	img_PilotCamera_Segmentation_1581107894363.jpg,img_FrontCenter_Segmentation_1581107894382.jpg
1581107894443	0,6747	-1,5305	-5,4204	0,9999	0,0141	-0,0020	0,0077	0,6759	-0,9322	-6,4204	0,9639	0,2663	-0,0005	0,0001	img_PilotCamera_Segmentation_1581107894424.jpg,img_FrontCenter_Segmentation_1581107894443.jpg
1581107894493	0,6748	-1,5305	-5,4204	0,9999	0,0138	-0,0019	0,0075	0,6759	-0,9322	-6,4204	0,9639	0,2663	-0,0005	0,0001	img_PilotCamera_Segmentation_1581107894476.jpg,img_FrontCenter_Segmentation_1581107894493.jpg
1581107894549	0,6748	-1,5305	-5,4204	0,9999	0,0134	-0,0019	0,0073	0,6758	-0,9322	-6,4204	0,9639	0,2663	-0,0005	0,0001	img_PilotCamera_Segmentation_1581107894529.jpg,img_FrontCenter_Segmentation_1581107894549.jpg
1581107894602	0,6748	-1,5304	-5,4203	0,9999	0,0131	-0,0018	0,0071	0,6758	-0,9322	-6,4203	0,9639	0,2663	-0,0005	0,0001	img_PilotCamera_Segmentation_1581107894581.jpg,img_FrontCenter_Segmentation_1581107894602.jpg
1581107894654	0,6748	-1,5304	-5,4203	0,9999	0,0128	-0,0018	0,0070	0,6758	-0,9322	-6,4203	0,9639	0,2663	-0,0005	0,0001	img_PilotCamera_Segmentation_1581107894634.jpg,img_FrontCenter_Segmentation_1581107894654.jpg
1581107894706	0,6748	-1,5304	-5,4203	0,9999	0,0123	-0,0017	0,0067	0,6758	-0,9322	-6,4203	0,9639	0,2663	-0,0005	0,0001	img_PilotCamera_Segmentation_1581107894686.jpg,img_FrontCenter_Segmentation_1581107894706.jpg
1581107894764	0,6748	-1,5304	-5,4203	0,9999	0,0120	-0,0017	0,0066	0,6758	-0,9322	-6,4203	0,9639	0,2663	-0,0005	0,0001	img_PilotCamera_Segmentation_1581107894743.jpg,img_FrontCenter_Segmentation_1581107894764.jpg
1581107894813	0,6748	-1,5303	-5,4203	0,9999	0,0117	-0,0017	0,0064	0,6758	-0,9322	-6,4203	0,9639	0,2663	-0,0005	0,0001	img_PilotCamera_Segmentation_1581107894794.jpg,img_FrontCenter_Segmentation_1581107894813.jpg
1581107894870	0,6748	-1,5303	-5,4203	0,9999	0,0114	-0,0016	0,0062	0,6758	-0,9322	-6,4203	0,9639	0,2663	-0,0004	0,0001	img_PilotCamera_Segmentation_1581107894851.jpg,img_FrontCenter_Segmentation_1581107894870.jpg
1581107894927	0,6748	-1,5296	-5,4203	0,9999	0,0111	-0,0016	0,0060	0,6757	-0,9322	-6,4203	0,9640	0,2660	-0,0004	0,0001	img_PilotCamera_Segmentation_1581107894910.jpg,img_FrontCenter_Segmentation_1581107894927.jpg
1581107894981	0,6749	-1,5251	-5,4203	0,9999	0,0108	-0,0015	0,0059	0,6757	-0,9322	-6,4203	0,9644	0,2644	-0,0004	0,0001	img_PilotCamera_Segmentation_1581107894963.jpg,img_FrontCenter_Segmentation_1581107894981.jpg
1581107895042	0,6749	-1,5129	-5,4202	0,9999	0,0104	-0,0015	0,0057	0,6757	-0,9322	-6,4202	0,9656	0,2600	-0,0004	0,0001	img_PilotCamera_Segmentation_1581107895024.jpg,img_FrontCenter_Segmentation_1581107895042.jpg
1581107895095	0,6749	-1,4974	-5,4202	0,9999	0,0102	-0,0014	0,0055	0,6757	-0,9322	-6,4202	0,9671	0,2544	-0,0004	0,0001	img_PilotCamera_Segmentation_1581107895075.jpg,img_FrontCenter_Segmentation_1581107895095.jpg
1581107895148	0,6749	-1,4796	-5,4202	0,9999	0,0099	-0,0014	0,0054	0,6757	-0,9322	-6,4202	0,9688	0,2478	-0,0004	0,0001	img_PilotCamera_Segmentation_1581107895126.jpg,img_FrontCenter_Segmentation_1581107895148.jpg
1581107895198	0,6749	-1,4568	-5,4202	0,9999	0,0097	-0,0017	0,0053	0,6759	-0,9322	-6,4202	0,9710	0,2392	-0,0005	0,0001	img_PilotCamera_Segmentation_1581107895179.jpg,img_FrontCenter_Segmentation_1581107895198.jpg
1581107895256	0,6749	-1,4276	-5,4202	0,9999	0,0094	-0,0047	0,0051	0,6777	-0,9322	-6,4202	0,9737	0,2279	-0,0014	0,0003	img_PilotCamera_Segmentation_1581107895236.jpg,img_FrontCenter_Segmentation_1581107895256.jpg
1581107895314	0,6749	-1,4031	-5,4202	0,9999	0,0092	-0,0100	0,0049	0,6809	-0,9322	-6,4202	0,9759	0,2183	-0,0029	0,0007	img_PilotCamera_Segmentation_1581107895292.jpg,img_FrontCenter_Segmentation_1581107895314.jpg
1581107895364	0,6749	-1,3822	-5,4202	0,9998	0,0090	-0,0171	0,0047	0,6851	-0,9322	-6,4201	0,9777	0,2098	-0,0050	0,0011	img_PilotCamera_Segmentation_1581107895344.jpg,img_FrontCenter_Segmentation_1581107895364.jpg
1581107895415	0,6749	-1,3610	-5,4202	0,9996	0,0088	-0,0270	0,0045	0,6911	-0,9322	-6,4200	0,9795	0,2012	-0,0079	0,0016	img_PilotCamera_Segmentation_1581107895395.jpg,img_FrontCenter_Segmentation_1581107895415.jpg
1581107895466	0,6749	-1,3409	-5,4202	0,9992	0,0086	-0,0395	0,0043	0,6986	-0,9322	-6,4199	0,9812	0,1928	-0,0116	0,0023	img_PilotCamera_Segmentation_1581107895446.jpg,img_FrontCenter_Segmentation_1581107895466.jpg
1581107895526	0,6749	-1,3176	-5,4202	0,9983	0,0084	-0,0582	0,0040	0,7099	-0,9322	-6,4195	0,9830	0,1829	-0,0172	0,0032	img_PilotCamera_Segmentation_1581107895508.jpg,img_FrontCenter_Segmentation_1581107895526.jpg
1581107895578	0,6749	-1,2992	-5,4202	0,9970	0,0083	-0,0771	0,0037	0,7212	-0,9322	-6,4191	0,9843	0,1749	-0,0228	0,0041	img_PilotCamera_Segmentation_1581107895559.jpg,img_FrontCenter_Segmentation_1581107895578.jpg
1581107895632	0,6750	-1,2837	-5,4201	0,9952	0,0082	-0,0971	0,0035	0,7332	-0,9322	-6,4184	0,9853	0,1681	-0,0287	0,0049	img_PilotCamera_Segmentation_1581107895610.jpg,img_FrontCenter_Segmentation_1581107895632.jpg
1581107895673	0,6750	-1,2708	-5,4201	0,9930	0,0080	-0,1175	0,0032	0,7455	-0,9322	-6,4176	0,9861	0,1624	-0,0348	0,0057	img_PilotCamera_Segmentation_1581107895654.jpg,img_FrontCenter_Segmentation_1581107895673.jpg
1581107895731	0,6750	-1,2573	-5,4201	0,9903	0,0079	-0,1384	0,0030	0,7582	-0,9324	-6,4167	0,9868	0,1563	-0,0411	0,0065	img_PilotCamera_Segmentation_1581107895711.jpg,img_FrontCenter_Segmentation_1581107895731.jpg
1581107895782	0,6750	-1,2417	-5,4201	0,9872	0,0078	-0,1593	0,0027	0,7708	-0,9326	-6,4155	0,9876	0,1492	-0,0474	0,0072	img_PilotCamera_Segmentation_1581107895763.jpg,img_FrontCenter_Segmentation_1581107895782.jpg
1581107895832	0,6750	-1,2250	-5,4201	0,9839	0,0076	-0,1787	0,0025	0,7826	-0,9329	-6,4143	0,9885	0,1414	-0,0533	0,0076	img_PilotCamera_Segmentation_1581107895813.jpg,img_FrontCenter_Segmentation_1581107895832.jpg
1581107895889	0,6750	-1,2024	-5,4201	0,9796	0,0074	-0,2008	0,0023	0,7960	-0,9336	-6,4128	0,9896	0,1307	-0,0601	0,0079	img_PilotCamera_Segmentation_1581107895869.jpg,img_FrontCenter_Segmentation_1581107895889.jpg
1581107895948	0,6750	-1,1813	-5,4201	0,9756	0,0173	-0,2187	0,0043	0,8069	-0,9344	-6,4114	0,9905	0,1205	-0,0656	0,0080	img_PilotCamera_Segmentation_1581107895926.jpg,img_FrontCenter_Segmentation_1581107895948.jpg
1581107896000	0,6749	-1,1646	-5,4200	0,9719	0,0389	-0,2318	0,0093	0,8150	-0,9350	-6,4101	0,9912	0,1123	-0,0697	0,0079	img_PilotCamera_Segmentation_1581107895980.jpg,img_FrontCenter_Segmentation_1581107896000.jpg
1581107896050	0,6748	-1,1478	-5,4196	0,9674	0,0677	-0,2434	0,0163	0,8221	-0,9358	-6,4087	0,9918	0,1040	-0,0735	0,0077	img_PilotCamera_Segmentation_1581107896030.jpg,img_FrontCenter_Segmentation_1581107896050.jpg
1581107896109	0,6741	-1,1290	-5,4183	0,9611	0,1051	-0,2543	0,0256	0,8288	-0,9369	-6,4063	0,9925	0,0944	-0,0772	0,0073	img_PilotCamera_Segmentation_1581107896091.jpg,img_FrontCenter_Segmentation_1581107896109.jpg
1581107896158	0,6732	-1,1162	-5,4165	0,9576	0,1152	-0,2625	0,0278	0,8332	-0,9381	-6,4036	0,9929	0,0877	-0,0800	0,0071	img_PilotCamera_Segmentation_1581107896139.jpg,img_FrontCenter_Segmentation_1581107896158.jpg
1581107896215	0,6716	-1,1048	-5,4136	0,9574	0,0966	-0,2711	0,0221	0,8368	-0,9392	-6,3999	0,9932	0,0817	-0,0826	0,0068	img_PilotCamera_Segmentation_1581107896194.jpg,img_FrontCenter_Segmentation_1581107896215.jpg
1581107896268	0,6702	-1,0986	-5,4108	0,9569	0,0836	-0,2776	0,0184	0,8391	-0,9400	-6,3965	0,9933	0,0783	-0,0845	0,0067	img_PilotCamera_Segmentation_1581107896247.jpg,img_FrontCenter_Segmentation_1581107896268.jpg
1581107896320	0,6684	-1,0959	-5,4075	0,9560	0,0715	-0,2843	0,0151	0,8412	-0,9401	-6,3924	0,9933	0,0769	-0,0865	0,0067	img_PilotCamera_Segmentation_1581107896299.jpg,img_FrontCenter_Segmentation_1581107896320.jpg
1581107896372	0,6666	-1,0978	-5,4041	0,9547	0,0616	-0,2907	0,0125	0,8432	-0,9402	-6,3884	0,9930	0,0778	-0,0884	0,0069	img_PilotCamera_Segmentation_1581107896351.jpg,img_FrontCenter_Segmentation_1581107896372.jpg
1581107896431	0,6638	-1,1053	-5,3988	0,9519	0,0500	-0,3023	0,0094	0,8474	-0,9395	-6,3818	0,9924	0,0817	-0,0919	0,0076	img_PilotCamera_Segmentation_1581107896411.jpg,img_FrontCenter_Segmentation_1581107896431.jpg
1581107896483	0,6615	-1,1132	-5,3945	0,9488	0,0430	-0,3130	0,0074	0,8517	-0,9396	-6,3762	0,9918	0,0855	-0,0952	0,0082	img_PilotCamera_Segmentation_1581107896462.jpg,img_FrontCenter_Segmentation_1581107896483.jpg
1581107896533	0,6590	-1,1221	-5,3898	0,9450	0,0370	-0,3250	0,0058	0,8565	-0,9396	-6,3701	0,9910	0,0897	-0,0989	0,0090	img_PilotCamera_Segmentation_1581107896514.jpg,img_FrontCenter_Segmentation_1581107896533.jpg
1581107896584	0,6564	-1,1281	-5,3849	0,9413	0,0321	-0,3360	0,0045	0,8607	-0,9396	-6,3638	0,9904	0,0926	-0,1023	0,0096	img_PilotCamera_Segmentation_1581107896563.jpg,img_FrontCenter_Segmentation_1581107896584.jpg
1581107896641	0,6534	-1,1322	-5,3793	0,9376	0,0277	-0,3467	0,0035	0,8644	-0,9396	-6,3568	0,9899	0,0945	-0,1056	0,0101	img_PilotCamera_Segmentation_1581107896621.jpg,img_FrontCenter_Segmentation_1581107896641.jpg
1581107896690	0,6502	-1,1339	-5,3733	0,9339	0,0240	-0,3566	0,0027	0,8674	-0,9396	-6,3494	0,9894	0,0952	-0,1087	0,0105	img_PilotCamera_Segmentation_1581107896671.jpg,img_FrontCenter_Segmentation_1581107896690.jpg
1581107896750	0,6459	-1,1331	-5,3652	0,9298	0,0200	-0,3675	0,0019	0,8699	-0,9396	-6,3398	0,9891	0,0948	-0,1122	0,0108	img_PilotCamera_Segmentation_1581107896729.jpg,img_FrontCenter_Segmentation_1581107896750.jpg
1581107896805	0,6427	-1,1329	-5,3591	0,9276	0,0175	-0,3731	0,0015	0,8702	-0,9395	-6,3329	0,9889	0,0947	-0,1140	0,0109	img_PilotCamera_Segmentation_1581107896784.jpg,img_FrontCenter_Segmentation_1581107896805.jpg
1581107896855	0,6392	-1,1334	-5,3525	0,9261	0,0152	-0,3770	0,0012	0,8691	-0,9395	-6,3257	0,9887	0,0950	-0,1152	0,0111	img_PilotCamera_Segmentation_1581107896834.jpg,img_FrontCenter_Segmentation_1581107896855.jpg
1581107896905	0,6355	-1,1347	-5,3454	0,9253	0,0146	-0,3789	0,0016	0,8666	-0,9395	-6,3183	0,9886	0,0956	-0,1158	0,0112	img_PilotCamera_Segmentation_1581107896884.jpg,img_FrontCenter_Segmentation_1581107896905.jpg
1581107896964	0,6310	-1,1374	-5,3369	0,9248	0,0337	-0,3787	0,0101	0,8622	-0,9396	-6,3098	0,9885	0,0968	-0,1158	0,0113	img_PilotCamera_Segmentation_1581107896943.jpg,img_FrontCenter_Segmentation_1581107896964.jpg
1581107897014	0,6272	-1,1406	-5,3298	0,9243	0,0607	-0,3762	0,0216	0,8571	-0,9395	-6,3030	0,9884	0,0984	-0,1152	0,0115	img_PilotCamera_Segmentation_1581107896995.jpg,img_FrontCenter_Segmentation_1581107897014.jpg
1581107897072	0,6231	-1,1439	-5,3226	0,9236	0,0881	-0,3717	0,0332	0,8508	-0,9395	-6,2964	0,9884	0,1000	-0,1140	0,0115	img_PilotCamera_Segmentation_1581107897053.jpg,img_FrontCenter_Segmentation_1581107897072.jpg
1581107897123	0,6178	-1,1478	-5,3137	0,9226	0,1183	-0,3642	0,0460	0,8415	-0,9395	-6,2883	0,9884	0,1018	-0,1120	0,0115	img_PilotCamera_Segmentation_1581107897103.jpg,img_FrontCenter_Segmentation_1581107897123.jpg
1581107897172	0,6120	-1,1516	-5,3047	0,9220	0,1418	-0,3558	0,0561	0,8311	-0,9395	-6,2804	0,9885	0,1036	-0,1096	0,0115	img_PilotCamera_Segmentation_1581107897155.jpg,img_FrontCenter_Segmentation_1581107897172.jpg
1581107897231	0,6028	-1,1568	-5,2911	0,9232	0,1588	-0,3441	0,0639	0,8147	-0,9396	-6,2684	0,9886	0,1061	-0,1060	0,0114	img_PilotCamera_Segmentation_1581107897209.jpg,img_FrontCenter_Segmentation_1581107897231.jpg
1581107897285	0,5931	-1,1617	-5,2776	0,9294	0,1397	-0,3367	0,0576	0,7996	-0,9395	-6,2561	0,9887	0,1085	-0,1031	0,0113	img_PilotCamera_Segmentation_1581107897263.jpg,img_FrontCenter_Segmentation_1581107897285.jpg
1581107897334	0,5824	-1,1647	-5,2630	0,9353	0,1164	-0,3304	0,0494	0,7841	-0,9392	-6,2424	0,9887	0,1101	-0,1008	0,0112	img_PilotCamera_Segmentation_1581107897316.jpg,img_FrontCenter_Segmentation_1581107897334.jpg
1581107897386	0,5708	-1,1655	-5,2478	0,9397	0,0987	-0,3247	0,0429	0,7686	-0,9389	-6,2280	0,9889	0,1107	-0,0987	0,0111	img_PilotCamera_Segmentation_1581107897364.jpg,img_FrontCenter_Segmentation_1581107897386.jpg
