Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581108325506	-7,7040	4,3713	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7681	-0,6404	0,0000	0,0000	img_PilotCamera_Segmentation_1581108325422.jpg,img_FrontCenter_Segmentation_1581108325506.jpg
1581108325625	-7,7040	4,2283	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7696	-0,6385	0,0000	0,0000	img_PilotCamera_Segmentation_1581108325610.jpg,img_FrontCenter_Segmentation_1581108325625.jpg
1581108325647	-7,7040	4,1884	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7700	-0,6380	0,0000	0,0000	img_PilotCamera_Segmentation_1581108325637.jpg,img_FrontCenter_Segmentation_1581108325647.jpg
1581108325711	-7,7040	4,1039	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7710	-0,6369	0,0000	0,0000	img_PilotCamera_Segmentation_1581108325696.jpg,img_FrontCenter_Segmentation_1581108325711.jpg
1581108325762	-7,7040	4,0331	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7718	-0,6359	0,0000	0,0000	img_PilotCamera_Segmentation_1581108325749.jpg,img_FrontCenter_Segmentation_1581108325762.jpg
1581108325816	-7,7040	3,9622	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7726	-0,6349	0,0000	0,0000	img_PilotCamera_Segmentation_1581108325804.jpg,img_FrontCenter_Segmentation_1581108325816.jpg
1581108325870	-7,7040	3,8976	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7734	-0,6339	0,0000	0,0000	img_PilotCamera_Segmentation_1581108325855.jpg,img_FrontCenter_Segmentation_1581108325870.jpg
1581108325926	-7,7040	3,8242	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7743	-0,6328	0,0000	0,0000	img_PilotCamera_Segmentation_1581108325913.jpg,img_FrontCenter_Segmentation_1581108325926.jpg
1581108325978	-7,7040	3,7505	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7753	-0,6317	0,0000	0,0000	img_PilotCamera_Segmentation_1581108325966.jpg,img_FrontCenter_Segmentation_1581108325978.jpg
1581108326032	-7,7040	3,6424	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7767	-0,6299	0,0000	0,0000	img_PilotCamera_Segmentation_1581108326019.jpg,img_FrontCenter_Segmentation_1581108326032.jpg
1581108326084	-7,7040	3,5588	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7778	-0,6285	0,0000	0,0000	img_PilotCamera_Segmentation_1581108326071.jpg,img_FrontCenter_Segmentation_1581108326084.jpg
1581108326133	-7,7040	3,4655	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7791	-0,6269	0,0000	0,0000	img_PilotCamera_Segmentation_1581108326121.jpg,img_FrontCenter_Segmentation_1581108326133.jpg
1581108326189	-7,7040	3,3620	13,1274	1,0000	0,0000	0,0000	0,0000	-7,7040	-1,0970	12,1274	0,7807	-0,6250	0,0000	0,0000	img_PilotCamera_Segmentation_1581108326176.jpg,img_FrontCenter_Segmentation_1581108326189.jpg
