Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581361052161	2,1163	2,6139	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,7938	-0,6082	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052139.jpg,img_FrontCenter_Segmentation_1581361052161.jpg
1581361052218	2,1163	2,5273	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,7956	-0,6058	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052212.jpg,img_FrontCenter_Segmentation_1581361052218.jpg
1581361052266	2,1163	2,4869	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,7965	-0,6047	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052264.jpg,img_FrontCenter_Segmentation_1581361052266.jpg
1581361052320	2,1163	2,4466	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,7974	-0,6035	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052316.jpg,img_FrontCenter_Segmentation_1581361052320.jpg
1581361052371	2,1163	2,4008	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,7984	-0,6021	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052367.jpg,img_FrontCenter_Segmentation_1581361052371.jpg
1581361052425	2,1163	2,3497	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,7996	-0,6006	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052421.jpg,img_FrontCenter_Segmentation_1581361052425.jpg
1581361052482	2,1163	2,2793	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8012	-0,5983	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052480.jpg,img_FrontCenter_Segmentation_1581361052482.jpg
1581361052534	2,1163	2,2165	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8028	-0,5963	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052531.jpg,img_FrontCenter_Segmentation_1581361052534.jpg
1581361052584	2,1163	2,1527	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8044	-0,5941	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052581.jpg,img_FrontCenter_Segmentation_1581361052584.jpg
1581361052644	2,1163	2,0801	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8063	-0,5915	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052640.jpg,img_FrontCenter_Segmentation_1581361052644.jpg
1581361052698	2,1163	1,9979	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8085	-0,5884	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052694.jpg,img_FrontCenter_Segmentation_1581361052698.jpg
1581361052756	2,1163	1,8901	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8116	-0,5842	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052752.jpg,img_FrontCenter_Segmentation_1581361052756.jpg
1581361052808	2,1163	1,8121	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8140	-0,5809	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052805.jpg,img_FrontCenter_Segmentation_1581361052808.jpg
1581361052861	2,1163	1,7194	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8169	-0,5768	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052856.jpg,img_FrontCenter_Segmentation_1581361052861.jpg
1581361052917	2,1163	1,6052	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8207	-0,5714	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052914.jpg,img_FrontCenter_Segmentation_1581361052917.jpg
1581361052973	2,1163	1,5087	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8241	-0,5664	0,0000	0,0000	img_PilotCamera_Segmentation_1581361052969.jpg,img_FrontCenter_Segmentation_1581361052973.jpg
1581361053024	2,1163	1,4280	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8271	-0,5620	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053019.jpg,img_FrontCenter_Segmentation_1581361053024.jpg
1581361053073	2,1163	1,3611	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8297	-0,5582	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053069.jpg,img_FrontCenter_Segmentation_1581361053073.jpg
1581361053134	2,1163	1,2702	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8334	-0,5527	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053130.jpg,img_FrontCenter_Segmentation_1581361053134.jpg
1581361053186	2,1163	1,2056	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8362	-0,5485	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053184.jpg,img_FrontCenter_Segmentation_1581361053186.jpg
1581361053237	2,1163	1,1425	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8390	-0,5442	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053234.jpg,img_FrontCenter_Segmentation_1581361053237.jpg
1581361053289	2,1163	1,0972	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8410	-0,5410	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053286.jpg,img_FrontCenter_Segmentation_1581361053289.jpg
1581361053341	2,1163	1,0436	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8436	-0,5370	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053339.jpg,img_FrontCenter_Segmentation_1581361053341.jpg
1581361053394	2,1163	0,9978	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8458	-0,5335	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053390.jpg,img_FrontCenter_Segmentation_1581361053394.jpg
1581361053450	2,1163	1,0117	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8451	-0,5346	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053446.jpg,img_FrontCenter_Segmentation_1581361053450.jpg
1581361053503	2,1163	1,0188	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8448	-0,5351	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053500.jpg,img_FrontCenter_Segmentation_1581361053503.jpg
1581361053558	2,1163	1,0286	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8443	-0,5359	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053556.jpg,img_FrontCenter_Segmentation_1581361053558.jpg
1581361053611	2,1163	1,0432	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8436	-0,5370	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053608.jpg,img_FrontCenter_Segmentation_1581361053611.jpg
1581361053662	2,1163	1,0622	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8427	-0,5384	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053659.jpg,img_FrontCenter_Segmentation_1581361053662.jpg
1581361053713	2,1163	1,0824	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8417	-0,5399	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053712.jpg,img_FrontCenter_Segmentation_1581361053713.jpg
1581361053766	2,1163	1,1200	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8400	-0,5426	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053765.jpg,img_FrontCenter_Segmentation_1581361053766.jpg
1581361053825	2,1163	1,1507	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8386	-0,5448	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053822.jpg,img_FrontCenter_Segmentation_1581361053825.jpg
1581361053879	2,1163	1,1897	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8369	-0,5474	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053875.jpg,img_FrontCenter_Segmentation_1581361053879.jpg
1581361053937	2,1163	1,2411	-2,0504	1,0000	0,0000	0,0000	0,0000	2,1163	-1,0970	-3,0504	0,8346	-0,5508	0,0000	0,0000	img_PilotCamera_Segmentation_1581361053933.jpg,img_FrontCenter_Segmentation_1581361053937.jpg
1581361053988	2,1163	1,2877	-2,0504	0,9999	0,0106	0,0010	0,0000	2,1157	-1,0970	-3,0504	0,8327	-0,5538	0,0002	0,0002	img_PilotCamera_Segmentation_1581361053985.jpg,img_FrontCenter_Segmentation_1581361053988.jpg
1581361054046	2,1163	1,3305	-2,0502	0,9993	0,0368	0,0037	-0,0001	2,1141	-1,0970	-3,0502	0,8309	-0,5564	0,0009	0,0006	img_PilotCamera_Segmentation_1581361054042.jpg,img_FrontCenter_Segmentation_1581361054046.jpg
1581361054099	2,1163	1,3677	-2,0498	0,9979	0,0644	0,0078	-0,0001	2,1116	-1,0970	-3,0498	0,8294	-0,5586	0,0020	0,0013	img_PilotCamera_Segmentation_1581361054096.jpg,img_FrontCenter_Segmentation_1581361054099.jpg
1581361054152	2,1163	1,4252	-2,0477	0,9946	0,1027	0,0158	-0,0003	2,1068	-1,0970	-3,0477	0,8272	-0,5619	0,0040	0,0027	img_PilotCamera_Segmentation_1581361054150.jpg,img_FrontCenter_Segmentation_1581361054152.jpg
1581361054204	2,1164	1,4654	-2,0449	0,9948	0,0997	0,0209	0,0001	2,1036	-1,0970	-3,0449	0,8257	-0,5641	0,0053	0,0036	img_PilotCamera_Segmentation_1581361054200.jpg,img_FrontCenter_Segmentation_1581361054204.jpg
1581361054256	2,1165	1,5123	-2,0401	0,9963	0,0822	0,0263	0,0007	2,1005	-1,0970	-3,0400	0,8239	-0,5666	0,0066	0,0045	img_PilotCamera_Segmentation_1581361054253.jpg,img_FrontCenter_Segmentation_1581361054256.jpg
1581361054305	2,1166	1,5592	-2,0340	0,9971	0,0689	0,0309	0,0010	2,0978	-1,0970	-3,0338	0,8223	-0,5690	0,0077	0,0053	img_PilotCamera_Segmentation_1581361054304.jpg,img_FrontCenter_Segmentation_1581361054305.jpg
