Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1581361052917	-2.1163	2.0504	1.6052	0.707	0.0	0.0	0.707	1581361052973	-2.1163	2.0504	1.5087	0.707	0.0	0.0	0.707	-2.151155566561791	2.016794433438209	2.512444433438209	0.17196249759393645	-0.07180271849654452	-0.3785594358912896	0.9066234182588876	0	1	img_PilotCamera_Segmentation_1581361052969.jpg,img_FrontCenter_Segmentation_1581361052973.jpg
1581361053024	-2.1163	2.0504	1.428	0.707	0.0	0.0	0.707	1581361053073	-2.1163	2.0504	1.3611	0.707	0.0	0.0	0.707	-2.1025075291408375	2.0654424708591623	2.5610924708591623	0.15646153730923845	-0.06293617002474282	-0.3678418179178271	0.9144677265143668	2	3	img_PilotCamera_Segmentation_1581361053069.jpg,img_FrontCenter_Segmentation_1581361053073.jpg
1581361053134	-2.1163	2.0504	1.2702	0.707	0.0	0.0	0.707	1581361053186	-2.1163	2.0504	1.2056	0.707	0.0	0.0	0.707	-2.144922411819634	2.0230275881803657	2.5186775881803656	0.05939719259758288	0.01799880707992176	0.2894432644401225	0.9551809321408539	4	5	img_PilotCamera_Segmentation_1581361053184.jpg,img_FrontCenter_Segmentation_1581361053186.jpg
1581361053237	-2.1163	2.0504	1.1425	0.707	0.0	0.0	0.707	1581361053289	-2.1163	2.0504	1.0972	0.707	0.0	0.0	0.707	-2.154015257375258	2.013934742624742	2.509584742624742	0.11261104042360356	0.11056197562778836	0.6918058366660705	0.7046271975128068	6	7	img_PilotCamera_Segmentation_1581361053286.jpg,img_FrontCenter_Segmentation_1581361053289.jpg
1581361053341	-2.1163	2.0504	1.0436	0.707	0.0	0.0	0.707	1581361053394	-2.1163	2.0504	0.9978	0.707	0.0	0.0	0.707	-2.1432404293925984	2.0247095706074014	2.5203595706074013	0.0786155959701415	-0.04900686479349418	-0.5267310278250489	0.8449688394253004	8	9	img_PilotCamera_Segmentation_1581361053390.jpg,img_FrontCenter_Segmentation_1581361053394.jpg
1581361053662	-2.1163	2.0504	1.0622	0.707	0.0	0.0	0.707	1581361053713	-2.1163	2.0504	1.0824	0.707	0.0	0.0	0.707	-2.17001846776937	1.99793153223063	2.4935815322306296	-0.029156294492497986	0.0801561386048021	0.936336341737448	-0.34058649279906483	10	11	img_PilotCamera_Segmentation_1581361053712.jpg,img_FrontCenter_Segmentation_1581361053713.jpg
1581361053766	-2.1163	2.0504	1.12	0.707	0.0	0.0	0.707	1581361053825	-2.1163	2.0504	1.1507	0.707	0.0	0.0	0.707	-2.16863396152798	1.9993160384720194	2.4949660384720196	0.16097322506055753	-0.01849040945072077	-0.11260801426152779	0.9803393089619652	12	13	img_PilotCamera_Segmentation_1581361053822.jpg,img_FrontCenter_Segmentation_1581361053825.jpg
1581361053879	-2.1163	2.0504	1.1897	0.707	0.0	0.0	0.707	1581361053937	-2.1163	2.0504	1.2411	0.707	0.0	0.0	0.707	-2.037468503143747	2.1304814968562527	2.6261314968562526	0.10698961159258834	-0.05593169491037267	-0.459900094114357	0.8797253957624082	14	15	img_PilotCamera_Segmentation_1581361053933.jpg,img_FrontCenter_Segmentation_1581361053937.jpg
1581361053988	-2.1163	2.0504	1.2877	0.6994351	-0.000707	-0.000707	0.7144235	1581361054046	-2.1163	2.0502	1.3305	0.6804874999999999	-0.0026866	-0.0025452	0.7325226999999999	-2.1712074597110163	1.9967425402889833	2.4923925402889835	0.033208960233150474	0.03655967519098898	0.7393097898617402	0.6715516284879011	16	17	img_PilotCamera_Segmentation_1581361054042.jpg,img_FrontCenter_Segmentation_1581361054046.jpg
1581361054099	-2.1163	2.0498	1.3677	0.6599845	-0.0055853	-0.0054439	0.7510460999999999	1581361054152	-2.1163	2.0477	1.4252	0.6305733	-0.0113827	-0.010958500000000001	0.7757911	-2.1356933240007154	2.0322566759992844	2.5279066759992843	0.15938354259084836	-0.07770115862062812	-0.4312661069722862	0.8846292790074111	18	19	img_PilotCamera_Segmentation_1581361054150.jpg,img_FrontCenter_Segmentation_1581361054152.jpg
1581361054204	-2.1164	2.0449	1.4654	0.6328357	-0.014705599999999997	-0.014846999999999997	0.7738114999999999	1581361054256	-2.1165	2.0401	1.5123	0.6462686999999999	-0.0180992	-0.019089	0.7624995	-2.0991621742010103	2.0687878257989896	2.5644378257989895	0.18382659145288072	0.04338504267031747	0.2255656935033543	0.9557435012918797	20	21	img_PilotCamera_Segmentation_1581361054253.jpg,img_FrontCenter_Segmentation_1581361054256.jpg
1581361054305	-2.1166	2.034	1.5592	0.6562373999999999	-0.0211393	-0.0225533	0.7536619999999999	1581361054358	-2.1167	2.0275	1.603	0.6635195	-0.0236845	-0.0253813	0.7470869	-2.0261900844719043	2.1238599155280955	2.6233399155280956	0.0846417341213894	0.20975891431659568	0.9033127043776151	0.3645039544636607	22	23	img_PilotCamera_Segmentation_1581361054355.jpg,img_FrontCenter_Segmentation_1581361054358.jpg
1581361054411	-2.1168	2.0191	1.6555	0.6705188	-0.0264418	-0.0281386	0.7406531999999999	1581361054465	-2.117	2.0092	1.7143	0.6765282999999999	-0.0290577	-0.030754499999999997	0.7349264999999999	-2.011123234406835	2.138926765593165	2.638406765593165	-0.08281501505739577	0.32645004763475033	0.9126698214958595	-0.23152934287262328	24	25	img_PilotCamera_Segmentation_1581361054461.jpg,img_FrontCenter_Segmentation_1581361054465.jpg
1581361055915	-2.14	1.5158	3.2302	0.6971727	-0.0878094	-0.0878094	0.7057980999999999	1581361055968	-2.1418	1.4884	3.2628	0.6986574	-0.08307250000000001	-0.0829311	0.7055859999999999	-2.043391845335784	2.1053981546642158	2.672788154664216	0.3856122275081715	0.9023689091761311	0.17696048066845532	0.07562109513921714	26	27	img_PilotCamera_Segmentation_1581361055966.jpg,img_FrontCenter_Segmentation_1581361055968.jpg
1581361056020	-2.1432	1.4648	3.2844	0.6996471999999999	-0.0793961	-0.07925469999999998	0.7054446	1581361056071	-2.1447	1.4426	3.2992	0.7004956	-0.07621460000000001	-0.0760732	0.7053031999999999	-2.1441432362221735	2.0046467637778265	2.5720367637778265	0.44433047689198735	0.8854711601982868	0.1216045015437537	0.061021282896496325	28	29	img_PilotCamera_Segmentation_1581361056069.jpg,img_FrontCenter_Segmentation_1581361056071.jpg
1581361056125	-2.1459	1.423	3.3077	0.7010611999999999	-0.0736694	-0.07352799999999998	0.7053032	1581361056182	-2.1472	1.4021	3.312	0.7016267999999999	-0.0711949	-0.07105349999999999	0.7051618	-2.086128024833578	2.062661975166422	2.630051975166422	0.2447401307568379	0.9465709597787066	0.20332722362765404	0.052571157801725214	30	31	img_PilotCamera_Segmentation_1581361056180.jpg,img_FrontCenter_Segmentation_1581361056182.jpg
1581361056240	-2.1491	1.372	3.3096	0.7023337999999999	-0.0680134	-0.06787199999999999	0.7051618	1581361056291	-2.1505	1.3511	3.3018	0.7026873	-0.0660338	-0.06589239999999999	0.7050911	-2.0147487575387397	2.1340412424612603	2.7014312424612603	0.013689326675853784	0.8588375535031071	0.512000056459719	0.008160956635331059	32	33	img_PilotCamera_Segmentation_1581361056288.jpg,img_FrontCenter_Segmentation_1581361056291.jpg
1581361056338	-2.1518	1.3301	3.289	0.7031114999999999	-0.06426630000000001	-0.0641249	0.7050911	1581361056391	-2.1532	1.3079	3.27	0.7033943	-0.0624988	-0.0623574	0.7050911	-2.035625542051137	2.113164457948863	2.680554457948863	-0.2501141585694776	0.8930764527108704	0.3601190187220071	-0.10085459657918086	34	35	img_PilotCamera_Segmentation_1581361056388.jpg,img_FrontCenter_Segmentation_1581361056391.jpg
1581361056446	-2.1546	1.2857	3.2453	0.7036770999999999	-0.060943399999999995	-0.060801999999999995	0.7050911	1581361056505	-2.1564	1.2569	3.2051	0.7039599	-0.059034500000000004	-0.059034500000000004	0.7050911000000001	-2.135520823227476	2.013269176772524	2.580659176772524	-0.12050249923799217	0.9203795799693828	0.36884746411139757	-0.04829207669350683	36	37	img_PilotCamera_Segmentation_1581361056503.jpg,img_FrontCenter_Segmentation_1581361056505.jpg
1581361056555	-2.1578	1.2347	3.171	0.704172	-0.0578326	-0.0578326	0.7051618	1581361056614	-2.1593	1.2124	3.1407	0.7043134	-0.0566307	-0.0566307	0.7051618	-2.140988085857675	0.6493719141423253	2.4279819141423253	0.8525963382930095	0.1520626414071753	0.08778320816971151	0.492189542128902	38	39	img_PilotCamera_Segmentation_1581361056612.jpg,img_FrontCenter_Segmentation_1581361056614.jpg
1581361062020	-2.6007	-1.3546	2.1641	0.5180189	-0.2127363	-0.48224469999999997	0.6734175	1581361062080	-2.6245	-1.3464	2.1483	0.5120094	-0.20955479999999999	-0.49108219999999997	0.6726398	-1.8471719990875668	-1.7631219990875668	2.2299080009124332	0.4948848007799605	0.30064427612586936	0.42330266527886296	0.6967904324526433	40	41	img_PilotCamera_Segmentation_1581361062077.jpg,img_FrontCenter_Segmentation_1581361062080.jpg
