Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581361417024	6,2143	1,7102	-1,7209	1,0000	0,0000	0,0000	0,0000	6,2143	-1,0970	-2,7209	0,8172	-0,5764	0,0000	0,0000	img_PilotCamera_Segmentation_1581361417005.jpg,img_FrontCenter_Segmentation_1581361417024.jpg
1581361417103	6,2143	1,6217	-1,7209	1,0000	0,0000	0,0000	0,0000	6,2143	-1,0970	-2,7209	0,8201	-0,5722	0,0000	0,0000	img_PilotCamera_Segmentation_1581361417076.jpg,img_FrontCenter_Segmentation_1581361417103.jpg
1581361417149	6,2143	1,5787	-1,7209	1,0000	0,0000	0,0000	0,0000	6,2143	-1,0970	-2,7209	0,8216	-0,5700	0,0000	0,0000	img_PilotCamera_Segmentation_1581361417124.jpg,img_FrontCenter_Segmentation_1581361417149.jpg
1581361417200	6,2143	1,5403	-1,7209	1,0000	0,0000	0,0000	0,0000	6,2143	-1,0970	-2,7209	0,8230	-0,5681	0,0000	0,0000	img_PilotCamera_Segmentation_1581361417184.jpg,img_FrontCenter_Segmentation_1581361417200.jpg
1581361417231	6,2143	1,4970	-1,7209	1,0000	0,0000	0,0000	0,0000	6,2143	-1,0970	-2,7209	0,8245	-0,5658	0,0000	0,0000	img_PilotCamera_Segmentation_1581361417229.jpg,img_FrontCenter_Segmentation_1581361417231.jpg
1581361417284	6,2143	1,4459	-1,7209	1,0000	0,0000	0,0000	0,0000	6,2143	-1,0970	-2,7209	0,8264	-0,5630	0,0000	0,0000	img_PilotCamera_Segmentation_1581361417281.jpg,img_FrontCenter_Segmentation_1581361417284.jpg
1581361417339	6,2143	1,3895	-1,7209	1,0000	0,0000	0,0000	0,0000	6,2143	-1,0970	-2,7209	0,8286	-0,5599	0,0000	0,0000	img_PilotCamera_Segmentation_1581361417335.jpg,img_FrontCenter_Segmentation_1581361417339.jpg
1581361417394	6,2143	1,3089	-1,7209	1,0000	0,0000	0,0000	0,0000	6,2143	-1,0970	-2,7209	0,8318	-0,5551	0,0000	0,0000	img_PilotCamera_Segmentation_1581361417392.jpg,img_FrontCenter_Segmentation_1581361417394.jpg
1581361417447	6,2143	1,2491	-1,7209	1,0000	0,0000	0,0000	0,0000	6,2143	-1,0970	-2,7209	0,8343	-0,5513	0,0000	0,0000	img_PilotCamera_Segmentation_1581361417444.jpg,img_FrontCenter_Segmentation_1581361417447.jpg
1581361417498	6,2143	1,1900	-1,7209	1,0000	0,0000	0,0000	0,0000	6,2143	-1,0970	-2,7209	0,8368	-0,5474	0,0000	0,0000	img_PilotCamera_Segmentation_1581361417496.jpg,img_FrontCenter_Segmentation_1581361417498.jpg
