Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1581361418700	-6.2143	1.7209	0.8416	0.7012733	-0.09000109999999999	-0.09000109999999999	0.7012733	1581361418752	-6.2143	1.7209	0.8474	0.6992229999999999	-0.10435320000000001	-0.10435320000000001	0.6992229999999999	-6.127798503143747	1.8069814968562528	1.7232314968562525	0.15766966896551005	-0.08257338506461098	-0.45653122286625464	0.8717230948618488	0	1	img_PilotCamera_Segmentation_1581361418749.jpg,img_FrontCenter_Segmentation_1581361418752.jpg
1581361421482	-6.991	1.2503	1.5928	0.45827739999999995	-0.37944690000000003	-0.41960450000000005	0.6853657999999999	1581361421532	-7.0207	1.2313	1.5714	0.4367139	-0.38764809999999994	-0.41196889999999997	0.6992936999999999	-6.18509269766865	1.75004730233135	1.7393473023313502	0.3639500162238243	0.5692137814465271	0.6211354940415151	0.3971482780320547	2	3	img_PilotCamera_Segmentation_1581361421530.jpg,img_FrontCenter_Segmentation_1581361421532.jpg
1581361421585	-7.0522	1.2092	1.5528	0.4190389	-0.3955665	-0.40475749999999994	0.7097573	1581361421635	-7.0858	1.1838	1.5368	0.4064543	-0.4032728	-0.398041	0.7165444999999999	-6.249432099347147	1.6857079006528528	1.6750079006528529	0.41313133094786614	0.5025498217859313	0.5866631833873321	0.48227843541880966	4	5	img_PilotCamera_Segmentation_1581361421632.jpg,img_FrontCenter_Segmentation_1581361421635.jpg
1581361421691	-7.1213	1.156	1.5211	0.41649369999999997	-0.4012932	-0.40200020000000003	0.7096159	1581361421743	-7.1542	1.129	1.5085	0.43593619999999994	-0.3957786	-0.4096358	0.6965363999999998	-6.303012854801015	1.6321271451989847	1.6214271451989848	0.2758233214102696	0.6891289843478758	0.6221109496219293	0.24899940694381903	6	7	img_PilotCamera_Segmentation_1581361421740.jpg,img_FrontCenter_Segmentation_1581361421743.jpg
1581361421794	-7.1957	1.0936	1.4963	0.45537869999999997	-0.39047609999999994	-0.41677649999999994	0.6827498999999999	1581361421847	-7.2463	1.0482	1.4866	0.47347789999999995	-0.3853857	-0.42313949999999995	0.6693169	-8.155724177649445	0.5713398223505542	1.3620458223505543	0.6114938664575698	-0.410810729775334	-0.3771125963067728	0.5613340229248487	8	9	img_PilotCamera_Segmentation_1581361421845.jpg,img_FrontCenter_Segmentation_1581361421847.jpg
1581361421899	-7.2886	1.0086	1.4824	0.4855676	-0.38170930000000003	-0.4272401	0.6600552	1581361421950	-7.3315	0.9673	1.4789	0.4965968	-0.3774673	-0.42950249999999995	0.6527024	-8.170222844645656	0.5568411553543442	1.3475471553543443	0.682650952408001	-0.3784717847868508	-0.3030974624138367	0.546698009485125	10	11	img_PilotCamera_Segmentation_1581361421948.jpg,img_FrontCenter_Segmentation_1581361421950.jpg
1581361422003	-7.3749	0.9246	1.4749	0.5080502	-0.37428579999999995	-0.42872479999999996	0.6463394	1581361422053	-7.4185	0.8808	1.4701	0.5219780999999999	-0.3754877	-0.42186689999999993	0.6389159	-8.206295159107604	0.5207688408923958	1.3114748408923957	0.7342305596288939	-0.2234453319102285	-0.18664420841430276	0.6133038467350154	12	13	img_PilotCamera_Segmentation_1581361422050.jpg,img_FrontCenter_Segmentation_1581361422053.jpg
1581361423461	-8.7525	-0.2351	1.3131	0.6583583999999999	-0.2678116	-0.2610244	0.6529851999999999	1581361423515	-8.8013	-0.2685	1.2954	0.6623176	-0.2563582	-0.2507022	0.6576514	-8.2367383088227	0.49427369117730124	1.3004616911773013	0.07901589838446349	0.7726289225003211	0.6266529184047975	0.06408709521611312	14	15	img_PilotCamera_Segmentation_1581361423512.jpg,img_FrontCenter_Segmentation_1581361423515.jpg
1581361423566	-8.8532	-0.3039	1.274	0.665994	-0.24532900000000002	-0.2405214	0.6618934000000001	1581361423617	-8.9021	-0.3372	1.2542	0.6690341	-0.2356431	-0.2316839	0.6654990999999999	-9.815577479628317	-0.9152504796283162	1.1482225203716838	0.5799407331837387	-0.3828710177179585	-0.3961799458339575	0.6000999752582272	16	17	img_PilotCamera_Segmentation_1581361423614.jpg,img_FrontCenter_Segmentation_1581361423617.jpg
1581361423668	-8.957	-0.3746	1.2341	0.6720742	-0.22553299999999996	-0.22228079999999997	0.6691047999999999	1581361423718	-9.0059	-0.4077	1.2182	0.6744779999999999	-0.21726109999999998	-0.2145745	0.6719328	-9.711900098108444	-0.8115730981084448	1.2518999018915553	0.5505811472247992	-0.45606568624687105	-0.446019264484788	0.5384526960256056	18	19	img_PilotCamera_Segmentation_1581361423714.jpg,img_FrontCenter_Segmentation_1581361423718.jpg
1581361423771	-9.0701	-0.4512	1.2005	0.677306	-0.2072924	-0.2051714	0.6751849999999999	1581361423824	-9.1251	-0.4884	1.1882	0.6794269999999999	-0.19944469999999997	-0.19774789999999998	0.6775888	-9.855917213609278	-0.9555902136092775	1.1078827863907226	0.6152393562899021	-0.2796404913829991	-0.3049919764803895	0.6710153681799302	20	21	img_PilotCamera_Segmentation_1581361423821.jpg,img_FrontCenter_Segmentation_1581361423824.jpg
1581361425333	-10.2088	-1.8636	1.2832	0.6741951999999999	0.033865299999999994	-0.0980609	0.731038	1581361425384	-10.2289	-1.9197	1.2819	0.6788614	0.02828	-0.08484	0.7286341999999999	-9.853417237592362	-0.9593002375923615	1.1931727624076385	0.20721965783507315	0.7720018055530039	0.5803505696557016	0.15577689793393557	22	23	img_PilotCamera_Segmentation_1581361425381.jpg,img_FrontCenter_Segmentation_1581361425384.jpg
