Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581362289989	9,7682	6,0611	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7544	-0,6564	0,0000	0,0000	img_PilotCamera_Segmentation_1581362289947.jpg,img_FrontCenter_Segmentation_1581362289989.jpg
1581362290134	9,7682	5,9490	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7552	-0,6555	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290067.jpg,img_FrontCenter_Segmentation_1581362290134.jpg
1581362290169	9,7682	5,9318	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7553	-0,6554	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290147.jpg,img_FrontCenter_Segmentation_1581362290169.jpg
1581362290201	9,7682	5,8093	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7561	-0,6545	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290197.jpg,img_FrontCenter_Segmentation_1581362290201.jpg
1581362290250	9,7682	5,7541	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7564	-0,6541	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290245.jpg,img_FrontCenter_Segmentation_1581362290250.jpg
1581362290302	9,7682	5,6974	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7568	-0,6536	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290299.jpg,img_FrontCenter_Segmentation_1581362290302.jpg
1581362290355	9,7682	5,6322	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7573	-0,6531	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290350.jpg,img_FrontCenter_Segmentation_1581362290355.jpg
1581362290414	9,7682	5,5360	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7580	-0,6523	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290410.jpg,img_FrontCenter_Segmentation_1581362290414.jpg
1581362290465	9,7682	5,4637	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7585	-0,6517	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290461.jpg,img_FrontCenter_Segmentation_1581362290465.jpg
1581362290514	9,7682	5,3822	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7591	-0,6509	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290511.jpg,img_FrontCenter_Segmentation_1581362290514.jpg
1581362290567	9,7682	5,3012	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7597	-0,6502	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290563.jpg,img_FrontCenter_Segmentation_1581362290567.jpg
1581362290618	9,7682	5,2051	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7605	-0,6493	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290614.jpg,img_FrontCenter_Segmentation_1581362290618.jpg
1581362290670	9,7682	5,1098	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7613	-0,6484	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290665.jpg,img_FrontCenter_Segmentation_1581362290670.jpg
1581362290723	9,7682	5,0220	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7620	-0,6476	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290718.jpg,img_FrontCenter_Segmentation_1581362290723.jpg
1581362290773	9,7682	4,9185	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7629	-0,6465	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290767.jpg,img_FrontCenter_Segmentation_1581362290773.jpg
1581362290829	9,7682	4,7783	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7641	-0,6451	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290826.jpg,img_FrontCenter_Segmentation_1581362290829.jpg
1581362290883	9,7682	4,6673	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7652	-0,6438	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290879.jpg,img_FrontCenter_Segmentation_1581362290883.jpg
1581362290934	9,7682	4,5610	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7662	-0,6426	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290930.jpg,img_FrontCenter_Segmentation_1581362290934.jpg
1581362290985	9,7682	4,5368	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7664	-0,6424	0,0000	0,0000	img_PilotCamera_Segmentation_1581362290981.jpg,img_FrontCenter_Segmentation_1581362290985.jpg
1581362291039	9,7682	4,5394	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7664	-0,6424	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291036.jpg,img_FrontCenter_Segmentation_1581362291039.jpg
1581362291090	9,7682	4,5458	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7663	-0,6425	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291086.jpg,img_FrontCenter_Segmentation_1581362291090.jpg
1581362291146	9,7682	4,5609	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7662	-0,6426	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291143.jpg,img_FrontCenter_Segmentation_1581362291146.jpg
1581362291201	9,7682	4,5776	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7660	-0,6428	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291197.jpg,img_FrontCenter_Segmentation_1581362291201.jpg
1581362291253	9,7682	4,5985	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7658	-0,6431	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291249.jpg,img_FrontCenter_Segmentation_1581362291253.jpg
1581362291307	9,7682	4,6238	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7656	-0,6434	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291304.jpg,img_FrontCenter_Segmentation_1581362291307.jpg
1581362291361	9,7682	4,6514	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7653	-0,6437	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291356.jpg,img_FrontCenter_Segmentation_1581362291361.jpg
1581362291412	9,7682	4,6955	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7649	-0,6442	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291409.jpg,img_FrontCenter_Segmentation_1581362291412.jpg
1581362291464	9,7682	4,7344	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7645	-0,6446	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291460.jpg,img_FrontCenter_Segmentation_1581362291464.jpg
1581362291514	9,7682	4,7774	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7641	-0,6451	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291512.jpg,img_FrontCenter_Segmentation_1581362291514.jpg
1581362291566	9,7682	4,8188	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7638	-0,6455	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291563.jpg,img_FrontCenter_Segmentation_1581362291566.jpg
1581362291617	9,7682	4,8694	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7633	-0,6460	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291614.jpg,img_FrontCenter_Segmentation_1581362291617.jpg
1581362291667	9,7682	4,9241	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7628	-0,6466	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291663.jpg,img_FrontCenter_Segmentation_1581362291667.jpg
1581362291717	9,7682	4,9827	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7623	-0,6472	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291714.jpg,img_FrontCenter_Segmentation_1581362291717.jpg
1581362291768	9,7682	5,0414	-7,0004	1,0000	0,0000	0,0000	0,0000	9,7682	-1,0970	-8,0004	0,7618	-0,6478	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291764.jpg,img_FrontCenter_Segmentation_1581362291768.jpg
1581362291819	9,7682	5,1114	-7,0004	1,0000	0,0000	0,0000	0,0001	9,7682	-1,0970	-8,0004	0,7613	-0,6485	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291815.jpg,img_FrontCenter_Segmentation_1581362291819.jpg
1581362291868	9,7682	5,1805	-7,0004	0,9999	0,0000	-0,0001	0,0106	9,7683	-1,0970	-8,0004	0,7607	-0,6491	0,0000	0,0000	img_PilotCamera_Segmentation_1581362291865.jpg,img_FrontCenter_Segmentation_1581362291868.jpg
1581362291926	9,7681	5,2417	-7,0004	0,9996	0,0000	-0,0015	0,0289	9,7690	-1,0970	-8,0004	0,7602	-0,6497	-0,0003	-0,0003	img_PilotCamera_Segmentation_1581362291922.jpg,img_FrontCenter_Segmentation_1581362291926.jpg
1581362291977	9,7677	5,3101	-7,0004	0,9991	0,0000	-0,0049	0,0429	9,7706	-1,0970	-8,0004	0,7597	-0,6503	-0,0011	-0,0010	img_PilotCamera_Segmentation_1581362291971.jpg,img_FrontCenter_Segmentation_1581362291977.jpg
1581362292027	9,7669	5,3768	-7,0004	0,9991	0,0002	-0,0102	0,0400	9,7730	-1,0970	-8,0003	0,7592	-0,6509	-0,0023	-0,0020	img_PilotCamera_Segmentation_1581362292022.jpg,img_FrontCenter_Segmentation_1581362292027.jpg
1581362292079	9,7653	5,4608	-7,0004	0,9993	0,0006	-0,0205	0,0315	9,7776	-1,0970	-8,0003	0,7585	-0,6516	-0,0047	-0,0040	img_PilotCamera_Segmentation_1581362292075.jpg,img_FrontCenter_Segmentation_1581362292079.jpg
1581362292130	9,7637	5,5240	-7,0004	0,9992	0,0009	-0,0313	0,0265	9,7825	-1,0970	-8,0002	0,7580	-0,6521	-0,0071	-0,0061	img_PilotCamera_Segmentation_1581362292127.jpg,img_FrontCenter_Segmentation_1581362292130.jpg
1581362292181	9,7620	5,5820	-7,0004	0,9988	0,0012	-0,0437	0,0225	9,7882	-1,0970	-8,0000	0,7576	-0,6526	-0,0099	-0,0086	img_PilotCamera_Segmentation_1581362292178.jpg,img_FrontCenter_Segmentation_1581362292181.jpg
