Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1581362290670	-9.7682	7.0004	5.1098	0.707	0.0	0.0	0.707	1581362290723	-9.7682	7.0004	5.022	0.707	0.0	0.0	0.707	-9.860824232061026	6.8993057679389755	5.9731857679389755	0.19841153999307465	0.15828951613836986	0.60321549908885	0.7561139805196351	0	1	img_PilotCamera_Segmentation_1581362290718.jpg,img_FrontCenter_Segmentation_1581362290723.jpg
1581362290773	-9.7682	7.0004	4.9185	0.707	0.0	0.0	0.707	1581362290829	-9.7682	7.0004	4.7783	0.707	0.0	0.0	0.707	-9.808365566561791	6.951764433438209	6.025644433438209	0.15113662969552547	-0.06160610729062442	-0.37240333401623715	0.9136072260672881	2	3	img_PilotCamera_Segmentation_1581362290826.jpg,img_FrontCenter_Segmentation_1581362290829.jpg
1581362290985	-9.7682	7.0004	4.5368	0.707	0.0	0.0	0.707	1581362291039	-9.7682	7.0004	4.5394	0.707	0.0	0.0	0.707	-9.802132411819635	6.9579975881803655	6.0318775881803655	0.05396715459077194	0.014333854322077613	0.25630251942263915	0.9649824378626052	4	5	img_PilotCamera_Segmentation_1581362291036.jpg,img_FrontCenter_Segmentation_1581362291039.jpg
1581362291090	-9.7682	7.0004	4.5458	0.707	0.0	0.0	0.707	1581362291146	-9.7682	7.0004	4.5609	0.707	0.0	0.0	0.707	-9.811225257375257	6.948904742624743	6.022784742624743	0.10499779765882533	0.09938798374944025	0.680217250274218	0.7186111490941391	6	7	img_PilotCamera_Segmentation_1581362291143.jpg,img_FrontCenter_Segmentation_1581362291146.jpg
1581362291201	-9.7682	7.0004	4.5776	0.707	0.0	0.0	0.707	1581362291253	-9.7682	7.0004	4.5985	0.707	0.0	0.0	0.707	-9.8004504293926	6.959679570607402	6.033559570607402	0.08345496308770274	-0.04999801809217384	-0.5114912599524207	0.8537635259925139	8	9	img_PilotCamera_Segmentation_1581362291249.jpg,img_FrontCenter_Segmentation_1581362291253.jpg
1581362291307	-9.7682	7.0004	4.6238	0.707	0.0	0.0	0.707	1581362291361	-9.7682	7.0004	4.6514	0.707	0.0	0.0	0.707	-9.837983585943988	6.922146414056012	5.996026414056012	-0.014463142214036627	0.10932079866638038	0.9853155670644863	-0.13035725448409455	10	11	img_PilotCamera_Segmentation_1581362291356.jpg,img_FrontCenter_Segmentation_1581362291361.jpg
1581362291412	-9.7682	7.0004	4.6955	0.707	0.0	0.0	0.707	1581362291464	-9.7682	7.0004	4.7344	0.707	0.0	0.0	0.707	-9.788859923917228	6.971270076082773	6.0451500760827726	0.08631322126340357	0.17675959059983676	0.8810335311079702	0.4302162154423447	12	13	img_PilotCamera_Segmentation_1581362291460.jpg,img_FrontCenter_Segmentation_1581362291464.jpg
1581362291514	-9.7682	7.0004	4.7774	0.707	0.0	0.0	0.707	1581362291566	-9.7682	7.0004	4.8188	0.707	0.0	0.0	0.707	-9.82722846776937	6.93290153223063	6.00678153223063	-0.03476873975924162	0.08829975948153321	0.9262666974672715	-0.3647249544165186	14	15	img_PilotCamera_Segmentation_1581362291563.jpg,img_FrontCenter_Segmentation_1581362291566.jpg
1581362291617	-9.7682	7.0004	4.8694	0.707	0.0	0.0	0.707	1581362291667	-9.7682	7.0004	4.9241	0.707	0.0	0.0	0.707	-9.82584396152798	6.9342860384720195	6.0081660384720195	0.19692975316550615	-0.022988760732338014	-0.11364668212468725	0.9735371697270805	16	17	img_PilotCamera_Segmentation_1581362291663.jpg,img_FrontCenter_Segmentation_1581362291667.jpg
1581362291717	-9.7682	7.0004	4.9827	0.707	0.0	0.0	0.707	1581362291768	-9.7682	7.0004	5.0414	0.707	0.0	0.0	0.707	-9.694678503143747	7.0654514968562525	6.1393314968562525	0.13399907031559505	-0.06806374852490754	-0.4477252939348157	0.8814497356413905	18	19	img_PilotCamera_Segmentation_1581362291764.jpg,img_FrontCenter_Segmentation_1581362291768.jpg
1581362291819	-9.7682	7.0004	5.1114	0.707	7.07e-05	-7.07e-05	0.707	1581362291868	-9.7682	7.0004	5.1805	0.7069293	0.007564899999999999	-0.0074234999999999995	0.7069293	-9.828417459711016	6.931712540288983	6.005592540288983	0.04380197648356776	0.0429942793073373	0.69917567841617	0.7123105007749527	20	21	img_PilotCamera_Segmentation_1581362291865.jpg,img_FrontCenter_Segmentation_1581362291868.jpg
1581362291926	-9.7681	7.0004	5.2417	0.7067172	0.021492799999999996	-0.019371799999999998	0.7067172	1581362291977	-9.7677	7.0004	5.3101	0.7063636999999999	0.033794599999999994	-0.026865999999999998	0.7063636999999999	-9.792903324000715	6.967226675999285	6.041106675999285	0.22036077829696663	-0.10490539391169268	-0.416841028518405	0.8756023884505488	22	23	img_PilotCamera_Segmentation_1581362291971.jpg,img_FrontCenter_Segmentation_1581362291977.jpg
1581362294427	-9.171	6.4105	5.9359	0.6715793	0.1935766	0.167559	0.6950516999999999	1581362294481	-9.1297	6.372	5.9515	0.6737002999999999	0.19159700000000002	0.1702456	0.6929307	-9.802500664628761	6.957629335371239	6.031509335371239	-0.30836955399070703	0.5726523637566335	0.668788431919462	-0.36013819817706094	24	25	img_PilotCamera_Segmentation_1581362294478.jpg,img_FrontCenter_Segmentation_1581362294481.jpg
