Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581362796885	8,5793	-1,4616	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0970	7,3379	0,9848	0,1739	0,0000	0,0000	img_PilotCamera_Segmentation_1581362796824.jpg,img_FrontCenter_Segmentation_1581362796885.jpg
1581362796994	8,5793	-1,5821	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0918	7,3379	0,9741	0,2259	0,0000	0,0000	img_PilotCamera_Segmentation_1581362796979.jpg,img_FrontCenter_Segmentation_1581362796994.jpg
1581362797012	8,5793	-1,6525	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,9675	0,2529	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797008.jpg,img_FrontCenter_Segmentation_1581362797012.jpg
1581362797067	8,5793	-1,6981	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,9630	0,2693	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797062.jpg,img_FrontCenter_Segmentation_1581362797067.jpg
1581362797121	8,5793	-1,7517	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,9577	0,2877	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797116.jpg,img_FrontCenter_Segmentation_1581362797121.jpg
1581362797174	8,5793	-1,8105	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,9518	0,3067	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797169.jpg,img_FrontCenter_Segmentation_1581362797174.jpg
1581362797231	8,5793	-1,8903	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,9437	0,3307	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797227.jpg,img_FrontCenter_Segmentation_1581362797231.jpg
1581362797283	8,5793	-1,9563	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,9371	0,3491	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797279.jpg,img_FrontCenter_Segmentation_1581362797283.jpg
1581362797339	8,5793	-2,0358	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,9292	0,3695	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797334.jpg,img_FrontCenter_Segmentation_1581362797339.jpg
1581362797392	8,5793	-2,1110	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,9220	0,3872	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797386.jpg,img_FrontCenter_Segmentation_1581362797392.jpg
1581362797445	8,5793	-2,2181	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,9121	0,4100	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797441.jpg,img_FrontCenter_Segmentation_1581362797445.jpg
1581362797496	8,5793	-2,2960	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,9052	0,4250	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797492.jpg,img_FrontCenter_Segmentation_1581362797496.jpg
1581362797548	8,5793	-2,3646	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8993	0,4372	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797545.jpg,img_FrontCenter_Segmentation_1581362797548.jpg
1581362797600	8,5793	-2,4365	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8935	0,4491	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797597.jpg,img_FrontCenter_Segmentation_1581362797600.jpg
1581362797650	8,5793	-2,4958	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8888	0,4583	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797647.jpg,img_FrontCenter_Segmentation_1581362797650.jpg
1581362797704	8,5793	-2,5540	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8844	0,4667	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797700.jpg,img_FrontCenter_Segmentation_1581362797704.jpg
1581362797760	8,5793	-2,6223	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8794	0,4760	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797757.jpg,img_FrontCenter_Segmentation_1581362797760.jpg
1581362797815	8,5793	-2,6697	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8761	0,4821	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797810.jpg,img_FrontCenter_Segmentation_1581362797815.jpg
1581362797864	8,5793	-2,7124	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8732	0,4873	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797859.jpg,img_FrontCenter_Segmentation_1581362797864.jpg
1581362797920	8,5793	-2,7484	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8708	0,4916	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797915.jpg,img_FrontCenter_Segmentation_1581362797920.jpg
1581362797972	8,5793	-2,7804	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8687	0,4953	0,0000	0,0000	img_PilotCamera_Segmentation_1581362797967.jpg,img_FrontCenter_Segmentation_1581362797972.jpg
1581362798029	8,5793	-2,8178	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8664	0,4994	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798025.jpg,img_FrontCenter_Segmentation_1581362798029.jpg
1581362798080	8,5793	-2,8416	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8649	0,5020	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798077.jpg,img_FrontCenter_Segmentation_1581362798080.jpg
1581362798132	8,5793	-2,8620	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8636	0,5041	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798129.jpg,img_FrontCenter_Segmentation_1581362798132.jpg
1581362798182	8,5793	-2,8752	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8628	0,5055	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798179.jpg,img_FrontCenter_Segmentation_1581362798182.jpg
1581362798235	8,5793	-2,8866	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8622	0,5066	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798231.jpg,img_FrontCenter_Segmentation_1581362798235.jpg
1581362798291	8,5793	-2,8925	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8618	0,5073	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798285.jpg,img_FrontCenter_Segmentation_1581362798291.jpg
1581362798346	8,5793	-2,8946	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8617	0,5075	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798343.jpg,img_FrontCenter_Segmentation_1581362798346.jpg
1581362798397	8,5793	-2,8908	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8619	0,5071	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798393.jpg,img_FrontCenter_Segmentation_1581362798397.jpg
1581362798446	8,5793	-2,8829	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8624	0,5063	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798443.jpg,img_FrontCenter_Segmentation_1581362798446.jpg
1581362798498	8,5793	-2,8706	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8631	0,5050	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798494.jpg,img_FrontCenter_Segmentation_1581362798498.jpg
1581362798548	8,5793	-2,8550	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8641	0,5034	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798544.jpg,img_FrontCenter_Segmentation_1581362798548.jpg
1581362798602	8,5793	-2,8343	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8653	0,5012	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798599.jpg,img_FrontCenter_Segmentation_1581362798602.jpg
1581362798661	8,5793	-2,8093	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8669	0,4985	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798658.jpg,img_FrontCenter_Segmentation_1581362798661.jpg
1581362798711	8,5793	-2,7819	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8687	0,4954	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798708.jpg,img_FrontCenter_Segmentation_1581362798711.jpg
1581362798762	8,5793	-2,7380	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8715	0,4904	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798759.jpg,img_FrontCenter_Segmentation_1581362798762.jpg
1581362798815	8,5793	-2,6993	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8741	0,4858	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798811.jpg,img_FrontCenter_Segmentation_1581362798815.jpg
1581362798867	8,5793	-2,6564	8,3379	1,0000	0,0000	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8770	0,4804	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798863.jpg,img_FrontCenter_Segmentation_1581362798867.jpg
1581362798918	8,5793	-2,6110	8,3379	0,9999	0,0158	0,0000	0,0000	8,5793	-1,0913	7,3379	0,8802	0,4745	0,0000	0,0000	img_PilotCamera_Segmentation_1581362798914.jpg,img_FrontCenter_Segmentation_1581362798918.jpg
1581362798969	8,5793	-2,5666	8,3382	0,9989	0,0464	0,0004	0,0000	8,5791	-1,0913	7,3382	0,8835	0,4685	0,0001	-0,0001	img_PilotCamera_Segmentation_1581362798966.jpg,img_FrontCenter_Segmentation_1581362798969.jpg
