Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1581362797548	-8.5793	-8.3379	-2.3646	0.707	0.0	0.0	0.707	1581362797600	-8.5793	-8.3379	-2.4365	0.707	0.0	0.0	0.707	-8.666764232061025	-8.425354232061025	-1.549034232061025	0.20870557112396676	0.17332886639464448	0.6149337935743101	0.740442785214681	0	1	img_PilotCamera_Segmentation_1581362797597.jpg,img_FrontCenter_Segmentation_1581362797600.jpg
1581362797650	-8.5793	-8.3379	-2.4958	0.707	0.0	0.0	0.707	1581362797704	-8.5793	-8.3379	-2.554	0.707	0.0	0.0	0.707	-8.614305566561791	-8.372895566561791	-1.4965755665617912	0.15931995007546054	-0.06631560725918759	-0.3785157535979812	0.9093652830518385	2	3	img_PilotCamera_Segmentation_1581362797700.jpg,img_FrontCenter_Segmentation_1581362797704.jpg
1581362797760	-8.5793	-8.3379	-2.6223	0.707	0.0	0.0	0.707	1581362797815	-8.5793	-8.3379	-2.6697	0.707	0.0	0.0	0.707	-8.565657529140838	-8.324247529140838	-1.4479275291408378	0.15158061750900337	-0.06077370946776888	-0.3671412876720032	0.9157167397834659	4	5	img_PilotCamera_Segmentation_1581362797810.jpg,img_FrontCenter_Segmentation_1581362797815.jpg
1581362797864	-8.5793	-8.3379	-2.7124	0.707	0.0	0.0	0.707	1581362797920	-8.5793	-8.3379	-2.7484	0.707	0.0	0.0	0.707	-8.608072411819634	-8.366662411819634	-1.4903424118196347	0.06094400009210778	0.018297746351602515	0.2869748577310659	0.9558223958254274	6	7	img_PilotCamera_Segmentation_1581362797915.jpg,img_FrontCenter_Segmentation_1581362797920.jpg
1581362797972	-8.5793	-8.3379	-2.7804	0.707	0.0	0.0	0.707	1581362798029	-8.5793	-8.3379	-2.8178	0.707	0.0	0.0	0.707	-8.617165257375257	-8.375755257375257	-1.4994352573752578	0.12025672354277621	0.11767662757789549	0.6894270884249972	0.7045429876952014	8	9	img_PilotCamera_Segmentation_1581362798025.jpg,img_FrontCenter_Segmentation_1581362798029.jpg
1581362798080	-8.5793	-8.3379	-2.8416	0.707	0.0	0.0	0.707	1581362798132	-8.5793	-8.3379	-2.862	0.707	0.0	0.0	0.707	-8.606390429392599	-8.364980429392599	-1.4886604293925987	0.08523790004799163	-0.0529059129335628	-0.5246996715771878	0.8453553805464695	10	11	img_PilotCamera_Segmentation_1581362798129.jpg,img_FrontCenter_Segmentation_1581362798132.jpg
1581362798291	-8.5793	-8.3379	-2.8925	0.707	0.0	0.0	0.707	1581362798346	-8.5793	-8.3379	-2.8946	0.707	0.0	0.0	0.707	-8.594799923917227	-8.353389923917227	-1.4770699239172274	0.08285230066113287	0.17290332078510307	0.8850798569097346	0.4241150608376043	12	13	img_PilotCamera_Segmentation_1581362798343.jpg,img_FrontCenter_Segmentation_1581362798346.jpg
1581362798397	-8.5793	-8.3379	-2.8908	0.707	0.0	0.0	0.707	1581362798446	-8.5793	-8.3379	-2.8829	0.707	0.0	0.0	0.707	-8.63316846776937	-8.39175846776937	-1.5154384677693702	-0.030265797756379026	0.08272241748024964	0.9354669537801603	-0.3422609552923918	14	15	img_PilotCamera_Segmentation_1581362798443.jpg,img_FrontCenter_Segmentation_1581362798446.jpg
1581362798498	-8.5793	-8.3379	-2.8706	0.707	0.0	0.0	0.707	1581362798548	-8.5793	-8.3379	-2.855	0.707	0.0	0.0	0.707	-8.63178396152798	-8.39037396152798	-1.5140539615279807	0.16344869896668826	-0.018744560385542227	-0.11238232675272208	0.9799507012578205	16	17	img_PilotCamera_Segmentation_1581362798544.jpg,img_FrontCenter_Segmentation_1581362798548.jpg
1581362798602	-8.5793	-8.3379	-2.8343	0.707	0.0	0.0	0.707	1581362798661	-8.5793	-8.3379	-2.8093	0.707	0.0	0.0	0.707	-8.500618503143746	-8.259208503143746	-1.3828885031437474	0.10633157195749932	-0.05540221995803387	-0.4587400891631078	0.880444047866412	18	19	img_PilotCamera_Segmentation_1581362798658.jpg,img_FrontCenter_Segmentation_1581362798661.jpg
