Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581363453330	-1,0004	1,5388	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8230	-0,5680	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453309.jpg,img_FrontCenter_Segmentation_1581363453330.jpg
1581363453389	-1,0004	1,4467	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8264	-0,5631	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453384.jpg,img_FrontCenter_Segmentation_1581363453389.jpg
1581363453429	-1,0004	1,4073	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8279	-0,5609	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453426.jpg,img_FrontCenter_Segmentation_1581363453429.jpg
1581363453486	-1,0004	1,3664	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8295	-0,5585	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453477.jpg,img_FrontCenter_Segmentation_1581363453486.jpg
1581363453535	-1,0004	1,3200	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8314	-0,5557	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453529.jpg,img_FrontCenter_Segmentation_1581363453535.jpg
1581363453586	-1,0004	1,2714	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8334	-0,5527	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453579.jpg,img_FrontCenter_Segmentation_1581363453586.jpg
1581363453642	-1,0004	1,2006	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8364	-0,5481	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453638.jpg,img_FrontCenter_Segmentation_1581363453642.jpg
1581363453691	-1,0004	1,1375	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8392	-0,5438	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453686.jpg,img_FrontCenter_Segmentation_1581363453691.jpg
1581363453746	-1,0004	1,0652	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8425	-0,5386	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453742.jpg,img_FrontCenter_Segmentation_1581363453746.jpg
1581363453800	-1,0004	1,0006	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8457	-0,5337	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453792.jpg,img_FrontCenter_Segmentation_1581363453800.jpg
1581363453853	-1,0004	0,9133	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8501	-0,5266	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453851.jpg,img_FrontCenter_Segmentation_1581363453853.jpg
1581363453904	-1,0004	0,8402	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8540	-0,5202	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453900.jpg,img_FrontCenter_Segmentation_1581363453904.jpg
1581363453954	-1,0004	0,7529	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8589	-0,5121	0,0000	0,0000	img_PilotCamera_Segmentation_1581363453947.jpg,img_FrontCenter_Segmentation_1581363453954.jpg
1581363454008	-1,0004	0,6610	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8644	-0,5028	0,0000	0,0000	img_PilotCamera_Segmentation_1581363454004.jpg,img_FrontCenter_Segmentation_1581363454008.jpg
1581363454059	-1,0004	0,5354	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8725	-0,4887	0,0000	0,0000	img_PilotCamera_Segmentation_1581363454052.jpg,img_FrontCenter_Segmentation_1581363454059.jpg
1581363454112	-1,0004	0,4334	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8795	-0,4759	0,0000	0,0000	img_PilotCamera_Segmentation_1581363454107.jpg,img_FrontCenter_Segmentation_1581363454112.jpg
1581363454166	-1,0004	0,3272	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8873	-0,4612	0,0000	0,0000	img_PilotCamera_Segmentation_1581363454160.jpg,img_FrontCenter_Segmentation_1581363454166.jpg
1581363454218	-1,0004	0,2240	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,8954	-0,4452	0,0000	0,0000	img_PilotCamera_Segmentation_1581363454212.jpg,img_FrontCenter_Segmentation_1581363454218.jpg
1581363454271	-1,0004	0,1236	11,7306	1,0000	0,0000	0,0000	0,0000	-1,0004	-1,0970	10,7306	0,9038	-0,4279	0,0000	0,0000	img_PilotCamera_Segmentation_1581363454265.jpg,img_FrontCenter_Segmentation_1581363454271.jpg
1581363454328	-1,0085	0,1258	11,6685	1,0000	0,0001	-0,0011	-0,0007	-1,0079	-1,0970	10,6685	0,9036	-0,4283	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581363454322.jpg,img_FrontCenter_Segmentation_1581363454328.jpg
1581363454379	-1,0105	0,1428	11,6529	1,0000	-0,0004	-0,0022	-0,0002	-1,0092	-1,0970	10,6529	0,9022	-0,4314	-0,0006	-0,0003	img_PilotCamera_Segmentation_1581363454372.jpg,img_FrontCenter_Segmentation_1581363454379.jpg
1581363454433	-1,0154	0,1334	11,6155	1,0000	-0,0003	-0,0033	-0,0002	-1,0134	-1,0970	10,6155	0,9030	-0,4297	-0,0009	-0,0004	img_PilotCamera_Segmentation_1581363454425.jpg,img_FrontCenter_Segmentation_1581363454433.jpg
1581363454483	-1,0195	0,1290	11,5843	1,0000	-0,0002	-0,0042	-0,0002	-1,0170	-1,0970	10,5843	0,9033	-0,4289	-0,0011	-0,0005	img_PilotCamera_Segmentation_1581363454474.jpg,img_FrontCenter_Segmentation_1581363454483.jpg
1581363454533	-1,0243	0,1280	11,5468	1,0000	-0,0002	-0,0051	-0,0002	-1,0213	-1,0970	10,5468	0,9034	-0,4287	-0,0014	-0,0007	img_PilotCamera_Segmentation_1581363454525.jpg,img_FrontCenter_Segmentation_1581363454533.jpg
1581363454580	-1,0287	0,1311	11,5135	1,0000	-0,0002	-0,0059	-0,0001	-1,0251	-1,0970	10,5135	0,9032	-0,4293	-0,0016	-0,0008	img_PilotCamera_Segmentation_1581363454576.jpg,img_FrontCenter_Segmentation_1581363454580.jpg
1581363454636	-1,0333	0,1385	11,4782	1,0000	-0,0001	-0,0066	-0,0001	-1,0293	-1,0970	10,4782	0,9025	-0,4306	-0,0018	-0,0009	img_PilotCamera_Segmentation_1581363454627.jpg,img_FrontCenter_Segmentation_1581363454636.jpg
1581363454688	-1,0378	0,1500	11,4428	1,0000	-0,0001	-0,0073	-0,0001	-1,0335	-1,0970	10,4428	0,9016	-0,4327	-0,0020	-0,0009	img_PilotCamera_Segmentation_1581363454684.jpg,img_FrontCenter_Segmentation_1581363454688.jpg
1581363454739	-1,0424	0,1658	11,4075	1,0000	-0,0001	-0,0079	-0,0001	-1,0377	-1,0970	10,4075	0,9002	-0,4354	-0,0021	-0,0010	img_PilotCamera_Segmentation_1581363454734.jpg,img_FrontCenter_Segmentation_1581363454739.jpg
1581363454789	-1,0470	0,1857	11,3721	1,0000	-0,0001	-0,0085	-0,0001	-1,0419	-1,0970	10,3721	0,8986	-0,4388	-0,0023	-0,0011	img_PilotCamera_Segmentation_1581363454784.jpg,img_FrontCenter_Segmentation_1581363454789.jpg
1581363454841	-1,0521	0,2130	11,3326	1,0000	-0,0001	-0,0090	-0,0001	-1,0467	-1,0970	10,3326	0,8963	-0,4434	-0,0024	-0,0012	img_PilotCamera_Segmentation_1581363454837.jpg,img_FrontCenter_Segmentation_1581363454841.jpg
1581363454893	-1,0567	0,2418	11,2973	1,0000	-0,0001	-0,0095	-0,0001	-1,0510	-1,0970	10,2973	0,8940	-0,4481	-0,0025	-0,0013	img_PilotCamera_Segmentation_1581363454886.jpg,img_FrontCenter_Segmentation_1581363454893.jpg
1581363454944	-1,0616	0,2754	11,2599	1,0000	0,0000	-0,0099	0,0000	-1,0556	-1,0970	10,2599	0,8913	-0,4534	-0,0026	-0,0013	img_PilotCamera_Segmentation_1581363454938.jpg,img_FrontCenter_Segmentation_1581363454944.jpg
1581363454995	-1,0656	0,3000	11,2287	0,9999	0,0000	-0,0102	0,0000	-1,0595	-1,0970	10,2287	0,8894	-0,4571	-0,0027	-0,0014	img_PilotCamera_Segmentation_1581363454991.jpg,img_FrontCenter_Segmentation_1581363454995.jpg
1581363455052	-1,0702	0,3224	11,1934	0,9999	0,0000	-0,0106	0,0000	-1,0639	-1,0970	10,1934	0,8877	-0,4605	-0,0028	-0,0015	img_PilotCamera_Segmentation_1581363455044.jpg,img_FrontCenter_Segmentation_1581363455052.jpg
1581363455104	-1,0748	0,3392	11,1581	0,9999	0,0007	-0,0109	0,0000	-1,0683	-1,0970	10,1581	0,8864	-0,4629	-0,0029	-0,0015	img_PilotCamera_Segmentation_1581363455097.jpg,img_FrontCenter_Segmentation_1581363455104.jpg
1581363455156	-1,0796	0,3530	11,1207	0,9995	0,0283	-0,0111	0,0003	-1,0729	-1,0970	10,1208	0,8854	-0,4649	-0,0030	-0,0016	img_PilotCamera_Segmentation_1581363455152.jpg,img_FrontCenter_Segmentation_1581363455156.jpg
1581363455207	-1,0839	0,3607	11,0876	0,9982	0,0595	-0,0114	0,0006	-1,0771	-1,0970	10,0876	0,8848	-0,4660	-0,0030	-0,0016	img_PilotCamera_Segmentation_1581363455202.jpg,img_FrontCenter_Segmentation_1581363455207.jpg
1581363455259	-1,0882	0,3637	11,0546	0,9959	0,0892	-0,0116	0,0010	-1,0813	-1,0970	10,0546	0,8846	-0,4664	-0,0031	-0,0016	img_PilotCamera_Segmentation_1581363455254.jpg,img_FrontCenter_Segmentation_1581363455259.jpg
1581363455307	-1,0929	0,3677	11,0208	0,9927	0,1200	-0,0117	0,0013	-1,0858	-1,0970	10,0209	0,8843	-0,4670	-0,0031	-0,0017	img_PilotCamera_Segmentation_1581363455302.jpg,img_FrontCenter_Segmentation_1581363455307.jpg
1581363455358	-1,0986	0,3775	10,9825	0,9885	0,1510	-0,0119	0,0017	-1,0914	-1,0970	9,9825	0,8835	-0,4684	-0,0032	-0,0017	img_PilotCamera_Segmentation_1581363455355.jpg,img_FrontCenter_Segmentation_1581363455358.jpg
1581363455410	-1,1037	0,3875	10,9525	0,9892	0,1460	-0,0121	0,0016	-1,0963	-1,0970	9,9525	0,8828	-0,4697	-0,0032	-0,0017	img_PilotCamera_Segmentation_1581363455406.jpg,img_FrontCenter_Segmentation_1581363455410.jpg
1581363455463	-1,1087	0,3998	10,9252	0,9926	0,1208	-0,0123	0,0013	-1,1013	-1,0970	9,9252	0,8819	-0,4714	-0,0033	-0,0018	img_PilotCamera_Segmentation_1581363455457.jpg,img_FrontCenter_Segmentation_1581363455463.jpg
1581363455516	-1,1136	0,4149	10,9020	0,9948	0,1015	-0,0125	0,0011	-1,1061	-1,0970	9,9020	0,8808	-0,4735	-0,0033	-0,0018	img_PilotCamera_Segmentation_1581363455510.jpg,img_FrontCenter_Segmentation_1581363455516.jpg
1581363455571	-1,1182	0,4325	10,8821	0,9962	0,0863	-0,0126	0,0009	-1,1106	-1,0970	9,8821	0,8795	-0,4758	-0,0033	-0,0018	img_PilotCamera_Segmentation_1581363455567.jpg,img_FrontCenter_Segmentation_1581363455571.jpg
1581363455623	-1,1232	0,4550	10,8628	0,9973	0,0726	-0,0127	0,0008	-1,1155	-1,0970	9,8628	0,8780	-0,4787	-0,0034	-0,0018	img_PilotCamera_Segmentation_1581363455620.jpg,img_FrontCenter_Segmentation_1581363455623.jpg
1581363455675	-1,1281	0,4815	10,8449	0,9981	0,0611	-0,0129	0,0006	-1,1204	-1,0970	9,8449	0,8761	-0,4821	-0,0034	-0,0019	img_PilotCamera_Segmentation_1581363455670.jpg,img_FrontCenter_Segmentation_1581363455675.jpg
1581363455728	-1,1346	0,5213	10,8237	0,9986	0,0517	-0,0130	0,0005	-1,1268	-1,0970	9,8237	0,8734	-0,4870	-0,0034	-0,0019	img_PilotCamera_Segmentation_1581363455723.jpg,img_FrontCenter_Segmentation_1581363455728.jpg
1581363455781	-1,1397	0,5542	10,8083	0,9974	0,0715	-0,0131	0,0008	-1,1318	-1,0970	9,8083	0,8712	-0,4909	-0,0034	-0,0019	img_PilotCamera_Segmentation_1581363455774.jpg,img_FrontCenter_Segmentation_1581363455781.jpg
1581363455833	-1,1447	0,5898	10,7943	0,9945	0,1042	-0,0131	0,0013	-1,1368	-1,0970	9,7943	0,8689	-0,4950	-0,0034	-0,0020	img_PilotCamera_Segmentation_1581363455828.jpg,img_FrontCenter_Segmentation_1581363455833.jpg
1581363455885	-1,1493	0,6242	10,7835	0,9914	0,1300	-0,0131	0,0016	-1,1413	-1,0970	9,7836	0,8667	-0,4988	-0,0035	-0,0020	img_PilotCamera_Segmentation_1581363455878.jpg,img_FrontCenter_Segmentation_1581363455885.jpg
1581363455937	-1,1547	0,6688	10,7733	0,9877	0,1558	-0,0132	0,0020	-1,1467	-1,0970	9,7734	0,8639	-0,5036	-0,0035	-0,0020	img_PilotCamera_Segmentation_1581363455933.jpg,img_FrontCenter_Segmentation_1581363455937.jpg
1581363455989	-1,1600	0,7143	10,7669	0,9843	0,1760	-0,0132	0,0022	-1,1519	-1,0970	9,7669	0,8612	-0,5083	-0,0035	-0,0020	img_PilotCamera_Segmentation_1581363455985.jpg,img_FrontCenter_Segmentation_1581363455989.jpg
1581363456038	-1,1650	0,7601	10,7640	0,9813	0,1921	-0,0132	0,0025	-1,1570	-1,0970	9,7640	0,8585	-0,5128	-0,0035	-0,0021	img_PilotCamera_Segmentation_1581363456034.jpg,img_FrontCenter_Segmentation_1581363456038.jpg
1581363456091	-1,1705	0,8111	10,7644	0,9794	0,2015	-0,0132	0,0026	-1,1624	-1,0970	9,7644	0,8556	-0,5176	-0,0035	-0,0021	img_PilotCamera_Segmentation_1581363456087.jpg,img_FrontCenter_Segmentation_1581363456091.jpg
1581363456142	-1,1760	0,8623	10,7675	0,9834	0,1808	-0,0133	0,0023	-1,1678	-1,0970	9,7676	0,8528	-0,5222	-0,0035	-0,0021	img_PilotCamera_Segmentation_1581363456136.jpg,img_FrontCenter_Segmentation_1581363456142.jpg
1581363456194	-1,1829	0,9196	10,7726	0,9893	0,1450	-0,0135	0,0019	-1,1747	-1,0970	9,7727	0,8498	-0,5271	-0,0035	-0,0022	img_PilotCamera_Segmentation_1581363456189.jpg,img_FrontCenter_Segmentation_1581363456194.jpg
1581363456247	-1,1884	0,9595	10,7769	0,9924	0,1222	-0,0136	0,0016	-1,1802	-1,0970	9,7770	0,8477	-0,5304	-0,0035	-0,0022	img_PilotCamera_Segmentation_1581363456242.jpg,img_FrontCenter_Segmentation_1581363456247.jpg
1581363456300	-1,1939	0,9935	10,7814	0,9946	0,1029	-0,0136	0,0013	-1,1857	-1,0970	9,7814	0,8460	-0,5331	-0,0035	-0,0022	img_PilotCamera_Segmentation_1581363456293.jpg,img_FrontCenter_Segmentation_1581363456300.jpg
1581363456352	-1,1995	1,0217	10,7859	0,9961	0,0866	-0,0137	0,0011	-1,1913	-1,0970	9,7860	0,8446	-0,5353	-0,0035	-0,0022	img_PilotCamera_Segmentation_1581363456349.jpg,img_FrontCenter_Segmentation_1581363456352.jpg
1581363456404	-1,2051	1,0442	10,7906	0,9972	0,0729	-0,0137	0,0009	-1,1968	-1,0970	9,7906	0,8435	-0,5370	-0,0035	-0,0022	img_PilotCamera_Segmentation_1581363456399.jpg,img_FrontCenter_Segmentation_1581363456404.jpg
1581363456456	-1,2103	1,0601	10,7951	0,9980	0,0620	-0,0138	0,0008	-1,2020	-1,0970	9,7951	0,8428	-0,5382	-0,0035	-0,0022	img_PilotCamera_Segmentation_1581363456452.jpg,img_FrontCenter_Segmentation_1581363456456.jpg
1581363456508	-1,2159	1,0738	10,8002	0,9985	0,0521	-0,0138	0,0007	-1,2076	-1,0970	9,8002	0,8421	-0,5393	-0,0035	-0,0022	img_PilotCamera_Segmentation_1581363456503.jpg,img_FrontCenter_Segmentation_1581363456508.jpg
1581363456562	-1,2211	1,0892	10,8059	0,9989	0,0443	-0,0136	-0,0028	-1,2128	-1,0970	9,8059	0,8414	-0,5404	-0,0035	-0,0022	img_PilotCamera_Segmentation_1581363456558.jpg,img_FrontCenter_Segmentation_1581363456562.jpg
1581363456615	-1,2282	1,1153	10,8150	0,9991	0,0356	-0,0130	-0,0179	-1,2200	-1,0970	9,8150	0,8402	-0,5423	-0,0034	-0,0022	img_PilotCamera_Segmentation_1581363456608.jpg,img_FrontCenter_Segmentation_1581363456615.jpg
