Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1581363454059	1.0004	-11.7306	0.5354	0.707	0.0	0.0	0.707	1581363454112	1.0004	-11.7306	0.4334	0.707	0.0	0.0	0.707	0.9743544334382087	-11.775595566561792	1.4370944334382088	0.17487910820161817	-0.06935368793403726	-0.36206653719774584	0.9129705286186341	0	1	img_PilotCamera_Segmentation_1581363454107.jpg,img_FrontCenter_Segmentation_1581363454112.jpg
1581363454166	1.0004	-11.7306	0.3272	0.707	0.0	0.0	0.707	1581363454218	1.0004	-11.7306	0.224	0.707	0.0	0.0	0.707	1.0230024708591623	-11.726947529140839	1.4857424708591624	0.15514400348064852	-0.05904239674271342	-0.3507445199764642	0.9216412617050911	2	3	img_PilotCamera_Segmentation_1581363454212.jpg,img_FrontCenter_Segmentation_1581363454218.jpg
1581363454271	1.0004	-11.7306	0.1236	0.707	0.0	0.0	0.707	1581363454328	1.0085	-11.6685	0.1258	0.7069293	0.00028280000000000004	0.0012726	0.7070706999999999	0.9805875881803654	-11.769362411819635	1.4433275881803653	0.06109898380828686	0.01869232337800025	0.2919526827728259	0.9542961501787989	4	5	img_PilotCamera_Segmentation_1581363454322.jpg,img_FrontCenter_Segmentation_1581363454328.jpg
1581363454379	1.0105	-11.6529	0.1428	0.7072828	0.001414	0.0016968	0.7067171999999999	1581363454433	1.0154	-11.6155	0.1334	0.7072121	0.0021917	0.0024744999999999997	0.7067878999999999	0.9617517426247422	-11.767655257375257	1.4344847426247422	0.12902542475920764	0.10466398491072168	0.6212238613900379	0.7658190413328498	6	7	img_PilotCamera_Segmentation_1581363454425.jpg,img_FrontCenter_Segmentation_1581363454433.jpg
1581363454483	1.0195	-11.5843	0.129	0.7071413999999999	0.002828	0.0031107999999999995	0.7068586	1581363454533	1.0243	-11.5468	0.128	0.7071413999999999	0.0034643	0.0037470999999999997	0.7068586	0.9725265706074013	-11.756880429392599	1.4452595706074014	0.12432794547053362	-0.0530681138611645	-0.38896996768287284	0.9112786080596205	8	9	img_PilotCamera_Segmentation_1581363454525.jpg,img_FrontCenter_Segmentation_1581363454533.jpg
1581363454580	1.0287	-11.5135	0.1311	0.7071413999999999	0.004100599999999999	0.004241999999999999	0.7068586	1581363454636	1.0333	-11.4782	0.1385	0.7070706999999999	0.0045955	0.0047369	0.7069293	0.9349934140560119	-11.794413585943987	1.407726414056012	-0.02348964831895219	0.045665927550754895	0.8880803145268618	-0.45681091759353937	10	11	img_PilotCamera_Segmentation_1581363454627.jpg,img_FrontCenter_Segmentation_1581363454636.jpg
1581363454688	1.0378	-11.4428	0.15	0.7070706999999999	0.0050904	0.0052318	0.7069293	1581363454739	1.0424	-11.4075	0.1658	0.7070706999999999	0.005514600000000001	0.0056560000000000004	0.7069293	0.9841170760827727	-11.745289923917227	1.4568500760827727	0.10218939584962002	0.11232744614767749	0.7311204770877262	0.6651336107887241	12	13	img_PilotCamera_Segmentation_1581363454734.jpg,img_FrontCenter_Segmentation_1581363454739.jpg
1581363454789	1.047	-11.3721	0.1857	0.7070706999999999	0.0059388	0.0060802	0.7069293	1581363454841	1.0521	-11.3326	0.213	0.7070706999999999	0.006292299999999999	0.006433699999999999	0.7069293	1.0225615322306298	-11.16535846776937	1.40957153223063	-0.02563875751823765	0.16994435981435338	0.974097014974426	-0.14695772894993764	14	15	img_PilotCamera_Segmentation_1581363454837.jpg,img_FrontCenter_Segmentation_1581363454841.jpg
1581363454893	1.0567	-11.2973	0.2418	0.7070706999999999	0.0066457999999999995	0.006787199999999999	0.7069293	1581363454944	1.0616	-11.2599	0.2754	0.707	0.0069993	0.0069993	0.707	1.0239460384720194	-11.16397396152798	1.4109560384720194	0.11601203874522381	-0.01814569924347847	-0.15346426424820633	0.9811527200512155	16	17	img_PilotCamera_Segmentation_1581363454938.jpg,img_FrontCenter_Segmentation_1581363454944.jpg
1581363454995	1.0656	-11.2287	0.3	0.7069293	0.0072114	0.0072114	0.7069293	1581363455052	1.0702	-11.1934	0.3224	0.7069293	0.0074941999999999995	0.0074941999999999995	0.7069293	1.1551114968562526	-11.032808503143746	1.5421214968562527	0.09411543277628687	-0.06744483689990244	-0.5785751643857266	0.8073687252085673	18	19	img_PilotCamera_Segmentation_1581363455044.jpg,img_FrontCenter_Segmentation_1581363455052.jpg
