Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581364480893	27,4848	1,6088	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8206	-0,5715	0,0000	0,0000	img_PilotCamera_Segmentation_1581364480836.jpg,img_FrontCenter_Segmentation_1581364480893.jpg
1581364480984	27,4848	1,4839	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8250	-0,5651	0,0000	0,0000	img_PilotCamera_Segmentation_1581364480977.jpg,img_FrontCenter_Segmentation_1581364480984.jpg
1581364481022	27,4848	1,4259	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8272	-0,5619	0,0000	0,0000	img_PilotCamera_Segmentation_1581364481016.jpg,img_FrontCenter_Segmentation_1581364481022.jpg
1581364481078	27,4848	1,3782	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8290	-0,5592	0,0000	0,0000	img_PilotCamera_Segmentation_1581364481073.jpg,img_FrontCenter_Segmentation_1581364481078.jpg
1581364481129	27,4848	1,3120	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8317	-0,5553	0,0000	0,0000	img_PilotCamera_Segmentation_1581364481124.jpg,img_FrontCenter_Segmentation_1581364481129.jpg
1581364481179	27,4848	1,2525	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8342	-0,5515	0,0000	0,0000	img_PilotCamera_Segmentation_1581364481175.jpg,img_FrontCenter_Segmentation_1581364481179.jpg
1581364481234	27,4848	1,1840	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8371	-0,5470	0,0000	0,0000	img_PilotCamera_Segmentation_1581364481229.jpg,img_FrontCenter_Segmentation_1581364481234.jpg
1581364481290	27,4848	1,1183	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8401	-0,5425	0,0000	0,0000	img_PilotCamera_Segmentation_1581364481283.jpg,img_FrontCenter_Segmentation_1581364481290.jpg
1581364481345	27,4848	1,0482	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8434	-0,5373	0,0000	0,0000	img_PilotCamera_Segmentation_1581364481341.jpg,img_FrontCenter_Segmentation_1581364481345.jpg
1581364481399	27,4848	0,9398	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8487	-0,5288	0,0000	0,0000	img_PilotCamera_Segmentation_1581364481394.jpg,img_FrontCenter_Segmentation_1581364481399.jpg
1581364481452	27,4848	0,8593	1,5735	1,0000	0,0000	0,0000	0,0000	27,4848	-1,0970	0,5735	0,8530	-0,5219	0,0000	0,0000	img_PilotCamera_Segmentation_1581364481447.jpg,img_FrontCenter_Segmentation_1581364481452.jpg
