Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1581364481562	-27.4848	-1.5735	0.6569	0.707	0.0	0.0	0.707	1581364481617	-27.4848	-1.5735	0.5804	0.707	0.0	0.0	0.707	-27.566054232061024	-1.650114232061025	1.487785767938975	0.2037238152769649	0.17473047015572438	0.6271414260419087	0.731204144976133	0	1	img_PilotCamera_Segmentation_1581364481612.jpg,img_FrontCenter_Segmentation_1581364481617.jpg
1581364481668	-27.4848	-1.5735	0.504	0.707	0.0	0.0	0.707	1581364481718	-27.4848	-1.5735	0.4328	0.707	0.0	0.0	0.707	-27.51359556656179	-1.597655566561791	1.5402444334382088	0.1499643498919732	-0.06318145936057788	-0.38308307783333884	0.9092668213633892	2	3	img_PilotCamera_Segmentation_1581364481714.jpg,img_FrontCenter_Segmentation_1581364481718.jpg
1581364481769	-27.4848	-1.5735	0.3629	0.707	0.0	0.0	0.707	1581364481828	-27.4848	-1.5735	0.3122	0.707	0.0	0.0	0.707	-27.464947529140836	-1.5490075291408374	1.5888924708591623	0.14076469446215578	-0.057108613338927645	-0.3715787286074118	0.9158892703389314	4	5	img_PilotCamera_Segmentation_1581364481824.jpg,img_FrontCenter_Segmentation_1581364481828.jpg
1581364481879	-27.4848	-1.5735	0.2362	0.707	0.0	0.0	0.707	1581364481934	-27.4848	-1.5735	0.1856	0.707	0.0	0.0	0.707	-27.507362411819635	-1.5914224118196345	1.5464775881803654	0.05502253152223559	0.018506466805477257	0.3182567257037504	0.9462254954584506	6	7	img_PilotCamera_Segmentation_1581364481928.jpg,img_FrontCenter_Segmentation_1581364481934.jpg
1581364481989	-27.4848	-1.5735	0.1422	0.707	0.0	0.0	0.707	1581364482037	-27.4848	-1.5735	0.1006	0.707	0.0	0.0	0.707	-27.51645525737526	-1.6005152573752577	1.5373847426247422	0.11058300647207608	0.11104085219360671	0.6998112522001066	0.6969257773377544	8	9	img_PilotCamera_Segmentation_1581364482031.jpg,img_FrontCenter_Segmentation_1581364482037.jpg
1581364482089	-27.4848	-1.5735	0.0892	0.707	0.0	0.0	0.707	1581364482141	-27.4848	-1.5735	0.0911	0.707	0.0	0.0	0.707	-27.505680429392598	-1.5897404293925985	1.5481595706074014	0.07655702113612643	-0.04877950985183321	-0.5351382719022677	0.839872973656631	10	11	img_PilotCamera_Segmentation_1581364482137.jpg,img_FrontCenter_Segmentation_1581364482141.jpg
1581364482297	-27.4848	-1.5735	0.1278	0.707	0.0	0.0	0.707	1581364482350	-27.4848	-1.5735	0.1496	0.707	0.0	0.0	0.707	-27.494089923917226	-1.5781499239172272	1.5597500760827727	0.08279592102966138	0.17473028729880732	0.886626597707062	0.42012788338757756	12	13	img_PilotCamera_Segmentation_1581364482347.jpg,img_FrontCenter_Segmentation_1581364482350.jpg
1581364482401	-27.4848	-1.5735	0.1715	0.707	0.0	0.0	0.707	1581364482457	-27.4848	-1.5735	0.1985	0.707	0.0	0.0	0.707	-27.53245846776937	-1.61651846776937	1.5213815322306299	-0.029434039734458378	0.08614960787965147	0.9423627487445762	-0.32196945840507846	14	15	img_PilotCamera_Segmentation_1581364482454.jpg,img_FrontCenter_Segmentation_1581364482457.jpg
1581364482511	-27.4848	-1.5735	0.2333	0.707	0.0	0.0	0.707	1581364482564	-27.4848	-1.5735	0.2799	0.707	0.0	0.0	0.707	-27.53107396152798	-1.6151339615279805	1.5227660384720194	0.16729076619074879	-0.018510971004912377	-0.10841124476438853	0.9797541250275006	16	17	img_PilotCamera_Segmentation_1581364482559.jpg,img_FrontCenter_Segmentation_1581364482564.jpg
1581364482616	-27.4848	-1.5735	0.3266	0.707	-0.0004948999999999999	-0.0004948999999999999	0.707	1581364482672	-27.4848	-1.5735	0.3637	0.707	-0.002121	-0.002121	0.707	-27.39990850314375	-1.4839685031437473	1.6539314968562526	0.1113909709364292	-0.05905107603869206	-0.46464211809349076	0.8764774521378783	18	19	img_PilotCamera_Segmentation_1581364482665.jpg,img_FrontCenter_Segmentation_1581364482672.jpg
1581364482723	-27.4848	-1.5735	0.4028	0.707	-0.0051611	-0.0051611	0.707	1581364482775	-27.4848	-1.5735	0.4442	0.7069293	-0.009756599999999999	-0.009756599999999999	0.7069293	-27.533647459711016	-1.6177074597110166	1.5201925402889833	0.036111957377538535	0.04237612424478972	0.7599404808423046	0.6476037802588246	20	21	img_PilotCamera_Segmentation_1581364482772.jpg,img_FrontCenter_Segmentation_1581364482775.jpg
1581364482829	-27.4848	-1.5735	0.4976	0.7067879	-0.0178164	-0.0178164	0.7067879	1581364482883	-27.4848	-1.5735	0.539	0.7065050999999999	-0.0255227	-0.0255227	0.7065050999999999	-27.498133324000715	-1.5821933240007153	1.5557066759992846	0.1683378612518048	-0.0828027598717302	-0.43354175020113034	0.8813895950482586	22	23	img_PilotCamera_Segmentation_1581364482878.jpg,img_FrontCenter_Segmentation_1581364482883.jpg
1581364482936	-27.4848	-1.5735	0.5831	0.7061516	-0.0351379	-0.0348551	0.7061516	1581364482989	-27.4848	-1.5734	0.6199	0.7059394999999999	-0.0482174	-0.039591999999999995	0.7053738999999999	-27.461602174201012	-1.5456621742010106	1.5922378257989893	0.20027975856507055	0.049294012474594896	0.23385449262360192	0.9501421972120959	24	25	img_PilotCamera_Segmentation_1581364482986.jpg,img_FrontCenter_Segmentation_1581364482989.jpg
1581364483043	-27.485	-1.5734	0.6734	0.7060101999999999	-0.08420369999999999	-0.0324513	0.7021923999999999	1581364483096	-27.4857	-1.5733	0.7176	0.7056567	-0.12061419999999998	-0.0209272	0.6977382999999999	-27.402650084471905	-1.4867100844719041	1.6511899155280958	0.08844542644945191	0.22115729827561753	0.9017790407679717	0.3606402883639053	26	27	img_PilotCamera_Segmentation_1581364483092.jpg,img_FrontCenter_Segmentation_1581364483096.jpg
1581364490541	-32.8656	-2.0205	1.7868	0.6771645999999999	-0.0959399	-0.2011415	0.7010611999999999	1581364490594	-32.9415	-2.022	1.8149	0.6632366999999999	-0.05995359999999998	-0.22369479999999997	0.7114540999999999	-32.051458188758986	-1.6712281887589877	1.7233918112410123	0.4677472109127845	0.560626118085013	0.5246750754020103	0.43775217607241523	28	29	img_PilotCamera_Segmentation_1581364490590.jpg,img_FrontCenter_Segmentation_1581364490594.jpg
1581364490646	-32.9875	-2.0237	1.8332	0.6399764	-0.04468240000000001	-0.23401699999999998	0.730331	1581364490698	-33.0433	-2.0277	1.8586	0.6074544	-0.030683800000000025	-0.24320799999999998	0.7553588	-32.05307199908757	-1.6728419990875667	1.7217780009124333	0.27825461010420866	0.6617351809230047	0.6417621162632481	0.26985608833945246	30	31	img_PilotCamera_Segmentation_1581364490694.jpg,img_FrontCenter_Segmentation_1581364490698.jpg
1581364490749	-33.0881	-2.0333	1.8824	0.5805177	-0.021492799999999992	-0.24872260000000002	0.7748012999999999	1581364490804	-33.1282	-2.0409	1.9062	0.5581058	-0.01414	-0.2525404	0.7901432	-32.1528695510071	-1.772639551007097	1.621980448992903	0.5147739161718555	0.5499928316815154	0.4801545430460694	0.44940773816241747	32	33	img_PilotCamera_Segmentation_1581364490800.jpg,img_FrontCenter_Segmentation_1581364490804.jpg
1581364490857	-33.172	-2.0519	1.9331	0.5581058	-0.002969400000000011	-0.253813	0.7898603999999999	1581364490908	-33.2288	-2.0699	1.9667	0.5874463	-0.022836099999999998	-0.2273005	0.7762152999999999	-33.88298648279114	-2.7742964827911356	1.6660135172088646	0.5807094852500535	-0.4345317282705327	-0.4124599607715011	0.5512127099652309	34	35	img_PilotCamera_Segmentation_1581364490905.jpg,img_FrontCenter_Segmentation_1581364490908.jpg
1581364490962	-33.27	-2.0843	1.9869	0.6060403999999999	-0.037329600000000004	-0.208565	0.7665294	1581364491014	-33.3062	-2.0973	2.0005	0.6196855	-0.047651799999999994	-0.194425	0.7586817	-33.94244317037283	-2.8337531703728343	1.6065568296271662	0.6675996242929855	-0.532862238536937	-0.324370452854241	0.4063894507740128	36	37	img_PilotCamera_Segmentation_1581364491010.jpg,img_FrontCenter_Segmentation_1581364491014.jpg
1581364497280	-31.9433	-2.9831	1.5731	0.308959	0.6664182	0.6227256	0.26880139999999997	1581364497336	-31.9238	-2.9172	1.5638	0.28817319999999996	0.6565202	0.6346032	0.28789039999999994	-32.17910186286063	-3.8801418628606283	1.5678181371393718	0.7732148375395378	-0.03320179747058038	-0.027167728452282845	0.6326913704043795	38	39	img_PilotCamera_Segmentation_1581364497332.jpg,img_FrontCenter_Segmentation_1581364497336.jpg
1581364497387	-31.9043	-2.8511	1.5542	0.2683065	0.6456324	0.6450667999999999	0.30789849999999996	1581364497438	-31.8831	-2.7814	1.5473	0.2472379	0.6334719999999999	0.6549648	0.3291085	-32.14036304648363	-3.8414030464836317	1.6065569535163684	0.6626408610977215	0.027951448276090505	0.03154153784154016	0.7477505848433218	40	41	img_PilotCamera_Segmentation_1581364497435.jpg,img_FrontCenter_Segmentation_1581364497438.jpg
1581364497489	-31.8596	-2.7088	1.5451	0.22440179999999998	0.6202510999999999	0.6643679	0.35109619999999997	1581364497544	-31.8329	-2.6343	1.548	0.20206060000000003	0.6066766999999998	0.6725690999999999	0.3720234	-32.10680618742412	-1.7447061874241263	1.5880638125758737	-0.013100521999058973	0.7549526028576773	0.6555497992628027	-0.011375607600017833	42	43	img_PilotCamera_Segmentation_1581364497539.jpg,img_FrontCenter_Segmentation_1581364497544.jpg
1581364497596	-31.8113	-2.5799	1.5533	0.1882034	0.5978391999999999	0.6771646	0.38503219999999994	1581364497651	-31.7871	-2.5233	1.5594	0.1759723	0.588931	0.6806996	0.3982531	-32.19341028673091	-1.831310286730913	1.501459713269087	-0.3392163849749168	0.6510802553785114	0.6021628769603892	-0.3137301624510919	44	45	img_PilotCamera_Segmentation_1581364497647.jpg,img_FrontCenter_Segmentation_1581364497651.jpg
1581364505881	-27.4908	0.6043	1.6377	-0.05988289999999999	0.6541164	0.745178	-0.11418049999999999	1581364505931	-27.5228	0.6644	1.6341	-0.0781235	0.6301491	0.7634892999999999	-0.11686709999999999	-27.775890175876054	1.5038998241239467	1.6470398241239468	0.0885761908132071	0.602925245014656	0.7844452558452277	0.11524342899686171	46	47	img_PilotCamera_Segmentation_1581364505927.jpg,img_FrontCenter_Segmentation_1581364505931.jpg
1581364522771	-28.495	0.9298	1.5966	-0.6534094	-0.1853047	-0.27749749999999995	-0.6792855999999999	1581364522826	-28.4932	0.8737	1.6023	-0.6587825999999999	-0.18558750000000002	-0.2595397	-0.6811238	-27.82270216659968	1.472767833400322	1.614607833400322	0.5204678825349239	0.5553484576132851	0.47326152280004175	0.44353670075106905	48	49	img_PilotCamera_Segmentation_1581364522823.jpg,img_FrontCenter_Segmentation_1581364522826.jpg
1581364522880	-28.4926	0.8249	1.61	-0.6628125	-0.18488049999999998	-0.2462481	-0.6823257	1581364522935	-28.4928	0.7784	1.6198	-0.6661353999999999	-0.18382	-0.2351482	-0.6832448	-27.805311524953265	1.4901584750467376	1.6319984750467376	0.2547247039579453	0.5694472867959482	0.7134406247744745	0.3191356885020504	50	51	img_PilotCamera_Segmentation_1581364522930.jpg,img_FrontCenter_Segmentation_1581364522935.jpg
1581364522990	-28.4935	0.7314	1.6322	-0.6691047999999999	-0.18233529999999998	-0.2253209	-0.6840932	1581364523039	-28.4946	0.6897	1.6454	-0.6715086	-0.1807799	-0.21768529999999997	-0.6846587999999999	-27.798082191205612	1.497387808794389	1.639227808794389	0.2936407341222051	0.7856349716974521	0.5101008886362727	0.19065648145972172	52	53	img_PilotCamera_Segmentation_1581364523034.jpg,img_FrontCenter_Segmentation_1581364523039.jpg
1581364523092	-28.4963	0.6394	1.664	-0.6739831	-0.1788003	-0.20934270000000002	-0.6852950999999999	1581364523146	-28.4987	0.5777	1.6852	-0.6765990000000001	-0.1762551	-0.2007173	-0.6859314	-27.848441920868293	1.447028079131707	1.588868079131707	0.1979223041672885	0.76097698240013	0.5979577661690129	0.15552267888789634	54	55	img_PilotCamera_Segmentation_1581364523143.jpg,img_FrontCenter_Segmentation_1581364523146.jpg
1581364523198	-28.5005	0.5299	1.6961	-0.6783664999999999	-0.17434619999999998	-0.19484919999999997	-0.6864262999999999	1581364523250	-28.5024	0.485	1.7016	-0.6798512	-0.17250800000000002	-0.1900416	-0.6867797999999999	-27.75179709151723	1.543672908482772	1.685512908482772	0.08381237334582997	0.746376216504361	0.6561021131794949	0.073675278025779	56	57	img_PilotCamera_Segmentation_1581364523247.jpg,img_FrontCenter_Segmentation_1581364523250.jpg
1581364523304	-28.5042	0.44	1.7035	-0.6811238	-0.1708819	-0.1855875	-0.6870626	1581364523355	-28.5063	0.3922	1.7065	-0.6839517999999999	-0.17526529999999998	-0.17526529999999998	-0.6859314	-27.817266463339827	1.4782035366601727	1.6200435366601726	0.2608318135825661	0.6703519926437036	0.6474093657300035	0.25190491092259415	58	59	img_PilotCamera_Segmentation_1581364523350.jpg,img_FrontCenter_Segmentation_1581364523355.jpg
1581364523408	-28.5084	0.3443	1.7114	-0.6898906	-0.1939301	-0.15094449999999998	-0.6806996000000001	1581364523464	-28.5102	0.2829	1.7224	-0.696395	-0.2181095	-0.11969510000000001	-0.6729226	-27.503780715839063	-0.42306771583906255	1.5711692841609375	0.7680737869713933	0.3179238115367165	0.21259358771110837	0.5136059523501536	60	61	img_PilotCamera_Segmentation_1581364523460.jpg,img_FrontCenter_Segmentation_1581364523464.jpg
1581364523513	-28.5104	0.236	1.7343	-0.6995764999999999	-0.2302699	-0.10244430000000002	-0.6684685	1581364523567	-28.5095	0.1925	1.7467	-0.6997179	-0.2250381	-0.10385829999999999	-0.6698824999999999	-27.44958983789681	-0.36887683789680936	1.6253601621031906	0.6465634534342656	0.3990178049984711	0.34146300033948135	0.553302368851352	62	63	img_PilotCamera_Segmentation_1581364523563.jpg,img_FrontCenter_Segmentation_1581364523567.jpg
