Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581448697657	3,6094	1,3747	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-1,0970	1,2395	0,8292	-0,5590	0,0000	0,0000	img_PilotCamera_Segmentation_1581448697564.jpg,img_FrontCenter_Segmentation_1581448697657.jpg
1581448697721	3,6094	0,9499	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-0,7455	1,2395	0,8683	-0,4960	0,0000	0,0000	img_PilotCamera_Segmentation_1581448697706.jpg,img_FrontCenter_Segmentation_1581448697721.jpg
1581448697776	3,6094	0,8628	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-0,7426	1,2395	0,8743	-0,4854	0,0000	0,0000	img_PilotCamera_Segmentation_1581448697762.jpg,img_FrontCenter_Segmentation_1581448697776.jpg
1581448697828	3,6094	0,7867	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-0,7419	1,2395	0,8796	-0,4757	0,0000	0,0000	img_PilotCamera_Segmentation_1581448697814.jpg,img_FrontCenter_Segmentation_1581448697828.jpg
1581448697881	3,6094	0,7058	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-0,7413	1,2395	0,8856	-0,4645	0,0000	0,0000	img_PilotCamera_Segmentation_1581448697867.jpg,img_FrontCenter_Segmentation_1581448697881.jpg
1581448697934	3,6094	0,6253	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-0,7406	1,2395	0,8918	-0,4524	0,0000	0,0000	img_PilotCamera_Segmentation_1581448697921.jpg,img_FrontCenter_Segmentation_1581448697934.jpg
1581448697988	3,6094	0,5298	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-0,7400	1,2395	0,8996	-0,4366	0,0000	0,0000	img_PilotCamera_Segmentation_1581448697974.jpg,img_FrontCenter_Segmentation_1581448697988.jpg
1581448698041	3,6094	0,4121	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-0,7395	1,2395	0,9099	-0,4149	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698027.jpg,img_FrontCenter_Segmentation_1581448698041.jpg
1581448698095	3,6094	0,3118	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-0,7389	1,2395	0,9191	-0,3941	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698082.jpg,img_FrontCenter_Segmentation_1581448698095.jpg
1581448698146	3,6094	0,2073	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-0,7382	1,2395	0,9291	-0,3697	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698133.jpg,img_FrontCenter_Segmentation_1581448698146.jpg
1581448698198	3,6094	0,1079	2,2395	1,0000	0,0000	0,0000	0,0000	3,6094	-0,7376	1,2395	0,9391	-0,3438	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698185.jpg,img_FrontCenter_Segmentation_1581448698198.jpg
1581448698243	3,6091	0,0853	2,2394	1,0000	-0,0031	-0,0001	0,0030	3,6092	-0,7369	1,2394	0,9414	-0,3373	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698235.jpg,img_FrontCenter_Segmentation_1581448698243.jpg
1581448698300	3,6091	0,0878	2,2394	1,0000	-0,0030	-0,0001	0,0030	3,6092	-0,7363	1,2394	0,9412	-0,3379	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698287.jpg,img_FrontCenter_Segmentation_1581448698300.jpg
1581448698345	3,6092	0,0942	2,2394	1,0000	-0,0029	-0,0001	0,0029	3,6092	-0,7356	1,2394	0,9406	-0,3395	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698338.jpg,img_FrontCenter_Segmentation_1581448698345.jpg
1581448698398	3,6092	0,1053	2,2394	1,0000	-0,0029	-0,0001	0,0028	3,6092	-0,7350	1,2394	0,9396	-0,3423	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698390.jpg,img_FrontCenter_Segmentation_1581448698398.jpg
1581448698455	3,6092	0,1260	2,2394	1,0000	-0,0028	-0,0001	0,0027	3,6092	-0,7341	1,2394	0,9376	-0,3477	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698446.jpg,img_FrontCenter_Segmentation_1581448698455.jpg
1581448698509	3,6092	0,1469	2,2394	1,0000	-0,0027	-0,0001	0,0027	3,6092	-0,7335	1,2394	0,9356	-0,3532	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698497.jpg,img_FrontCenter_Segmentation_1581448698509.jpg
1581448698561	3,6092	0,1722	2,2394	1,0000	-0,0026	-0,0001	0,0026	3,6092	-0,7328	1,2394	0,9331	-0,3596	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698550.jpg,img_FrontCenter_Segmentation_1581448698561.jpg
1581448698619	3,6092	0,1999	2,2394	1,0000	-0,0026	-0,0001	0,0025	3,6092	-0,7326	1,2394	0,9304	-0,3665	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698606.jpg,img_FrontCenter_Segmentation_1581448698619.jpg
1581448698667	3,6092	0,2334	2,2394	1,0000	-0,0025	-0,0001	0,0025	3,6092	-0,7324	1,2394	0,9272	-0,3746	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698653.jpg,img_FrontCenter_Segmentation_1581448698667.jpg
1581448698718	3,6092	0,2711	2,2394	1,0000	-0,0024	-0,0001	0,0024	3,6093	-0,7321	1,2394	0,9236	-0,3834	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698705.jpg,img_FrontCenter_Segmentation_1581448698718.jpg
1581448698769	3,6092	0,3104	2,2394	1,0000	-0,0024	-0,0001	0,0023	3,6093	-0,7319	1,2394	0,9199	-0,3922	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698756.jpg,img_FrontCenter_Segmentation_1581448698769.jpg
1581448698820	3,6092	0,3589	2,2394	1,0000	-0,0023	-0,0001	0,0023	3,6093	-0,7317	1,2394	0,9154	-0,4026	0,0000	0,0000	img_PilotCamera_Segmentation_1581448698808.jpg,img_FrontCenter_Segmentation_1581448698820.jpg
1581448698873	3,6092	0,4207	2,2394	1,0000	-0,0022	0,0004	0,0022	3,6090	-0,7316	1,2394	0,9098	-0,4151	0,0001	0,0001	img_PilotCamera_Segmentation_1581448698861.jpg,img_FrontCenter_Segmentation_1581448698873.jpg
1581448698927	3,6092	0,4742	2,2394	1,0000	-0,0022	0,0032	0,0022	3,6073	-0,7314	1,2394	0,9051	-0,4252	0,0009	0,0004	img_PilotCamera_Segmentation_1581448698916.jpg,img_FrontCenter_Segmentation_1581448698927.jpg
1581448698978	3,6092	0,5183	2,2394	1,0000	-0,0021	0,0073	0,0021	3,6049	-0,7311	1,2395	0,9013	-0,4331	0,0020	0,0009	img_PilotCamera_Segmentation_1581448698968.jpg,img_FrontCenter_Segmentation_1581448698978.jpg
1581448699036	3,6092	0,5708	2,2394	0,9999	-0,0021	0,0144	0,0020	3,6006	-0,7309	1,2395	0,8970	-0,4420	0,0039	0,0019	img_PilotCamera_Segmentation_1581448699023.jpg,img_FrontCenter_Segmentation_1581448699036.jpg
1581448699089	3,6092	0,6192	2,2394	0,9997	-0,0021	0,0236	0,0020	3,5951	-0,7307	1,2395	0,8931	-0,4498	0,0063	0,0032	img_PilotCamera_Segmentation_1581448699079.jpg,img_FrontCenter_Segmentation_1581448699089.jpg
1581448699143	3,6092	0,6773	2,2394	0,9993	-0,0020	0,0385	0,0019	3,5861	-0,7305	1,2397	0,8885	-0,4587	0,0103	0,0053	img_PilotCamera_Segmentation_1581448699132.jpg,img_FrontCenter_Segmentation_1581448699143.jpg
1581448699194	3,6092	0,7222	2,2394	0,9986	-0,0020	0,0520	0,0018	3,5780	-0,7302	1,2399	0,8851	-0,4652	0,0138	0,0073	img_PilotCamera_Segmentation_1581448699183.jpg,img_FrontCenter_Segmentation_1581448699194.jpg
1581448699250	3,6092	0,7634	2,2394	0,9979	-0,0020	0,0644	0,0017	3,5706	-0,7300	1,2402	0,8820	-0,4709	0,0170	0,0091	img_PilotCamera_Segmentation_1581448699237.jpg,img_FrontCenter_Segmentation_1581448699250.jpg
1581448699300	3,6092	0,7984	2,2394	0,9972	-0,0019	0,0749	0,0017	3,5643	-0,7298	1,2405	0,8794	-0,4755	0,0198	0,0107	img_PilotCamera_Segmentation_1581448699289.jpg,img_FrontCenter_Segmentation_1581448699300.jpg
1581448699353	3,6092	0,8338	2,2394	0,9963	-0,0019	0,0857	0,0016	3,5578	-0,7295	1,2408	0,8769	-0,4800	0,0226	0,0124	img_PilotCamera_Segmentation_1581448699342.jpg,img_FrontCenter_Segmentation_1581448699353.jpg
1581448699410	3,6092	0,8762	2,2394	0,9953	-0,0019	0,0971	0,0015	3,5509	-0,7293	1,2411	0,8739	-0,4852	0,0255	0,0142	img_PilotCamera_Segmentation_1581448699397.jpg,img_FrontCenter_Segmentation_1581448699410.jpg
1581448699460	3,6092	0,9133	2,2394	0,9944	-0,0018	0,1055	0,0015	3,5459	-0,7291	1,2415	0,8714	-0,4896	0,0276	0,0155	img_PilotCamera_Segmentation_1581448699448.jpg,img_FrontCenter_Segmentation_1581448699460.jpg
1581448699511	3,6092	0,9532	2,2394	0,9936	-0,0018	0,1132	0,0014	3,5412	-0,7289	1,2418	0,8687	-0,4942	0,0296	0,0168	img_PilotCamera_Segmentation_1581448699499.jpg,img_FrontCenter_Segmentation_1581448699511.jpg
1581448699561	3,6092	0,9958	2,2394	0,9927	-0,0018	0,1202	0,0014	3,5370	-0,7287	1,2421	0,8659	-0,4988	0,0313	0,0180	img_PilotCamera_Segmentation_1581448699550.jpg,img_FrontCenter_Segmentation_1581448699561.jpg
1581448699615	3,6093	1,0361	2,2394	0,9920	-0,0017	0,1263	0,0013	3,5333	-0,7285	1,2423	0,8634	-0,5031	0,0328	0,0191	img_PilotCamera_Segmentation_1581448699603.jpg,img_FrontCenter_Segmentation_1581448699615.jpg
1581448699670	3,6093	1,0744	2,2394	0,9912	-0,0017	0,1321	0,0013	3,5298	-0,7281	1,2426	0,8610	-0,5070	0,0343	0,0202	img_PilotCamera_Segmentation_1581448699657.jpg,img_FrontCenter_Segmentation_1581448699670.jpg
1581448699720	3,6093	1,1073	2,2394	0,9905	-0,0017	0,1374	0,0012	3,5266	-0,7277	1,2429	0,8591	-0,5102	0,0355	0,0211	img_PilotCamera_Segmentation_1581448699709.jpg,img_FrontCenter_Segmentation_1581448699720.jpg
1581448699775	3,6093	1,1334	2,2394	0,9899	-0,0016	0,1419	0,0012	3,5239	-0,7275	1,2431	0,8575	-0,5127	0,0367	0,0219	img_PilotCamera_Segmentation_1581448699763.jpg,img_FrontCenter_Segmentation_1581448699775.jpg
1581448699827	3,6093	1,1631	2,2395	0,9890	0,0098	0,1476	-0,0005	3,5205	-0,7275	1,2434	0,8558	-0,5155	0,0381	0,0229	img_PilotCamera_Segmentation_1581448699816.jpg,img_FrontCenter_Segmentation_1581448699827.jpg
1581448699882	3,6093	1,1848	2,2396	0,9876	0,0384	0,1522	-0,0049	3,5177	-0,7272	1,2438	0,8545	-0,5174	0,0392	0,0238	img_PilotCamera_Segmentation_1581448699869.jpg,img_FrontCenter_Segmentation_1581448699882.jpg
1581448699937	3,6095	1,2085	2,2403	0,9848	0,0705	0,1583	-0,0085	3,5139	-0,7270	1,2449	0,8531	-0,5195	0,0409	0,0249	img_PilotCamera_Segmentation_1581448699925.jpg,img_FrontCenter_Segmentation_1581448699937.jpg
1581448699991	3,6100	1,2329	2,2419	0,9809	0,1034	0,1649	-0,0046	3,5095	-0,7268	1,2470	0,8517	-0,5216	0,0429	0,0263	img_PilotCamera_Segmentation_1581448699976.jpg,img_FrontCenter_Segmentation_1581448699991.jpg
