Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581448998430	2,3463	4,7228	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7646	-0,6445	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998351.jpg,img_FrontCenter_Segmentation_1581448998430.jpg
1581448998542	2,3463	4,5868	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7659	-0,6429	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998528.jpg,img_FrontCenter_Segmentation_1581448998542.jpg
1581448998562	2,3463	4,5555	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7662	-0,6426	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998553.jpg,img_FrontCenter_Segmentation_1581448998562.jpg
1581448998622	2,3463	4,4742	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7670	-0,6416	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998612.jpg,img_FrontCenter_Segmentation_1581448998622.jpg
1581448998671	2,3463	4,4227	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7676	-0,6410	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998659.jpg,img_FrontCenter_Segmentation_1581448998671.jpg
1581448998725	2,3463	4,3406	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7684	-0,6400	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998715.jpg,img_FrontCenter_Segmentation_1581448998725.jpg
1581448998776	2,3463	4,2780	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7691	-0,6392	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998766.jpg,img_FrontCenter_Segmentation_1581448998776.jpg
1581448998828	2,3463	4,2065	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7698	-0,6382	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998821.jpg,img_FrontCenter_Segmentation_1581448998828.jpg
1581448998883	2,3463	4,1302	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7707	-0,6372	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998872.jpg,img_FrontCenter_Segmentation_1581448998883.jpg
1581448998933	2,3463	4,0489	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7716	-0,6361	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998925.jpg,img_FrontCenter_Segmentation_1581448998933.jpg
1581448998986	2,3463	3,9421	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7729	-0,6346	0,0000	0,0000	img_PilotCamera_Segmentation_1581448998979.jpg,img_FrontCenter_Segmentation_1581448998986.jpg
1581448999037	2,3463	3,8505	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7740	-0,6332	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999031.jpg,img_FrontCenter_Segmentation_1581448999037.jpg
1581448999089	2,3463	3,7543	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7752	-0,6317	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999083.jpg,img_FrontCenter_Segmentation_1581448999089.jpg
1581448999141	2,3463	3,6564	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7765	-0,6301	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999135.jpg,img_FrontCenter_Segmentation_1581448999141.jpg
1581448999196	2,3463	3,5688	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7777	-0,6287	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999190.jpg,img_FrontCenter_Segmentation_1581448999196.jpg
1581448999251	2,3463	3,4810	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7789	-0,6271	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999243.jpg,img_FrontCenter_Segmentation_1581448999251.jpg
1581448999302	2,3463	3,3984	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7801	-0,6256	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999295.jpg,img_FrontCenter_Segmentation_1581448999302.jpg
1581448999355	2,3463	3,2994	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7816	-0,6238	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999348.jpg,img_FrontCenter_Segmentation_1581448999355.jpg
1581448999403	2,3463	3,2996	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7816	-0,6238	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999398.jpg,img_FrontCenter_Segmentation_1581448999403.jpg
1581448999458	2,3463	3,3033	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7815	-0,6239	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999452.jpg,img_FrontCenter_Segmentation_1581448999458.jpg
1581448999511	2,3463	3,3112	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7814	-0,6240	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999505.jpg,img_FrontCenter_Segmentation_1581448999511.jpg
1581448999570	2,3463	3,3227	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7812	-0,6242	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999564.jpg,img_FrontCenter_Segmentation_1581448999570.jpg
1581448999621	2,3463	3,3447	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7809	-0,6246	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999616.jpg,img_FrontCenter_Segmentation_1581448999621.jpg
1581448999670	2,3463	3,3667	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7806	-0,6251	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999665.jpg,img_FrontCenter_Segmentation_1581448999670.jpg
1581448999729	2,3463	3,3929	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7802	-0,6255	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999721.jpg,img_FrontCenter_Segmentation_1581448999729.jpg
1581448999779	2,3463	3,4215	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7798	-0,6261	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999773.jpg,img_FrontCenter_Segmentation_1581448999779.jpg
1581448999834	2,3463	3,4560	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7793	-0,6267	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999829.jpg,img_FrontCenter_Segmentation_1581448999834.jpg
1581448999886	2,3463	3,4922	7,9913	1,0000	0,0000	0,0000	0,0000	2,3463	-1,0970	6,9913	0,7788	-0,6273	0,0000	0,0000	img_PilotCamera_Segmentation_1581448999879.jpg,img_FrontCenter_Segmentation_1581448999886.jpg
1581448999936	2,3463	3,5350	7,9913	1,0000	0,0000	-0,0017	0,0000	2,3473	-1,0970	6,9913	0,7781	-0,6281	-0,0004	-0,0003	img_PilotCamera_Segmentation_1581448999930.jpg,img_FrontCenter_Segmentation_1581448999936.jpg
1581448999991	2,3463	3,5866	7,9913	1,0000	0,0000	-0,0070	0,0000	2,3505	-1,0970	6,9913	0,7774	-0,6290	-0,0016	-0,0013	img_PilotCamera_Segmentation_1581448999985.jpg,img_FrontCenter_Segmentation_1581448999991.jpg
1581449000045	2,3463	3,6263	7,9913	0,9999	0,0000	-0,0134	0,0000	2,3543	-1,0970	6,9913	0,7769	-0,6296	-0,0031	-0,0025	img_PilotCamera_Segmentation_1581449000038.jpg,img_FrontCenter_Segmentation_1581449000045.jpg
1581449000099	2,3463	3,6658	7,9913	0,9998	0,0000	-0,0218	0,0000	2,3594	-1,0970	6,9913	0,7763	-0,6303	-0,0051	-0,0041	img_PilotCamera_Segmentation_1581449000093.jpg,img_FrontCenter_Segmentation_1581449000099.jpg
1581449000153	2,3463	3,7148	7,9913	0,9994	0,0000	-0,0347	0,0000	2,3671	-1,0970	6,9915	0,7757	-0,6310	-0,0081	-0,0066	img_PilotCamera_Segmentation_1581449000148.jpg,img_FrontCenter_Segmentation_1581449000153.jpg
1581449000207	2,3463	3,7547	7,9913	0,9989	0,0000	-0,0472	0,0000	2,3746	-1,0970	6,9917	0,7751	-0,6317	-0,0110	-0,0089	img_PilotCamera_Segmentation_1581449000201.jpg,img_FrontCenter_Segmentation_1581449000207.jpg
1581449000261	2,3463	3,7929	7,9913	0,9983	0,0037	-0,0590	0,0002	2,3817	-1,0970	6,9919	0,7746	-0,6322	-0,0137	-0,0112	img_PilotCamera_Segmentation_1581449000255.jpg,img_FrontCenter_Segmentation_1581449000261.jpg
1581449000311	2,3463	3,8329	7,9913	0,9972	0,0266	-0,0699	0,0018	2,3882	-1,0970	6,9922	0,7740	-0,6328	-0,0163	-0,0133	img_PilotCamera_Segmentation_1581449000305.jpg,img_FrontCenter_Segmentation_1581449000311.jpg
1581449000370	2,3462	3,8715	7,9916	0,9953	0,0564	-0,0785	0,0041	2,3934	-1,0970	6,9927	0,7735	-0,6333	-0,0183	-0,0150	img_PilotCamera_Segmentation_1581449000364.jpg,img_FrontCenter_Segmentation_1581449000370.jpg
1581449000421	2,3460	3,9177	7,9928	0,9917	0,0953	-0,0857	0,0072	2,3978	-1,0970	6,9942	0,7729	-0,6340	-0,0200	-0,0164	img_PilotCamera_Segmentation_1581449000415.jpg,img_FrontCenter_Segmentation_1581449000421.jpg
1581449000476	2,3456	3,9590	7,9954	0,9876	0,1280	-0,0899	0,0100	2,4002	-1,0970	6,9969	0,7724	-0,6346	-0,0211	-0,0173	img_PilotCamera_Segmentation_1581449000469.jpg,img_FrontCenter_Segmentation_1581449000476.jpg
1581449000532	2,3450	3,9940	7,9992	0,9872	0,1290	-0,0934	0,0099	2,4018	-1,0970	7,0008	0,7719	-0,6351	-0,0219	-0,0180	img_PilotCamera_Segmentation_1581449000526.jpg,img_FrontCenter_Segmentation_1581449000532.jpg
1581449000582	2,3441	4,0298	8,0046	0,9892	0,1102	-0,0968	0,0080	2,4028	-1,0970	7,0063	0,7715	-0,6356	-0,0227	-0,0187	img_PilotCamera_Segmentation_1581449000574.jpg,img_FrontCenter_Segmentation_1581449000582.jpg
1581449000639	2,3429	4,0698	8,0122	0,9907	0,0911	-0,1009	0,0061	2,4039	-1,0970	7,0140	0,7710	-0,6361	-0,0235	-0,0194	img_PilotCamera_Segmentation_1581449000630.jpg,img_FrontCenter_Segmentation_1581449000639.jpg
1581449000691	2,3410	4,1206	8,0236	0,9925	0,0563	-0,1087	0,0023	2,4065	-1,0970	7,0257	0,7704	-0,6367	-0,0253	-0,0209	img_PilotCamera_Segmentation_1581449000685.jpg,img_FrontCenter_Segmentation_1581449000691.jpg
1581449000745	2,3395	4,1571	8,0326	0,9928	0,0266	-0,1164	-0,0011	2,4095	-1,0970	7,0350	0,7699	-0,6372	-0,0270	-0,0223	img_PilotCamera_Segmentation_1581449000738.jpg,img_FrontCenter_Segmentation_1581449000745.jpg
1581449000799	2,3378	4,1950	8,0425	0,9919	-0,0052	-0,1268	-0,0047	2,4140	-1,0970	7,0454	0,7694	-0,6376	-0,0294	-0,0243	img_PilotCamera_Segmentation_1581449000793.jpg,img_FrontCenter_Segmentation_1581449000799.jpg
1581449000849	2,3363	4,2318	8,0523	0,9896	-0,0351	-0,1393	-0,0081	2,4200	-1,0970	7,0559	0,7689	-0,6380	-0,0323	-0,0268	img_PilotCamera_Segmentation_1581449000841.jpg,img_FrontCenter_Segmentation_1581449000849.jpg
1581449000900	2,3349	4,2653	8,0613	0,9874	-0,0437	-0,1515	-0,0086	2,4261	-1,0970	7,0655	0,7684	-0,6383	-0,0351	-0,0292	img_PilotCamera_Segmentation_1581449000892.jpg,img_FrontCenter_Segmentation_1581449000900.jpg
1581449000951	2,3336	4,2988	8,0706	0,9859	-0,0357	-0,1635	-0,0065	2,4320	-1,0970	7,0754	0,7679	-0,6387	-0,0379	-0,0315	img_PilotCamera_Segmentation_1581449000945.jpg,img_FrontCenter_Segmentation_1581449000951.jpg
1581449001002	2,3324	4,3301	8,0795	0,9842	-0,0300	-0,1743	-0,0051	2,4374	-1,0970	7,0850	0,7674	-0,6390	-0,0404	-0,0336	img_PilotCamera_Segmentation_1581449000996.jpg,img_FrontCenter_Segmentation_1581449001002.jpg
1581449001052	2,3313	4,3629	8,0880	0,9825	-0,0253	-0,1843	-0,0039	2,4423	-1,0970	7,0942	0,7670	-0,6393	-0,0427	-0,0356	img_PilotCamera_Segmentation_1581449001047.jpg,img_FrontCenter_Segmentation_1581449001052.jpg
1581449001103	2,3304	4,3981	8,0961	0,9809	-0,0213	-0,1934	-0,0030	2,4470	-1,0970	7,1029	0,7665	-0,6396	-0,0448	-0,0374	img_PilotCamera_Segmentation_1581449001097.jpg,img_FrontCenter_Segmentation_1581449001103.jpg
1581449001159	2,3294	4,4465	8,1060	0,9789	-0,0072	-0,2042	-0,0001	2,4525	-1,0970	7,1136	0,7658	-0,6401	-0,0473	-0,0395	img_PilotCamera_Segmentation_1581449001152.jpg,img_FrontCenter_Segmentation_1581449001159.jpg
1581449001214	2,3287	4,4852	8,1136	0,9770	0,0230	-0,2118	0,0062	2,4564	-1,0970	7,1217	0,7653	-0,6404	-0,0491	-0,0411	img_PilotCamera_Segmentation_1581449001207.jpg,img_FrontCenter_Segmentation_1581449001214.jpg
1581449001268	2,3278	4,5239	8,1210	0,9744	0,0527	-0,2182	0,0125	2,4595	-1,0970	7,1297	0,7649	-0,6408	-0,0506	-0,0424	img_PilotCamera_Segmentation_1581449001262.jpg,img_FrontCenter_Segmentation_1581449001268.jpg
1581449001319	2,3265	4,5676	8,1297	0,9708	0,0838	-0,2241	0,0192	2,4622	-1,0970	7,1389	0,7643	-0,6412	-0,0521	-0,0437	img_PilotCamera_Segmentation_1581449001313.jpg,img_FrontCenter_Segmentation_1581449001319.jpg
1581449001370	2,3245	4,6135	8,1397	0,9669	0,1087	-0,2295	0,0246	2,4640	-1,0970	7,1495	0,7638	-0,6417	-0,0535	-0,0450	img_PilotCamera_Segmentation_1581449001365.jpg,img_FrontCenter_Segmentation_1581449001370.jpg
1581449001423	2,3214	4,6684	8,1534	0,9668	0,0947	-0,2366	0,0206	2,4651	-1,0970	7,1638	0,7632	-0,6422	-0,0551	-0,0464	img_PilotCamera_Segmentation_1581449001415.jpg,img_FrontCenter_Segmentation_1581449001423.jpg
1581449001473	2,3187	4,7085	8,1650	0,9669	0,0789	-0,2422	0,0166	2,4656	-1,0970	7,1759	0,7627	-0,6426	-0,0563	-0,0475	img_PilotCamera_Segmentation_1581449001467.jpg,img_FrontCenter_Segmentation_1581449001473.jpg
1581449001535	2,3157	4,7462	8,1772	0,9660	0,0665	-0,2496	0,0133	2,4670	-1,0970	7,1887	0,7622	-0,6429	-0,0580	-0,0489	img_PilotCamera_Segmentation_1581449001530.jpg,img_FrontCenter_Segmentation_1581449001535.jpg
1581449001578	2,3127	4,7785	8,1885	0,9649	0,0495	-0,2577	0,0087	2,4688	-1,0970	7,2008	0,7618	-0,6431	-0,0598	-0,0505	img_PilotCamera_Segmentation_1581449001572.jpg,img_FrontCenter_Segmentation_1581449001578.jpg
1581449001634	2,3090	4,8159	8,2025	0,9629	0,0180	-0,2694	0,0001	2,4720	-1,0970	7,2159	0,7612	-0,6433	-0,0625	-0,0528	img_PilotCamera_Segmentation_1581449001628.jpg,img_FrontCenter_Segmentation_1581449001634.jpg
1581449001684	2,3056	4,8481	8,2152	0,9594	-0,0112	-0,2817	-0,0079	2,4761	-1,0970	7,2298	0,7607	-0,6434	-0,0653	-0,0553	img_PilotCamera_Segmentation_1581449001677.jpg,img_FrontCenter_Segmentation_1581449001684.jpg
1581449001734	2,3021	4,8811	8,2286	0,9539	-0,0416	-0,2967	-0,0163	2,4820	-1,0970	7,2449	0,7601	-0,6435	-0,0689	-0,0583	img_PilotCamera_Segmentation_1581449001728.jpg,img_FrontCenter_Segmentation_1581449001734.jpg
