Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581449764483	-4,9859	1,5125	0,0643	1,0000	0,0000	0,0000	0,0000	-4,9859	-1,0970	-0,9357	0,8240	-0,5666	0,0000	0,0000	img_PilotCamera_Segmentation_1581449764376.jpg,img_FrontCenter_Segmentation_1581449764483.jpg
1581449764577	-4,9859	1,3477	0,0643	1,0000	0,0000	0,0000	0,0000	-4,9859	-1,0970	-0,9357	0,8302	-0,5574	0,0000	0,0000	img_PilotCamera_Segmentation_1581449764562.jpg,img_FrontCenter_Segmentation_1581449764577.jpg
1581449764628	-4,9859	1,2700	0,0643	1,0000	0,0000	0,0000	0,0000	-4,9859	-1,0970	-0,9357	0,8334	-0,5526	0,0000	0,0000	img_PilotCamera_Segmentation_1581449764612.jpg,img_FrontCenter_Segmentation_1581449764628.jpg
1581449764679	-4,9859	1,2158	0,0643	1,0000	0,0000	0,0000	0,0000	-4,9859	-1,0970	-0,9357	0,8357	-0,5491	0,0000	0,0000	img_PilotCamera_Segmentation_1581449764664.jpg,img_FrontCenter_Segmentation_1581449764679.jpg
1581449764728	-4,9859	1,1563	0,0643	1,0000	0,0000	0,0000	0,0000	-4,9859	-1,0970	-0,9357	0,8383	-0,5451	0,0000	0,0000	img_PilotCamera_Segmentation_1581449764714.jpg,img_FrontCenter_Segmentation_1581449764728.jpg
1581449764782	-4,9859	1,0956	0,0643	1,0000	0,0000	0,0000	0,0000	-4,9859	-1,0970	-0,9357	0,8411	-0,5409	0,0000	0,0000	img_PilotCamera_Segmentation_1581449764768.jpg,img_FrontCenter_Segmentation_1581449764782.jpg
1581449764833	-4,9859	1,0263	0,0643	1,0000	0,0000	0,0000	0,0000	-4,9859	-1,0970	-0,9357	0,8444	-0,5357	0,0000	0,0000	img_PilotCamera_Segmentation_1581449764818.jpg,img_FrontCenter_Segmentation_1581449764833.jpg
1581449764884	-4,9859	0,9564	0,0643	1,0000	0,0000	0,0000	0,0000	-4,9859	-1,0970	-0,9357	0,8479	-0,5302	0,0000	0,0000	img_PilotCamera_Segmentation_1581449764870.jpg,img_FrontCenter_Segmentation_1581449764884.jpg
1581449764939	-4,9859	0,8775	0,0643	1,0000	0,0000	0,0000	0,0000	-4,9859	-1,0970	-0,9357	0,8520	-0,5235	0,0000	0,0000	img_PilotCamera_Segmentation_1581449764925.jpg,img_FrontCenter_Segmentation_1581449764939.jpg
1581449764988	-4,9859	0,7938	0,0643	1,0000	0,0000	0,0000	0,0000	-4,9859	-1,0970	-0,9357	0,8566	-0,5160	0,0000	0,0000	img_PilotCamera_Segmentation_1581449764975.jpg,img_FrontCenter_Segmentation_1581449764988.jpg
