Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581450366531	17,8617	1,5324	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8232	-0,5677	0,0000	0,0000	img_PilotCamera_Segmentation_1581450366452.jpg,img_FrontCenter_Segmentation_1581450366531.jpg
1581450366624	17,8617	1,3917	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8285	-0,5600	0,0000	0,0000	img_PilotCamera_Segmentation_1581450366613.jpg,img_FrontCenter_Segmentation_1581450366624.jpg
1581450366658	17,8617	1,3305	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8309	-0,5564	0,0000	0,0000	img_PilotCamera_Segmentation_1581450366649.jpg,img_FrontCenter_Segmentation_1581450366658.jpg
1581450366712	17,8617	1,2837	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8328	-0,5535	0,0000	0,0000	img_PilotCamera_Segmentation_1581450366702.jpg,img_FrontCenter_Segmentation_1581450366712.jpg
1581450366762	17,8617	1,2255	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8353	-0,5498	0,0000	0,0000	img_PilotCamera_Segmentation_1581450366751.jpg,img_FrontCenter_Segmentation_1581450366762.jpg
1581450366816	17,8617	1,1464	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8388	-0,5445	0,0000	0,0000	img_PilotCamera_Segmentation_1581450366805.jpg,img_FrontCenter_Segmentation_1581450366816.jpg
1581450366863	17,8617	1,0794	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8419	-0,5397	0,0000	0,0000	img_PilotCamera_Segmentation_1581450366855.jpg,img_FrontCenter_Segmentation_1581450366863.jpg
1581450366916	17,8617	1,0074	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8453	-0,5342	0,0000	0,0000	img_PilotCamera_Segmentation_1581450366905.jpg,img_FrontCenter_Segmentation_1581450366916.jpg
1581450366963	17,8617	0,9304	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8492	-0,5280	0,0000	0,0000	img_PilotCamera_Segmentation_1581450366955.jpg,img_FrontCenter_Segmentation_1581450366963.jpg
1581450367018	17,8617	0,8536	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8533	-0,5214	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367009.jpg,img_FrontCenter_Segmentation_1581450367018.jpg
1581450367075	17,8617	0,7726	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8578	-0,5140	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367064.jpg,img_FrontCenter_Segmentation_1581450367075.jpg
1581450367125	17,8617	0,6601	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8645	-0,5027	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367120.jpg,img_FrontCenter_Segmentation_1581450367125.jpg
1581450367176	17,8617	0,5639	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8706	-0,4920	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367171.jpg,img_FrontCenter_Segmentation_1581450367176.jpg
1581450367228	17,8617	0,4574	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8778	-0,4790	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367222.jpg,img_FrontCenter_Segmentation_1581450367228.jpg
1581450367282	17,8617	0,3524	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8854	-0,4648	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367273.jpg,img_FrontCenter_Segmentation_1581450367282.jpg
1581450367331	17,8617	0,2540	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8930	-0,4500	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367324.jpg,img_FrontCenter_Segmentation_1581450367331.jpg
1581450367379	17,8617	0,1605	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,9007	-0,4345	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367373.jpg,img_FrontCenter_Segmentation_1581450367379.jpg
1581450367435	17,8617	0,0613	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,9093	-0,4162	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367428.jpg,img_FrontCenter_Segmentation_1581450367435.jpg
1581450367488	17,8617	0,0894	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,9068	-0,4216	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367483.jpg,img_FrontCenter_Segmentation_1581450367488.jpg
1581450367541	17,8617	0,0944	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,9063	-0,4226	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367533.jpg,img_FrontCenter_Segmentation_1581450367541.jpg
1581450367596	17,8617	0,1039	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,9055	-0,4243	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367587.jpg,img_FrontCenter_Segmentation_1581450367596.jpg
1581450367645	17,8617	0,1178	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,9043	-0,4269	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367637.jpg,img_FrontCenter_Segmentation_1581450367645.jpg
1581450367695	17,8617	0,1348	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,9028	-0,4300	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367686.jpg,img_FrontCenter_Segmentation_1581450367695.jpg
1581450367745	17,8617	0,1644	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,9003	-0,4352	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367738.jpg,img_FrontCenter_Segmentation_1581450367745.jpg
1581450367797	17,8617	0,1940	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8979	-0,4402	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367791.jpg,img_FrontCenter_Segmentation_1581450367797.jpg
1581450367852	17,8617	0,2243	26,3333	1,0000	0,0000	0,0000	0,0000	17,8617	-1,0970	25,3333	0,8954	-0,4453	0,0000	0,0000	img_PilotCamera_Segmentation_1581450367844.jpg,img_FrontCenter_Segmentation_1581450367852.jpg
