Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581450040708	3,7805	1,5725	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8218	-0,5697	0,0000	0,0000	img_PilotCamera_Segmentation_1581450040605.jpg,img_FrontCenter_Segmentation_1581450040708.jpg
1581450040791	3,7805	1,4175	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8275	-0,5615	0,0000	0,0000	img_PilotCamera_Segmentation_1581450040777.jpg,img_FrontCenter_Segmentation_1581450040791.jpg
1581450040845	3,7805	1,3449	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8304	-0,5572	0,0000	0,0000	img_PilotCamera_Segmentation_1581450040832.jpg,img_FrontCenter_Segmentation_1581450040845.jpg
1581450040896	3,7805	1,2954	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8324	-0,5542	0,0000	0,0000	img_PilotCamera_Segmentation_1581450040883.jpg,img_FrontCenter_Segmentation_1581450040896.jpg
1581450040946	3,7805	1,2378	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8348	-0,5506	0,0000	0,0000	img_PilotCamera_Segmentation_1581450040934.jpg,img_FrontCenter_Segmentation_1581450040946.jpg
1581450041001	3,7805	1,1712	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8377	-0,5462	0,0000	0,0000	img_PilotCamera_Segmentation_1581450040987.jpg,img_FrontCenter_Segmentation_1581450041001.jpg
1581450041051	3,7805	1,1113	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8404	-0,5420	0,0000	0,0000	img_PilotCamera_Segmentation_1581450041037.jpg,img_FrontCenter_Segmentation_1581450041051.jpg
1581450041102	3,7805	1,0387	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8438	-0,5366	0,0000	0,0000	img_PilotCamera_Segmentation_1581450041089.jpg,img_FrontCenter_Segmentation_1581450041102.jpg
1581450041156	3,7805	0,9517	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8481	-0,5298	0,0000	0,0000	img_PilotCamera_Segmentation_1581450041142.jpg,img_FrontCenter_Segmentation_1581450041156.jpg
1581450041209	3,7805	0,8537	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8533	-0,5214	0,0000	0,0000	img_PilotCamera_Segmentation_1581450041197.jpg,img_FrontCenter_Segmentation_1581450041209.jpg
1581450041261	3,7805	0,7600	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8585	-0,5128	0,0000	0,0000	img_PilotCamera_Segmentation_1581450041247.jpg,img_FrontCenter_Segmentation_1581450041261.jpg
1581450041312	3,7805	0,6724	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8637	-0,5040	0,0000	0,0000	img_PilotCamera_Segmentation_1581450041300.jpg,img_FrontCenter_Segmentation_1581450041312.jpg
1581450041365	3,7805	0,5750	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8699	-0,4933	0,0000	0,0000	img_PilotCamera_Segmentation_1581450041352.jpg,img_FrontCenter_Segmentation_1581450041365.jpg
1581450041418	3,7805	0,4732	2,1949	1,0000	0,0000	0,0000	0,0000	3,7805	-1,0970	1,1949	0,8767	-0,4811	0,0000	0,0000	img_PilotCamera_Segmentation_1581450041405.jpg,img_FrontCenter_Segmentation_1581450041418.jpg
