Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581450520136	-18,3327	1,4552	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8261	-0,5636	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520044.jpg,img_FrontCenter_Segmentation_1581450520136.jpg
1581450520206	-18,3327	1,3002	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8322	-0,5545	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520190.jpg,img_FrontCenter_Segmentation_1581450520206.jpg
1581450520263	-18,3327	1,2561	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8340	-0,5518	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520242.jpg,img_FrontCenter_Segmentation_1581450520263.jpg
1581450520307	-18,3327	1,2065	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8361	-0,5485	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520292.jpg,img_FrontCenter_Segmentation_1581450520307.jpg
1581450520361	-18,3327	1,1517	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8386	-0,5448	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520345.jpg,img_FrontCenter_Segmentation_1581450520361.jpg
1581450520420	-18,3327	1,0692	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8424	-0,5389	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520400.jpg,img_FrontCenter_Segmentation_1581450520420.jpg
1581450520472	-18,3327	1,0063	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8454	-0,5341	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520455.jpg,img_FrontCenter_Segmentation_1581450520472.jpg
1581450520530	-18,3327	0,9346	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8490	-0,5284	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520513.jpg,img_FrontCenter_Segmentation_1581450520530.jpg
1581450520579	-18,3327	0,8392	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8541	-0,5201	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520565.jpg,img_FrontCenter_Segmentation_1581450520579.jpg
1581450520636	-18,3327	0,7516	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8590	-0,5120	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520617.jpg,img_FrontCenter_Segmentation_1581450520636.jpg
1581450520687	-18,3327	0,6693	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8639	-0,5036	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520670.jpg,img_FrontCenter_Segmentation_1581450520687.jpg
1581450520738	-18,3327	0,5774	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8697	-0,4936	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520720.jpg,img_FrontCenter_Segmentation_1581450520738.jpg
1581450520795	-18,3327	0,4868	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8758	-0,4828	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520778.jpg,img_FrontCenter_Segmentation_1581450520795.jpg
1581450520845	-18,3327	0,3802	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8833	-0,4687	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520830.jpg,img_FrontCenter_Segmentation_1581450520845.jpg
1581450520902	-18,3327	0,2457	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,8937	-0,4487	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520885.jpg,img_FrontCenter_Segmentation_1581450520902.jpg
1581450520953	-18,3327	0,1579	-13,7758	1,0000	0,0000	0,0000	0,0000	-18,3327	-1,0970	-14,7758	0,9009	-0,4340	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520936.jpg,img_FrontCenter_Segmentation_1581450520953.jpg
1581450521004	-18,3329	0,0755	-13,7756	1,0000	0,0022	0,0000	0,0023	-18,3330	-1,0970	-14,7756	0,9080	-0,4190	0,0000	0,0000	img_PilotCamera_Segmentation_1581450520988.jpg,img_FrontCenter_Segmentation_1581450521004.jpg
1581450521055	-18,3327	0,1307	-13,7759	1,0000	-0,0024	-0,0005	-0,0028	-18,3324	-1,0970	-14,7759	0,9032	-0,4292	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521046.jpg,img_FrontCenter_Segmentation_1581450521055.jpg
1581450521110	-18,3327	0,1378	-13,7759	1,0000	-0,0024	-0,0005	-0,0027	-18,3324	-1,0970	-14,7759	0,9026	-0,4305	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521101.jpg,img_FrontCenter_Segmentation_1581450521110.jpg
1581450521160	-18,3327	0,1476	-13,7759	1,0000	-0,0023	-0,0005	-0,0027	-18,3324	-1,0970	-14,7759	0,9018	-0,4322	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521149.jpg,img_FrontCenter_Segmentation_1581450521160.jpg
1581450521212	-18,3327	0,1623	-13,7759	1,0000	-0,0022	-0,0005	-0,0026	-18,3324	-1,0970	-14,7759	0,9005	-0,4348	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521202.jpg,img_FrontCenter_Segmentation_1581450521212.jpg
1581450521269	-18,3327	0,1812	-13,7759	1,0000	-0,0022	-0,0005	-0,0025	-18,3324	-1,0970	-14,7759	0,8989	-0,4381	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521258.jpg,img_FrontCenter_Segmentation_1581450521269.jpg
1581450521322	-18,3327	0,2060	-13,7759	1,0000	-0,0021	-0,0005	-0,0025	-18,3324	-1,0970	-14,7759	0,8969	-0,4423	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521313.jpg,img_FrontCenter_Segmentation_1581450521322.jpg
1581450521374	-18,3327	0,2338	-13,7759	1,0000	-0,0021	-0,0005	-0,0024	-18,3324	-1,0970	-14,7759	0,8946	-0,4468	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521364.jpg,img_FrontCenter_Segmentation_1581450521374.jpg
1581450521427	-18,3327	0,2658	-13,7759	1,0000	-0,0020	-0,0005	-0,0024	-18,3324	-1,0970	-14,7759	0,8921	-0,4519	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521416.jpg,img_FrontCenter_Segmentation_1581450521427.jpg
1581450521477	-18,3327	0,3089	-13,7759	1,0000	-0,0020	-0,0004	-0,0023	-18,3324	-1,0970	-14,7759	0,8887	-0,4585	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521466.jpg,img_FrontCenter_Segmentation_1581450521477.jpg
1581450521529	-18,3327	0,3501	-13,7759	1,0000	-0,0019	-0,0004	-0,0022	-18,3324	-1,0970	-14,7759	0,8856	-0,4645	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521519.jpg,img_FrontCenter_Segmentation_1581450521529.jpg
1581450521580	-18,3327	0,3954	-13,7759	1,0000	-0,0019	-0,0004	-0,0022	-18,3324	-1,0970	-14,7759	0,8822	-0,4708	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521568.jpg,img_FrontCenter_Segmentation_1581450521580.jpg
1581450521630	-18,3327	0,4447	-13,7759	1,0000	-0,0018	-0,0004	-0,0021	-18,3324	-1,0970	-14,7759	0,8787	-0,4774	-0,0001	-0,0001	img_PilotCamera_Segmentation_1581450521619.jpg,img_FrontCenter_Segmentation_1581450521630.jpg
1581450521682	-18,3327	0,4970	-13,7759	1,0000	-0,0018	-0,0012	-0,0021	-18,3320	-1,0970	-14,7759	0,8750	-0,4840	-0,0003	-0,0002	img_PilotCamera_Segmentation_1581450521671.jpg,img_FrontCenter_Segmentation_1581450521682.jpg
1581450521741	-18,3327	0,5462	-13,7759	1,0000	-0,0017	-0,0038	-0,0020	-18,3304	-1,0970	-14,7759	0,8717	-0,4900	-0,0010	-0,0006	img_PilotCamera_Segmentation_1581450521721.jpg,img_FrontCenter_Segmentation_1581450521741.jpg
1581450521793	-18,3327	0,6011	-13,7759	1,0000	-0,0017	-0,0089	-0,0019	-18,3274	-1,0970	-14,7759	0,8682	-0,4963	-0,0023	-0,0013	img_PilotCamera_Segmentation_1581450521778.jpg,img_FrontCenter_Segmentation_1581450521793.jpg
1581450521843	-18,3327	0,6465	-13,7759	0,9999	-0,0017	-0,0149	-0,0019	-18,3238	-1,0970	-14,7758	0,8653	-0,5012	-0,0039	-0,0022	img_PilotCamera_Segmentation_1581450521828.jpg,img_FrontCenter_Segmentation_1581450521843.jpg
1581450521902	-18,3327	0,7158	-13,7759	0,9996	-0,0016	-0,0270	-0,0018	-18,3165	-1,0970	-14,7757	0,8611	-0,5084	-0,0070	-0,0041	img_PilotCamera_Segmentation_1581450521883.jpg,img_FrontCenter_Segmentation_1581450521902.jpg
1581450521952	-18,3327	0,7700	-13,7759	0,9992	-0,0016	-0,0388	-0,0017	-18,3094	-1,0970	-14,7756	0,8579	-0,5137	-0,0100	-0,0060	img_PilotCamera_Segmentation_1581450521935.jpg,img_FrontCenter_Segmentation_1581450521952.jpg
1581450522003	-18,3327	0,8184	-13,7759	0,9987	-0,0016	-0,0511	-0,0017	-18,3021	-1,0970	-14,7754	0,8551	-0,5182	-0,0131	-0,0079	img_PilotCamera_Segmentation_1581450521986.jpg,img_FrontCenter_Segmentation_1581450522003.jpg
1581450522054	-18,3327	0,8633	-13,7759	0,9980	-0,0016	-0,0630	-0,0016	-18,2949	-1,0970	-14,7752	0,8526	-0,5222	-0,0161	-0,0099	img_PilotCamera_Segmentation_1581450522038.jpg,img_FrontCenter_Segmentation_1581450522054.jpg
1581450522105	-18,3327	0,9137	-13,7759	0,9971	-0,0016	-0,0761	-0,0016	-18,2870	-1,0970	-14,7748	0,8499	-0,5265	-0,0194	-0,0120	img_PilotCamera_Segmentation_1581450522088.jpg,img_FrontCenter_Segmentation_1581450522105.jpg
1581450522162	-18,3327	0,9546	-13,7759	0,9962	-0,0015	-0,0867	-0,0015	-18,2807	-1,0970	-14,7745	0,8477	-0,5298	-0,0221	-0,0138	img_PilotCamera_Segmentation_1581450522146.jpg,img_FrontCenter_Segmentation_1581450522162.jpg
1581450522210	-18,3327	0,9939	-13,7759	0,9953	-0,0015	-0,0968	-0,0014	-18,2745	-1,0970	-14,7742	0,8457	-0,5329	-0,0246	-0,0155	img_PilotCamera_Segmentation_1581450522196.jpg,img_FrontCenter_Segmentation_1581450522210.jpg
1581450522268	-18,3327	1,0423	-13,7759	0,9941	-0,0015	-0,1087	-0,0014	-18,2674	-1,0970	-14,7737	0,8432	-0,5366	-0,0275	-0,0175	img_PilotCamera_Segmentation_1581450522248.jpg,img_FrontCenter_Segmentation_1581450522268.jpg
1581450522318	-18,3327	1,0841	-13,7759	0,9930	0,0069	-0,1175	-0,0004	-18,2621	-1,0970	-14,7734	0,8411	-0,5397	-0,0297	-0,0191	img_PilotCamera_Segmentation_1581450522302.jpg,img_FrontCenter_Segmentation_1581450522318.jpg
1581450522377	-18,3327	1,1221	-13,7757	0,9916	0,0338	-0,1248	0,0030	-18,2577	-1,0970	-14,7729	0,8393	-0,5424	-0,0315	-0,0204	img_PilotCamera_Segmentation_1581450522357.jpg,img_FrontCenter_Segmentation_1581450522377.jpg
1581450522427	-18,3329	1,1646	-13,7750	0,9891	0,0660	-0,1318	0,0071	-18,2534	-1,0970	-14,7719	0,8373	-0,5453	-0,0333	-0,0217	img_PilotCamera_Segmentation_1581450522410.jpg,img_FrontCenter_Segmentation_1581450522427.jpg
1581450522477	-18,3333	1,2071	-13,7733	0,9858	0,0956	-0,1377	0,0109	-18,2500	-1,0970	-14,7698	0,8354	-0,5481	-0,0349	-0,0229	img_PilotCamera_Segmentation_1581450522463.jpg,img_FrontCenter_Segmentation_1581450522477.jpg
