Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581450641264	0,0003	0,0218	0,0002	1,0000	0,0027	0,0000	-0,0031	0,0003	-1,0970	-0,9998	0,9128	-0,4084	0,0000	0,0000	img_PilotCamera_Segmentation_1581450641188.jpg,img_FrontCenter_Segmentation_1581450641264.jpg
1581450641420	-5,8911	1,4741	-0,4658	0,9995	-0,0060	0,0010	0,0307	-5,8915	-1,0970	-1,4658	0,8254	-0,5646	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641372.jpg,img_FrontCenter_Segmentation_1581450641420.jpg
1581450641434	-5,8911	1,4738	-0,4658	0,9995	-0,0058	0,0009	0,0295	-5,8915	-1,0970	-1,4658	0,8254	-0,5646	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641427.jpg,img_FrontCenter_Segmentation_1581450641434.jpg
1581450641491	-5,8910	1,4737	-0,4658	0,9996	-0,0057	0,0009	0,0287	-5,8915	-1,0970	-1,4658	0,8254	-0,5646	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641479.jpg,img_FrontCenter_Segmentation_1581450641491.jpg
1581450641543	-5,8910	1,4734	-0,4659	0,9996	-0,0055	0,0009	0,0278	-5,8914	-1,0970	-1,4659	0,8254	-0,5645	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641533.jpg,img_FrontCenter_Segmentation_1581450641543.jpg
1581450641595	-5,8910	1,4733	-0,4659	0,9996	-0,0053	0,0008	0,0271	-5,8914	-1,0970	-1,4659	0,8254	-0,5645	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641588.jpg,img_FrontCenter_Segmentation_1581450641595.jpg
1581450641648	-5,8910	1,4731	-0,4659	0,9996	-0,0052	0,0008	0,0264	-5,8914	-1,0970	-1,4659	0,8254	-0,5645	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641636.jpg,img_FrontCenter_Segmentation_1581450641648.jpg
1581450641696	-5,8910	1,4730	-0,4659	0,9997	-0,0051	0,0008	0,0258	-5,8914	-1,0970	-1,4659	0,8254	-0,5645	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641690.jpg,img_FrontCenter_Segmentation_1581450641696.jpg
1581450641747	-5,8909	1,4728	-0,4659	0,9997	-0,0049	0,0008	0,0251	-5,8913	-1,0970	-1,4659	0,8254	-0,5645	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641741.jpg,img_FrontCenter_Segmentation_1581450641747.jpg
1581450641799	-5,8909	1,4727	-0,4659	0,9997	-0,0048	0,0008	0,0245	-5,8913	-1,0970	-1,4659	0,8254	-0,5645	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641792.jpg,img_FrontCenter_Segmentation_1581450641799.jpg
1581450641850	-5,8909	1,4734	-0,4659	0,9997	-0,0047	0,0007	0,0239	-5,8913	-1,0970	-1,4659	0,8254	-0,5645	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641843.jpg,img_FrontCenter_Segmentation_1581450641850.jpg
1581450641900	-5,8909	1,4777	-0,4659	0,9997	-0,0046	0,0007	0,0233	-5,8913	-1,0970	-1,4659	0,8252	-0,5648	0,0002	0,0001	img_PilotCamera_Segmentation_1581450641895.jpg,img_FrontCenter_Segmentation_1581450641900.jpg
1581450641951	-5,8909	1,4864	-0,4659	0,9997	-0,0045	0,0007	0,0227	-5,8912	-1,0970	-1,4659	0,8249	-0,5653	0,0001	0,0001	img_PilotCamera_Segmentation_1581450641945.jpg,img_FrontCenter_Segmentation_1581450641951.jpg
1581450642004	-5,8909	1,4986	-0,4659	0,9997	-0,0044	0,0007	0,0222	-5,8912	-1,0970	-1,4659	0,8245	-0,5659	0,0001	0,0001	img_PilotCamera_Segmentation_1581450641998.jpg,img_FrontCenter_Segmentation_1581450642004.jpg
1581450642060	-5,8908	1,5229	-0,4659	0,9998	-0,0042	0,0007	0,0214	-5,8912	-1,0970	-1,4659	0,8236	-0,5672	0,0001	0,0001	img_PilotCamera_Segmentation_1581450642052.jpg,img_FrontCenter_Segmentation_1581450642060.jpg
1581450642112	-5,8908	1,5445	-0,4659	0,9998	-0,0041	0,0006	0,0209	-5,8912	-1,0970	-1,4659	0,8228	-0,5683	0,0001	0,0001	img_PilotCamera_Segmentation_1581450642107.jpg,img_FrontCenter_Segmentation_1581450642112.jpg
1581450642166	-5,8908	1,5715	-0,4659	0,9998	-0,0040	0,0006	0,0204	-5,8911	-1,0970	-1,4659	0,8219	-0,5697	0,0001	0,0001	img_PilotCamera_Segmentation_1581450642160.jpg,img_FrontCenter_Segmentation_1581450642166.jpg
1581450642218	-5,8908	1,5997	-0,4659	0,9998	0,0084	0,0009	0,0199	-5,8914	-1,0970	-1,4659	0,8209	-0,5711	0,0003	0,0002	img_PilotCamera_Segmentation_1581450642212.jpg,img_FrontCenter_Segmentation_1581450642218.jpg
1581450642270	-5,8908	1,6318	-0,4656	0,9990	0,0402	0,0015	0,0193	-5,8921	-1,0970	-1,4656	0,8198	-0,5727	0,0006	0,0004	img_PilotCamera_Segmentation_1581450642264.jpg,img_FrontCenter_Segmentation_1581450642270.jpg
1581450642321	-5,8908	1,6677	-0,4645	0,9972	0,0724	0,0020	0,0188	-5,8928	-1,0970	-1,4645	0,8186	-0,5744	0,0008	0,0006	img_PilotCamera_Segmentation_1581450642314.jpg,img_FrontCenter_Segmentation_1581450642321.jpg
1581450642375	-5,8908	1,7076	-0,4619	0,9944	0,1041	0,0026	0,0183	-5,8935	-1,0970	-1,4619	0,8173	-0,5763	0,0011	0,0008	img_PilotCamera_Segmentation_1581450642367.jpg,img_FrontCenter_Segmentation_1581450642375.jpg
