Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1581450643207	5.8908	0.2323	2.2677	0.6899613	0.1524999	0.0587517	0.7049497	1581450643263	5.8924	0.2081	2.3033	0.692153	0.18403209999999998	0.04998490000000001	0.6958294	5.8675566759992845	0.43524567599928454	1.4804566759992845	0.7439538544938643	-0.619796706823113	-0.15987331643811956	0.19189900282706854	0	1	img_PilotCamera_Segmentation_1581450643256.jpg,img_FrontCenter_Segmentation_1581450643263.jpg
1581450643316	5.8949	0.1895	2.3311	0.6925064999999999	0.2070096	0.047086199999999995	0.6892543	1581450643367	5.8985	0.1722	2.3577	0.6919409	0.2278661	0.0468741	0.6831740999999999	5.904087825798989	0.4717768257989894	1.5169878257989893	0.840912130048596	0.5339634560115466	0.047189640662784	0.07431658627423267	2	3	img_PilotCamera_Segmentation_1581450643359.jpg,img_FrontCenter_Segmentation_1581450643367.jpg
1581450643424	5.9039	0.1542	2.3865	0.6906683	0.2499245	0.048853700000000014	0.6766696999999999	1581450643475	5.9111	0.1368	2.416	0.6886886999999999	0.27254849999999997	0.05210589999999997	0.6695997	5.963039915528095	0.5307289155280958	1.5759399155280958	0.21906830189487528	0.8792393629579878	0.4104724990675265	0.10227193769254106	4	5	img_PilotCamera_Segmentation_1581450643464.jpg,img_FrontCenter_Segmentation_1581450643475.jpg
1581450643526	5.9203	0.1202	2.4465	0.6862849	0.2948897	0.05677209999999999	0.6622469	1581450643579	5.9312	0.1053	2.4765	0.6840225	0.3138373	0.0617211	0.6553183	5.978106765593164	0.5457957655931649	1.591006765593165	-0.17923173733085174	0.9192106476109126	0.34412986728984	-0.0670999559699413	6	7	img_PilotCamera_Segmentation_1581450643572.jpg,img_FrontCenter_Segmentation_1581450643579.jpg
1581450643632	5.9494	0.0862	2.5183	0.6804167999999999	0.3295327	0.07699229999999999	0.6497329999999999	1581450643685	5.9664	0.0715	2.5511	0.6752557	0.3221799	0.1081003	0.6544698999999999	5.983586692964178	0.5512756929641784	1.5964866929641786	-0.2980925105942374	0.9058585996296781	0.2858540619332306	-0.09406650775305575	8	9	img_PilotCamera_Segmentation_1581450643676.jpg,img_FrontCenter_Segmentation_1581450643685.jpg
1581450643741	5.9815	0.0597	2.5762	0.6712965	0.3170895	0.13100710000000002	0.6567323	1581450643793	6.0003	0.0459	2.6029	0.6671252	0.31249400000000005	0.1546916	0.6580756	5.974505177835326	0.5421941778353263	1.5874051778353262	0.2601828913692318	0.9341858207933735	0.23518343881668055	0.06550164405355188	10	11	img_PilotCamera_Segmentation_1581450643783.jpg,img_FrontCenter_Segmentation_1581450643793.jpg
1581450643847	6.0176	0.0338	2.624	0.6569444	0.31093859999999995	0.17024559999999997	0.6651456	1581450643897	6.0369	0.0213	2.6448	0.6301490999999999	0.3144736	0.1763258	0.6874160999999999	5.8820157357731615	0.4390127357731617	1.4808657357731618	-0.36672308488458333	0.8913193862488599	0.24652731871435749	-0.10143082291493205	12	13	img_PilotCamera_Segmentation_1581450643888.jpg,img_FrontCenter_Segmentation_1581450643897.jpg
1581450643951	6.0632	0.0049	2.6693	0.5949404999999999	0.3217557	0.17894169999999998	0.7142820999999999	1581450644003	6.0856	-0.0084	2.6896	0.5718215999999999	0.33349189999999995	0.17498249999999993	0.7286342	5.827646184296747	0.384643184296747	1.426496184296747	-0.35045722635771387	0.874387461691341	0.31150896649123805	-0.12485376696837237	14	15	img_PilotCamera_Segmentation_1581450643994.jpg,img_FrontCenter_Segmentation_1581450644003.jpg
1581450644057	6.1103	-0.0229	2.7118	0.5520962999999999	0.3435313	0.1721545	0.7397341	1581450644108	6.136	-0.0377	2.7345	0.5361180999999999	0.3515911	0.1704577	0.7480766999999999	5.965365635992756	0.522362635992756	1.5642156359927561	-0.2860733036538109	0.9479535125874707	0.13384577761569402	-0.04039196360813292	16	17	img_PilotCamera_Segmentation_1581450644098.jpg,img_FrontCenter_Segmentation_1581450644108.jpg
1581450644161	6.1661	-0.055	2.7603	0.5236748999999999	0.35427770000000003	0.17356850000000001	0.7548639	1581450644214	6.1966	-0.0725	2.7847	0.5298965	0.3486217	0.18742569999999997	0.7497734999999999	5.9856473535041905	0.5426443535041909	1.584497353504191	-0.053606995574635136	0.9204698349271921	0.3864647438281478	-0.02250721645189679	18	19	img_PilotCamera_Segmentation_1581450644208.jpg,img_FrontCenter_Segmentation_1581450644214.jpg
