Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580468157689	-0.0003	0.0301	0.0000	1.0000	0.0000	0.0001	0.0024	-0.0003	-1.0970	-1.0000	0.9120	-0.4101	0.0000	0.0000	img_PilotCamera_Segmentation_1580468157656.jpg,img_FrontCenter_Segmentation_1580468157689.jpg
1580468157842	0.8018	1.3806	8.9779	0.9983	0.0282	0.0008	-0.0501	0.8022	-1.0970	7.9779	0.8289	-0.5593	-0.0001	-0.0001	img_PilotCamera_Segmentation_1580468157766.jpg,img_FrontCenter_Segmentation_1580468157842.jpg
1580468157857	0.8018	1.3802	8.9779	0.9985	0.0268	0.0008	-0.0476	0.8021	-1.0970	7.9779	0.8290	-0.5593	-0.0001	-0.0001	img_PilotCamera_Segmentation_1580468157855.jpg,img_FrontCenter_Segmentation_1580468157857.jpg
1580468157909	0.8018	1.3800	8.9779	0.9986	0.0261	0.0008	-0.0464	0.8020	-1.0970	7.9779	0.8290	-0.5593	-0.0001	-0.0001	img_PilotCamera_Segmentation_1580468157907.jpg,img_FrontCenter_Segmentation_1580468157909.jpg
1580468157959	0.8018	1.3798	8.9779	0.9986	0.0255	0.0008	-0.0453	0.8020	-1.0970	7.9779	0.8290	-0.5593	-0.0001	-0.0001	img_PilotCamera_Segmentation_1580468157958.jpg,img_FrontCenter_Segmentation_1580468157959.jpg
1580468158013	0.8017	1.3796	8.9779	0.9987	0.0249	0.0007	-0.0441	0.8020	-1.0970	7.9779	0.8290	-0.5593	-0.0001	-0.0001	img_PilotCamera_Segmentation_1580468158011.jpg,img_FrontCenter_Segmentation_1580468158013.jpg
1580468158068	0.8017	1.3794	8.9779	0.9988	0.0242	0.0007	-0.0430	0.8019	-1.0970	7.9779	0.8290	-0.5593	-0.0001	-0.0001	img_PilotCamera_Segmentation_1580468158066.jpg,img_FrontCenter_Segmentation_1580468158068.jpg
1580468158119	0.8017	1.3792	8.9779	0.9988	0.0236	0.0007	-0.0420	0.8019	-1.0970	7.9779	0.8290	-0.5593	-0.0001	0.0000	img_PilotCamera_Segmentation_1580468158117.jpg,img_FrontCenter_Segmentation_1580468158119.jpg
1580468158173	0.8017	1.3790	8.9779	0.9989	0.0229	0.0007	-0.0406	0.8018	-1.0970	7.9779	0.8290	-0.5592	-0.0001	0.0000	img_PilotCamera_Segmentation_1580468158171.jpg,img_FrontCenter_Segmentation_1580468158173.jpg
1580468158224	0.8017	1.3788	8.9779	0.9990	0.0223	0.0007	-0.0396	0.8018	-1.0970	7.9779	0.8290	-0.5592	-0.0001	0.0000	img_PilotCamera_Segmentation_1580468158222.jpg,img_FrontCenter_Segmentation_1580468158224.jpg
