Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580492069642	0,0000	0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	0,0000	-1,0970	-1,0000	0,9148	-0,4039	0,0000	0,0000	img_PilotCamera_Segmentation_1580492069564.jpg,img_FrontCenter_Segmentation_1580492069642.jpg
1580492069804	1,1224	1,3905	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0970	0,8117	0,8286	-0,5599	0,0000	0,0000	img_PilotCamera_Segmentation_1580492069756.jpg,img_FrontCenter_Segmentation_1580492069804.jpg
1580492069821	1,1224	1,3526	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0970	0,8117	0,8300	-0,5577	0,0000	0,0000	img_PilotCamera_Segmentation_1580492069814.jpg,img_FrontCenter_Segmentation_1580492069821.jpg
1580492069874	1,1224	1,2279	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0970	0,8117	0,8352	-0,5499	0,0000	0,0000	img_PilotCamera_Segmentation_1580492069867.jpg,img_FrontCenter_Segmentation_1580492069874.jpg
1580492069923	1,1224	1,1522	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0970	0,8117	0,8385	-0,5449	0,0000	0,0000	img_PilotCamera_Segmentation_1580492069917.jpg,img_FrontCenter_Segmentation_1580492069923.jpg
1580492069979	1,1224	1,0811	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0970	0,8117	0,8418	-0,5398	0,0000	0,0000	img_PilotCamera_Segmentation_1580492069969.jpg,img_FrontCenter_Segmentation_1580492069979.jpg
1580492070034	1,1224	1,0132	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0970	0,8117	0,8451	-0,5347	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070021.jpg,img_FrontCenter_Segmentation_1580492070034.jpg
1580492070088	1,1224	0,9362	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0970	0,8117	0,8489	-0,5285	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070076.jpg,img_FrontCenter_Segmentation_1580492070088.jpg
1580492070140	1,1224	0,8594	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0967	0,8117	0,8530	-0,5219	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070132.jpg,img_FrontCenter_Segmentation_1580492070140.jpg
1580492070192	1,1224	0,7417	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0940	0,8117	0,8598	-0,5107	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070183.jpg,img_FrontCenter_Segmentation_1580492070192.jpg
1580492070243	1,1224	0,6548	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0790	0,8117	0,8659	-0,5002	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070233.jpg,img_FrontCenter_Segmentation_1580492070243.jpg
1580492070295	1,1224	0,5523	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0493	0,8117	0,8745	-0,4850	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070286.jpg,img_FrontCenter_Segmentation_1580492070295.jpg
1580492070343	1,1224	0,4571	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0131	0,8117	0,8839	-0,4678	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070338.jpg,img_FrontCenter_Segmentation_1580492070343.jpg
1580492070397	1,1224	0,3519	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0354	0,8117	0,8902	-0,4557	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070391.jpg,img_FrontCenter_Segmentation_1580492070397.jpg
1580492070455	1,1224	0,2491	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0339	0,8117	0,8985	-0,4389	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070449.jpg,img_FrontCenter_Segmentation_1580492070455.jpg
1580492070503	1,1224	0,1427	1,8117	1,0000	0,0000	0,0000	0,0000	1,1224	-1,0024	0,8117	0,9104	-0,4136	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070498.jpg,img_FrontCenter_Segmentation_1580492070503.jpg
1580492070555	1,1222	0,0957	1,8114	1,0000	-0,0025	0,0001	0,0011	1,1221	-0,9777	0,8114	0,9170	-0,3990	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070550.jpg,img_FrontCenter_Segmentation_1580492070555.jpg
1580492070606	1,1222	0,0956	1,8114	1,0000	-0,0025	0,0001	0,0011	1,1221	-0,9777	0,8114	0,9170	-0,3990	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070602.jpg,img_FrontCenter_Segmentation_1580492070606.jpg
1580492070658	1,1222	0,0956	1,8114	1,0000	-0,0024	0,0001	0,0010	1,1221	-0,9777	0,8114	0,9170	-0,3990	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070653.jpg,img_FrontCenter_Segmentation_1580492070658.jpg
1580492070712	1,1222	0,0956	1,8114	1,0000	-0,0023	0,0001	0,0010	1,1221	-0,9777	0,8114	0,9170	-0,3990	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070706.jpg,img_FrontCenter_Segmentation_1580492070712.jpg
1580492070765	1,1222	0,0956	1,8114	1,0000	-0,0023	0,0001	0,0010	1,1221	-0,9777	0,8114	0,9170	-0,3990	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070759.jpg,img_FrontCenter_Segmentation_1580492070765.jpg
1580492070818	1,1222	0,0956	1,8114	1,0000	-0,0022	0,0001	0,0010	1,1221	-0,9777	0,8114	0,9170	-0,3990	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070811.jpg,img_FrontCenter_Segmentation_1580492070818.jpg
1580492070870	1,1222	0,0956	1,8115	1,0000	-0,0022	0,0001	0,0009	1,1221	-0,9777	0,8115	0,9170	-0,3989	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070865.jpg,img_FrontCenter_Segmentation_1580492070870.jpg
1580492070920	1,1222	0,0956	1,8115	1,0000	-0,0021	0,0001	0,0009	1,1221	-0,9777	0,8115	0,9170	-0,3989	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070916.jpg,img_FrontCenter_Segmentation_1580492070920.jpg
1580492070972	1,1222	0,0955	1,8115	1,0000	-0,0020	0,0001	0,0009	1,1221	-0,9777	0,8115	0,9170	-0,3989	0,0000	0,0000	img_PilotCamera_Segmentation_1580492070967.jpg,img_FrontCenter_Segmentation_1580492070972.jpg
1580492071024	1,1222	0,0955	1,8115	1,0000	-0,0020	0,0001	0,0009	1,1221	-0,9777	0,8115	0,9170	-0,3989	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071019.jpg,img_FrontCenter_Segmentation_1580492071024.jpg
1580492071077	1,1222	0,0955	1,8115	1,0000	-0,0019	0,0001	0,0008	1,1222	-0,9777	0,8115	0,9170	-0,3989	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071071.jpg,img_FrontCenter_Segmentation_1580492071077.jpg
1580492071130	1,1222	0,0955	1,8115	1,0000	-0,0019	0,0001	0,0008	1,1222	-0,9777	0,8115	0,9170	-0,3989	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071124.jpg,img_FrontCenter_Segmentation_1580492071130.jpg
1580492071184	1,1222	0,0955	1,8115	1,0000	-0,0018	0,0001	0,0008	1,1222	-0,9777	0,8115	0,9170	-0,3989	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071176.jpg,img_FrontCenter_Segmentation_1580492071184.jpg
1580492071235	1,1222	0,0964	1,8115	1,0000	-0,0018	0,0001	0,0008	1,1222	-0,9777	0,8115	0,9169	-0,3991	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071228.jpg,img_FrontCenter_Segmentation_1580492071235.jpg
1580492071288	1,1222	0,1008	1,8115	1,0000	-0,0018	0,0001	0,0008	1,1222	-0,9777	0,8115	0,9165	-0,4001	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071282.jpg,img_FrontCenter_Segmentation_1580492071288.jpg
1580492071337	1,1222	0,1104	1,8115	1,0000	-0,0017	0,0001	0,0007	1,1222	-0,9777	0,8115	0,9156	-0,4021	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071332.jpg,img_FrontCenter_Segmentation_1580492071337.jpg
1580492071390	1,1222	0,1278	1,8115	1,0000	-0,0017	0,0001	0,0007	1,1222	-0,9777	0,8115	0,9140	-0,4057	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071385.jpg,img_FrontCenter_Segmentation_1580492071390.jpg
1580492071443	1,1222	0,1467	1,8115	1,0000	-0,0016	0,0001	0,0007	1,1222	-0,9777	0,8115	0,9123	-0,4095	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071438.jpg,img_FrontCenter_Segmentation_1580492071443.jpg
1580492071496	1,1223	0,1685	1,8115	1,0000	-0,0016	0,0001	0,0007	1,1222	-0,9777	0,8115	0,9103	-0,4139	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071490.jpg,img_FrontCenter_Segmentation_1580492071496.jpg
1580492071552	1,1223	0,1957	1,8115	1,0000	-0,0015	0,0001	0,0007	1,1222	-0,9777	0,8115	0,9079	-0,4192	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071546.jpg,img_FrontCenter_Segmentation_1580492071552.jpg
1580492071603	1,1223	0,2252	1,8115	1,0000	-0,0015	0,0001	0,0006	1,1222	-0,9777	0,8115	0,9053	-0,4247	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071598.jpg,img_FrontCenter_Segmentation_1580492071603.jpg
1580492071656	1,1223	0,2607	1,8115	1,0000	-0,0015	0,0001	0,0006	1,1222	-0,9777	0,8115	0,9023	-0,4311	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071651.jpg,img_FrontCenter_Segmentation_1580492071656.jpg
1580492071711	1,1223	0,3153	1,8115	1,0000	-0,0014	0,0001	0,0006	1,1222	-0,9777	0,8115	0,8977	-0,4406	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071705.jpg,img_FrontCenter_Segmentation_1580492071711.jpg
1580492071764	1,1223	0,3605	1,8115	1,0000	-0,0014	0,0001	0,0006	1,1222	-0,9777	0,8115	0,8940	-0,4480	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071758.jpg,img_FrontCenter_Segmentation_1580492071764.jpg
1580492071817	1,1223	0,4038	1,8115	1,0000	-0,0013	0,0001	0,0006	1,1222	-0,9777	0,8115	0,8906	-0,4548	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071810.jpg,img_FrontCenter_Segmentation_1580492071817.jpg
1580492071870	1,1223	0,4599	1,8115	1,0000	-0,0013	0,0001	0,0006	1,1222	-0,9777	0,8115	0,8863	-0,4631	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071865.jpg,img_FrontCenter_Segmentation_1580492071870.jpg
1580492071920	1,1223	0,5134	1,8115	1,0000	-0,0013	0,0001	0,0006	1,1222	-0,9777	0,8115	0,8823	-0,4707	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071915.jpg,img_FrontCenter_Segmentation_1580492071920.jpg
1580492071973	1,1223	0,5563	1,8115	1,0000	-0,0012	0,0001	0,0005	1,1222	-0,9777	0,8115	0,8792	-0,4764	0,0000	0,0000	img_PilotCamera_Segmentation_1580492071968.jpg,img_FrontCenter_Segmentation_1580492071973.jpg
1580492072027	1,1223	0,6137	1,8115	1,0000	-0,0012	0,0001	0,0005	1,1222	-0,9777	0,8115	0,8752	-0,4837	0,0000	0,0000	img_PilotCamera_Segmentation_1580492072021.jpg,img_FrontCenter_Segmentation_1580492072027.jpg
