Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580492473274	0,0000	0,0304	-0,0003	1,0000	-0,0040	0,0000	-0,0001	0,0000	-1,0970	-1,0003	0,9120	-0,4101	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473080.jpg,img_FrontCenter_Segmentation_1580492473274.jpg
1580492473358	3,8983	2,2198	8,8842	0,9992	0,0380	-0,0005	0,0136	3,8983	-1,0970	7,8842	0,8027	-0,5964	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473332.jpg,img_FrontCenter_Segmentation_1580492473358.jpg
1580492473406	3,8983	2,2197	8,8842	0,9992	0,0371	-0,0004	0,0133	3,8983	-1,0970	7,8842	0,8027	-0,5964	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473382.jpg,img_FrontCenter_Segmentation_1580492473406.jpg
1580492473462	3,8983	2,2196	8,8842	0,9993	0,0362	-0,0004	0,0130	3,8983	-1,0970	7,8842	0,8027	-0,5964	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473439.jpg,img_FrontCenter_Segmentation_1580492473462.jpg
1580492473516	3,8983	2,2194	8,8842	0,9993	0,0350	-0,0004	0,0125	3,8983	-1,0970	7,8842	0,8027	-0,5964	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473495.jpg,img_FrontCenter_Segmentation_1580492473516.jpg
1580492473570	3,8984	2,2193	8,8842	0,9993	0,0341	-0,0004	0,0122	3,8983	-1,0970	7,8842	0,8027	-0,5964	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473547.jpg,img_FrontCenter_Segmentation_1580492473570.jpg
1580492473626	3,8984	2,2192	8,8842	0,9994	0,0333	-0,0004	0,0119	3,8984	-1,0970	7,8842	0,8027	-0,5964	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473602.jpg,img_FrontCenter_Segmentation_1580492473626.jpg
1580492473678	3,8984	2,2191	8,8841	0,9994	0,0324	-0,0004	0,0116	3,8984	-1,0970	7,8841	0,8027	-0,5964	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473657.jpg,img_FrontCenter_Segmentation_1580492473678.jpg
1580492473730	3,8984	2,2190	8,8841	0,9994	0,0316	-0,0004	0,0113	3,8984	-1,0970	7,8841	0,8027	-0,5964	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473710.jpg,img_FrontCenter_Segmentation_1580492473730.jpg
1580492473784	3,8984	2,2189	8,8841	0,9995	0,0306	-0,0004	0,0110	3,8984	-1,0970	7,8841	0,8027	-0,5963	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473761.jpg,img_FrontCenter_Segmentation_1580492473784.jpg
1580492473837	3,8984	2,2188	8,8841	0,9995	0,0298	-0,0004	0,0107	3,8984	-1,0970	7,8841	0,8027	-0,5963	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473814.jpg,img_FrontCenter_Segmentation_1580492473837.jpg
1580492473890	3,8984	2,2187	8,8841	0,9995	0,0291	-0,0003	0,0104	3,8984	-1,0970	7,8841	0,8027	-0,5963	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473869.jpg,img_FrontCenter_Segmentation_1580492473890.jpg
1580492473943	3,8984	2,2186	8,8841	0,9995	0,0284	-0,0003	0,0102	3,8984	-1,0970	7,8841	0,8027	-0,5963	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473921.jpg,img_FrontCenter_Segmentation_1580492473943.jpg
1580492473994	3,8984	2,2185	8,8841	0,9996	0,0277	-0,0003	0,0099	3,8984	-1,0970	7,8841	0,8027	-0,5963	0,0000	0,0000	img_PilotCamera_Segmentation_1580492473973.jpg,img_FrontCenter_Segmentation_1580492473994.jpg
1580492474046	3,8984	2,2186	8,8841	0,9996	0,0270	-0,0003	0,0097	3,8985	-1,0970	7,8841	0,8027	-0,5963	0,0000	0,0000	img_PilotCamera_Segmentation_1580492474026.jpg,img_FrontCenter_Segmentation_1580492474046.jpg
1580492474097	3,8984	2,2238	8,8841	0,9996	0,0261	-0,0003	0,0093	3,8985	-1,0970	7,8841	0,8026	-0,5965	0,0000	0,0000	img_PilotCamera_Segmentation_1580492474078.jpg,img_FrontCenter_Segmentation_1580492474097.jpg
1580492474158	3,8984	2,2308	8,8841	0,9996	0,0251	0,0011	0,0091	3,8976	-1,0970	7,8841	0,8024	-0,5967	0,0003	0,0002	img_PilotCamera_Segmentation_1580492474135.jpg,img_FrontCenter_Segmentation_1580492474158.jpg
1580492474210	3,8984	2,2379	8,8841	0,9997	0,0220	0,0050	0,0090	3,8953	-1,0970	7,8841	0,8023	-0,5970	0,0012	0,0009	img_PilotCamera_Segmentation_1580492474189.jpg,img_FrontCenter_Segmentation_1580492474210.jpg
1580492474262	3,8984	2,2430	8,8840	0,9997	0,0202	0,0102	0,0089	3,8922	-1,0970	7,8840	0,8021	-0,5971	0,0025	0,0019	img_PilotCamera_Segmentation_1580492474241.jpg,img_FrontCenter_Segmentation_1580492474262.jpg
1580492474313	3,8985	2,2481	8,8839	0,9996	0,0199	0,0191	0,0089	3,8869	-1,0970	7,8840	0,8020	-0,5973	0,0046	0,0035	img_PilotCamera_Segmentation_1580492474291.jpg,img_FrontCenter_Segmentation_1580492474313.jpg
1580492474365	3,8985	2,2519	8,8838	0,9993	0,0198	0,0300	0,0089	3,8804	-1,0970	7,8840	0,8019	-0,5974	0,0073	0,0054	img_PilotCamera_Segmentation_1580492474345.jpg,img_FrontCenter_Segmentation_1580492474365.jpg
1580492474415	3,8985	2,2545	8,8837	0,9988	0,0196	0,0430	0,0089	3,8725	-1,0970	7,8840	0,8018	-0,5975	0,0104	0,0077	img_PilotCamera_Segmentation_1580492474395.jpg,img_FrontCenter_Segmentation_1580492474415.jpg
1580492474468	3,8985	2,2538	8,8835	0,9981	0,0192	0,0581	0,0089	3,8635	-1,0970	7,8841	0,8017	-0,5974	0,0140	0,0105	img_PilotCamera_Segmentation_1580492474446.jpg,img_FrontCenter_Segmentation_1580492474468.jpg
1580492474521	3,8985	2,2490	8,8833	0,9974	0,0189	0,0690	0,0089	3,8569	-1,0970	7,8841	0,8018	-0,5972	0,0167	0,0124	img_PilotCamera_Segmentation_1580492474498.jpg,img_FrontCenter_Segmentation_1580492474521.jpg
1580492474574	3,8985	2,2407	8,8831	0,9967	0,0185	0,0784	0,0089	3,8513	-1,0970	7,8842	0,8020	-0,5969	0,0189	0,0141	img_PilotCamera_Segmentation_1580492474551.jpg,img_FrontCenter_Segmentation_1580492474574.jpg
1580492474626	3,8985	2,2281	8,8829	0,9959	0,0119	0,0888	0,0094	3,8451	-1,0970	7,8843	0,8022	-0,5964	0,0214	0,0159	img_PilotCamera_Segmentation_1580492474604.jpg,img_FrontCenter_Segmentation_1580492474626.jpg
1580492474676	3,8985	2,2143	8,8826	0,9948	-0,0138	0,1004	0,0119	3,8383	-1,0970	7,8844	0,8025	-0,5959	0,0242	0,0180	img_PilotCamera_Segmentation_1580492474655.jpg,img_FrontCenter_Segmentation_1580492474676.jpg
1580492474726	3,8984	2,2007	8,8819	0,9924	-0,0459	0,1135	0,0152	3,8304	-1,0970	7,8842	0,8027	-0,5954	0,0273	0,0203	img_PilotCamera_Segmentation_1580492474706.jpg,img_FrontCenter_Segmentation_1580492474726.jpg
1580492474783	3,8980	2,1853	8,8800	0,9881	-0,0790	0,1308	0,0185	3,8195	-1,0970	7,8831	0,8029	-0,5948	0,0316	0,0234	img_PilotCamera_Segmentation_1580492474763.jpg,img_FrontCenter_Segmentation_1580492474783.jpg
1580492474835	3,8974	2,1708	8,8770	0,9858	-0,0788	0,1475	0,0176	3,8087	-1,0970	7,8810	0,8031	-0,5941	0,0357	0,0264	img_PilotCamera_Segmentation_1580492474813.jpg,img_FrontCenter_Segmentation_1580492474835.jpg
1580492474885	3,8965	2,1574	8,8729	0,9837	-0,0728	0,1637	0,0158	3,7979	-1,0970	7,8778	0,8033	-0,5935	0,0397	0,0293	img_PilotCamera_Segmentation_1580492474865.jpg,img_FrontCenter_Segmentation_1580492474885.jpg
1580492474942	3,8954	2,1434	8,8678	0,9790	-0,0925	0,1806	0,0189	3,7863	-1,0970	7,8737	0,8034	-0,5929	0,0440	0,0324	img_PilotCamera_Segmentation_1580492474922.jpg,img_FrontCenter_Segmentation_1580492474942.jpg
1580492475001	3,8934	2,1264	8,8594	0,9706	-0,1270	0,2030	0,0254	3,7699	-1,0970	7,8671	0,8035	-0,5920	0,0498	0,0367	img_PilotCamera_Segmentation_1580492474979.jpg,img_FrontCenter_Segmentation_1580492475001.jpg
1580492475052	3,8912	2,1129	8,8507	0,9639	-0,1432	0,2225	0,0284	3,7551	-1,0970	7,8600	0,8036	-0,5913	0,0549	0,0404	img_PilotCamera_Segmentation_1580492475031.jpg,img_FrontCenter_Segmentation_1580492475052.jpg
1580492475102	3,8883	2,0985	8,8403	0,9611	-0,1308	0,2420	0,0250	3,7402	-1,0970	7,8513	0,8036	-0,5905	0,0598	0,0440	img_PilotCamera_Segmentation_1580492475081.jpg,img_FrontCenter_Segmentation_1580492475102.jpg
1580492475159	3,8848	2,0845	8,8280	0,9592	-0,1083	0,2604	0,0194	3,7257	-1,0970	7,8407	0,8036	-0,5898	0,0643	0,0472	img_PilotCamera_Segmentation_1580492475138.jpg,img_FrontCenter_Segmentation_1580492475159.jpg
