Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580493538910	-0,0002	0,0016	-0,0012	0,9999	-0,0122	0,0002	0,0012	-0,0003	-1,0970	-1,0012	0,9146	-0,4043	0,0001	0,0000	img_PilotCamera_Segmentation_1580493538848.jpg,img_FrontCenter_Segmentation_1580493538910.jpg
1580493539012	13,3256	1,1554	-32,0945	1,0000	-0,0020	-0,0004	0,0009	13,3259	-1,0970	-33,0945	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493538992.jpg,img_FrontCenter_Segmentation_1580493539012.jpg
1580493539051	13,3256	1,1554	-32,0945	1,0000	-0,0020	-0,0004	0,0009	13,3259	-1,0970	-33,0945	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539045.jpg,img_FrontCenter_Segmentation_1580493539051.jpg
1580493539101	13,3256	1,1553	-32,0944	1,0000	-0,0019	-0,0004	0,0009	13,3259	-1,0970	-33,0944	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539095.jpg,img_FrontCenter_Segmentation_1580493539101.jpg
1580493539161	13,3256	1,1553	-32,0944	1,0000	-0,0019	-0,0004	0,0009	13,3259	-1,0970	-33,0944	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539155.jpg,img_FrontCenter_Segmentation_1580493539161.jpg
1580493539210	13,3256	1,1553	-32,0944	1,0000	-0,0018	-0,0004	0,0008	13,3259	-1,0970	-33,0944	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539206.jpg,img_FrontCenter_Segmentation_1580493539210.jpg
1580493539264	13,3256	1,1553	-32,0944	1,0000	-0,0018	-0,0004	0,0008	13,3259	-1,0970	-33,0944	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539258.jpg,img_FrontCenter_Segmentation_1580493539264.jpg
1580493539318	13,3256	1,1553	-32,0944	1,0000	-0,0017	-0,0004	0,0008	13,3259	-1,0970	-33,0944	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539312.jpg,img_FrontCenter_Segmentation_1580493539318.jpg
1580493539368	13,3256	1,1553	-32,0944	1,0000	-0,0017	-0,0004	0,0008	13,3258	-1,0970	-33,0944	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539362.jpg,img_FrontCenter_Segmentation_1580493539368.jpg
1580493539423	13,3256	1,1553	-32,0944	1,0000	-0,0016	-0,0004	0,0007	13,3258	-1,0970	-33,0944	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539419.jpg,img_FrontCenter_Segmentation_1580493539423.jpg
1580493539474	13,3256	1,1553	-32,0944	1,0000	-0,0016	-0,0003	0,0007	13,3258	-1,0970	-33,0944	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539469.jpg,img_FrontCenter_Segmentation_1580493539474.jpg
1580493539532	13,3256	1,1553	-32,0944	1,0000	-0,0015	-0,0003	0,0007	13,3258	-1,0970	-33,0944	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539525.jpg,img_FrontCenter_Segmentation_1580493539532.jpg
1580493539587	13,3256	1,1553	-32,0944	1,0000	-0,0015	-0,0003	0,0007	13,3258	-1,0970	-33,0944	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539580.jpg,img_FrontCenter_Segmentation_1580493539587.jpg
1580493539641	13,3256	1,1553	-32,0943	1,0000	-0,0015	-0,0003	0,0007	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539636.jpg,img_FrontCenter_Segmentation_1580493539641.jpg
1580493539691	13,3256	1,1553	-32,0943	1,0000	-0,0014	-0,0003	0,0007	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	-0,0001	img_PilotCamera_Segmentation_1580493539686.jpg,img_FrontCenter_Segmentation_1580493539691.jpg
1580493539746	13,3256	1,1552	-32,0943	1,0000	-0,0014	-0,0003	0,0006	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493539742.jpg,img_FrontCenter_Segmentation_1580493539746.jpg
1580493539804	13,3256	1,1552	-32,0943	1,0000	-0,0014	-0,0003	0,0006	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493539800.jpg,img_FrontCenter_Segmentation_1580493539804.jpg
1580493539858	13,3256	1,1552	-32,0943	1,0000	-0,0013	-0,0003	0,0006	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493539853.jpg,img_FrontCenter_Segmentation_1580493539858.jpg
1580493539914	13,3256	1,1552	-32,0943	1,0000	-0,0013	-0,0003	0,0006	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493539908.jpg,img_FrontCenter_Segmentation_1580493539914.jpg
1580493539968	13,3256	1,1552	-32,0943	1,0000	-0,0012	-0,0003	0,0006	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493539962.jpg,img_FrontCenter_Segmentation_1580493539968.jpg
1580493540029	13,3256	1,1552	-32,0943	1,0000	-0,0012	-0,0003	0,0006	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493540024.jpg,img_FrontCenter_Segmentation_1580493540029.jpg
1580493540084	13,3256	1,1552	-32,0943	1,0000	-0,0012	-0,0003	0,0005	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493540078.jpg,img_FrontCenter_Segmentation_1580493540084.jpg
1580493540136	13,3256	1,1552	-32,0943	1,0000	-0,0011	-0,0002	0,0005	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493540131.jpg,img_FrontCenter_Segmentation_1580493540136.jpg
1580493540189	13,3256	1,1552	-32,0943	1,0000	-0,0011	-0,0002	0,0005	13,3258	-1,0970	-33,0943	0,8384	-0,5451	-0,0001	0,0000	img_PilotCamera_Segmentation_1580493540185.jpg,img_FrontCenter_Segmentation_1580493540189.jpg
