Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581584209095	-0.0132	0.0014	0.0000	0.9984	0.0086	0.0016	-0.0563	-0.0138	-1.0970	-1.0000	0.9147	-0.4042	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209073.jpg,img_FrontCenter_Segmentation_1581584209095.jpg
1581584209211	0.0930	-0.0465	0.0084	0.9985	0.0084	0.0016	-0.0549	0.0923	-1.0970	-0.9916	0.9191	-0.3940	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209166.jpg,img_FrontCenter_Segmentation_1581584209211.jpg
1581584209236	0.0934	-0.0586	0.0084	0.9986	0.0081	0.0015	-0.0531	0.0928	-1.0970	-0.9916	0.9202	-0.3914	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209223.jpg,img_FrontCenter_Segmentation_1581584209236.jpg
1581584209319	0.0937	-0.1345	0.0084	0.9986	0.0079	0.0015	-0.0518	0.0931	-1.0970	-0.9916	0.9275	-0.3738	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209272.jpg,img_FrontCenter_Segmentation_1581584209319.jpg
1581584209338	0.0940	-0.1454	0.0084	0.9987	0.0077	0.0015	-0.0505	0.0934	-1.0970	-0.9916	0.9286	-0.3712	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209333.jpg,img_FrontCenter_Segmentation_1581584209338.jpg
1581584209391	0.0944	-0.2597	0.0084	0.9988	0.0074	0.0014	-0.0488	0.0938	-1.0970	-0.9916	0.9399	-0.3415	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209389.jpg,img_FrontCenter_Segmentation_1581584209391.jpg
1581584209443	0.0947	-0.3169	0.0084	0.9988	0.0072	0.0014	-0.0476	0.0941	-1.0970	-0.9916	0.9456	-0.3252	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209441.jpg,img_FrontCenter_Segmentation_1581584209443.jpg
1581584209496	0.0950	-0.3865	0.0084	0.9989	0.0071	0.0013	-0.0464	0.0944	-1.0970	-0.9916	0.9527	-0.3040	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209495.jpg,img_FrontCenter_Segmentation_1581584209496.jpg
1581584209548	0.0953	-0.4447	0.0084	0.9989	0.0069	0.0013	-0.0453	0.0947	-1.0970	-0.9916	0.9585	-0.2850	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209545.jpg,img_FrontCenter_Segmentation_1581584209548.jpg
1581584209603	0.0956	-0.5474	0.0084	0.9990	0.0067	0.0013	-0.0438	0.0950	-1.0970	-0.9916	0.9686	-0.2486	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209600.jpg,img_FrontCenter_Segmentation_1581584209603.jpg
1581584209660	0.0959	-0.6241	0.0084	0.9991	0.0065	0.0012	-0.0427	0.0953	-1.0970	-0.9916	0.9757	-0.2191	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209657.jpg,img_FrontCenter_Segmentation_1581584209660.jpg
1581584209711	0.0961	-0.7102	0.0084	0.9991	0.0063	0.0012	-0.0416	0.0955	-1.0970	-0.9916	0.9830	-0.1835	0.0003	0.0001	img_PilotCamera_Segmentation_1581584209709.jpg,img_FrontCenter_Segmentation_1581584209711.jpg
1581584209767	0.0963	-0.8010	0.0084	0.9992	0.0062	0.0012	-0.0406	0.0958	-1.0970	-0.9916	0.9897	-0.1434	0.0003	0.0000	img_PilotCamera_Segmentation_1581584209764.jpg,img_FrontCenter_Segmentation_1581584209767.jpg
1581584209821	0.0967	-0.9250	0.0084	0.9992	0.0060	0.0011	-0.0393	0.0961	-1.0970	-0.9916	0.9964	-0.0850	0.0003	0.0000	img_PilotCamera_Segmentation_1581584209818.jpg,img_FrontCenter_Segmentation_1581584209821.jpg
1581584209873	0.0969	-1.0320	0.0084	0.9992	0.0058	0.0011	-0.0383	0.0964	-1.0970	-0.9916	0.9995	-0.0324	0.0003	0.0000	img_PilotCamera_Segmentation_1581584209870.jpg,img_FrontCenter_Segmentation_1581584209873.jpg
1581584209926	0.0971	-1.1311	0.0084	0.9993	0.0057	0.0011	-0.0373	0.0966	-1.0970	-0.9916	0.9999	0.0170	0.0003	0.0000	img_PilotCamera_Segmentation_1581584209923.jpg,img_FrontCenter_Segmentation_1581584209926.jpg
1581584209983	0.0973	-1.2404	0.0084	0.9993	0.0055	0.0010	-0.0364	0.0968	-1.0970	-0.9916	0.9975	0.0711	0.0003	0.0000	img_PilotCamera_Segmentation_1581584209980.jpg,img_FrontCenter_Segmentation_1581584209983.jpg
1581584210039	0.0976	-1.3877	0.0084	0.9994	0.0054	0.0010	-0.0352	0.0971	-1.0970	-0.9916	0.9900	0.1410	0.0002	0.0000	img_PilotCamera_Segmentation_1581584210036.jpg,img_FrontCenter_Segmentation_1581584210039.jpg
1581584210093	0.0978	-1.4990	0.0084	0.9994	0.0052	0.0010	-0.0343	0.0973	-1.0970	-0.9916	0.9818	0.1899	0.0002	0.0000	img_PilotCamera_Segmentation_1581584210090.jpg,img_FrontCenter_Segmentation_1581584210093.jpg
1581584210143	0.0980	-1.6281	0.0084	0.9994	0.0051	0.0010	-0.0335	0.0975	-1.0970	-0.9916	0.9704	0.2417	0.0002	-0.0001	img_PilotCamera_Segmentation_1581584210140.jpg,img_FrontCenter_Segmentation_1581584210143.jpg
1581584210196	0.0982	-1.7538	0.0084	0.9995	0.0050	0.0009	-0.0327	0.0977	-1.0970	-0.9916	0.9581	0.2865	0.0002	-0.0001	img_PilotCamera_Segmentation_1581584210193.jpg,img_FrontCenter_Segmentation_1581584210196.jpg
1581584210247	0.0984	-1.8830	0.0084	0.9995	0.0048	0.0009	-0.0318	0.0979	-1.0970	-0.9916	0.9450	0.3269	0.0002	-0.0001	img_PilotCamera_Segmentation_1581584210243.jpg,img_FrontCenter_Segmentation_1581584210247.jpg
