Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580494890651	-24,5174	1,5020	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,0970	-19,0278	0,8243	-0,5661	0,0000	0,0000	img_PilotCamera_Segmentation_1580494890600.jpg,img_FrontCenter_Segmentation_1580494890651.jpg
1580494890766	-24,5174	1,3857	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,0955	-19,0278	0,8288	-0,5595	0,0000	0,0000	img_PilotCamera_Segmentation_1580494890711.jpg,img_FrontCenter_Segmentation_1580494890766.jpg
1580494890781	-24,5174	1,3613	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,0944	-19,0278	0,8298	-0,5581	0,0000	0,0000	img_PilotCamera_Segmentation_1580494890777.jpg,img_FrontCenter_Segmentation_1580494890781.jpg
1580494890835	-24,5174	1,2773	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8311	-0,5562	0,0000	0,0000	img_PilotCamera_Segmentation_1580494890829.jpg,img_FrontCenter_Segmentation_1580494890835.jpg
1580494890886	-24,5174	1,2217	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8333	-0,5528	0,0000	0,0000	img_PilotCamera_Segmentation_1580494890881.jpg,img_FrontCenter_Segmentation_1580494890886.jpg
1580494890940	-24,5174	1,1494	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8364	-0,5481	0,0000	0,0000	img_PilotCamera_Segmentation_1580494890935.jpg,img_FrontCenter_Segmentation_1580494890940.jpg
1580494890991	-24,5174	1,0851	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8393	-0,5437	0,0000	0,0000	img_PilotCamera_Segmentation_1580494890986.jpg,img_FrontCenter_Segmentation_1580494890991.jpg
1580494891049	-24,5174	1,0157	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8425	-0,5387	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891044.jpg,img_FrontCenter_Segmentation_1580494891049.jpg
1580494891103	-24,5174	0,9414	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8461	-0,5330	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891097.jpg,img_FrontCenter_Segmentation_1580494891103.jpg
1580494891153	-24,5174	0,8428	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8512	-0,5249	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891149.jpg,img_FrontCenter_Segmentation_1580494891153.jpg
1580494891206	-24,5174	0,7577	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8558	-0,5173	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891202.jpg,img_FrontCenter_Segmentation_1580494891206.jpg
1580494891260	-24,5174	0,6625	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8613	-0,5081	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891255.jpg,img_FrontCenter_Segmentation_1580494891260.jpg
1580494891317	-24,5174	0,5737	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8667	-0,4988	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891313.jpg,img_FrontCenter_Segmentation_1580494891317.jpg
1580494891371	-24,5174	0,4511	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8748	-0,4846	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891367.jpg,img_FrontCenter_Segmentation_1580494891371.jpg
1580494891421	-24,5174	0,3533	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8816	-0,4719	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891416.jpg,img_FrontCenter_Segmentation_1580494891421.jpg
1580494891472	-24,5174	0,2324	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8908	-0,4545	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891468.jpg,img_FrontCenter_Segmentation_1580494891472.jpg
1580494891528	-24,5174	0,1334	-18,0278	1,0000	0,0000	0,0000	0,0000	-24,5174	-1,1472	-19,0278	0,8987	-0,4385	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891522.jpg,img_FrontCenter_Segmentation_1580494891528.jpg
1580494891579	-24,5171	0,0283	-18,0273	1,0000	0,0063	-0,0001	-0,0027	-24,5170	-1,1472	-19,0273	0,9077	-0,4196	0,0000	0,0000	img_PilotCamera_Segmentation_1580494891574.jpg,img_FrontCenter_Segmentation_1580494891579.jpg
1580494891633	-24,5169	0,0553	-18,0280	0,9999	-0,0057	0,0013	-0,0099	-24,5178	-1,1472	-19,0280	0,9054	-0,4246	0,0004	0,0002	img_PilotCamera_Segmentation_1580494891630.jpg,img_FrontCenter_Segmentation_1580494891633.jpg
1580494891687	-24,5170	0,0623	-18,0280	0,9999	-0,0055	0,0012	-0,0096	-24,5177	-1,1472	-19,0280	0,9048	-0,4259	0,0004	0,0002	img_PilotCamera_Segmentation_1580494891683.jpg,img_FrontCenter_Segmentation_1580494891687.jpg
1580494891737	-24,5170	0,0733	-18,0280	0,9999	-0,0054	0,0012	-0,0094	-24,5177	-1,1472	-19,0280	0,9038	-0,4279	0,0003	0,0002	img_PilotCamera_Segmentation_1580494891734.jpg,img_FrontCenter_Segmentation_1580494891737.jpg
1580494891798	-24,5170	0,0881	-18,0280	0,9999	-0,0052	0,0012	-0,0091	-24,5177	-1,1472	-19,0280	0,9025	-0,4306	0,0003	0,0002	img_PilotCamera_Segmentation_1580494891793.jpg,img_FrontCenter_Segmentation_1580494891798.jpg
1580494891852	-24,5170	0,1061	-18,0280	0,9999	-0,0051	0,0012	-0,0089	-24,5177	-1,1472	-19,0280	0,9010	-0,4338	0,0003	0,0002	img_PilotCamera_Segmentation_1580494891848.jpg,img_FrontCenter_Segmentation_1580494891852.jpg
1580494891903	-24,5170	0,1354	-18,0280	1,0000	-0,0049	0,0011	-0,0086	-24,5177	-1,1472	-19,0280	0,8986	-0,4388	0,0003	0,0002	img_PilotCamera_Segmentation_1580494891900.jpg,img_FrontCenter_Segmentation_1580494891903.jpg
1580494891954	-24,5170	0,1639	-18,0280	1,0000	-0,0048	0,0011	-0,0084	-24,5177	-1,1472	-19,0280	0,8962	-0,4436	0,0003	0,0002	img_PilotCamera_Segmentation_1580494891950.jpg,img_FrontCenter_Segmentation_1580494891954.jpg
1580494892013	-24,5170	0,1967	-18,0280	1,0000	-0,0047	0,0011	-0,0082	-24,5177	-1,1472	-19,0280	0,8936	-0,4489	0,0003	0,0001	img_PilotCamera_Segmentation_1580494892007.jpg,img_FrontCenter_Segmentation_1580494892013.jpg
1580494892070	-24,5170	0,2453	-18,0280	1,0000	-0,0045	0,0010	-0,0079	-24,5177	-1,1472	-19,0280	0,8897	-0,4565	0,0003	0,0001	img_PilotCamera_Segmentation_1580494892067.jpg,img_FrontCenter_Segmentation_1580494892070.jpg
1580494892122	-24,5171	0,2877	-18,0280	1,0000	-0,0044	0,0010	-0,0077	-24,5177	-1,1472	-19,0280	0,8865	-0,4627	0,0003	0,0001	img_PilotCamera_Segmentation_1580494892117.jpg,img_FrontCenter_Segmentation_1580494892122.jpg
1580494892173	-24,5171	0,3313	-18,0280	1,0000	-0,0043	0,0010	-0,0075	-24,5177	-1,1472	-19,0280	0,8832	-0,4689	0,0003	0,0001	img_PilotCamera_Segmentation_1580494892167.jpg,img_FrontCenter_Segmentation_1580494892173.jpg
1580494892222	-24,5171	0,3816	-18,0280	1,0000	-0,0042	0,0010	-0,0073	-24,5177	-1,1472	-19,0280	0,8796	-0,4757	0,0003	0,0001	img_PilotCamera_Segmentation_1580494892217.jpg,img_FrontCenter_Segmentation_1580494892222.jpg
1580494892274	-24,5171	0,4392	-18,0280	1,0000	-0,0041	0,0009	-0,0072	-24,5176	-1,1472	-19,0280	0,8756	-0,4831	0,0003	0,0001	img_PilotCamera_Segmentation_1580494892268.jpg,img_FrontCenter_Segmentation_1580494892274.jpg
1580494892326	-24,5171	0,4936	-18,0280	1,0000	0,0001	0,0009	-0,0070	-24,5176	-1,1472	-19,0280	0,8719	-0,4897	0,0002	0,0001	img_PilotCamera_Segmentation_1580494892321.jpg,img_FrontCenter_Segmentation_1580494892326.jpg
1580494892383	-24,5171	0,5525	-18,0279	0,9996	0,0277	0,0012	-0,0068	-24,5177	-1,1472	-19,0279	0,8681	-0,4964	0,0003	0,0002	img_PilotCamera_Segmentation_1580494892380.jpg,img_FrontCenter_Segmentation_1580494892383.jpg
