Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580496363360	0,1260	1,6914	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8178	-0,5755	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363279.jpg,img_FrontCenter_Segmentation_1580496363360.jpg
1580496363428	0,1260	1,5531	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8225	-0,5687	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363413.jpg,img_FrontCenter_Segmentation_1580496363428.jpg
1580496363484	0,1260	1,5111	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8240	-0,5666	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363465.jpg,img_FrontCenter_Segmentation_1580496363484.jpg
1580496363540	0,1260	1,4489	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8263	-0,5632	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363522.jpg,img_FrontCenter_Segmentation_1580496363540.jpg
1580496363592	0,1260	1,3980	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8283	-0,5603	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363578.jpg,img_FrontCenter_Segmentation_1580496363592.jpg
1580496363644	0,1260	1,3388	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8306	-0,5569	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363630.jpg,img_FrontCenter_Segmentation_1580496363644.jpg
1580496363695	0,1260	1,2784	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8331	-0,5532	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363679.jpg,img_FrontCenter_Segmentation_1580496363695.jpg
1580496363745	0,1260	1,2094	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8360	-0,5487	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363730.jpg,img_FrontCenter_Segmentation_1580496363745.jpg
1580496363800	0,1260	1,1353	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8393	-0,5437	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363785.jpg,img_FrontCenter_Segmentation_1580496363800.jpg
1580496363852	0,1260	1,0323	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8441	-0,5361	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363836.jpg,img_FrontCenter_Segmentation_1580496363852.jpg
1580496363903	0,1260	0,9471	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8484	-0,5294	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363889.jpg,img_FrontCenter_Segmentation_1580496363903.jpg
1580496363955	0,1260	0,8520	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8534	-0,5213	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363938.jpg,img_FrontCenter_Segmentation_1580496363955.jpg
1580496364006	0,1260	0,7574	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8587	-0,5125	0,0000	0,0000	img_PilotCamera_Segmentation_1580496363990.jpg,img_FrontCenter_Segmentation_1580496364006.jpg
1580496364057	0,1260	0,6762	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8635	-0,5044	0,0000	0,0000	img_PilotCamera_Segmentation_1580496364046.jpg,img_FrontCenter_Segmentation_1580496364057.jpg
1580496364108	0,1260	0,5676	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8703	-0,4925	0,0000	0,0000	img_PilotCamera_Segmentation_1580496364095.jpg,img_FrontCenter_Segmentation_1580496364108.jpg
1580496364167	0,1260	0,4606	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8776	-0,4794	0,0000	0,0000	img_PilotCamera_Segmentation_1580496364151.jpg,img_FrontCenter_Segmentation_1580496364167.jpg
1580496364213	0,1260	0,3429	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8861	-0,4634	0,0000	0,0000	img_PilotCamera_Segmentation_1580496364199.jpg,img_FrontCenter_Segmentation_1580496364213.jpg
1580496364267	0,1260	0,2345	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,8946	-0,4469	0,0000	0,0000	img_PilotCamera_Segmentation_1580496364252.jpg,img_FrontCenter_Segmentation_1580496364267.jpg
1580496364324	0,1260	0,0800	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,9076	-0,4198	0,0000	0,0000	img_PilotCamera_Segmentation_1580496364307.jpg,img_FrontCenter_Segmentation_1580496364324.jpg
1580496364377	0,1260	-0,0363	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,9181	-0,3962	0,0000	0,0000	img_PilotCamera_Segmentation_1580496364362.jpg,img_FrontCenter_Segmentation_1580496364377.jpg
1580496364433	0,1260	-0,1557	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,9296	-0,3687	0,0000	0,0000	img_PilotCamera_Segmentation_1580496364418.jpg,img_FrontCenter_Segmentation_1580496364433.jpg
1580496364488	0,1260	-0,3328	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,9472	-0,3205	0,0000	0,0000	img_PilotCamera_Segmentation_1580496364473.jpg,img_FrontCenter_Segmentation_1580496364488.jpg
1580496364543	0,1260	-0,4595	-0,1293	1,0000	0,0000	0,0000	0,0000	0,1260	-1,0970	-1,1293	0,9600	-0,2800	0,0000	0,0000	img_PilotCamera_Segmentation_1580496364529.jpg,img_FrontCenter_Segmentation_1580496364543.jpg
