Timestamp_t1	Position(x)_t1	Position(y)_t1	Position(z)_t1	Orientation(x)_t1	Orientation(y)_t1	Orientation(z)_t1	Orientation(w)_t1	Timestamp_t2	Position(x)_t2	Position(y)_t2	Position(z)_t2	Orientation(x)_t2	Orientation(y)_t2	Orientation(z)_t2	Orientation(w)_t2	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(x)	PilotRot(y)	PilotRot(z)	PilotRot(w)	Frame_id1	Frame_id2	ImageName
1580496364108	-0.126	0.1293	0.5676	0.707	0.0	0.0	0.707	1580496364167	-0.126	0.1293	0.4606	0.707	0.0	0.0	0.707	-0.20585613312358247	0.061461866876417526	1.5878588668764175	0.1754394759852943	-0.07492461246784114	-0.3855381527834027	0.902755573486484	0	1	img_PilotCamera_Segmentation_1580496364151.jpg,img_FrontCenter_Segmentation_1580496364167.jpg
1580496364213	-0.126	0.1293	0.3429	0.707	0.0	0.0	0.707	1580496364267	-0.126	0.1293	0.2345	0.707	0.0	0.0	0.707	-0.10856005828167514	0.15875794171832486	1.685154941718325	0.1277296406562802	-0.05288496925515634	-0.3788720717487963	0.9150651737299774	2	3	img_PilotCamera_Segmentation_1580496364252.jpg,img_FrontCenter_Segmentation_1580496364267.jpg
1580496369379	-0.126	0.1293	0.2146	0.707	0.0	0.0	0.707	1580496369432	-0.126	0.1293	0.3782	0.707	0.0	0.0	0.707	-0.21862795759082032	0.04869004240917968	1.5750870424091796	0.0652074331840641	0.16945103113327195	0.9177708671996964	0.3531727254827783	4	5	img_PilotCamera_Segmentation_1580496369417.jpg,img_FrontCenter_Segmentation_1580496369432.jpg
1580496369481	-0.126	0.1293	0.5339	0.707	0.0	0.0	0.707	1580496369536	-0.126	0.1293	0.7	0.707	0.0	0.0	0.707	-0.2710234452517453	-0.0037054452517453207	1.5226915547482547	0.07306225901392269	0.09806354346764982	0.7958825982745996	0.5929724593216983	6	7	img_PilotCamera_Segmentation_1580496369520.jpg,img_FrontCenter_Segmentation_1580496369536.jpg
1580496370233	-0.126	0.1293	2.8398	0.7062223	-0.033158299999999995	-0.033158299999999995	0.7062223	1580496370290	-0.126	0.1293	2.9743	0.7057981	-0.041076699999999994	-0.041076699999999994	0.7057981	-0.20973742721855498	0.02514257278144502	1.624815572781445	0.9263943049515555	-0.2733526807352399	-0.07329419301421396	0.24839457513918758	8	9	img_PilotCamera_Segmentation_1580496370277.jpg,img_FrontCenter_Segmentation_1580496370290.jpg
1580496378022	-3.4186	2.0809	2.4145	0.5218367	-0.4191096	-0.485709	0.5619943	1580496378073	-3.4625	2.0622	2.3826	0.5176653999999999	-0.4137364	-0.488537	0.5672967999999999	-4.7126972468087605	1.7052827531912393	1.8633327531912394	0.7354289315619755	-0.4636224794042756	-0.2635312285545778	0.4180308299505646	10	11	img_PilotCamera_Segmentation_1580496378058.jpg,img_FrontCenter_Segmentation_1580496378073.jpg
1580496378229	-3.5875	2.0021	2.3036	0.5254424	-0.4209478	-0.4768008	0.5648929999999999	1580496378281	-3.6403	1.9738	2.2788	0.5301085999999999	-0.42547260000000003	-0.4707206	0.5622064	-4.761896009913008	1.656083990086992	1.814133990086992	0.6291187956601311	-0.5242135438155472	-0.36740731349345723	0.4409326109724843	12	13	img_PilotCamera_Segmentation_1580496378265.jpg,img_FrontCenter_Segmentation_1580496378281.jpg
1580496378332	-3.6853	1.9485	2.2623	0.5334315	-0.4286541	-0.4662665	0.5602975	1580496378383	-3.7276	1.9242	2.2477	0.5361181	-0.4310579	-0.46273149999999996	0.5588835	-4.618458559359389	1.7995214406406106	1.9575714406406106	0.6444284001629607	-0.39377986600556547	-0.3417745406882517	0.559320675041948	14	15	img_PilotCamera_Segmentation_1580496378367.jpg,img_FrontCenter_Segmentation_1580496378383.jpg
1580496378435	-3.7674	1.9012	2.2295	0.5383098	-0.43289609999999995	-0.45990349999999997	0.5576816	1580496378485	-3.8121	1.8753	2.2032	0.5403601	-0.4346636	-0.4571462	0.5566211000000001	-4.843875731799762	1.5741042682002384	1.7321542682002384	0.6628193851804431	-0.45220125876692924	-0.3363477649258467	0.4930057456338732	16	17	img_PilotCamera_Segmentation_1580496378469.jpg,img_FrontCenter_Segmentation_1580496378485.jpg
1580496378537	-3.8519	1.8522	2.1745	0.5419155	-0.43586549999999996	-0.45509589999999994	0.5557726999999999	1580496378587	-3.8941	1.8277	2.1387	0.5434002	-0.43699669999999996	-0.45311629999999997	0.5551364000000001	-4.6623237898403405	1.75565621015966	1.9137062101596602	0.617157063915358	-0.4837804137246416	-0.38283236723506536	0.4883779769328115	18	19	img_PilotCamera_Segmentation_1580496378573.jpg,img_FrontCenter_Segmentation_1580496378587.jpg
1580496380369	-5.3894	1.1028	1.7415	0.5856081	-0.4830224	-0.3963442	0.5161807	1580496380420	-5.4363	1.1013	1.7548	0.5721751	-0.4657009	-0.41536249999999997	0.5318761	-4.713589593780448	1.7223104062195522	1.8222304062195522	0.21348286566797747	0.6697907637539101	0.6776132450929132	0.21597613046536757	20	21	img_PilotCamera_Segmentation_1580496380404.jpg,img_FrontCenter_Segmentation_1580496380420.jpg
1580496380581	-5.5749	1.1003	1.8184	0.5308155999999999	-0.4139485	-0.4669735	0.5730941999999999	1580496380637	-5.6354	1.0982	1.858	0.511161	-0.3899812	-0.4883956	0.5896379999999999	-4.888710051489433	1.5436099485105672	1.7113799485105672	0.36775370054295903	0.7664274440076853	0.4748068762695058	0.22782585247508794	22	23	img_PilotCamera_Segmentation_1580496380624.jpg,img_FrontCenter_Segmentation_1580496380637.jpg
1580496380691	-5.6819	1.0951	1.8911	0.5013337	-0.366226	-0.5072018	0.5974857	1580496380744	-5.7279	1.0908	1.9229	0.5030305	-0.33511799999999997	-0.5285532	0.5957889	-4.942625996649715	1.489694003350285	1.657464003350285	0.513715456433428	0.6420736322453484	0.4443480117479462	0.35551754535086827	24	25	img_PilotCamera_Segmentation_1580496380728.jpg,img_FrontCenter_Segmentation_1580496380744.jpg
1580496380794	-5.7706	1.0854	1.9515	0.5145546	-0.309666	-0.542269	0.5873756	1580496380847	-5.815	1.0783	1.9807	0.5377441999999999	-0.2984247	-0.5416327	0.5728114	-4.8250954649785145	1.6072245350214858	1.7749945350214857	0.367497762679014	0.6582112672287539	0.573680976823074	0.32030213697438975	26	27	img_PilotCamera_Segmentation_1580496380831.jpg,img_FrontCenter_Segmentation_1580496380847.jpg
1580496380896	-5.8581	1.07	2.0084	0.5494096999999999	-0.3112214	-0.5244525999999999	0.5709025	1580496380953	-5.9107	1.0589	2.037	0.5545708	-0.3309466999999999	-0.5018992999999999	0.5750738	-4.959439163826507	1.472880836173494	1.640650836173494	0.4714359357931394	0.622881242441064	0.4978059087286028	0.37677100935822194	28	29	img_PilotCamera_Segmentation_1580496380940.jpg,img_FrontCenter_Segmentation_1580496380953.jpg
1580496381007	-5.9554	1.0492	2.0551	0.5591662999999999	-0.34338989999999997	-0.48620389999999997	0.5768413	1580496381061	-5.995	1.0405	2.066	0.5624184999999999	-0.3526516	-0.4741142	0.5781139	-7.080555507171939	0.19678849282806143	1.6018044928280615	0.7342255645565383	-0.42624921640487146	-0.26530184276798213	0.45698945074233205	30	31	img_PilotCamera_Segmentation_1580496381045.jpg,img_FrontCenter_Segmentation_1580496381061.jpg
1580496381113	-6.037	1.0311	2.0723	0.5653879	-0.3607114	-0.46308499999999997	0.5792451	1580496381168	-6.0789	1.0216	2.0729	0.5680038	-0.36735719999999994	-0.4536112	0.5800228	-6.769638246674452	0.5077057533255478	1.9127217533255476	0.5924346506897729	-0.3695877839466085	-0.37888984436098494	0.6073454869015086	32	33	img_PilotCamera_Segmentation_1580496381155.jpg,img_FrontCenter_Segmentation_1580496381168.jpg
1580496381224	-6.133	1.0093	2.0652	0.5708318	-0.3742150999999999	-0.44321829999999995	0.5808711999999999	1580496381278	-6.1723	1.0003	2.0537	0.5725992999999999	-0.3781036	-0.43692600000000004	0.5813661	-7.101110633561702	0.17623336643829784	1.5812493664382978	0.6892624272715729	-0.3983735770532961	-0.3028226526231348	0.5239410658802661	34	35	img_PilotCamera_Segmentation_1580496381262.jpg,img_FrontCenter_Segmentation_1580496381278.jpg
1580496381547	-6.3923	0.9488	1.9034	0.5793158	-0.39040539999999996	-0.41416059999999993	0.583275	1580496381601	-6.431	0.9393	1.874	0.5800934999999999	-0.3914658999999999	-0.41168609999999994	0.5834871	-6.984322384560082	0.29302161543991817	1.6980376154399182	0.642604083263713	-0.45485124746886685	-0.3562233010914679	0.5032646367551725	36	37	img_PilotCamera_Segmentation_1580496381586.jpg,img_FrontCenter_Segmentation_1580496381601.jpg
1580496383048	-7.6418	0.8296	1.6924	0.538734	-0.5110903	-0.44604629999999995	0.4992834	1580496383105	-7.69	0.843	1.6999	0.5231093	-0.5180189	-0.44562209999999997	0.5089693	-6.82167069734961	0.4864223026503899	1.8212093026503897	0.47259133939120646	0.31111441542482804	0.4533829078105408	0.6887010856333476	38	39	img_PilotCamera_Segmentation_1580496383091.jpg,img_FrontCenter_Segmentation_1580496383105.jpg
