Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580496595870	2,7807	1,4668	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8256	-0,5642	0,0000	0,0000	img_PilotCamera_Segmentation_1580496595725.jpg,img_FrontCenter_Segmentation_1580496595870.jpg
1580496595945	2,7807	1,2732	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8333	-0,5528	0,0000	0,0000	img_PilotCamera_Segmentation_1580496595923.jpg,img_FrontCenter_Segmentation_1580496595945.jpg
1580496596004	2,7807	1,2243	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8354	-0,5497	0,0000	0,0000	img_PilotCamera_Segmentation_1580496595982.jpg,img_FrontCenter_Segmentation_1580496596004.jpg
1580496596059	2,7807	1,1565	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8383	-0,5452	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596038.jpg,img_FrontCenter_Segmentation_1580496596059.jpg
1580496596115	2,7807	1,0959	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8411	-0,5409	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596094.jpg,img_FrontCenter_Segmentation_1580496596115.jpg
1580496596171	2,7807	1,0301	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8442	-0,5360	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596149.jpg,img_FrontCenter_Segmentation_1580496596171.jpg
1580496596224	2,7807	0,9374	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8489	-0,5286	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596204.jpg,img_FrontCenter_Segmentation_1580496596224.jpg
1580496596277	2,7807	0,8555	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8532	-0,5216	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596257.jpg,img_FrontCenter_Segmentation_1580496596277.jpg
1580496596331	2,7807	0,7782	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8575	-0,5145	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596311.jpg,img_FrontCenter_Segmentation_1580496596331.jpg
1580496596384	2,7807	0,6914	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8626	-0,5059	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596365.jpg,img_FrontCenter_Segmentation_1580496596384.jpg
1580496596438	2,7807	0,6055	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8679	-0,4968	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596416.jpg,img_FrontCenter_Segmentation_1580496596438.jpg
1580496596490	2,7807	0,4868	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8758	-0,4828	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596469.jpg,img_FrontCenter_Segmentation_1580496596490.jpg
1580496596540	2,7807	0,3858	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8829	-0,4695	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596522.jpg,img_FrontCenter_Segmentation_1580496596540.jpg
1580496596593	2,7807	0,2742	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8914	-0,4532	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596574.jpg,img_FrontCenter_Segmentation_1580496596593.jpg
1580496596647	2,7807	0,1712	-1,5427	1,0000	0,0000	0,0000	0,0000	2,7807	-1,0970	-2,5427	0,8998	-0,4364	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596626.jpg,img_FrontCenter_Segmentation_1580496596647.jpg
1580496596698	2,7803	0,0608	-1,5430	1,0000	-0,0034	-0,0001	0,0041	2,7804	-1,0970	-2,5430	0,9093	-0,4161	0,0000	0,0000	img_PilotCamera_Segmentation_1580496596679.jpg,img_FrontCenter_Segmentation_1580496596698.jpg
1580496596752	2,7806	0,1456	-1,5427	1,0000	0,0003	0,0006	-0,0012	2,7802	-1,0970	-2,5427	0,9019	-0,4319	0,0002	0,0001	img_PilotCamera_Segmentation_1580496596733.jpg,img_FrontCenter_Segmentation_1580496596752.jpg
