Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580495857142	-1,2222	1,7510	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8159	-0,5782	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857065.jpg,img_FrontCenter_Segmentation_1580495857142.jpg
1580495857224	-1,2222	1,5811	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8215	-0,5702	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857219.jpg,img_FrontCenter_Segmentation_1580495857224.jpg
1580495857277	-1,2222	1,5322	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8233	-0,5677	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857271.jpg,img_FrontCenter_Segmentation_1580495857277.jpg
1580495857331	-1,2222	1,4804	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8251	-0,5649	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857323.jpg,img_FrontCenter_Segmentation_1580495857331.jpg
1580495857386	-1,2222	1,4234	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8273	-0,5618	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857380.jpg,img_FrontCenter_Segmentation_1580495857386.jpg
1580495857442	-1,2222	1,3459	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8303	-0,5573	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857437.jpg,img_FrontCenter_Segmentation_1580495857442.jpg
1580495857496	-1,2222	1,2690	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8335	-0,5526	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857491.jpg,img_FrontCenter_Segmentation_1580495857496.jpg
1580495857549	-1,2222	1,2039	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8362	-0,5484	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857544.jpg,img_FrontCenter_Segmentation_1580495857549.jpg
1580495857606	-1,2222	1,1303	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8395	-0,5433	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857602.jpg,img_FrontCenter_Segmentation_1580495857606.jpg
1580495857662	-1,2222	1,0068	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8454	-0,5342	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857658.jpg,img_FrontCenter_Segmentation_1580495857662.jpg
1580495857721	-1,2222	0,9224	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8496	-0,5274	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857714.jpg,img_FrontCenter_Segmentation_1580495857721.jpg
1580495857777	-1,2222	0,7999	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8563	-0,5166	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857772.jpg,img_FrontCenter_Segmentation_1580495857777.jpg
1580495857830	-1,2222	0,7002	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8620	-0,5068	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857826.jpg,img_FrontCenter_Segmentation_1580495857830.jpg
1580495857879	-1,2222	0,5961	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8685	-0,4957	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857874.jpg,img_FrontCenter_Segmentation_1580495857879.jpg
1580495857937	-1,2222	0,5961	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8685	-0,4957	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857931.jpg,img_FrontCenter_Segmentation_1580495857937.jpg
1580495857992	-1,2222	0,5961	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8685	-0,4957	0,0000	0,0000	img_PilotCamera_Segmentation_1580495857988.jpg,img_FrontCenter_Segmentation_1580495857992.jpg
1580495858052	-1,2222	0,5961	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8685	-0,4957	0,0000	0,0000	img_PilotCamera_Segmentation_1580495858045.jpg,img_FrontCenter_Segmentation_1580495858052.jpg
1580495858107	-1,2222	0,5961	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8685	-0,4957	0,0000	0,0000	img_PilotCamera_Segmentation_1580495858104.jpg,img_FrontCenter_Segmentation_1580495858107.jpg
1580495858157	-1,2222	0,5961	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8685	-0,4957	0,0000	0,0000	img_PilotCamera_Segmentation_1580495858152.jpg,img_FrontCenter_Segmentation_1580495858157.jpg
1580495858210	-1,2222	0,5961	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8685	-0,4957	0,0000	0,0000	img_PilotCamera_Segmentation_1580495858205.jpg,img_FrontCenter_Segmentation_1580495858210.jpg
1580495858259	-1,2222	0,5961	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8685	-0,4957	0,0000	0,0000	img_PilotCamera_Segmentation_1580495858254.jpg,img_FrontCenter_Segmentation_1580495858259.jpg
1580495858320	-1,2222	0,5961	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8685	-0,4957	0,0000	0,0000	img_PilotCamera_Segmentation_1580495858316.jpg,img_FrontCenter_Segmentation_1580495858320.jpg
1580495858370	-1,2222	0,5961	-31,0289	1,0000	0,0000	0,0000	0,0000	-1,2222	-1,0970	-32,0289	0,8685	-0,4957	0,0000	0,0000	img_PilotCamera_Segmentation_1580495858366.jpg,img_FrontCenter_Segmentation_1580495858370.jpg
