Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580496699664	3,1200	-1,9746	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-1,0970	6,1207	0,9358	0,3524	0,0000	0,0000	img_PilotCamera_Segmentation_1580496699538.jpg,img_FrontCenter_Segmentation_1580496699664.jpg
1580496699740	3,1200	-2,1575	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-1,0970	6,1207	0,9182	0,3962	0,0000	0,0000	img_PilotCamera_Segmentation_1580496699722.jpg,img_FrontCenter_Segmentation_1580496699740.jpg
1580496699791	3,1200	-2,2051	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-1,0871	6,1207	0,9129	0,4082	0,0000	0,0000	img_PilotCamera_Segmentation_1580496699773.jpg,img_FrontCenter_Segmentation_1580496699791.jpg
1580496699850	3,1200	-2,2713	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5958	6,1207	0,8696	0,4937	0,0000	0,0000	img_PilotCamera_Segmentation_1580496699832.jpg,img_FrontCenter_Segmentation_1580496699850.jpg
1580496699903	3,1200	-2,3308	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5255	6,1207	0,8616	0,5077	0,0000	0,0000	img_PilotCamera_Segmentation_1580496699886.jpg,img_FrontCenter_Segmentation_1580496699903.jpg
1580496699958	3,1200	-2,3954	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5404	6,1207	0,8586	0,5126	0,0000	0,0000	img_PilotCamera_Segmentation_1580496699941.jpg,img_FrontCenter_Segmentation_1580496699958.jpg
1580496700012	3,1200	-2,4821	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5433	6,1207	0,8539	0,5204	0,0000	0,0000	img_PilotCamera_Segmentation_1580496699998.jpg,img_FrontCenter_Segmentation_1580496700012.jpg
1580496700063	3,1200	-2,5579	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5431	6,1207	0,8499	0,5270	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700049.jpg,img_FrontCenter_Segmentation_1580496700063.jpg
1580496700115	3,1200	-2,6434	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5429	6,1207	0,8455	0,5339	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700099.jpg,img_FrontCenter_Segmentation_1580496700115.jpg
1580496700166	3,1200	-2,7188	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5427	6,1207	0,8419	0,5396	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700151.jpg,img_FrontCenter_Segmentation_1580496700166.jpg
1580496700216	3,1200	-2,8139	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5426	6,1207	0,8375	0,5464	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700202.jpg,img_FrontCenter_Segmentation_1580496700216.jpg
1580496700272	3,1200	-2,9085	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5424	6,1207	0,8335	0,5526	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700256.jpg,img_FrontCenter_Segmentation_1580496700272.jpg
1580496700323	3,1200	-3,0015	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5438	6,1207	0,8297	0,5582	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700309.jpg,img_FrontCenter_Segmentation_1580496700323.jpg
1580496700376	3,1200	-3,1045	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5440	6,1207	0,8258	0,5640	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700362.jpg,img_FrontCenter_Segmentation_1580496700376.jpg
1580496700430	3,1200	-3,2440	7,1207	1,0000	0,0000	0,0000	0,0000	3,1200	-0,5441	6,1207	0,8208	0,5713	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700417.jpg,img_FrontCenter_Segmentation_1580496700430.jpg
1580496700483	3,1203	-3,3405	7,1207	1,0000	0,0013	0,0000	-0,0037	3,1203	-0,5439	6,1207	0,8175	0,5759	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700467.jpg,img_FrontCenter_Segmentation_1580496700483.jpg
1580496700537	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5438	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700523.jpg,img_FrontCenter_Segmentation_1580496700537.jpg
1580496700589	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700574.jpg,img_FrontCenter_Segmentation_1580496700589.jpg
1580496700638	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700623.jpg,img_FrontCenter_Segmentation_1580496700638.jpg
1580496700694	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700678.jpg,img_FrontCenter_Segmentation_1580496700694.jpg
1580496700749	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5440	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700735.jpg,img_FrontCenter_Segmentation_1580496700749.jpg
1580496700798	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5439	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700785.jpg,img_FrontCenter_Segmentation_1580496700798.jpg
1580496700854	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5438	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700839.jpg,img_FrontCenter_Segmentation_1580496700854.jpg
1580496700907	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5437	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700891.jpg,img_FrontCenter_Segmentation_1580496700907.jpg
1580496700958	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700943.jpg,img_FrontCenter_Segmentation_1580496700958.jpg
1580496701007	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5442	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496700992.jpg,img_FrontCenter_Segmentation_1580496701007.jpg
1580496701063	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5442	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701049.jpg,img_FrontCenter_Segmentation_1580496701063.jpg
1580496701115	3,1201	-3,3162	7,1207	1,0000	-0,0003	0,0001	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701100.jpg,img_FrontCenter_Segmentation_1580496701115.jpg
1580496701170	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5440	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701155.jpg,img_FrontCenter_Segmentation_1580496701170.jpg
1580496701223	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5439	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701207.jpg,img_FrontCenter_Segmentation_1580496701223.jpg
1580496701275	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5442	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701260.jpg,img_FrontCenter_Segmentation_1580496701275.jpg
1580496701327	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5442	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701311.jpg,img_FrontCenter_Segmentation_1580496701327.jpg
1580496701382	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5442	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701367.jpg,img_FrontCenter_Segmentation_1580496701382.jpg
1580496701435	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701420.jpg,img_FrontCenter_Segmentation_1580496701435.jpg
1580496701489	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701473.jpg,img_FrontCenter_Segmentation_1580496701489.jpg
1580496701541	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5440	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701525.jpg,img_FrontCenter_Segmentation_1580496701541.jpg
1580496701597	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5442	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701582.jpg,img_FrontCenter_Segmentation_1580496701597.jpg
1580496701652	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701636.jpg,img_FrontCenter_Segmentation_1580496701652.jpg
1580496701704	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0001	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701689.jpg,img_FrontCenter_Segmentation_1580496701704.jpg
1580496701759	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0000	0,0001	3,1200	-0,5440	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701746.jpg,img_FrontCenter_Segmentation_1580496701759.jpg
1580496701815	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0000	0,0001	3,1200	-0,5442	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701800.jpg,img_FrontCenter_Segmentation_1580496701815.jpg
1580496701863	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0000	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701849.jpg,img_FrontCenter_Segmentation_1580496701863.jpg
1580496701916	3,1201	-3,3162	7,1207	1,0000	-0,0002	0,0000	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701902.jpg,img_FrontCenter_Segmentation_1580496701916.jpg
1580496701969	3,1201	-3,3163	7,1207	1,0000	-0,0002	0,0000	0,0001	3,1200	-0,5441	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496701954.jpg,img_FrontCenter_Segmentation_1580496701969.jpg
1580496702023	3,1201	-3,3163	7,1207	1,0000	-0,0002	0,0000	0,0001	3,1200	-0,5440	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496702008.jpg,img_FrontCenter_Segmentation_1580496702023.jpg
1580496702079	3,1201	-3,3163	7,1207	1,0000	-0,0002	0,0000	0,0001	3,1200	-0,5440	6,1207	0,8183	0,5748	0,0000	0,0000	img_PilotCamera_Segmentation_1580496702065.jpg,img_FrontCenter_Segmentation_1580496702079.jpg
1580496702132	3,1201	-3,3163	7,1207	1,0000	-0,0002	0,0000	0,0001	3,1200	-0,5442	6,1207	0,8183	0,5747	0,0000	0,0000	img_PilotCamera_Segmentation_1580496702117.jpg,img_FrontCenter_Segmentation_1580496702132.jpg
