Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580543537515	-6,3922	1,5328	-1,5972	1,0000	0,0000	0,0000	0,0000	-6,3922	-1,0970	-2,5972	0,8232	-0,5677	0,0000	0,0000	img_PilotCamera_Segmentation_1580543537427.jpg,img_FrontCenter_Segmentation_1580543537515.jpg
1580543537603	-6,3922	1,3945	-1,5972	1,0000	0,0000	0,0000	0,0000	-6,3922	-1,0970	-2,5972	0,8284	-0,5601	0,0000	0,0000	img_PilotCamera_Segmentation_1580543537588.jpg,img_FrontCenter_Segmentation_1580543537603.jpg
1580543537657	-6,3922	1,3168	-1,5972	1,0000	0,0000	0,0000	0,0000	-6,3922	-1,0970	-2,5972	0,8315	-0,5555	0,0000	0,0000	img_PilotCamera_Segmentation_1580543537644.jpg,img_FrontCenter_Segmentation_1580543537657.jpg
1580543537712	-6,3922	1,2717	-1,5972	1,0000	0,0000	0,0000	0,0000	-6,3922	-1,0970	-2,5972	0,8333	-0,5528	0,0000	0,0000	img_PilotCamera_Segmentation_1580543537698.jpg,img_FrontCenter_Segmentation_1580543537712.jpg
1580543537762	-6,3922	1,2157	-1,5972	1,0000	0,0000	0,0000	0,0000	-6,3922	-1,0970	-2,5972	0,8357	-0,5491	0,0000	0,0000	img_PilotCamera_Segmentation_1580543537748.jpg,img_FrontCenter_Segmentation_1580543537762.jpg
1580543537816	-6,3922	1,1506	-1,5972	1,0000	0,0000	0,0000	0,0000	-6,3922	-1,0970	-2,5972	0,8386	-0,5447	0,0000	0,0000	img_PilotCamera_Segmentation_1580543537804.jpg,img_FrontCenter_Segmentation_1580543537816.jpg
1580543537867	-6,3922	1,0675	-1,5972	1,0000	0,0000	0,0000	0,0000	-6,3922	-1,0970	-2,5972	0,8424	-0,5388	0,0000	0,0000	img_PilotCamera_Segmentation_1580543537854.jpg,img_FrontCenter_Segmentation_1580543537867.jpg
1580543537920	-6,3922	0,9946	-1,5972	1,0000	0,0000	0,0000	0,0000	-6,3922	-1,0970	-2,5972	0,8460	-0,5332	0,0000	0,0000	img_PilotCamera_Segmentation_1580543537908.jpg,img_FrontCenter_Segmentation_1580543537920.jpg
1580543537970	-6,3922	0,9168	-1,5972	1,0000	0,0000	0,0000	0,0000	-6,3922	-1,0970	-2,5972	0,8499	-0,5269	0,0000	0,0000	img_PilotCamera_Segmentation_1580543537959.jpg,img_FrontCenter_Segmentation_1580543537970.jpg
1580543538023	-6,3922	0,8342	-1,5972	1,0000	0,0000	0,0000	0,0000	-6,3922	-1,0970	-2,5972	0,8543	-0,5197	0,0000	0,0000	img_PilotCamera_Segmentation_1580543538013.jpg,img_FrontCenter_Segmentation_1580543538023.jpg
