Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1580544119170	14,9424	1,5501	5,3342	1,0000	0,0000	0,0000	0,0000	14,9424	-1,0970	4,3342	0,8226	-0,5686	0,0000	0,0000	img_PilotCamera_Segmentation_1580544119102.jpg,img_FrontCenter_Segmentation_1580544119170.jpg
1580544119267	14,9424	1,4186	5,3342	1,0000	0,0000	0,0000	0,0000	14,9424	-1,0970	4,3342	0,8275	-0,5615	0,0000	0,0000	img_PilotCamera_Segmentation_1580544119256.jpg,img_FrontCenter_Segmentation_1580544119267.jpg
1580544119301	14,9424	1,3565	5,3342	1,0000	0,0000	0,0000	0,0000	14,9424	-1,0970	4,3342	0,8299	-0,5579	0,0000	0,0000	img_PilotCamera_Segmentation_1580544119294.jpg,img_FrontCenter_Segmentation_1580544119301.jpg
1580544119356	14,9424	1,3015	5,3342	1,0000	0,0000	0,0000	0,0000	14,9424	-1,0970	4,3342	0,8321	-0,5546	0,0000	0,0000	img_PilotCamera_Segmentation_1580544119349.jpg,img_FrontCenter_Segmentation_1580544119356.jpg
1580544119407	14,9424	1,2534	5,3342	1,0000	0,0000	0,0000	0,0000	14,9424	-1,0970	4,3342	0,8341	-0,5516	0,0000	0,0000	img_PilotCamera_Segmentation_1580544119400.jpg,img_FrontCenter_Segmentation_1580544119407.jpg
1580544119461	14,9424	1,1939	5,3342	1,0000	0,0000	0,0000	0,0000	14,9424	-1,0970	4,3342	0,8367	-0,5477	0,0000	0,0000	img_PilotCamera_Segmentation_1580544119454.jpg,img_FrontCenter_Segmentation_1580544119461.jpg
1580544119513	14,9424	1,1332	5,3342	1,0000	0,0000	0,0000	0,0000	14,9424	-1,0970	4,3342	0,8394	-0,5435	0,0000	0,0000	img_PilotCamera_Segmentation_1580544119506.jpg,img_FrontCenter_Segmentation_1580544119513.jpg
1580544119566	14,9424	1,0639	5,3342	1,0000	0,0000	0,0000	0,0000	14,9424	-1,0970	4,3342	0,8426	-0,5385	0,0000	0,0000	img_PilotCamera_Segmentation_1580544119558.jpg,img_FrontCenter_Segmentation_1580544119566.jpg
1580544119620	14,9424	0,9621	5,3342	1,0000	0,0000	0,0000	0,0000	14,9424	-1,0970	4,3342	0,8476	-0,5306	0,0000	0,0000	img_PilotCamera_Segmentation_1580544119613.jpg,img_FrontCenter_Segmentation_1580544119620.jpg
1580544119670	14,9424	0,8812	5,3342	1,0000	0,0000	0,0000	0,0000	14,9424	-1,0970	4,3342	0,8518	-0,5239	0,0000	0,0000	img_PilotCamera_Segmentation_1580544119664.jpg,img_FrontCenter_Segmentation_1580544119670.jpg
